year,team,rank,value,value_change,debt_percent,revenue,expenses,operating_income,gate_revenue,media_revenue,stadium_revenue,player_expense,other_revenue,other_expense,name,team_id,wikiurl,imageurl,revenue_multiple,ebitda_multiple,debt,debt_yield,operating_income_yield,league
2013,Indianapolis Colts,11.00,1200.00,0.04,0.04,276.00,211.00,65.00,NA,NA,NA,NA,NA,NA,Colts,clt,wikipedia.org/wiki/Indianapolis_Colts,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png,4.35,18.46,48.00,1.35,0.05,NFL
2013,Green Bay Packers,12.00,1183.00,0.02,0.02,282.00,227.70,54.30,NA,NA,NA,NA,NA,NA,Packers,gnb,wikipedia.org/wiki/Green_Bay_Packers,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,4.20,21.79,23.66,2.30,0.05,NFL
2013,Denver Broncos,13.00,1161.00,0.03,0.12,283.00,251.30,31.70,NA,NA,NA,NA,NA,NA,Broncos,den,wikipedia.org/wiki/Denver_Broncos,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/200px-Denver_Broncos_logo.svg.png,4.10,36.62,139.32,0.23,0.03,NFL
2013,Pittsburgh Steelers,14.00,1118.00,0.02,0.18,266.00,237.70,28.30,NA,NA,NA,NA,NA,NA,Steelers,pit,wikipedia.org/wiki/Pittsburgh_Steelers,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/200px-Pittsburgh_Steelers_logo.svg.png,4.20,39.51,201.24,0.14,0.03,NFL
2013,Seattle Seahawks,15.00,1081.00,0.04,0.11,270.00,241.80,28.20,NA,NA,NA,NA,NA,NA,Seahawks,sea,wikipedia.org/wiki/Seattle_Seahawks,http://upload.wikimedia.org/wikipedia/en/thumb/2/22/Seattle_Seahawks_Vector_Logo.svg/200px-Seattle_Seahawks_Vector_Logo.svg.png,4.00,38.33,118.91,0.24,0.03,NFL
2013,Miami Dolphins,16.00,1074.00,0.01,0.36,268.00,243.20,24.80,NA,NA,NA,NA,NA,NA,Dolphins,mia,wikipedia.org/wiki/Miami_Dolphins,http://upload.wikimedia.org/wikipedia/en/thumb/8/81/Miami_Dolphins_2013_Logo.svg/200px-Miami_Dolphins_2013_Logo.svg.png,4.01,43.31,386.64,0.06,0.02,NFL
2013,Tampa Bay Buccaneers,17.00,1067.00,0.03,0.17,267.00,264.80,2.20,NA,NA,NA,NA,NA,NA,Buccaneers,tam,wikipedia.org/wiki/Tampa_Bay_Buccaneers,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/200px-Tampa_Bay_Buccaneers_logo.svg.png,4.00,485.00,181.39,0.01,0.00,NFL
2013,Carolina Panthers,18.00,1057.00,0.01,0.06,271.00,242.10,28.90,NA,NA,NA,NA,NA,NA,Panthers,car,wikipedia.org/wiki/Carolina_Panthers,http://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Carolina_Panthers_logo_2012.svg/200px-Carolina_Panthers_logo_2012.svg.png,3.90,36.57,63.42,0.46,0.03,NFL
2013,Tennessee Titans,19.00,1055.00,0.04,0.12,270.00,230.00,40.00,NA,NA,NA,NA,NA,NA,Titans,oti,wikipedia.org/wiki/Tennessee_Titans,http://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/200px-Tennessee_Titans_logo.svg.png,3.91,26.38,126.60,0.32,0.04,NFL
2013,Kansas City Chiefs,20.00,1009.00,0.00,0.07,245.00,230.00,15.00,NA,NA,NA,NA,NA,NA,Chiefs,kan,wikipedia.org/wiki/Kansas_City_Chiefs,http://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/200px-Kansas_City_Chiefs_logo.svg.png,4.12,67.27,70.63,0.21,0.01,NFL
2013,Minnesota Vikings,21.00,1007.00,0.03,0.33,234.00,206.00,28.00,NA,NA,NA,NA,NA,NA,Vikings,min,wikipedia.org/wiki/Minnesota_Vikings,http://upload.wikimedia.org/wikipedia/en/b/b0/Minnesota_Vikings_Logo_2013.png,4.30,35.96,332.31,0.08,0.03,NFL
2013,Cleveland Browns,22.00,1005.00,0.02,0.20,264.00,246.90,17.10,NA,NA,NA,NA,NA,NA,Browns,cle,wikipedia.org/wiki/Cleveland_Browns,http://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Cleveland_Browns_logo%2C_2006_to_present.svg/200px-Cleveland_Browns_logo%2C_2006_to_present.svg.png,3.81,58.77,201.00,0.09,0.02,NFL
2013,New Orleans Saints,23.00,1004.00,0.03,0.07,276.00,253.80,22.20,NA,NA,NA,NA,NA,NA,Saints,nor,wikipedia.org/wiki/New_Orleans_Saints,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/New_Orleans_Saints.svg/200px-New_Orleans_Saints.svg.png,3.64,45.23,70.28,0.32,0.02,NFL
2013,Arizona Cardinals,24.00,961.00,0.04,0.16,253.00,243.30,9.70,NA,NA,NA,NA,NA,NA,Cardinals,crd,wikipedia.org/wiki/Arizona_Cardinals,http://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/200px-Arizona_Cardinals_logo.svg.png,3.80,99.07,153.76,0.06,0.01,NFL
2013,San Diego Chargers,25.00,949.00,0.01,0.11,250.00,219.60,30.40,NA,NA,NA,NA,NA,NA,Chargers,sdg,wikipedia.org/wiki/San_Diego_Chargers,http://upload.wikimedia.org/wikipedia/en/thumb/0/06/San_Diego_Chargers_logo.svg/200px-San_Diego_Chargers_logo.svg.png,3.80,31.22,104.39,0.29,0.03,NFL
2013,Atlanta Falcons,26.00,933.00,0.11,0.29,252.00,233.50,18.50,NA,NA,NA,NA,NA,NA,Falcons,atl,wikipedia.org/wiki/Atlanta_Falcons,http://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/100px-Atlanta_Falcons_logo.svg.png,3.70,50.43,270.57,0.07,0.02,NFL
2013,Cincinnati Bengals,27.00,924.00,0.06,0.11,250.00,212.70,37.30,NA,NA,NA,NA,NA,NA,Bengals,cin,wikipedia.org/wiki/Cincinnati_Bengals,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Cincinnati_Bengals.svg/200px-Cincinnati_Bengals.svg.png,3.70,24.77,101.64,0.37,0.04,NFL
2013,Detroit Lions,28.00,900.00,0.05,0.31,248.00,251.50,-3.50,NA,NA,NA,NA,NA,NA,Lions,det,wikipedia.org/wiki/Detroit_Lions,http://upload.wikimedia.org/wikipedia/en/thumb/3/3f/New_Lions_Logo.svg/200px-New_Lions_Logo.svg.png,3.63,0.00,279.00,0.00,0.00,NFL
2013,St. Louis Rams,29.00,875.00,0.12,0.13,239.00,217.90,21.10,NA,NA,NA,NA,NA,NA,Rams,ram,wikipedia.org/wiki/St._Louis_Rams,http://upload.wikimedia.org/wikipedia/en/thumb/b/b8/St_Louis_Rams_logo.svg/100px-St_Louis_Rams_logo.svg.png,3.66,41.47,113.75,0.19,0.02,NFL
2013,Buffalo Bills,30.00,870.00,0.08,0.14,256.00,243.40,12.60,NA,NA,NA,NA,NA,NA,Bills,buf,wikipedia.org/wiki/Buffalo_Bills,http://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/200px-Buffalo_Bills_logo.svg.png,3.40,69.05,121.80,0.10,0.01,NFL
2013,Jacksonville Jaguars,31.00,840.00,0.09,0.24,260.00,244.50,15.50,NA,NA,NA,NA,NA,NA,Jaguars,jax,wikipedia.org/wiki/Jacksonville_Jaguars,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Jaguars_2013_logo.jpg/200px-Jaguars_2013_logo.jpg,3.23,54.19,201.60,0.08,0.02,NFL
2013,Oakland Raiders,32.00,825.00,0.05,0.24,229.00,209.90,19.10,NA,NA,NA,NA,NA,NA,Raiders,rai,wikipedia.org/wiki/Oakland_Raiders,http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Oakland_Raiders.svg/200px-Oakland_Raiders.svg.png,3.60,43.19,198.00,0.10,0.02,NFL
2012,Dallas Cowboys,1.00,2100.00,0.14,0.13,500.00,273.30,226.70,NA,NA,NA,NA,NA,NA,Cowboys,dal,wikipedia.org/wiki/Dallas_Cowboys,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/200px-Dallas_Cowboys.svg.png,4.20,9.26,273.00,0.83,0.11,NFL
2012,New England Patriots,2.00,1635.00,0.17,0.16,380.00,261.20,118.80,NA,NA,NA,NA,NA,NA,Patriots,new,wikipedia.org/wiki/New_England_Patriots,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png,4.30,13.76,261.60,0.45,0.07,NFL
2012,Washington Redskins,3.00,1600.00,0.03,0.28,373.00,264.00,109.00,NA,NA,NA,NA,NA,NA,Redskins,was,wikipedia.org/wiki/Washington_Redskins,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/200px-Washington_Redskins_logo.svg.png,4.29,14.68,448.00,0.24,0.07,NFL
2012,New York Giants,4.00,1468.00,0.13,0.44,326.00,267.00,59.00,NA,NA,NA,NA,NA,NA,Giants,nyg,wikipedia.org/wiki/New_York_Giants,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/200px-New_York_Giants_logo.svg.png,4.50,24.88,645.92,0.09,0.04,NFL
2012,Houston Texans,5.00,1305.00,0.09,0.15,304.00,242.10,61.90,NA,NA,NA,NA,NA,NA,Texans,htx,wikipedia.org/wiki/Houston_Texans,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png,4.29,21.08,195.75,0.32,0.05,NFL
2012,New York Jets,6.00,1284.00,0.05,0.58,299.00,272.00,27.00,NA,NA,NA,NA,NA,NA,Jets,nyj,wikipedia.org/wiki/New_York_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png,4.29,47.56,744.72,0.04,0.02,NFL
2012,Philadelphia Eagles,7.00,1260.00,0.08,0.08,296.00,247.80,48.20,NA,NA,NA,NA,NA,NA,Eagles,phi,wikipedia.org/wiki/Philadelphia_Eagles,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/200px-Philadelphia_Eagles_primary_logo.svg.png,4.26,26.14,100.80,0.48,0.04,NFL
2012,Chicago Bears,8.00,1190.00,0.09,0.10,286.00,220.70,65.30,NA,NA,NA,NA,NA,NA,Bears,chi,wikipedia.org/wiki/Chicago_Bears,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/200px-Chicago_Bears_logo.svg.png,4.16,18.22,119.00,0.55,0.05,NFL
2012,San Francisco 49ers,9.00,1175.00,0.19,0.11,245.00,215.00,30.00,NA,NA,NA,NA,NA,NA,49ers,sfo,wikipedia.org/wiki/San_Francisco_49ers,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/49ers_Logo.svg/200px-49ers_Logo.svg.png,4.80,39.17,129.25,0.23,0.03,NFL
2012,Green Bay Packers,10.00,1161.00,0.07,0.02,276.00,232.90,43.10,NA,NA,NA,NA,NA,NA,Packers,gnb,wikipedia.org/wiki/Green_Bay_Packers,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,4.21,26.94,23.22,1.86,0.04,NFL
2012,Baltimore Ravens,11.00,1157.00,0.06,0.23,279.00,230.40,48.60,NA,NA,NA,NA,NA,NA,Ravens,rav,wikipedia.org/wiki/Baltimore_Ravens,http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,4.15,23.81,266.11,0.18,0.04,NFL
2012,Indianapolis Colts,12.00,1154.00,0.09,0.04,268.00,205.40,62.60,NA,NA,NA,NA,NA,NA,Colts,clt,wikipedia.org/wiki/Indianapolis_Colts,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png,4.31,18.43,46.16,1.36,0.05,NFL
2012,Denver Broncos,13.00,1132.00,0.08,0.13,276.00,226.70,49.30,NA,NA,NA,NA,NA,NA,Broncos,den,wikipedia.org/wiki/Denver_Broncos,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/200px-Denver_Broncos_logo.svg.png,4.10,22.96,147.16,0.34,0.04,NFL
2012,Pittsburgh Steelers,14.00,1100.00,0.08,0.18,266.00,266.80,-0.80,NA,NA,NA,NA,NA,NA,Steelers,pit,wikipedia.org/wiki/Pittsburgh_Steelers,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/200px-Pittsburgh_Steelers_logo.svg.png,4.14,0.00,198.00,0.00,0.00,NFL
2012,Miami Dolphins,15.00,1060.00,0.05,0.36,265.00,250.50,14.50,NA,NA,NA,NA,NA,NA,Dolphins,mia,wikipedia.org/wiki/Miami_Dolphins,http://upload.wikimedia.org/wikipedia/en/thumb/8/81/Miami_Dolphins_2013_Logo.svg/200px-Miami_Dolphins_2013_Logo.svg.png,4.00,73.10,381.60,0.04,0.01,NFL
2012,Carolina Panthers,16.00,1048.00,0.05,0.18,269.00,257.50,11.50,NA,NA,NA,NA,NA,NA,Panthers,car,wikipedia.org/wiki/Carolina_Panthers,http://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Carolina_Panthers_logo_2012.svg/200px-Carolina_Panthers_logo_2012.svg.png,3.90,91.13,188.64,0.06,0.01,NFL
2012,Seattle Seahawks,17.00,1040.00,0.04,0.12,260.00,243.60,16.40,NA,NA,NA,NA,NA,NA,Seahawks,sea,wikipedia.org/wiki/Seattle_Seahawks,http://upload.wikimedia.org/wikipedia/en/thumb/2/22/Seattle_Seahawks_Vector_Logo.svg/200px-Seattle_Seahawks_Vector_Logo.svg.png,4.00,63.41,124.80,0.13,0.02,NFL
2012,Tampa Bay Buccaneers,18.00,1033.00,0.05,0.17,258.00,213.90,44.10,NA,NA,NA,NA,NA,NA,Buccaneers,tam,wikipedia.org/wiki/Tampa_Bay_Buccaneers,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/200px-Tampa_Bay_Buccaneers_logo.svg.png,4.00,23.42,175.61,0.25,0.04,NFL
2012,Tennessee Titans,19.00,1011.00,0.05,0.12,262.00,223.20,38.80,NA,NA,NA,NA,NA,NA,Titans,oti,wikipedia.org/wiki/Tennessee_Titans,http://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/200px-Tennessee_Titans_logo.svg.png,3.86,26.06,121.32,0.32,0.04,NFL
2012,Kansas City Chiefs,20.00,1008.00,0.02,0.13,259.00,212.60,46.40,NA,NA,NA,NA,NA,NA,Chiefs,kan,wikipedia.org/wiki/Kansas_City_Chiefs,http://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/200px-Kansas_City_Chiefs_logo.svg.png,3.89,21.72,131.04,0.35,0.05,NFL
2012,Cleveland Browns,21.00,987.00,0.01,0.15,258.00,229.30,28.70,NA,NA,NA,NA,NA,NA,Browns,cle,wikipedia.org/wiki/Cleveland_Browns,http://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Cleveland_Browns_logo%2C_2006_to_present.svg/200px-Cleveland_Browns_logo%2C_2006_to_present.svg.png,3.83,34.39,148.05,0.19,0.03,NFL
2012,Minnesota Vikings,22.00,975.00,0.22,0.34,227.00,219.80,7.20,NA,NA,NA,NA,NA,NA,Vikings,min,wikipedia.org/wiki/Minnesota_Vikings,http://upload.wikimedia.org/wikipedia/en/b/b0/Minnesota_Vikings_Logo_2013.png,4.30,135.42,331.50,0.02,0.01,NFL
2012,New Orleans Saints,23.00,971.00,0.01,0.13,259.00,222.00,37.00,NA,NA,NA,NA,NA,NA,Saints,nor,wikipedia.org/wiki/New_Orleans_Saints,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/New_Orleans_Saints.svg/200px-New_Orleans_Saints.svg.png,3.75,26.24,126.23,0.29,0.04,NFL
2012,San Diego Chargers,24.00,936.00,0.02,0.13,246.00,223.50,22.50,NA,NA,NA,NA,NA,NA,Chargers,sdg,wikipedia.org/wiki/San_Diego_Chargers,http://upload.wikimedia.org/wikipedia/en/thumb/0/06/San_Diego_Chargers_logo.svg/200px-San_Diego_Chargers_logo.svg.png,3.80,41.60,121.68,0.18,0.02,NFL
2012,Arizona Cardinals,25.00,922.00,0.02,0.16,246.00,225.50,20.50,NA,NA,NA,NA,NA,NA,Cardinals,crd,wikipedia.org/wiki/Arizona_Cardinals,http://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/200px-Arizona_Cardinals_logo.svg.png,3.75,44.98,147.52,0.14,0.02,NFL
2012,Cincinnati Bengals,26.00,871.00,0.00,0.11,235.00,216.90,18.10,NA,NA,NA,NA,NA,NA,Bengals,cin,wikipedia.org/wiki/Cincinnati_Bengals,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Cincinnati_Bengals.svg/200px-Cincinnati_Bengals.svg.png,3.71,48.12,95.81,0.19,0.02,NFL
2012,Detroit Lions,27.00,855.00,0.01,0.32,231.00,235.60,-4.60,NA,NA,NA,NA,NA,NA,Lions,det,wikipedia.org/wiki/Detroit_Lions,http://upload.wikimedia.org/wikipedia/en/thumb/3/3f/New_Lions_Logo.svg/200px-New_Lions_Logo.svg.png,3.70,0.00,273.60,0.00,-0.01,NFL
2012,Atlanta Falcons,28.00,837.00,0.03,0.33,239.00,223.70,15.30,NA,NA,NA,NA,NA,NA,Falcons,atl,wikipedia.org/wiki/Atlanta_Falcons,http://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/100px-Atlanta_Falcons_logo.svg.png,3.50,54.71,276.21,0.06,0.02,NFL
2012,Buffalo Bills,29.00,805.00,0.02,0.16,240.00,210.60,29.40,NA,NA,NA,NA,NA,NA,Bills,buf,wikipedia.org/wiki/Buffalo_Bills,http://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/200px-Buffalo_Bills_logo.svg.png,3.35,27.38,128.80,0.23,0.04,NFL
2012,Oakland Raiders,30.00,785.00,0.03,0.16,226.00,241.20,-15.20,NA,NA,NA,NA,NA,NA,Raiders,rai,wikipedia.org/wiki/Oakland_Raiders,http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Oakland_Raiders.svg/200px-Oakland_Raiders.svg.png,3.47,0.00,125.60,0.00,-0.02,NFL
2012,St. Louis Rams,31.00,780.00,0.01,0.15,231.00,224.30,6.70,NA,NA,NA,NA,NA,NA,Rams,ram,wikipedia.org/wiki/St._Louis_Rams,http://upload.wikimedia.org/wikipedia/en/thumb/b/b8/St_Louis_Rams_logo.svg/100px-St_Louis_Rams_logo.svg.png,3.38,116.42,117.00,0.06,0.01,NFL
2012,Jacksonville Jaguars,32.00,770.00,0.06,0.19,238.00,208.40,29.60,NA,NA,NA,NA,NA,NA,Jaguars,jax,wikipedia.org/wiki/Jacksonville_Jaguars,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Jaguars_2013_logo.jpg/200px-Jaguars_2013_logo.jpg,3.24,26.01,146.30,0.20,0.04,NFL
2011,Dallas Cowboys,1.00,1850.00,0.02,0.18,406.00,287.00,119.00,NA,NA,NA,NA,NA,NA,Cowboys,dal,wikipedia.org/wiki/Dallas_Cowboys,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/200px-Dallas_Cowboys.svg.png,4.56,15.55,333.00,0.36,0.06,NFL
2011,Washington Redskins,2.00,1555.00,0.00,0.26,352.00,286.40,65.60,NA,NA,NA,NA,NA,NA,Redskins,was,wikipedia.org/wiki/Washington_Redskins,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/200px-Washington_Redskins_logo.svg.png,4.42,23.70,404.30,0.16,0.04,NFL
2011,New England Patriots,3.00,1400.00,0.02,0.19,333.00,290.10,42.90,NA,NA,NA,NA,NA,NA,Patriots,new,wikipedia.org/wiki/New_England_Patriots,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png,4.20,32.63,266.00,0.16,0.03,NFL
2011,New York Giants,4.00,1300.00,0.10,0.50,293.00,252.40,40.60,NA,NA,NA,NA,NA,NA,Giants,nyg,wikipedia.org/wiki/New_York_Giants,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/200px-New_York_Giants_logo.svg.png,4.44,32.02,650.00,0.06,0.03,NFL
2011,New York Jets,5.00,1223.00,0.07,0.61,285.00,259.90,25.10,NA,NA,NA,NA,NA,NA,Jets,nyj,wikipedia.org/wiki/New_York_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png,4.29,48.73,746.03,0.03,0.02,NFL
2011,Houston Texans,6.00,1202.00,0.03,0.17,283.00,242.00,41.00,NA,NA,NA,NA,NA,NA,Texans,htx,wikipedia.org/wiki/Houston_Texans,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png,4.25,29.32,204.34,0.20,0.03,NFL
2011,Philadelphia Eagles,7.00,1164.00,0.04,0.09,274.00,245.10,28.90,NA,NA,NA,NA,NA,NA,Eagles,phi,wikipedia.org/wiki/Philadelphia_Eagles,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/200px-Philadelphia_Eagles_primary_logo.svg.png,4.25,40.28,104.76,0.28,0.02,NFL
2011,Chicago Bears,8.00,1093.00,0.02,0.11,266.00,222.60,43.40,NA,NA,NA,NA,NA,NA,Bears,chi,wikipedia.org/wiki/Chicago_Bears,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/200px-Chicago_Bears_logo.svg.png,4.11,25.18,120.23,0.36,0.04,NFL
2011,Green Bay Packers,9.00,1089.00,0.07,0.02,259.00,247.00,12.00,NA,NA,NA,NA,NA,NA,Packers,gnb,wikipedia.org/wiki/Green_Bay_Packers,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,4.20,90.75,21.78,0.55,0.01,NFL
2011,Baltimore Ravens,10.00,1088.00,0.01,0.25,262.00,237.10,24.90,NA,NA,NA,NA,NA,NA,Ravens,rav,wikipedia.org/wiki/Baltimore_Ravens,http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,4.15,43.69,272.00,0.09,0.02,NFL
2011,Indianapolis Colts,11.00,1057.00,0.02,0.04,252.00,219.20,32.80,NA,NA,NA,NA,NA,NA,Colts,clt,wikipedia.org/wiki/Indianapolis_Colts,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png,4.19,32.23,42.28,0.78,0.03,NFL
2011,Denver Broncos,12.00,1046.00,0.00,0.14,255.00,226.50,28.50,NA,NA,NA,NA,NA,NA,Broncos,den,wikipedia.org/wiki/Denver_Broncos,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/200px-Denver_Broncos_logo.svg.png,4.10,36.70,146.44,0.19,0.03,NFL
