CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2007,Adrian Peterson,University of Oklahoma,RB,NA,6.1666642,217,4.4,NA,38.5,127,4.4,7.09,NA,Division I,Big 12,Oklahoma
2011,Adrian Taylor,University of Oklahoma,DT,NA,6.3333308,311,4.96,34,NA,NA,NA,NA,NA,Division I,Big 12,Oklahoma
2010,Adrian Tracy,William & Mary College,OLB,NA,6.2499975,248,4.76,20,35.5,110,4.34,7.08,NA,Division I-AA,Colonial,William & Mary
2001,Adrian Wilson,North Carolina State University,SS,NA,6.2499975,213,4.53,21,39.5,120,NA,NA,NA,Division I,Atlantic Coast,North Carolina State
2004,Adrien Clarke,Ohio State University,OG,NA,6.4166641,329,5.52,NA,26,102,4.79,7.93,NA,Division I,Big Ten,Ohio State
2003,Ahmaad Galloway,University of Alabama,RB,NA,6.0833309,223,4.65,22,NA,NA,NA,NA,NA,Division I,Southeastern,Alabama
2011,Ahmad Black,University of Florida,SS,NA,5.833331,184,4.7,18,35.5,119,4.2,6.85,NA,Division I,Southeastern,Florida
2007,Ahmad Bradshaw,Marshall University,RB,NA,5.833331,198,4.55,NA,34,112,4.09,6.7,NA,Division I,Conference USA,Marshall
2004,Ahmad Carroll,University of Arkansas,CB,NA,5.833331,195,4.34,15,41,128,NA,NA,NA,Division I,Southeastern,Arkansas
2004,Ahmad Childress,University of Alabama,DT,NA,6.4999974,351,5.28,NA,22,86,4.94,8.75,NA,Division I,Southeastern,Alabama
2008,Ahtyba Rubin,Iowa State University,DT,NA,6.2499975,315,5.2,35,28,106,5,8.05,NA,Division I,Big 12,Iowa State
2005,Airese Currie,Clemson University,WR,NA,5.9166643,186,4.49,NA,38,125,4.07,7.07,NA,Division I,Atlantic Coast,Clemson
2001,AJ Feeley,University of Oregon,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Division I,Pacific-12,Oregon
2011,Akeem Ayers,"University of California, Los Angeles",OLB,NA,6.2499975,254,4.81,18,31,116,4.28,7.49,NA,Division I,Pacific-12,UCLA
2011,Akeem Dent,University of Georgia,ILB,NA,6.0833309,242,4.78,24,37.5,NA,NA,NA,NA,Division I,Southeastern,Georgia
2013,Akeem Spence,University of Illinois,DT,66,6.0833309,307,5.15,37,30,107,4.72,7.82,NA,Division I,Big Ten,Illinois
2012,Akiem Hicks,University of Regina,DT,NA,6.4166641,318,5.23,26,31,108,4.86,7.75,NA,Canada,Southeastern Universities Research Association,Regina
1999,Akili Smith,University of Oregon,QB,NA,6.2499975,227,4.66,NA,34,114,4.29,6.99,26,Division I,Pacific-12,Oregon
2002,Akin Ayodele,Purdue University,OLB,NA,6.1666642,257,4.81,26,35,121,4.12,7,NA,Division I,Big Ten,Purdue
2010,Akwasi Owusu-Ansah,Indiana University of Pennsylvania,CB,NA,6.0833309,207,4.32,NA,35.5,120,4.32,6.84,NA,Division II,Pennsylvania State Athletic Conference,Indiana University of Pennsylvania
2000,Al Jackson,Louisiana State University,OG,NA,6.2499975,304,5.2,19,NA,NA,NA,NA,NA,Division I,Southeastern,Louisiana State University
2000,Al Lucas,Troy University,DT,NA,6.0833309,294,5,28,36,108,4.56,7.44,NA,Division I,Sun Belt,Troy
1999,Al Wilson,University of Tennessee,ILB,NA,6.0833309,239,4.56,17,33,116,4.25,7.31,NA,Division I,Southeastern,Tennessee
2010,Al Woods,Louisiana State University,DT,NA,6.3333308,309,5.15,NA,37,109,4.67,7.45,NA,Division I,Southeastern,Louisiana State University
2012,Alameda Ta'amu,University of Washington,DT,NA,6.1666642,248,5.37,35,26,103,NA,NA,NA,Division I,Pacific-12,University of Washington
2013,Alan Bonner,Jacksonville State University,WR,50,5.833331,193,4.59,14,33,117,4.15,NA,NA,Division I-AA,Ohio Valley,Jacksonville State
2007,Alan Branch,University of Michigan,DT,NA,6.4999974,324,5.07,33,27.5,107,NA,NA,NA,Division I,Big Ten,Michigan
2002,Alan Harper,"California State University, Fresno",DT,NA,6.1666642,295,5.27,NA,30.5,104,4.64,NA,NA,Division I,Mountain West,Fresno State
2004,Alan Reuber,Texas A&M University,OG,NA,6.4999974,314,5.49,26,29,98,5,7.96,NA,Division I,Southeastern,Texas A&M
2010,Albert McClellan,Marshall University,ILB,NA,6.0833309,247,4.75,26,36.5,119,4.21,7.24,NA,Division I,Conference USA,Marshall
2005,Albert Means,University of Memphis,DT,NA,6.3333308,318,5.4,26,27,96,4.91,8.21,NA,Division I,Conference USA,Memphis
2001,Albert Traylor,Northwestern State University,OG,NA,6.2499975,307,5.42,20,27,NA,NA,8.34,NA,Division I-AA,Southland,Northwestern State
1999,Albrey Battle,Arizona State University,DT,NA,6.2499975,294,5.38,23,29,101,4.66,8.15,NA,Division I,Pacific-12,Arizona State
2011,Aldon Smith,University of Missouri,DE,NA,6.3333308,263,4.74,20,34,118,4.5,7.19,NA,Division I,Southeastern,Missouri
2011,Aldrick Robinson,Southern Methodist University,WR,NA,5.833331,184,4.35,17,40,NA,4.09,6.65,NA,Division I,Big East,Southern Methodist
2013,Alec Lemon,Syracuse University,WR,54,6.0833309,202,4.59,7,32,112,4.29,7.04,NA,Division I,Atlantic Coast,Syracuse
2013,Alec Ogeltree,University of Georgia,ILB,84,6.17,242,4.7,20,33.5,122,4.39,7.16,NA,Division I,Southeastern,Georgia
2001,Alex Bannister,Eastern Mountain Coal Fields,WR,NA,6.4166641,201,4.47,NA,30.5,110,NA,NA,NA,Division I-AA,Ohio Valley,Eastern Kentucky
