Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
100,4,Akeem Spence,DT,Tampa Bay Buccaneers,Tampa Bay Buccaneers,University of Illinois at Urbana-Champaign,Big Ten Conference,Division I,Communication,Communications,2013,66,6.08,307,5.15,37,30,107,4.72,7.82,NA,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,http://live.dbpedia.org/data/University_of_Illinois_at_Urbana-Champaign.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Akeem_Spence,live.dbpedia.org/data/Akeem_Spence.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
101,4,Ace Sanders,WR,Jacksonville Jaguars,Jacksonville Jaguars,University of South Carolina,Southeastern Conference,Division I,Broadcast Journalism,"Broadcasting, Journalism & Media",2013,68,5.58,173,4.58,7,32,117,4.37,6.81,NA,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Ace_Sanders,live.dbpedia.org/data/Ace_Sanders.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
102,4,Josh Boyce,WR,New England Patriots,New England Patriots,Texas Christian University,Big 12 Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,72.2,5.92,206,4.38,22,34,131,4.1,6.68,NA,http://live.dbpedia.org/resource/Texas_Christian_University,http://live.dbpedia.org/data/Texas_Christian_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Josh_Boyce,live.dbpedia.org/data/Josh_Boyce.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
103,4,Alex Okafor,DE,Arizona Cardinals,Arizona Cardinals,University of Texas at Austin,Big 12 Conference,Division I,Corporate Communication,Communications,2013,85.2,6.42,264,4.78,21,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Texas_at_Austin,http://live.dbpedia.org/data/University_of_Texas_at_Austin.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Alex_Okafor,live.dbpedia.org/data/Alex_Okafor.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
104,4,Jelani Jenkins,OLB,Miami Dolphins,Miami Dolphins,University of Florida,Southeastern Conference,Division I,Social and Behavioral Sciences,Sociology,2013,65,6,243,4.54,27,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Jelani_Jenkins,live.dbpedia.org/data/Jelani_Jenkins.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
105,4,Duke Williams,FS,Buffalo Bills,Buffalo Bills,"University of Nevada, Reno",Mountain West Conference,Division I,Criminal Justice,Criminal Justice,2013,67.7,6,190,4.52,13,37.5,126,4,NA,NA,"http://live.dbpedia.org/resource/University_of_Nevada,_Reno","http://live.dbpedia.org/data/University_of_Nevada,_Reno.json",Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Duke_Williams_(American_football),live.dbpedia.org/data/Duke_Williams_(American_football).json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
106,4,Dion Sims,TE,Miami Dolphins,Miami Dolphins,Michigan State University,Big Ten Conference,Division I,Sociology,Sociology,2013,67,6.42,262,4.75,22,35,112,4.52,7.36,NA,http://live.dbpedia.org/resource/Michigan_State_University,http://live.dbpedia.org/data/Michigan_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Dion_Sims,live.dbpedia.org/data/Dion_Sims.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
107,4,Brian Schwenke,C,Tennessee Titans,Tennessee Titans,"University of California, Berkeley",Pacific-12 Conference,Division I,Political Science,Political Science,2013,71,6.25,314,4.99,31,26.5,108,4.74,7.31,NA,http://live.dbpedia.org/resource/University_of_California%2C_Berkeley,http://live.dbpedia.org/data/University_of_California%2C_Berkeley.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Brian_Schwenke,live.dbpedia.org/data/Brian_Schwenke.json,live.dbpedia.org/resource/Center_(American_football),live.dbpedia.org/data/Center_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
108,4,Edmond Kugbila,OG,Carolina Panthers,Carolina Panthers,Valdosta State University,Gulf South Conference,Division II,Undisclosed,Undeclared/Undisclosed,2013,52,6.33,317,5.31,23,22.2,105,4.65,7.72,NA,http://live.dbpedia.org/resource/Valdosta_State_University,http://live.dbpedia.org/data/Valdosta_State_University.json,Gulf South Conference,http://live.dbpedia.org/resource/Gulf_South_Conference,http://live.dbpedia.org/data/Gulf_South_Conference.json,live.dbpedia.org/resource/Edmund_Kugbila,live.dbpedia.org/data/Edmund_Kugbila.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
109,4,David Bakhtiari,OT,Green Bay Packers,Green Bay Packers,University of Colorado at Boulder,Big 12 Conference,Division I,Communication,Communications,2013,70.5,6.33,299,5.18,28,25.5,101,4.74,7.7,NA,http://live.dbpedia.org/resource/University_of_Colorado_at_Boulder,http://live.dbpedia.org/data/University_of_Colorado_at_Boulder.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/David_Bakhtiari,live.dbpedia.org/data/David_Bakhtiari.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
110,4,Ryan Nassib,QB,New York Giants,New York Giants,Syracuse University,Atlantic Coast Conference,Division I,Accounting,Accounting,2013,78.7,6.17,227,5.06,NA,28.5,105,4.53,7.34,NA,http://live.dbpedia.org/resource/Syracuse_University,http://live.dbpedia.org/data/Syracuse_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Ryan_Nassib,live.dbpedia.org/data/Ryan_Nassib.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
111,4,Shamarko Thomas,SS,Pittsburgh Steelers,Pittsburgh Steelers,Syracuse University,Atlantic Coast Conference,Division I,Child and Family Studies,"Child, Family and Community Studies/Development",2013,69.6,5.75,213,4.42,28,40.5,133,4.26,NA,NA,http://live.dbpedia.org/resource/Syracuse_University,http://live.dbpedia.org/data/Syracuse_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Shamarko_Thomas,live.dbpedia.org/data/Shamarko_Thomas.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
112,4,Tyler Wilson,QB,Oakland Raiders,Oakland Raiders,"University of Arkansas, Little Rock",Southeastern Conference,Division I,Sport Management,"Leisure, Sport, Recreation Studies and Management",2013,83.5,6.17,215,4.95,NA,28.5,112,4.39,7.22,NA,http://live.dbpedia.org/resource/University_of_Arkansas,http://live.dbpedia.org/data/University_of_Arkansas.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Tyler_Wilson_(American_football),live.dbpedia.org/data/Tyler_Wilson_(American_football).json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
113,4,Barrett Jones,OG,St. Louis Rams,St. Louis Rams,University of Alabama,Southeastern Conference,Division I,Accounting,Accounting,2013,85.1,6.33,306,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Barrett_Jones,live.dbpedia.org/data/Barrett_Jones.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
114,4,B.W. Webb,CB,Dallas Cowboys,Dallas Cowboys,College of William & Mary,Colonial Athletic Association,Division I-AA,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",2013,74,5.83,184,4.51,14,40.5,132,3.84,6.82,NA,http://live.dbpedia.org/resource/College_of_William_%26_Mary,http://live.dbpedia.org/data/College_of_William_%26_Mary.json,Colonial Athletic Association,http://live.dbpedia.org/resource/Colonial_Athletic_Association,http://live.dbpedia.org/data/Colonial_Athletic_Association.json,live.dbpedia.org/resource/B._W._Webb,live.dbpedia.org/data/B._W._Webb.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
115,4,Landry Jones,QB,Pittsburgh Steelers,Pittsburgh Steelers,University of Oklahoma,Big 12 Conference,Division I,Multidisciplinary Studies,General Studies,2013,67.2,6.33,225,5.11,NA,31,115,4.3,7.12,NA,http://live.dbpedia.org/resource/University_of_Oklahoma,http://live.dbpedia.org/data/University_of_Oklahoma.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Landry_Jones,live.dbpedia.org/data/Landry_Jones.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
116,4,Earl Watford,OG,Arizona Cardinals,Arizona Cardinals,James Madison University,Colonial Athletic Association,Division I-AA,Communication Sciences and Disorders,Speech Communication,2013,68.1,6.25,300,5.06,24,30,107,5,7.77,NA,http://live.dbpedia.org/resource/James_Madison_University,http://live.dbpedia.org/data/James_Madison_University.json,Colonial Athletic Association,http://live.dbpedia.org/resource/Colonial_Athletic_Association,http://live.dbpedia.org/data/Colonial_Athletic_Association.json,live.dbpedia.org/resource/Earl_Watford,live.dbpedia.org/data/Earl_Watford.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
117,4,Khaseem Greene,OLB,Chicago Bears,Chicago Bears,Rutgers University,Big East Conference,Division I,Labor Studies,Labor Studies,2013,78.8,6.08,241,4.71,17,30,116,4.2,7.58,NA,http://live.dbpedia.org/resource/Rutgers_University,http://live.dbpedia.org/data/Rutgers_University.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/Khaseem_Greene,live.dbpedia.org/data/Khaseem_Greene.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
118,4,Sean Porter,OLB,Cincinnati Bengals,Cincinnati Bengals,Texas A&M University,Southeastern Conference,Division I,"Recreation, Parks and Tourism Sciences","Leisure, Sport, Recreation Studies and Management",2013,79.8,6.08,229,4.75,22,35,119,NA,NA,NA,http://live.dbpedia.org/resource/Texas_A&M_University,http://live.dbpedia.org/data/Texas_A&M_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Sean_Porter,live.dbpedia.org/data/Sean_Porter.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
119,4,Phillip Thomas,SS,Washington Redskins,Washington Redskins,Fresno State University,Mountain West Conference,Division I,Criminology,Criminal Justice,2013,74.1,6,208,4.65,14,35,122,NA,NA,NA,http://live.dbpedia.org/resource/Fresno_State_University,http://live.dbpedia.org/data/Fresno_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Phillip_Thomas,live.dbpedia.org/data/Phillip_Thomas.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
120,4,Gerald Hodges,OLB,Minnesota Vikings,Minnesota Vikings,Pennsylvania State University,Big Ten Conference,Division I,Rehabilitation Services,"Physical Therapy, Sports Science, Kinesiology",2013,72.4,6.08,243,4.78,22,NA,119,NA,NA,NA,http://live.dbpedia.org/resource/Pennsylvania_State_University,http://live.dbpedia.org/data/Pennsylvania_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Gerald_Hodges,live.dbpedia.org/data/Gerald_Hodges.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
121,4,Khaled Holmes,C,Indianapolis Colts,Indianapolis Colts,University of Southern California,Pacific-12 Conference,Division I,Communication,Communications,2013,71,6.25,302,NA,13,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Southern_California,http://live.dbpedia.org/data/University_of_Southern_California.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Khaled_Holmes,live.dbpedia.org/data/Khaled_Holmes.json,live.dbpedia.org/resource/Center_(American_football),live.dbpedia.org/data/Center_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
122,4,J.C. Tretter,OT,Green Bay Packers,Green Bay Packers,Cornell University,Ivy League,Division I-AA,Labor Studies,Labor Studies,2013,64,6.33,307,5.09,29,29.5,109,4.69,7.48,NA,http://live.dbpedia.org/resource/Cornell_University,http://live.dbpedia.org/data/Cornell_University.json,Ivy League,http://live.dbpedia.org/resource/Ivy_League,http://live.dbpedia.org/data/Ivy_League.json,live.dbpedia.org/resource/J._C._Tretter,live.dbpedia.org/data/J._C._Tretter.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
123,4,Chris Harper,WR,Seattle Seahawks,Seattle Seahawks,Kansas State University,Big 12 Conference,Division I,Communications,Communications,2013,68,6.08,229,4.55,20,35.5,116,4.39,6.89,NA,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Chris_Harper_(American_football),live.dbpedia.org/data/Chris_Harper_(American_football).json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
124,4,Trevardo Williams,DE,Houston Texans,Houston Texans,University of Connecticut,Big East Conference,Division I,Exploratory Studies,General Studies,2013,66.1,6.08,241,4.57,30,38,124,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Connecticut,http://live.dbpedia.org/data/University_of_Connecticut.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/Trevardo_Williams,live.dbpedia.org/data/Trevardo_Williams.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
125,4,Johnathan Franklin,RB,Green Bay Packers,Green Bay Packers,"University of California, Los Angeles",Pacific-12 Conference,Division I,Political Science,Political Science,2013,72.3,5.83,205,4.49,18,31.5,115,4.31,6.89,NA,"http://live.dbpedia.org/resource/University_of_California,_Los_Angeles","http://live.dbpedia.org/data/University_of_California,_Los_Angeles.json",Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Johnathan_Franklin,live.dbpedia.org/data/Johnathan_Franklin.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
126,4,William Gholston,DE,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Michigan State University,Big Ten Conference,Division I,Human Development and Family Studies,"Child, Family and Community Studies/Development",2013,74.1,6.5,281,4.96,23,28.5,110,4.59,7.2,NA,http://live.dbpedia.org/resource/Michigan_State_University,http://live.dbpedia.org/data/Michigan_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/William_Gholston,live.dbpedia.org/data/William_Gholston.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
127,4,Malliciah Goodman,DE,Atlanta Falcons,Atlanta Falcons,Clemson University,Atlantic Coast Conference,Division I,Sociology,Sociology,2013,67.7,6.33,276,4.87,26,31.5,114,NA,NA,NA,http://live.dbpedia.org/resource/Clemson_University,http://live.dbpedia.org/data/Clemson_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Malliciah_Goodman,live.dbpedia.org/data/Malliciah_Goodman.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
128,4,Quinton Patton,WR,San Francisco 49ers,San Francisco 49ers,Louisiana Tech University,Western Athletic Conference football,Division I,Undisclosed,Undeclared/Undisclosed,2013,83.8,6,204,4.53,8,33,118,4.01,6.91,NA,http://live.dbpedia.org/resource/Louisiana_Tech_University,http://live.dbpedia.org/data/Louisiana_Tech_University.json,Western Athletic Conference football,http://live.dbpedia.org/resource/Western_Athletic_Conference_football,http://live.dbpedia.org/data/Western_Athletic_Conference_football.json,live.dbpedia.org/resource/Quinton_Patton,live.dbpedia.org/data/Quinton_Patton.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
129,4,John Simon,DE,Baltimore Ravens,Baltimore Ravens,Ohio State University,Big Ten Conference,Division I,Sport Studies,"Leisure, Sport, Recreation Studies and Management",2013,70.5,6.08,257,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Ohio_State_University,http://live.dbpedia.org/data/Ohio_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/John_Simon_(defensive_lineman),live.dbpedia.org/data/John_Simon_(defensive_lineman).json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
130,4,Kyle Juszczyk,FB,Baltimore Ravens,Baltimore Ravens,Harvard University,Ivy League,Division I-AA,Economics,Economics,2013,NA,6.08,248,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Harvard_University,http://live.dbpedia.org/data/Harvard_University.json,Ivy League,http://live.dbpedia.org/resource/Ivy_League,http://live.dbpedia.org/data/Ivy_League.json,live.dbpedia.org/resource/Kyle_Juszczyk,live.dbpedia.org/data/Kyle_Juszczyk.json,live.dbpedia.org/resource/Fullback_(gridiron_football),live.dbpedia.org/data/Fullback_(gridiron_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
131,4,Marcus Lattimore,RB,San Francisco 49ers,San Francisco 49ers,University of South Carolina,Southeastern Conference,Division I,Public Health,Public Policy,2013,74.9,5.92,221,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Marcus_Lattimore,live.dbpedia.org/data/Marcus_Lattimore.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
132,4,Devin Taylor,DE,Detroit Lions,Detroit Lions,University of South Carolina,Southeastern Conference,Division I,Integrated Information Technology,Science and Technology,2013,62.9,6.58,266,4.72,14,35,128,4.3,6.89,NA,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Devin_Taylor,live.dbpedia.org/data/Devin_Taylor.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
133,4,Levine Toilolo,TE,Atlanta Falcons,Atlanta Falcons,Stanford University,Pacific-12 Conference,Division I,"Science, Technology and Society",Science and Technology,2013,66,6.67,260,4.86,17,31,113,4.57,7.09,NA,http://live.dbpedia.org/resource/Stanford_University,http://live.dbpedia.org/data/Stanford_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Levine_Toilolo,live.dbpedia.org/data/Levine_Toilolo.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
134,5,Sanders Commings,CB,Kansas City Chiefs,Kansas City Chiefs,University of Georgia,Southeastern Conference,Division I,Communication Studies,Communications,2013,68.6,6,216,4.41,NA,34.5,117,4.3,7.1,NA,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Sanders_Commings,live.dbpedia.org/data/Sanders_Commings.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
135,5,Denard Robinson,WR,Jacksonville Jaguars,Jacksonville Jaguars,University of Michigan,Big Ten Conference,Division I,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",2013,70.3,5.83,199,4.43,NA,36.5,123,4.22,7.09,NA,http://live.dbpedia.org/resource/University_of_Michigan,http://live.dbpedia.org/data/University_of_Michigan.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Denard_Robinson,live.dbpedia.org/data/Denard_Robinson.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
136,5,Earl Wolff,SS,Philadelphia Eagles,Philadelphia Eagles,North Carolina State University,Atlantic Coast Conference,Division I,Sport Management,"Leisure, Sport, Recreation Studies and Management",2013,63.4,5.92,209,4.44,NA,39,134,4.07,NA,NA,http://live.dbpedia.org/resource/North_Carolina_State_University,http://live.dbpedia.org/data/North_Carolina_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Earl_Wolff,live.dbpedia.org/data/Earl_Wolff.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
