Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
11,1,D.J. Fluker,OT,San Diego Chargers,San Diego Chargers,University of Alabama,Southeastern Conference,Division I,Health Studies,"Physical Therapy, Sports Science, Kinesiology",2013,85.5,6.42,339,5.31,21,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/D._J._Fluker,live.dbpedia.org/data/D._J._Fluker.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
12,1,D.J. Hayden,CB,Oakland Raiders,Oakland Raiders,University of Houston,Big East Conference,Division I,Sociology,Sociology,2013,66.6,5.92,191,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Houston,http://live.dbpedia.org/data/University_of_Houston.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/D._J._Hayden,live.dbpedia.org/data/D._J._Hayden.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
13,1,Sheldon Richardson,DT,New York Jets,New York Jets,University of Missouri,Southeastern Conference,Division I,Agriculture,Agriculture,2013,90.7,6.17,294,5.02,30,32,116,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Missouri,http://live.dbpedia.org/data/University_of_Missouri.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Sheldon_Richardson,live.dbpedia.org/data/Sheldon_Richardson.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
14,1,Star Lotulelei,DT,Carolina Panthers,Carolina Panthers,University of Utah,Pacific-12 Conference,Division I,Sociology,Sociology,2013,92,6.17,311,5.14,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Utah,http://live.dbpedia.org/data/University_of_Utah.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Star_Lotulelei,live.dbpedia.org/data/Star_Lotulelei.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
15,1,Kenny Vaccaro,SS,New Orleans Saints,New Orleans Saints,University of Texas at Austin,Big 12 Conference,Division I,Physical Culture and Sports,"Leisure, Sport, Recreation Studies and Management",2013,87.7,6,214,4.63,15,38,121,4.06,6.78,NA,http://live.dbpedia.org/resource/University_of_Texas_at_Austin,http://live.dbpedia.org/data/University_of_Texas_at_Austin.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Kenny_Vaccaro,live.dbpedia.org/data/Kenny_Vaccaro.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
16,1,EJ Manuel,QB,Buffalo Bills,Buffalo Bills,Florida State University,Atlantic Coast Conference,Division I,Communications,Communications,2013,68.7,6.42,237,4.65,NA,34,118,4.21,7.08,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/E._J._Manuel,live.dbpedia.org/data/E._J._Manuel.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
17,1,Jarvis Jones,OLB,Pittsburgh Steelers,Pittsburgh Steelers,University of Georgia,Southeastern Conference,Division I,Child and Family Development,"Child, Family and Community Studies/Development",2013,88.8,6.17,241,4.74,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Jarvis_Jones,live.dbpedia.org/data/Jarvis_Jones.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
18,1,Eric Reid,FS,San Francisco 49ers,San Francisco 49ers,Louisiana State University,Southeastern Conference,Division I,Business Administration,"Business Administration, Management",2013,87.5,6.08,213,4.53,17,40.5,134,4.22,6.99,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Eric_Reid_(American_football),live.dbpedia.org/data/Eric_Reid_(American_football).json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
19,1,Justin Pugh,OT,New York Giants,New York Giants,Syracuse University,Atlantic Coast Conference,Division I,Finance,Finance,2013,73,6.33,307,5.14,NA,28.5,103,4.63,7.45,NA,http://live.dbpedia.org/resource/Syracuse_University,http://live.dbpedia.org/data/Syracuse_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Justin_Pugh,live.dbpedia.org/data/Justin_Pugh.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
20,1,Kyle Long,OG,Chicago Bears,Chicago Bears,University of Oregon,Pacific-12 Conference,Division I,Sociology,Sociology,2013,77,6.5,313,4.94,NA,28,107,4.63,7.83,NA,http://live.dbpedia.org/resource/University_of_Oregon,http://live.dbpedia.org/data/University_of_Oregon.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Kyle_Long,live.dbpedia.org/data/Kyle_Long.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
