Player,DBPediaCollege_Name,Position,FormalStatedMajor,CollegeMajor,DBPediaURI_Player,DBPediaData_Player,DBPediaURI_College,DBPediaData_College,Conference,DBPediaURI_Conference,DBPediaData_Conference,Division,DraftYear,idPlayer,DraftYear.y,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_DraftYear,DBPediaData_DraftYear
Barkevious Mingo,Louisiana State University,DE,Sport Administration,"Leisure, Sport, Recreation Studies and Management",http://live.dbpedia.org/resource/Barkevious_Mingo,http://live.dbpedia.org/data/Barkevious_Mingo.json,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24985,2013,92.8,6.33,241,4.58,NA,37,128,4.39,6.84,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Barrett Jones,University of Alabama,OG,Accounting,Accounting,http://live.dbpedia.org/resource/Barrett_Jones,http://live.dbpedia.org/data/Barrett_Jones.json,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24986,2013,85.1,6.33,306,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Bennie Logan,Louisiana State University,DT,General Studies,General Studies,http://live.dbpedia.org/resource/Bennie_Logan,http://live.dbpedia.org/data/Bennie_Logan.json,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24987,2013,78.8,6.17,309,5.08,30,25,104,4.67,7.53,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Bjoern Werner,Florida State University,DE,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Bjoern_Werner,http://live.dbpedia.org/data/Bjoern_Werner.json,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,24988,2013,90.9,6.25,266,4.83,25,31,111,4.4,7.3,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Blidi Wreh-Wilson,University of Connecticut,CB,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Blidi_Wreh-Wilson,http://live.dbpedia.org/data/Blidi_Wreh-Wilson.json,http://live.dbpedia.org/resource/University_of_Connecticut,http://live.dbpedia.org/data/University_of_Connecticut.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,Division I,2013,24989,2013,77.2,6.08,195,4.53,14,36,128,4.12,6.97,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Bobby Cowan,University of Idaho,P,Business,"Business Administration, Management",http://live.dbpedia.org/resource/Bobby_Cowan,http://live.dbpedia.org/data/Bobby_Cowan.json,http://live.dbpedia.org/resource/University_of_Idaho,http://live.dbpedia.org/data/University_of_Idaho.json,Western Athletic Conference football,http://live.dbpedia.org/resource/Western_Athletic_Conference_football,http://live.dbpedia.org/data/Western_Athletic_Conference_football.json,Division I,2013,24990,2013,NA,6.33,219,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brad Sorensen,Southern Utah University,QB,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Brad_Sorensen,http://live.dbpedia.org/data/Brad_Sorensen.json,http://live.dbpedia.org/resource/Southern_Utah_University,http://live.dbpedia.org/data/Southern_Utah_University.json,Big Sky Conference,http://live.dbpedia.org/resource/Big_Sky_Conference,http://live.dbpedia.org/data/Big_Sky_Conference.json,Division I-AA,2013,24991,2013,54.9,6.33,229,4.97,NA,29,112,4.55,7.17,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Brad Wing,Louisiana State University,P,Sport Administration,"Leisure, Sport, Recreation Studies and Management",http://live.dbpedia.org/resource/Brad_Wing,http://live.dbpedia.org/data/Brad_Wing.json,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24992,2013,NA,6.17,205,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Braden Brown,Brigham Young University,OT,Exercise and Wellness,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/Braden_Brown,http://live.dbpedia.org/data/Braden_Brown.json,http://live.dbpedia.org/resource/Brigham_Young_University,http://live.dbpedia.org/data/Brigham_Young_University.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,Division I,2013,24993,2013,51,6.42,310,5.2,26,28,100,4.7,7.43,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Braden Wilson,Kansas State University,FB,Social Sciences,Sociology,http://live.dbpedia.org/resource/Braden_Wilson,http://live.dbpedia.org/data/Braden_Wilson.json,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24994,2013,59,6.25,251,4.81,22,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
