School_Label,ID_Race,CBB,CAB,A,BD,MA,DR,DPP,DO,Year
Louisiana State,PI,0,0,0,0,0,0,0,0,2010-2011
Louisiana State,AS,0,1,0,167,20,6,6,0,2010-2011
Louisiana State,AA,0,11,0,376,90,14,8,0,2010-2011
Louisiana State,H,0,0,0,148,28,3,15,0,2010-2011
Louisiana State,C,0,9,0,3564,711,123,194,0,2010-2011
Louisiana State,O,0,0,0,74,196,98,1,0,2010-2011
Louisiana State,UN,0,0,0,81,47,10,21,0,2010-2011
Louisiana State,MI,0,0,0,15,6,1,0,0,2010-2011
Northern Illinois,AS,0,2,0,214,65,2,6,0,2010-2011
Northern Illinois,AA,0,0,0,341,62,9,2,0,2010-2011
Northern Illinois,H,0,2,0,275,136,5,5,0,2010-2011
Northern Illinois,PI,0,0,0,5,1,0,0,0,2010-2011
Northern Illinois,O,0,5,0,37,237,23,0,0,2010-2011
Northern Illinois,IND,0,0,0,7,2,1,0,0,2010-2011
Northern Illinois,UN,0,2,0,220,47,0,8,0,2010-2011
Northern Illinois,MI,0,0,0,24,7,0,0,0,2010-2011
Northern Illinois,C,0,38,0,2798,1025,61,73,0,2010-2011
Northwestern,IND,0,0,0,5,4,3,2,0,2010-2011
Northwestern,UN,17,76,0,129,605,23,69,0,2010-2011
Northwestern,MI,5,0,0,42,15,3,3,0,2010-2011
Northwestern,C,98,9,0,1176,1316,171,288,0,2010-2011
Northwestern,PI,1,0,0,1,0,0,0,0,2010-2011
Northwestern,AS,37,1,0,411,320,27,91,0,2010-2011
Northwestern,AA,3,2,0,101,135,20,32,0,2010-2011
Northwestern,H,8,4,0,147,99,14,37,0,2010-2011
Northwestern,O,29,31,0,123,705,121,23,0,2010-2011
Notre Dame,IND,0,0,0,12,4,1,2,0,2010-2011
Notre Dame,AS,0,0,0,113,38,6,9,0,2010-2011
Notre Dame,AA,0,0,0,76,22,4,8,0,2010-2011
Notre Dame,H,0,0,0,204,52,3,15,0,2010-2011
Notre Dame,PI,0,0,0,0,0,0,0,0,2010-2011
Notre Dame,O,0,0,0,53,142,44,2,0,2010-2011
Notre Dame,UN,0,0,0,13,54,21,12,0,2010-2011
Notre Dame,MI,0,0,0,46,10,0,6,0,2010-2011
Notre Dame,C,0,0,0,1561,629,80,135,0,2010-2011
Ohio State,AS,0,1,0,547,93,24,82,0,2010-2011
Ohio State,AA,0,0,0,583,127,36,42,0,2010-2011
Ohio State,H,0,0,0,265,53,21,26,0,2010-2011
Ohio State,PI,0,0,0,0,1,0,0,0,2010-2011
Ohio State,IND,0,0,0,32,5,0,2,0,2010-2011
Ohio State,C,0,4,1,8217,1825,362,655,0,2010-2011
Ohio State,O,0,0,0,394,491,298,10,0,2010-2011
Ohio State,UN,0,0,0,187,155,37,54,0,2010-2011
Ohio State,MI,0,0,0,66,28,4,5,0,2010-2011
Oregon State,O,0,1,0,55,88,57,3,0,2010-2011
Oregon State,UN,0,23,0,342,77,6,3,0,2010-2011
Oregon State,MI,0,2,0,23,8,0,0,0,2010-2011
Oregon State,C,0,174,0,2560,499,101,97,0,2010-2011
Oregon State,H,0,11,0,140,24,1,1,0,2010-2011
Oregon State,IND,0,1,0,45,6,1,0,0,2010-2011
Oregon State,AS,0,4,0,247,32,5,33,0,2010-2011
Oregon State,AA,0,3,0,36,11,3,3,0,2010-2011
Oregon State,PI,0,2,0,30,0,0,1,0,2010-2011
Rutgers,IND,0,0,0,12,3,0,0,0,2010-2011
Rutgers,AS,0,0,0,1362,137,25,119,0,2010-2011
Rutgers,AA,0,0,0,473,155,14,11,0,2010-2011
Rutgers,H,0,0,0,550,127,17,10,0,2010-2011
Rutgers,PI,0,0,0,44,2,0,8,0,2010-2011
