"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"54","1959-60","NBA","Philadelphia Warriors*","49","26",".653","2","2.77","","","Lost Eastern Division Finals","N. Johnston (49-26)"
"55","1958-59","NBA","Philadelphia Warriors","32","40",".444","4","-2.28","","","","A. Cervi (32-40)"
"56","1957-58","NBA","Philadelphia Warriors*","37","35",".514","3","0.21","","","Lost Eastern Division Finals","G. Senesky (37-35)"
"57","1956-57","NBA","Philadelphia Warriors*","37","35",".514","3","1.55","","","Lost Eastern Division Semifinals","G. Senesky (37-35)"
"58","1955-56","NBA","Philadelphia Warriors*","45","27",".625","1","3.82","","","Won Finals","G. Senesky (45-27)"
"59","1954-55","NBA","Philadelphia Warriors","33","39",".458","4","-0.19","","","","E. Gottlieb (33-39)"
"60","1953-54","NBA","Philadelphia Warriors","29","43",".403","4","-1.90","","","","E. Gottlieb (29-43)"
"61","1952-53","NBA","Philadelphia Warriors","12","57",".174","5","-7.75","","","","E. Gottlieb (12-57)"
"62","1951-52","NBA","Philadelphia Warriors*","33","33",".500","4","-1.07","","","Lost Eastern Division Semifinals","E. Gottlieb (33-33)"
"63","1950-51","NBA","Philadelphia Warriors*","40","26",".606","1","3.40","","","Lost Eastern Division Semifinals","E. Gottlieb (40-26)"
"64","1949-50","NBA","Philadelphia Warriors*","26","42",".382","4","-2.26","","","Lost Eastern Division Semifinals","E. Gottlieb (26-42)"
"65","1948-49","BAA","Philadelphia Warriors*","28","32",".467","4","0.22","","","Lost Eastern Division Semifinals","E. Gottlieb (28-32)"
"66","1947-48","BAA","Philadelphia Warriors*","27","21",".563","1","0.69","","","Lost Finals","E. Gottlieb (27-21)"
"67","1946-47","BAA","Philadelphia Warriors*","35","25",".583","2","3.16","","","Won Finals","E. Gottlieb (35-25)"
