,Year,ID_School,Sport,White.Males,White.Females,Black.Males,Black.Females,Hispanic.Males,Hispanic.Females,Other.Males,Other.Females
176,2001-2002,ORE.ST,Basketball,5,6,5,4,1,0,1,3
177,2001-2002,ORE.ST,Football,37,0,38,0,2,0,10,0
178,2001-2002,OSU,Basketball,3,7,8,7,0,0,1,0
179,2001-2002,RUT,Football,34,0,50,0,1,0,2,0
180,2001-2002,SCAR,Basketball,4,1,7,6,0,0,2,5
181,2001-2002,SJ.ST,Football,19,0,36,0,2,0,13,0
182,2001-2002,SMU,Football,50,0,33,0,0,0,2,0
183,2001-2002,STAN,Basketball,5,11,6,3,1,0,0,2
184,2001-2002,TAM,Football,28,0,53,0,1,0,1,0
185,2001-2002,UGA,Basketball,1,3,10,10,0,0,0,0
186,2001-2002,UM,Football,52,0,36,0,0,0,5,0
187,2001-2002,UNC,Basketball,6,4,5,9,1,0,0,0
188,2001-2002,UOFM,Football,15,0,54,0,3,0,5,0
189,2001-2002,USC,Basketball,0,0,3,2,0,0,0,1
190,2001-2002,UT,Football,34,0,53,0,2,0,0,0
191,2001-2002,UTA.ST,Football,39,0,20,0,7,0,8,0
192,2001-2002,VANDY,Basketball,4,8,5,4,0,0,4,2
193,2002-2003,AUB,Football,29,0,63,0,0,0,0,0
194,2002-2003,BAMA,Basketball,0,6,12,9,0,0,1,1
195,2002-2003,BOS.ST,Basketball,1,9,7,2,0,2,4,3
196,2002-2003,CLEM,Football,14,0,69,0,0,0,7,0
197,2002-2003,DUKE,Basketball,3,6,8,6,0,0,0,1
198,2002-2003,DUKE,Football,44,0,35,0,0,0,2,0
199,2002-2003,FLA,Basketball,4,3,8,10,0,0,1,1
200,2002-2003,FSU,Football,15,0,67,0,2,0,5,0
201,2002-2003,GTOWN,Basketball,1,3,11,7,0,0,1,4
202,2002-2003,KAN.ST,Football,36,0,46,0,2,0,9,0
203,2002-2003,LOUIS,Basketball,1,6,11,9,0,0,3,1
204,2002-2003,LSU,Football,27,0,55,0,0,0,2,0
205,2002-2003,ND,Basketball,3,8,7,3,0,0,2,0
206,2002-2003,NEB,Football,59,0,40,0,0,0,4,0
207,2002-2003,NWST,Basketball,0,11,2,3,5,0,7,0
208,2002-2003,OK,Football,23,0,59,0,2,0,2,0
209,2002-2003,OKSTATE,Basketball,1,10,10,8,0,0,2,1
210,2002-2003,ORE,Basketball,7,8,5,4,0,0,1,3
211,2002-2003,OSU,Football,43,0,42,0,0,0,2,0
212,2002-2003,RUT,Basketball,1,2,10,9,0,0,3,2
