"","Year","ID_School","Sport","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"61","1997-1998","UM","Basketball",4,5,6,5,0,1,1,1
"63","1997-1998","UOFM","Basketball",0,3,11,6,0,0,1,2
"65","1997-1998","UT","Basketball",3,8,9,9,0,0,2,0
"66","1997-1998","UTA.ST","Basketball",5,0,8,0,0,0,0,0
"68","1998-1999","AUB","Basketball",2,3,8,11,0,0,1,1
"71","1998-1999","CLEM","Basketball",2,3,8,10,0,0,3,2
"73","1998-1999","FSU","Basketball",1,9,5,5,0,0,0,0
"75","1998-1999","LOUIS","Basketball",4,7,9,5,0,0,0,1
"77","1998-1999","ND","Basketball",8,5,3,6,0,0,1,0
"79","1998-1999","NWST","Basketball",8,10,3,2,0,1,2,0
"81","1998-1999","OK","Basketball",2,4,8,6,0,0,3,5
"84","1998-1999","ORE.ST","Basketball",4,9,2,3,0,0,4,3
"86","1998-1999","OSU","Basketball",0,0,9,5,1,8,2,1
"88","1998-1999","SJ.ST","Basketball",3,4,8,7,0,0,2,3
"89","1998-1999","SMU","Basketball",4,9,8,6,0,0,0,0
"91","1998-1999","TAM","Basketball",3,6,9,8,0,0,1,0
"93","1998-1999","UM","Basketball",3,5,7,8,0,1,0,2
"95","1998-1999","UOFM","Basketball",0,3,7,3,0,0,1,2
"97","1998-1999","UT","Basketball",2,6,8,10,0,0,2,0
"98","1998-1999","UTA.ST","Basketball",7,0,5,0,0,0,1,0
"100","1999-2000","AUB","Basketball",3,1,9,14,0,0,1,1
"103","1999-2000","CLEM","Basketball",4,4,5,11,0,0,4,1
"105","1999-2000","FSU","Basketball",3,7,7,4,0,0,0,0
"107","1999-2000","LOUIS","Basketball",2,11,9,8,0,0,0,0
"109","1999-2000","ND","Basketball",7,4,4,5,0,1,2,0
"111","1999-2000","NWST","Basketball",6,11,3,3,0,1,4,0
"113","1999-2000","OKSTATE","Basketball",3,12,9,7,0,0,2,2
"114","1999-2000","ORE","Basketball",3,9,6,4,0,0,3,3
"116","1999-2000","RUT","Basketball",3,2,7,11,1,0,3,3
"118","1999-2000","SJ.ST","Basketball",2,1,5,7,0,1,2,2
"119","1999-2000","SMU","Basketball",3,6,10,7,0,0,0,0
"121","1999-2000","TAM","Basketball",3,8,12,8,0,0,2,0
"123","1999-2000","UM","Basketball",5,5,8,5,0,1,0,2
"125","1999-2000","UOFM","Basketball",0,5,9,4,0,1,1,3
"127","1999-2000","UT","Basketball",3,9,8,8,0,0,3,0
"128","1999-2000","UTA.ST","Basketball",6,0,5,0,0,0,2,0
"130","2000-2001","AUB","Basketball",3,3,6,11,0,0,2,1
"133","2000-2001","CLEM","Basketball",4,2,3,4,0,0,0,0
"135","2000-2001","FSU","Basketball",2,7,10,5,0,0,0,2
