Season,League,Team,Arena,Capacity,"City, State/Province",Wikipedia_URL,Nickname,Address,Latitude-Longitude,Date Opened,Date Closed,Date Demolished,Year Renovated
1968-69,NBA,Atlanta Hawks,Alexander Memorial Coliseum,9191,"Atlanta,GA",http://en.wikipedia.org/wiki/Alexander_Memorial_Coliseum,The Thrillerdome,"965 Fowler St, Atlanta, Georgia 30332",33°46?51?N 84°23?34?W,11/30/56,,,
1967-68,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1966-67,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1965-66,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1964-65,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1963-64,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1962-63,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1961-62,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1960-61,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1959-60,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1958-59,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1957-58,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1956-57,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1955-56,NBA,St. Louis Hawks,Kiel Auditorium,9300,"St. Louis, Missouri",http://en.wikipedia.org/wiki/Kiel_Auditorium,,"1401 Clark Avenue
St. Louis, Missouri 63103",38.627972°N 90.201782°W,4/14/34,5/7/91,12/5/92,
1954-55,NBA,Milwaukee Hawks,Milwaukee Arena ,10783,"Milwaukee, Wisconsin",http://en.wikipedia.org/wiki/U.S._Cellular_Arena,MECCA Arena,"400 W Kilbourn Avenue, Milwaukee, Wisconsin 53203",43°2?32?N 87°55?1?W,4/9/50,,,
1953-54,NBA,Milwaukee Hawks,Milwaukee Arena ,10783,"Milwaukee, Wisconsin",http://en.wikipedia.org/wiki/U.S._Cellular_Arena,MECCA Arena,"400 W Kilbourn Avenue, Milwaukee, Wisconsin 53203",43°2?32?N 87°55?1?W,4/9/50,,,
1952-53,NBA,Milwaukee Hawks,Milwaukee Arena ,10783,"Milwaukee, Wisconsin",http://en.wikipedia.org/wiki/U.S._Cellular_Arena,MECCA Arena,"400 W Kilbourn Avenue, Milwaukee, Wisconsin 53203",43°2?32?N 87°55?1?W,4/9/50,,,
1951-52,NBA,Milwaukee Hawks,Milwaukee Arena ,10783,"Milwaukee, Wisconsin",http://en.wikipedia.org/wiki/U.S._Cellular_Arena,MECCA Arena,"400 W Kilbourn Avenue, Milwaukee, Wisconsin 53203",43°2?32?N 87°55?1?W,4/9/50,,,
1950-51,NBA,Tri-Cities Blackhawks,Wharton Field House,6000,"Moline, Illinois",http://en.wikipedia.org/wiki/Wharton_Field_House,,"1800 20th Avenue, Moline, IL 61265",41.4918315°N 90.5106068°W,1/1/28,,,
1949-50,NBA,Tri-Cities Blackhawks,Wharton Field House,6000,"Moline, Illinois",http://en.wikipedia.org/wiki/Wharton_Field_House,,"1800 20th Avenue, Moline, IL 61265",41.4918315°N 90.5106068°W,1/1/28,,,
2012-13,NBA,Boston Celtics,TD Garden,18624,"Boston, Massachusetts",http://en.wikipedia.org/wiki/TD_Garden,The Garden,"100 Legends Way
Boston, Massachusetts, 02114",42°21?58.69?N 71°3?44.02?W,9/30/95,,,
