ID_Sport,ID_School,Season,Name,Last_Name,First_Name,Year,Hometown/Prior_School,Height,Player_URL
UNC,MGOLF,2009-2010,David Holzworth,Holzworth,David,RSr.,"Chapel Hill, NC (East Chapel Hill)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675530&Q
UNC,MGOLF,2009-2010,Chase MacFarland,MacFarland,Chase,RSr.,"Savannah, GA (Savannah Christian School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675542&Q
UNC,MGOLF,2009-2010,Michael McGowan,McGowan,Michael,Fr.,"Southern Pines, N.C. (O'Neal)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675571&Q
UNC,MGOLF,2009-2010,Kevin O'Connell,O'Connell,Kevin,Jr.,"Cary, N.C. (Green Hope)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675544&Q
UNC,MGOLF,2009-2010,Clark Palmer,Palmer,Clark,Fr.,"Augusta, Ga. (Academy of Richmond Co.)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675567&Q
UNC,MGOLF,2009-2010,Matt Raudenbush,Raudenbush,Matt,So.,"Pine Valley, N.J. (Bishop Eustace Prep, NJ)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675579&Q
UNC,MGOLF,2009-2010,Robert Riesen,Riesen,Robert,Gr.,"Pinehurst, NC (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675563&Q
UNC,MGOLF,2009-2010,Henry Zaytoun III,Zaytoun III,Henry,Jr.,"Raleigh, N.C. (Ravenscroft School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675564&Q
UNC,MGOLF,2008-2009,Patrick Barrett,Barrett,Patrick,Fr.,"Pinehurst, N.C. (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675568&Q
UNC,MGOLF,2008-2009,Philip Chauncey,Chauncey,Philip,RSo.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2008-2009,Jack Fields,Fields,Jack,Fr.,"Southern Pines, N.C. (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675562&Q
UNC,MGOLF,2008-2009,Ryan Holler,Holler,Ryan,RSr.,"Morehead City, N.C. (West Carteret)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675559&Q
UNC,MGOLF,2008-2009,David Holzworth,Holzworth,David,RJr.,"Chapel Hill, NC (East Chapel Hill)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675530&Q
UNC,MGOLF,2008-2009,Chase MacFarland,MacFarland,Chase,RJr.,"Savannah, GA (Savannah Christian School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675542&Q
UNC,MGOLF,2008-2009,Kevin O'Connell,O'Connell,Kevin,So.,"Cary, N.C. (Green Hope)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675544&Q
UNC,MGOLF,2008-2009,Matt Raudenbush,Raudenbush,Matt,RFr.,"Pine Valley, N.J. (Bishop Eustace Prep, NJ)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675579&Q
UNC,MGOLF,2008-2009,Robert Riesen,Riesen,Robert,Sr.,"Pinehurst, NC (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675563&Q
UNC,MGOLF,2008-2009,Michael Sedacca,Sedacca,Michael,Jr.,"Orlando, FL (Lake Highland Prep)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675535&Q
UNC,MGOLF,2008-2009,Henry Zaytoun III,Zaytoun III,Henry,So.,"Raleigh, N.C. (Ravenscroft School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675564&Q
UNC,MGOLF,2007-2008,Barden Berry,Berry,Barden,Sr.,"Kinston, N.C. (Arendell Parrott Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675524&Q
UNC,MGOLF,2007-2008,Philip Chauncey,Chauncey,Philip,So.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2007-2008,Reed Darsie,Darsie,Reed,Sr.,"Chapel Hill, N.C. (Jordan)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675548&Q
UNC,MGOLF,2007-2008,Ryan Holler,Holler,Ryan,Sr.,"Morehead City, N.C. (West Carteret)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675559&Q
UNC,MGOLF,2007-2008,David Holzworth,Holzworth,David,RSo.,"Chapel Hill, NC (East Chapel Hill)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675530&Q
UNC,MGOLF,2007-2008,Chase MacFarland,MacFarland,Chase,Jr.,"Savannah, GA (Savannah Christian School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675542&Q
UNC,MGOLF,2007-2008,Josh Moore,Moore,Josh,Sr.,"Cary, N.C. (Langley)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675573&Q
UNC,MGOLF,2007-2008,Kevin O'Connell,O'Connell,Kevin,Fr.,"Cary, N.C. (Green Hope)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675544&Q
