"","Year","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"1","1979-1980","AUB",1832,1345,NA,NA,NA,NA,NA,NA
"2","1979-1980","BAMA",1166,1151,NA,NA,NA,NA,NA,NA
"3","1979-1980","BOS.ST",385,322,NA,NA,NA,NA,NA,NA
"4","1979-1980","CLEM",1125,668,NA,NA,NA,NA,NA,NA
"5","1979-1980","DUKE",822,761,NA,NA,NA,NA,NA,NA
"6","1979-1980","FLA",2853,2187,NA,NA,NA,NA,NA,NA
"7","1979-1980","FSU",1658,1973,NA,NA,NA,NA,NA,NA
"8","1979-1980","GTOWN",590,732,NA,NA,NA,NA,NA,NA
"9","1979-1980","KAN.ST",1520,1135,NA,NA,NA,NA,NA,NA
"10","1979-1980","LOUIS",720,606,NA,NA,NA,NA,NA,NA
"11","1979-1980","LSU",1527,1216,NA,NA,NA,NA,NA,NA
"12","1979-1980","ND",1291,406,NA,NA,NA,NA,NA,NA
"13","1979-1980","NEB",1507,1122,NA,NA,NA,NA,NA,NA
"14","1979-1980","NWST",937,770,NA,NA,NA,NA,NA,NA
"15","1979-1980","OK",1318,881,NA,NA,NA,NA,NA,NA
"16","1979-1980","OKSTATE",1735,1258,NA,NA,NA,NA,NA,NA
"17","1979-1980","ORE",1195,1068,NA,NA,NA,NA,NA,NA
"18","1979-1980","ORE.ST",1641,1027,NA,NA,NA,NA,NA,NA
"19","1979-1980","OSU",3348,3148,NA,NA,NA,NA,NA,NA
"20","1979-1980","PENNSTATE",4494,3161,NA,NA,NA,NA,NA,NA
"21","1979-1980","RUT",2271,2257,NA,NA,NA,NA,NA,NA
"22","1979-1980","SCAR",1482,1343,NA,NA,NA,NA,NA,NA
"23","1979-1980","SJ.ST",1968,2136,NA,NA,NA,NA,NA,NA
"24","1979-1980","SMU",602,599,NA,NA,NA,NA,NA,NA
"25","1979-1980","STAN",967,673,NA,NA,NA,NA,NA,NA
"26","1979-1980","TAM",3353,1749,NA,NA,NA,NA,NA,NA
"27","1979-1980","UGA",1858,1855,NA,NA,NA,NA,NA,NA
"28","1979-1980","UM",2689,2156,NA,NA,NA,NA,NA,NA
"29","1979-1980","UNC",1403,1661,NA,NA,NA,NA,NA,NA
"30","1979-1980","UOFM",938,844,NA,NA,NA,NA,NA,NA
"31","1979-1980","USC",1431,997,NA,NA,NA,NA,NA,NA
"32","1979-1980","UT",3421,3173,NA,NA,NA,NA,NA,NA
"33","1979-1980","UTA.ST",838,536,NA,NA,NA,NA,NA,NA
"34","1979-1980","VANDY",660,678,NA,NA,NA,NA,NA,NA
"35","1983-1984","AUB",1776,1294,NA,NA,NA,NA,NA,NA
"36","1983-1984","BAMA",1225,1285,NA,NA,NA,NA,NA,NA
"37","1983-1984","BOS.ST",438,402,NA,NA,NA,NA,NA,NA
"38","1983-1984","CLEM",1075,792,NA,NA,NA,NA,NA,NA
"39","1983-1984","DUKE",842,718,NA,NA,NA,NA,NA,NA
"40","1983-1984","FLA",2599,2071,NA,NA,NA,NA,NA,NA
"41","1983-1984","GTOWN",607,673,NA,NA,NA,NA,NA,NA
"42","1983-1984","KAN.ST",1588,1229,NA,NA,NA,NA,NA,NA
"43","1983-1984","LOUIS",753,688,NA,NA,NA,NA,NA,NA
"44","1983-1984","LSU",1716,1518,NA,NA,NA,NA,NA,NA
"45","1983-1984","ND",1339,519,NA,NA,NA,NA,NA,NA
"46","1983-1984","NEB",1594,1288,NA,NA,NA,NA,NA,NA
"47","1983-1984","NWST",897,936,NA,NA,NA,NA,NA,NA
"48","1983-1984","OK",1311,1046,NA,NA,NA,NA,NA,NA
"49","1983-1984","OKSTATE",1701,1219,NA,NA,NA,NA,NA,NA
"50","1983-1984","ORE",1236,1211,NA,NA,NA,NA,NA,NA
"51","1983-1984","ORE.ST",1594,1276,NA,NA,NA,NA,NA,NA
"52","1983-1984","OSU",3568,3306,NA,NA,NA,NA,NA,NA
"53","1983-1984","RUT",2068,2290,NA,NA,NA,NA,NA,NA
"54","1983-1984","SCAR",1589,1461,NA,NA,NA,NA,NA,NA
"55","1983-1984","SJ.ST",1737,1877,NA,NA,NA,NA,NA,NA
"56","1983-1984","SMU",669,665,NA,NA,NA,NA,NA,NA
"57","1983-1984","STAN",927,710,NA,NA,NA,NA,NA,NA
"58","1983-1984","TAM",3623,2251,NA,NA,NA,NA,NA,NA
"59","1983-1984","UGA",1661,1756,NA,NA,NA,NA,NA,NA
"60","1983-1984","UM",2844,2493,NA,NA,NA,NA,NA,NA
"61","1983-1984","UNC",1399,1779,NA,NA,NA,NA,NA,NA
"62","1983-1984","UOFM",875,847,NA,NA,NA,NA,NA,NA
"63","1983-1984","USC",1588,1209,NA,NA,NA,NA,NA,NA
"64","1983-1984","UT",3568,3425,NA,NA,NA,NA,NA,NA
"65","1983-1984","UTA.ST",879,594,NA,NA,NA,NA,NA,NA
"66","1983-1984","VANDY",538,629,NA,NA,NA,NA,NA,NA
"67","1984-1985","AUB",1788,1360,1728,1317,31,29,9,3
"68","1984-1985","BAMA",1232,1216,1148,1089,84,127,0,0
"69","1984-1985","BOS.ST",421,400,398,375,4,0,9,13
"70","1984-1985","CLEM",1186,913,1127,873,29,26,1,0
"71","1984-1985","DUKE",754,717,691,642,22,35,15,12
"72","1984-1985","FLA",2856,2476,2456,2154,69,87,160,142
"73","1984-1985","FSU",1627,2018,1479,1788,70,143,38,43
"74","1984-1985","GTOWN",708,719,587,587,30,66,39,27
"75","1984-1985","KAN.ST",1621,1260,1522,1206,24,22,31,11
"76","1984-1985","LOUIS",694,716,632,651,32,49,4,3
"77","1984-1985","LSU",1758,1586,1492,1417,35,74,36,19
"78","1984-1985","ND",1299,558,1226,501,20,16,30,23
"79","1984-1985","NEB",1684,1340,1600,1301,17,11,12,8
"80","1984-1985","NWST",962,982,817,830,67,77,11,17
"81","1984-1985","OK",1392,1011,1193,910,38,32,8,8
"82","1984-1985","OKSTATE",1962,1309,1627,1187,42,30,11,10
"83","1984-1985","ORE",1167,1120,990,989,11,8,16,10
"84","1984-1985","ORE.ST",1719,1191,1538,1067,19,9,7,15
"85","1984-1985","OSU",3663,3222,3367,3014,65,105,26,22
"86","1984-1985","RUT",2176,2493,1909,2135,102,190,67,80
"87","1984-1985","SCAR",1499,1415,1299,1150,129,219,10,5
"88","1984-1985","SJ.ST",1704,1814,966,1081,57,57,97,93
"89","1984-1985","SMU",699,702,631,642,12,23,25,21
"90","1984-1985","STAN",927,710,751,577,51,41,70,47
"91","1984-1985","TAM",3826,2407,3457,2291,23,22,147,56
"92","1984-1985","UGA",1960,2115,1856,1980,45,97,13,9
"93","1984-1985","UM",2659,2317,2361,2059,54,102,26,24
"94","1984-1985","UNC",1294,1895,1190,1723,74,140,4,10
"95","1984-1985","UOFM",889,828,447,458,28,51,216,222
"96","1984-1985","USC",1588,1209,0,0,0,0,0,0
"97","1984-1985","UT",3502,3456,2850,2951,44,93,300,258
"98","1984-1985","UTA.ST",905,591,790,553,5,1,7,1
"99","1984-1985","VANDY",595,611,557,584,17,19,2,1
"100","1985-1986","AUB",1775,1388,NA,NA,NA,NA,NA,NA
"101","1985-1986","BAMA",1145,1118,NA,NA,NA,NA,NA,NA
"102","1985-1986","BOS.ST",412,423,NA,NA,NA,NA,NA,NA
"103","1985-1986","CLEM",1237,923,NA,NA,NA,NA,NA,NA
"104","1985-1986","DUKE",833,737,NA,NA,NA,NA,NA,NA
"105","1985-1986","FLA",3161,2484,NA,NA,NA,NA,NA,NA
"106","1985-1986","GTOWN",685,733,NA,NA,NA,NA,NA,NA
"107","1985-1986","KAN.ST",1642,1180,NA,NA,NA,NA,NA,NA
"108","1985-1986","LOUIS",727,760,NA,NA,NA,NA,NA,NA
"109","1985-1986","LSU",1713,1550,NA,NA,NA,NA,NA,NA
"110","1985-1986","ND",1327,575,NA,NA,NA,NA,NA,NA
"111","1985-1986","NEB",1697,1311,NA,NA,NA,NA,NA,NA
"112","1985-1986","NWST",917,942,NA,NA,NA,NA,NA,NA
"113","1985-1986","OK",1320,1100,NA,NA,NA,NA,NA,NA
"114","1985-1986","OKSTATE",1831,1354,NA,NA,NA,NA,NA,NA
"115","1985-1986","ORE",1160,1131,NA,NA,NA,NA,NA,NA
"116","1985-1986","ORE.ST",1658,1163,NA,NA,NA,NA,NA,NA
"117","1985-1986","OSU",3541,3123,NA,NA,NA,NA,NA,NA
"118","1985-1986","RUT",2381,2525,NA,NA,NA,NA,NA,NA
"119","1985-1986","SCAR",1427,1484,NA,NA,NA,NA,NA,NA
"120","1985-1986","SJ.ST",1631,1827,NA,NA,NA,NA,NA,NA
"121","1985-1986","SMU",692,766,NA,NA,NA,NA,NA,NA
"122","1985-1986","STAN",956,693,NA,NA,NA,NA,NA,NA
"123","1985-1986","TAM",3630,2511,NA,NA,NA,NA,NA,NA
"124","1985-1986","UGA",1843,1992,NA,NA,NA,NA,NA,NA
"125","1985-1986","UM",2672,2352,NA,NA,NA,NA,NA,NA
"126","1985-1986","UNC",1216,1801,NA,NA,NA,NA,NA,NA
"127","1985-1986","UOFM",823,787,NA,NA,NA,NA,NA,NA
"128","1985-1986","USC",1652,1102,NA,NA,NA,NA,NA,NA
"129","1985-1986","UT",3520,3343,NA,NA,NA,NA,NA,NA
"130","1985-1986","UTA.ST",894,571,NA,NA,NA,NA,NA,NA
"131","1985-1986","VANDY",571,638,NA,NA,NA,NA,NA,NA
"132","1986-1987","AUB",NA,1460,NA,1422,NA,NA,NA,NA
"133","1986-1987","BAMA",NA,NA,NA,NA,NA,NA,NA,NA
"134","1986-1987","BOS.ST",419,436,386,418,5,1,6,12
"135","1986-1987","CLEM",1165,934,1094,868,37,53,5,NA
"136","1986-1987","DUKE",814,840,752,749,NA,NA,NA,NA
"137","1986-1987","FLA",2817,2443,2426,2099,85,118,158,114
"138","1986-1987","FSU",1476,1884,1337,1699,55,119,44,39
"139","1986-1987","GTOWN",NA,723,NA,583,NA,44,NA,NA
"140","1986-1987","KAN.ST",NA,NA,NA,NA,NA,NA,NA,NA
"141","1986-1987","LOUIS",762,792,678,731,44,49,6,4
"142","1986-1987","LSU",NA,NA,NA,NA,NA,NA,NA,NA
"143","1986-1987","ND",1327,536,1214,476,NA,NA,40,21
"144","1986-1987","NEB",1639,1298,1551,1242,NA,NA,NA,NA
"145","1986-1987","NWST",981,1044,820,867,50,86,14,13
"146","1986-1987","OK",1445,1010,1270,910,35,37,10,8
"147","1986-1987","OKSTATE",1763,1374,1465,1228,22,31,10,8
"148","1986-1987","ORE",1134,1140,922,978,NA,NA,NA,NA
"149","1986-1987","ORE.ST",NA,1176,NA,1053,NA,NA,NA,NA
"150","1986-1987","OSU",NA,3226,NA,2983,NA,NA,NA,NA
"151","1986-1987","RUT",NA,2681,NA,2106,NA,NA,NA,NA
"152","1986-1987","SCAR",1401,1509,NA,1249,130,208,11,13
"153","1986-1987","SJ.ST",1681,1789,970,1139,55,48,106,90
"154","1986-1987","SMU",713,688,648,640,18,12,16,21
"155","1986-1987","STAN",935,693,697,472,52,70,NA,NA
"156","1986-1987","TAM",3585,2479,3157,2252,32,30,174,106
"157","1986-1987","UGA",NA,2111,NA,1932,NA,NA,NA,NA
"158","1986-1987","UM",2542,2439,2283,2185,NA,NA,NA,NA
"159","1986-1987","UNC",1321,1951,1213,1741,78,158,6,11
"160","1986-1987","UOFM",873,940,422,463,31,50,212,309
"161","1986-1987","USC",1598,1176,961,696,246,201,218,104
"162","1986-1987","UT",3409,3342,2674,2767,66,99,298,281
"163","1986-1987","UTA.ST",903,NA,840,NA,NA,NA,NA,NA
"164","1986-1987","VANDY",603,642,577,611,NA,NA,NA,NA
"165","1987-1988","AUB",1938,1499,NA,NA,NA,NA,NA,NA
"166","1987-1988","BAMA",966,1034,NA,NA,NA,NA,NA,NA
"167","1987-1988","BOS.ST",381,439,NA,NA,NA,NA,NA,NA
"168","1987-1988","CLEM",1044,883,NA,NA,NA,NA,NA,NA
"169","1987-1988","DUKE",836,751,NA,NA,NA,NA,NA,NA
"170","1987-1988","FLA",2606,2395,NA,NA,NA,NA,NA,NA
"171","1987-1988","GTOWN",686,751,NA,NA,NA,NA,NA,NA
"172","1987-1988","KAN.ST",1390,1180,NA,NA,NA,NA,NA,NA
"173","1987-1988","LOUIS",823,863,NA,NA,NA,NA,NA,NA
"174","1987-1988","LSU",1622,1473,NA,NA,NA,NA,NA,NA
"175","1987-1988","ND",1319,569,NA,NA,NA,NA,NA,NA
"176","1987-1988","NEB",1511,1259,NA,NA,NA,NA,NA,NA
"177","1987-1988","NWST",924,1014,NA,NA,NA,NA,NA,NA
"178","1987-1988","OK",1282,1036,NA,NA,NA,NA,NA,NA
"179","1987-1988","OKSTATE",1573,1140,NA,NA,NA,NA,NA,NA
"180","1987-1988","ORE",1189,1287,NA,NA,NA,NA,NA,NA
"181","1987-1988","ORE.ST",1542,1094,NA,NA,NA,NA,NA,NA
"182","1987-1988","OSU",3461,3288,NA,NA,NA,NA,NA,NA
"183","1987-1988","RUT",2319,2547,NA,NA,NA,NA,NA,NA
"184","1987-1988","SCAR",1352,1466,NA,NA,NA,NA,NA,NA
"185","1987-1988","SJ.ST",1527,1669,NA,NA,NA,NA,NA,NA
"186","1987-1988","SMU",708,741,NA,NA,NA,NA,NA,NA
"187","1987-1988","STAN",987,799,NA,NA,NA,NA,NA,NA
"188","1987-1988","TAM",3360,2449,NA,NA,NA,NA,NA,NA
"189","1987-1988","UGA",1750,2060,NA,NA,NA,NA,NA,NA
"190","1987-1988","UM",2524,2471,NA,NA,NA,NA,NA,NA
"191","1987-1988","UNC",1293,1903,NA,NA,NA,NA,NA,NA
"192","1987-1988","UOFM",993,940,NA,NA,NA,NA,NA,NA
"193","1987-1988","USC",1598,1176,NA,NA,NA,NA,NA,NA
"194","1987-1988","UT",3370,3338,NA,NA,NA,NA,NA,NA
"195","1987-1988","UTA.ST",836,640,NA,NA,NA,NA,NA,NA
"196","1987-1988","VANDY",620,567,NA,NA,NA,NA,NA,NA
"197","1988-1999","AUB",NA,NA,NA,NA,NA,NA,NA,NA
"198","1988-1999","BAMA",NA,NA,NA,NA,NA,NA,NA,NA
"199","1988-1999","BOS.ST",355,452,335,436,2,2,12,9
"200","1988-1999","CLEM",1165,934,1094,868,37,53,5,NA
"201","1988-1999","DUKE",822,774,728,676,22,36,NA,16
"202","1988-1999","FLA",2781,2613,2361,2236,85,150,186,117
"203","1988-1999","FSU",1842,2166,1661,1922,60,127,83,66
"204","1988-1999","GTOWN",731,771,599,NA,NA,NA,NA,NA
"205","1988-1999","KAN.ST",NA,1125,NA,1062,NA,NA,NA,NA
"206","1988-1999","LOUIS",817,880,NA,NA,NA,NA,NA,NA
"207","1988-1999","LSU",1563,1586,1356,1390,55,103,27,13
"208","1988-1999","ND",1329,559,1252,506,NA,NA,NA,NA
"209","1988-1999","NEB",1509,1274,1416,1218,NA,NA,NA,NA
"210","1988-1999","NWST",958,1025,788,829,50,97,16,11
"211","1988-1999","OK",1206,1013,1036,884,24,48,20,21
"212","1988-1999","OKSTATE",1613,1259,1317,1140,14,24,10,4
"213","1988-1999","ORE",1255,1388,854,1056,18,7,14,12
"214","1988-1999","ORE.ST",1457,1163,1200,1008,15,NA,NA,NA
"215","1988-1999","OSU",3508,3209,3234,2971,NA,NA,NA,NA
"216","1988-1999","RUT",2435,2799,1943,2219,114,202,99,105
"217","1988-1999","SCAR",1401,1509,NA,1249,130,208,11,13
"218","1988-1999","SJ.ST",1580,1828,945,1222,45,55,103,127
"219","1988-1999","SMU",682,670,619,600,7,24,24,16
"220","1988-1999","STAN",902,719,638,481,NA,NA,NA,NA
"221","1988-1999","TAM",3344,2548,2921,2289,37,55,193,135
"222","1988-1999","UGA",NA,2046,NA,1897,NA,NA,NA,NA
"223","1988-1999","UM",2738,2618,2375,2318,77,108,39,41
"224","1988-1999","UNC",1393,2134,1288,1911,62,166,11,14
"225","1988-1999","UOFM",964,744,494,387,46,57,212,210
"226","1988-1999","USC",1640,1479,1022,912,NA,NA,NA,NA
"227","1988-1999","UT",3342,3383,2637,2720,67,120,311,291
"228","1988-1999","UTA.ST",NA,NA,NA,NA,NA,NA,NA,NA
"229","1988-1999","VANDY",587,606,548,574,15,22,4,1
"230","1989-1990","AUB",1880,1633,1794,1571,58,50,9,8
"231","1989-1990","BAMA",1130,1274,1015,1108,58,129,3,8
"232","1989-1990","BOS.ST",401,508,375,485,5,4,9,11
"233","1989-1990","CLEM",1094,969,1029,902,41,50,7,3
"234","1989-1990","DUKE",901,711,791,631,33,36,18,10
"235","1989-1990","FLA",2787,2644,2358,2268,101,128,164,141
"236","1989-1990","FSU",1905,2490,1707,2252,58,142,95,63
"237","1989-1990","GTOWN",684,733,536,544,30,50,33,34
"238","1989-1990","KAN.ST",1346,1128,1179,1065,31,25,66,13
"239","1989-1990","LOUIS",783,871,699,758,35,73,11,16
"240","1989-1990","LSU",1564,1523,1360,1352,50,83,36,15
"241","1989-1990","ND",1352,579,1237,509,23,24,33,29
"242","1989-1990","NEB",1435,1294,1339,1238,14,17,11,9
"243","1989-1990","NWST",966,980,772,793,36,61,24,18
"244","1989-1990","OK",1323,1132,1121,1014,38,49,11,11
"245","1989-1990","OKSTATE",1539,1253,1300,1127,22,23,9,14
"246","1989-1990","ORE",1284,1486,932,1165,13,10,16,13
"247","1989-1990","ORE.ST",1544,1147,1215,955,14,15,25,10
"248","1989-1990","OSU",3598,3385,3198,3006,69,119,31,27
"249","1989-1990","RUT",2510,2905,1951,2221,134,244,97,116
"250","1989-1990","SCAR",1348,1571,1160,1280,116,240,9,11
"251","1989-1990","SJ.ST",1466,1986,872,1276,41,48,92,133
"252","1989-1990","SMU",576,604,508,531,11,21,26,27
"253","1989-1990","STAN",975,718,674,460,57,56,75,54
"254","1989-1990","TAM",3428,2893,2998,2592,55,66,208,156
"255","1989-1990","UGA",1783,2260,1682,2092,49,111,6,16
"256","1989-1990","UM",2800,2801,2461,2436,85,138,46,32
"257","1989-1990","UNC",1448,2143,1340,1917,62,157,6,14
"258","1989-1990","UOFM",924,818,505,453,31,53,175,210
"259","1989-1990","USC",1640,1479,1022,912,51,100,119,112
"260","1989-1990","UT",3610,3536,2802,2813,70,137,336,311
"261","1989-1990","UTA.ST",796,641,622,558,2,1,4,9
"262","1989-1990","VANDY",600,574,555,535,15,21,4,2
"263","1990-1991","AUB",2135,1744,2054,1666,46,58,6,5
"264","1990-1991","BAMA",1186,1464,1046,1303,71,128,4,7
"265","1990-1991","BOS.ST",419,499,393,470,4,0,12,20
"266","1990-1991","CLEM",1238,1092,1139,1016,62,54,13,4
"267","1990-1991","DUKE",887,679,763,574,28,40,25,21
"268","1990-1991","FLA",2760,2738,2338,2307,89,174,192,132
"269","1990-1991","FSU",2234,2608,1992,2317,84,160,115,80
"270","1990-1991","GTOWN",690,748,535,550,34,73,45,36
"271","1990-1991","KAN.ST",1456,1229,1337,1170,23,25,24,16
"272","1990-1991","LOUIS",873,986,776,875,48,75,10,7
"273","1990-1991","LSU",1406,1651,1217,1449,54,112,35,21
"274","1990-1991","ND",1226,682,1101,581,35,29,35,34
"275","1990-1991","NEB",1441,1325,1344,1262,16,15,16,16
"276","1990-1991","NWST",992,1076,791,854,44,90,12,15
"277","1990-1991","OK",1312,1095,1101,960,38,57,19,17
"278","1990-1991","OKSTATE",1443,1222,1235,1088,27,24,8,14
"279","1990-1991","ORE",1177,1479,898,1166,13,11,18,14
"280","1990-1991","ORE.ST",1637,1280,1237,1045,19,6,15,13
"281","1990-1991","OSU",3421,3423,3008,3067,83,119,43,26
"282","1990-1991","RUT",2407,2702,1854,2013,124,240,124,146
"283","1990-1991","SCAR",1427,1622,1234,1334,94,221,8,21
"284","1990-1991","SJ.ST",1608,2069,459,645,34,42,64,87
"285","1990-1991","SMU",672,617,583,556,17,20,35,16
"286","1990-1991","STAN",869,601,564,361,68,50,68,58
"287","1990-1991","TAM",3666,3078,3192,2694,60,83,229,210
"288","1990-1991","UGA",1961,2368,1817,2175,69,114,15,25
"289","1990-1991","UM",2790,2687,2421,2294,70,138,52,43
"290","1990-1991","UNC",1445,2093,1298,1846,87,165,7,15
"291","1990-1991","UOFM",985,835,579,477,43,56,175,193
"292","1990-1991","USC",1882,1299,1155,801,82,82,121,74
"293","1990-1991","UT",3705,3787,2798,2957,73,136,380,389
"294","1990-1991","UTA.ST",795,706,665,646,8,3,6,4
"295","1990-1991","VANDY",571,598,529,548,17,19,3,5
"296","1991-1992","AUB",2275,1918,2181,1835,50,55,14,8
"297","1991-1992","BAMA",1404,1553,1216,1380,92,132,13,8
"298","1991-1992","BOS.ST",400,597,324,487,3,1,16,26
"299","1991-1992","CLEM",1460,1142,1389,1052,41,65,8,8
"300","1991-1992","DUKE",845,620,723,489,34,59,28,29
"301","1991-1992","FLA",2734,2725,2311,2301,88,189,172,131
"302","1991-1992","FSU",2569,3018,2297,2693,69,154,141,111
"303","1991-1992","GTOWN",720,748,554,568,51,58,22,36
"304","1991-1992","KAN.ST",1599,1414,1488,1335,21,32,27,13
"305","1991-1992","LOUIS",894,1057,797,923,52,79,10,5
"306","1991-1992","LSU",1518,1671,1306,1444,64,146,37,23
"307","1991-1992","ND",1179,697,1042,591,31,36,48,41
"308","1991-1992","NEB",1596,1369,1495,1311,13,15,15,7
"309","1991-1992","NWST",968,988,758,764,54,80,16,15
"310","1991-1992","OK",1365,1125,1153,980,41,49,19,17
"311","1991-1992","OKSTATE",1360,1332,1153,1205,27,23,11,10
"312","1991-1992","ORE",1325,1673,1010,1317,17,14,22,19
"313","1991-1992","ORE.ST",1625,1302,1179,1000,20,12,22,19
"314","1991-1992","OSU",3715,3499,3289,3095,90,152,39,32
"315","1991-1992","RUT",2392,2840,1843,2071,139,280,111,171
"316","1991-1992","SCAR",1429,1633,1224,1357,130,218,9,8
"317","1991-1992","SJ.ST",1838,2174,962,1337,58,66,134,141
"318","1991-1992","SMU",602,693,508,616,17,16,29,31
"319","1991-1992","STAN",922,747,613,432,64,73,83,73
"320","1991-1992","TAM",3810,3119,3309,2705,75,90,239,226
"321","1991-1992","UGA",1939,2424,1804,2235,85,134,10,25
"322","1991-1992","UM",2742,2599,2255,2151,113,164,83,67
"323","1991-1992","UNC",1478,2177,1303,1919,99,188,17,14
"324","1991-1992","UOFM",958,866,601,485,46,53,143,211
"325","1991-1992","USC",1907,1310,1146,789,88,91,127,76
"326","1991-1992","UT",3826,3840,2857,2952,83,132,356,424
"327","1991-1992","UTA.ST",851,802,742,748,8,3,10,6
"328","1991-1992","VANDY",649,589,584,530,23,22,4,9
"329","1992-1993","AUB",2151,1840,2051,1739,55,68,13,10
"330","1992-1993","BAMA",1382,1548,1227,1334,91,170,11,11
"331","1992-1993","BOS.ST",502,618,480,586,6,2,24,16
"332","1992-1993","CLEM",1474,1224,1375,1101,53,86,9,13
"333","1992-1993","DUKE",697,590,568,459,28,46,13,31
"334","1992-1993","FLA",2719,2428,2250,2010,98,157,188,119
"335","1992-1993","FSU",2430,2849,2114,2467,120,178,121,109
"336","1992-1993","GTOWN",669,676,498,490,30,69,23,25
"337","1992-1993","KAN.ST",1605,1482,1487,1395,30,34,30,26
"338","1992-1993","LOUIS",872,1046,775,907,44,92,9,14
"339","1992-1993","LSU",1462,1567,1280,1371,80,123,28,17
"340","1992-1993","ND",1156,594,1005,489,38,33,51,40
"341","1992-1993","NEB",1552,1380,1386,1295,24,16,14,10
"342","1992-1993","NWST",893,874,686,652,48,81,14,11
"343","1992-1993","OK",1292,1035,1101,900,53,49,18,14
"344","1992-1993","OKSTATE",1372,1259,1185,1112,28,30,15,14
"345","1992-1993","ORE",1284,1383,980,1031,19,10,22,25
"346","1992-1993","ORE.ST",1436,1084,1046,856,17,12,26,18
"347","1992-1993","OSU",3771,3751,3337,3276,97,182,43,40
"348","1992-1993","RUT",2278,2511,1695,1747,109,264,109,146
"349","1992-1993","SCAR",1409,1643,1210,1339,116,232,13,6
"350","1992-1993","SJ.ST",1908,2298,967,1264,53,76,144,179
"351","1992-1993","SMU",607,698,528,592,25,28,22,33
"352","1992-1993","STAN",900,712,570,396,55,68,67,80
"353","1992-1993","TAM",3498,2735,2935,2352,76,88,276,216
"354","1992-1993","UGA",1987,2380,1838,2184,78,118,13,18
"355","1992-1993","UM",2589,2358,2068,1831,96,158,88,72
"356","1992-1993","UNC",1305,1814,1156,1581,81,153,9,13
"357","1992-1993","UOFM",888,849,493,439,42,72,156,224
"358","1992-1993","USC",1673,1379,1009,789,53,77,131,124
"359","1992-1993","UT",3677,3691,2692,2701,84,128,369,430
"360","1992-1993","UTA.ST",973,798,882,752,5,0,7,3
"361","1992-1993","VANDY",540,571,481,478,20,28,5,7
"362","1993-1994","AUB",2142,1848,2026,1717,62,83,11,14
"363","1993-1994","BAMA",1475,1568,1303,1361,88,160,17,8
"364","1993-1994","BOS.ST",526,679,465,647,4,3,25,10
"365","1993-1994","CLEM",1481,1234,1344,1063,70,124,14,8
"366","1993-1994","DUKE",907,741,736,580,47,70,21,28
"367","1993-1994","FLA",2980,2671,2454,2180,104,161,213,182
"368","1993-1994","FSU",2390,2978,2076,2523,113,239,107,133
"369","1993-1994","GTOWN",736,810,529,573,39,73,36,40
"370","1993-1994","KAN.ST",1654,1505,1528,1418,20,34,26,28
"371","1993-1994","LOUIS",853,1066,771,937,38,86,9,8
"372","1993-1994","LSU",1500,1654,1340,1423,51,131,25,34
"373","1993-1994","ND",1180,700,1012,590,50,32,58,40
"374","1993-1994","NEB",1569,1504,1394,1380,33,21,10,15
"375","1993-1994","NWST",885,987,664,734,40,69,17,12
"376","1993-1994","OK",1251,1035,1003,839,47,60,25,24
"377","1993-1994","OKSTATE",1437,1325,1191,1150,24,30,18,8
"378","1993-1994","ORE",1394,1529,1035,1153,19,17,23,35
"379","1993-1994","ORE.ST",1444,1154,1095,908,19,11,32,16
"380","1993-1994","OSU",3566,3616,3124,3133,113,197,53,43
"381","1993-1994","RUT",2464,2761,1773,1850,139,271,125,206
"382","1993-1994","SCAR",1439,1743,1210,1346,128,309,14,13
"383","1993-1994","SJ.ST",1960,2311,971,1247,62,66,158,235
"384","1993-1994","SMU",597,622,501,518,19,24,37,41
"385","1993-1994","STAN",943,804,555,418,53,67,86,81
"386","1993-1994","TAM",3736,3197,3125,2755,65,103,297,212
"387","1993-1994","UGA",2274,2665,2093,2412,70,154,20,16
"388","1993-1994","UM",2899,2588,2250,2022,124,169,100,87
"389","1993-1994","UNC",1442,2168,1264,1818,99,228,12,16
"390","1993-1994","UOFM",939,912,544,487,42,68,169,235
"391","1993-1994","USC",1733,1461,1053,844,55,82,136,135
"392","1993-1994","UT",3833,3664,2697,2693,83,141,443,433
"393","1993-1994","UTA.ST",956,998,853,920,8,0,22,12
"394","1993-1994","VANDY",651,572,572,503,26,29,7,11
"395","1994-1995","AUB",1931,1596,1820,1485,65,75,15,10
"396","1994-1995","BAMA",1348,1437,1192,1189,78,202,6,4
"397","1994-1995","BOS.ST",559,693,452,613,4,1,20,25
"398","1994-1995","CLEM",1374,1163,1249,1003,79,118,8,3
"399","1994-1995","DUKE",795,699,605,520,58,74,36,42
"400","1994-1995","FLA",2946,2761,2404,2270,91,158,203,175
"401","1994-1995","FSU",2457,2768,2085,2271,129,265,139,140
"402","1994-1995","GTOWN",738,824,550,560,25,71,29,39
"403","1994-1995","KAN.ST",1611,1413,1482,1307,23,36,18,28
"404","1994-1995","LOUIS",766,1000,682,850,43,107,4,8
"405","1994-1995","LSU",1541,1608,1321,1365,51,101,28,34
"406","1994-1995","ND",1175,740,1007,625,31,27,68,39
"407","1994-1995","NEB",1460,1430,1322,1281,23,16,13,20
"408","1994-1995","NWST",992,976,737,715,63,79,17,16
