Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),27,11,16,27,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,5,12,17,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,12,0,10,10,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,5,6,5,2,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,2,5,5,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,4,5,3,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1999-2000,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,2,5,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1999-2000,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,13,0,4,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),26,12,14,19,8,11,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2,2
1999-2000,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,1,8,7,1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,2,5,3,0,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
