Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,146,43,103,115,31,84,4,0,4,6,2,4,1,0,1,0,0,0,0,0,0,20,10,10
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,39,39,0,35,35,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,20,9,11,4,2,2,15,7,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,46,21,25,9,3,6,24,9,15,0,0,0,0,0,0,0,0,0,3,2,1,10,7,3
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Football,84,84,0,27,27,0,56,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,147767,Northwestern University,All other sports combined,37,10,27,33,10,23,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
2000-2001,147767,Northwestern University,Baseball,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,147767,Northwestern University,Basketball,8,5,3,7,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,147767,Northwestern University,Football,20,20,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,All other sports combined,349,141,208,271,107,164,13,7,6,10,4,6,5,2,3,0,0,0,1,0,1,49,21,28
2000-2001,204796,Ohio State University-Main Campus,Baseball,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,204796,Ohio State University-Main Campus,Basketball,26,12,14,10,2,8,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2000-2001,204796,Ohio State University-Main Campus,Cross-country and/or track,37,19,18,15,10,5,14,4,10,1,1,0,0,0,0,0,0,0,0,0,0,7,4,3
2000-2001,204796,Ohio State University-Main Campus,Football,86,86,0,30,30,0,52,52,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0
2000-2001,207388,Oklahoma State University-Main Campus,All other sports combined,130,39,91,84,19,65,6,5,1,4,1,3,1,1,0,9,4,5,0,0,0,26,9,17
2000-2001,207388,Oklahoma State University-Main Campus,Baseball,33,33,0,31,31,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,207388,Oklahoma State University-Main Campus,Basketball,29,14,15,9,2,7,15,9,6,1,1,0,0,0,0,1,1,0,0,0,0,3,1,2
2000-2001,207388,Oklahoma State University-Main Campus,Cross-country and/or track,50,22,28,21,10,11,10,0,10,2,2,0,1,0,1,1,1,0,0,0,0,15,9,6
2000-2001,207388,Oklahoma State University-Main Campus,Football,92,92,0,35,35,0,54,54,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
2000-2001,209542,Oregon State University,All other sports combined,161,59,102,122,44,78,1,1,0,9,4,5,6,1,5,0,0,0,9,3,6,14,6,8
2000-2001,209542,Oregon State University,Baseball,37,37,0,32,32,0,0,0,0,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0
2000-2001,209542,Oregon State University,Basketball,27,13,14,12,5,7,8,5,3,1,1,0,1,0,1,0,0,0,2,1,1,3,1,2
2000-2001,209542,Oregon State University,Football,81,81,0,35,35,0,30,30,0,3,3,0,4,4,0,0,0,0,9,9,0,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,All other sports combined,269,116,153,216,91,125,12,4,8,9,5,4,11,3,8,0,0,0,4,3,1,17,10,7
2000-2001,186380,Rutgers University-New Brunswick,Baseball,32,32,0,28,28,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Basketball,27,12,15,4,3,1,18,7,11,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
2000-2001,186380,Rutgers University-New Brunswick,Cross-country and/or track,67,30,37,40,18,22,22,9,13,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0
2000-2001,186380,Rutgers University-New Brunswick,Football,91,91,0,40,40,0,42,42,0,2,2,0,1,1,0,0,0,0,2,2,0,4,4,0
2000-2001,122755,San Jose State University,All other sports combined,130,27,103,83,12,71,4,0,4,20,13,7,5,1,4,0,0,0,12,0,12,6,1,5
2000-2001,122755,San Jose State University,Baseball,29,29,0,20,20,0,2,2,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,122755,San Jose State University,Basketball,27,12,15,7,3,4,18,8,10,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,122755,San Jose State University,Cross-country and/or track,14,6,8,8,3,5,0,0,0,1,0,1,1,1,0,1,1,0,3,1,2,0,0,0
2000-2001,122755,San Jose State University,Football,59,59,0,16,16,0,25,25,0,4,4,0,3,3,0,2,2,0,9,9,0,0,0,0
2000-2001,228246,Southern Methodist University,All other sports combined,135,50,85,105,34,71,2,1,1,5,3,2,2,1,1,1,0,1,0,0,0,20,11,9
2000-2001,228246,Southern Methodist University,Basketball,26,12,14,9,3,6,16,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,228246,Southern Methodist University,Cross-country and/or track,25,11,14,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,10,12
2000-2001,228246,Southern Methodist University,Football,75,75,0,47,47,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,243744,Stanford University,All other sports combined,256,111,145,196,80,116,15,9,6,11,4,7,23,10,13,0,0,0,0,0,0,11,8,3
2000-2001,243744,Stanford University,Baseball,20,20,0,18,18,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,243744,Stanford University,Basketball,26,13,13,14,5,9,10,7,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,243744,Stanford University,Cross-country and/or track,45,22,23,29,17,12,6,0,6,4,1,3,3,2,1,1,1,0,0,0,0,2,1,1
2000-2001,243744,Stanford University,Football,82,82,0,42,42,0,36,36,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0
2000-2001,228723,Texas A & M University-College Station,All other sports combined,172,42,130,136,33,103,6,3,3,6,1,5,2,0,2,2,0,2,5,0,5,15,5,10
2000-2001,228723,Texas A & M University-College Station,Baseball,42,42,0,39,39,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2000-2001,228723,Texas A & M University-College Station,Basketball,33,15,18,12,4,8,19,9,10,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2000-2001,228723,Texas A & M University-College Station,Cross-country and/or track,62,33,29,38,19,19,13,7,6,2,1,1,2,0,2,0,0,0,0,0,0,7,6,1
2000-2001,228723,Texas A & M University-College Station,Football,86,86,0,32,32,0,48,48,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0
2000-2001,100751,The University of Alabama,All other sports combined,134,38,96,85,15,70,4,0,4,7,2,5,4,1,3,0,0,0,0,0,0,34,20,14
2000-2001,100751,The University of Alabama,Baseball,31,31,0,29,29,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Basketball,29,13,16,8,3,5,20,10,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Cross-country and/or track,36,14,22,11,2,9,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,14,6,8
2000-2001,100751,The University of Alabama,Football,86,86,0,25,25,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,228778,The University of Texas at Austin,All other sports combined,201,60,141,164,50,114,3,1,2,5,0,5,4,1,3,3,1,2,0,0,0,22,7,15
2000-2001,228778,The University of Texas at Austin,Baseball,45,45,0,35,35,0,2,2,0,5,5,0,1,1,0,1,1,0,0,0,0,1,1,0
2000-2001,228778,The University of Texas at Austin,Basketball,30,15,15,11,4,7,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,228778,The University of Texas at Austin,Cross-country and/or track,72,48,24,35,27,8,29,18,11,3,1,2,1,0,1,0,0,0,0,0,0,4,2,2
2000-2001,228778,The University of Texas at Austin,Football,87,87,0,31,31,0,55,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,All other sports combined,128,33,95,98,23,75,10,0,10,4,2,2,0,0,0,0,0,0,3,1,2,13,7,6
2000-2001,134130,University of Florida,Baseball,34,34,0,26,26,0,0,0,0,4,4,0,0,0,0,0,0,0,2,2,0,2,2,0
2000-2001,134130,University of Florida,Basketball,20,10,10,4,3,1,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Cross-country and/or track,58,30,28,27,16,11,21,8,13,3,3,0,1,0,1,0,0,0,3,2,1,3,1,2
2000-2001,134130,University of Florida,Football,82,82,0,23,23,0,56,56,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
2000-2001,139959,University of Georgia,All other sports combined,127,30,97,110,27,83,4,0,4,4,0,4,3,1,2,0,0,0,0,0,0,6,2,4
2000-2001,139959,University of Georgia,Baseball,45,45,0,43,43,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Basketball,25,10,15,8,1,7,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Cross-country and/or track,57,29,28,25,13,12,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2
2000-2001,139959,University of Georgia,Football,83,83,0,25,25,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,157289,University of Louisville,All other sports combined,162,54,108,113,31,82,4,0,4,6,1,5,3,0,3,0,0,0,0,0,0,36,22,14
2000-2001,157289,University of Louisville,Baseball,32,32,0,23,23,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,0
2000-2001,157289,University of Louisville,Basketball,29,14,15,6,1,5,16,9,7,1,0,1,1,0,1,0,0,0,0,0,0,5,4,1
2000-2001,157289,University of Louisville,Cross-country and/or track,47,21,26,31,15,16,12,5,7,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2
2000-2001,157289,University of Louisville,Football,80,80,0,27,27,0,50,50,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,All other sports combined,74,10,64,44,4,40,0,0,0,10,4,6,1,0,1,1,0,1,2,0,2,16,2,14
2000-2001,135726,University of Miami,Baseball,25,25,0,15,15,0,2,2,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Basketball,25,11,14,3,0,3,15,9,6,0,0,0,1,0,1,0,0,0,0,0,0,6,2,4
2000-2001,135726,University of Miami,Cross-country and/or track,28,10,18,10,6,4,13,1,12,1,0,1,0,0,0,0,0,0,1,1,0,3,2,1
2000-2001,135726,University of Miami,Football,77,77,0,21,21,0,50,50,0,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0
2000-2001,170976,University of Michigan-Ann Arbor,All other sports combined,240,89,151,191,71,120,7,3,4,10,5,5,4,2,2,1,0,1,9,3,6,18,5,13
2000-2001,170976,University of Michigan-Ann Arbor,Baseball,21,21,0,19,19,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,170976,University of Michigan-Ann Arbor,Basketball,21,10,11,8,3,5,10,7,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
2000-2001,170976,University of Michigan-Ann Arbor,Cross-country and/or track,54,28,26,36,21,15,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
2000-2001,170976,University of Michigan-Ann Arbor,Football,91,91,0,48,48,0,32,32,0,0,0,0,0,0,0,2,2,0,6,6,0,3,3,0
2000-2001,181464,University of Nebraska-Lincoln,All other sports combined,180,54,126,130,35,95,5,2,3,4,2,2,2,0,2,1,0,1,3,0,3,35,15,20
2000-2001,181464,University of Nebraska-Lincoln,Baseball,33,33,0,27,27,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0
2000-2001,181464,University of Nebraska-Lincoln,Basketball,31,14,17,11,3,8,16,9,7,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0
2000-2001,181464,University of Nebraska-Lincoln,Cross-country and/or track,65,31,34,41,20,21,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9
2000-2001,181464,University of Nebraska-Lincoln,Football,92,92,0,50,50,0,35,35,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0
2000-2001,199120,University of North Carolina at Chapel Hill,All other sports combined,247,108,139,220,97,123,14,6,8,7,3,4,5,2,3,0,0,0,0,0,0,1,0,1
2000-2001,199120,University of North Carolina at Chapel Hill,Baseball,23,23,0,22,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,199120,University of North Carolina at Chapel Hill,Basketball,25,12,13,10,6,4,14,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,47,21,26,30,17,13,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,199120,University of North Carolina at Chapel Hill,Football,83,83,0,23,23,0,59,59,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,152080,University of Notre Dame,All other sports combined,196,76,120,168,59,109,4,2,2,8,3,5,2,1,1,0,0,0,0,0,0,14,11,3
2000-2001,152080,University of Notre Dame,Baseball,25,25,0,23,23,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,152080,University of Notre Dame,Basketball,23,12,11,10,5,5,9,4,5,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0
2000-2001,152080,University of Notre Dame,Cross-country and/or track,37,19,18,22,13,9,9,4,5,2,1,1,0,0,0,0,0,0,0,0,0,4,1,3
2000-2001,152080,University of Notre Dame,Football,79,79,0,32,32,0,43,43,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0
2000-2001,207500,University of Oklahoma Norman Campus,All other sports combined,144,57,87,107,40,67,8,4,4,5,3,2,4,1,3,5,3,2,3,3,0,12,3,9
2000-2001,207500,University of Oklahoma Norman Campus,Baseball,39,39,0,29,29,0,1,1,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0
2000-2001,207500,University of Oklahoma Norman Campus,Basketball,24,12,12,6,2,4,13,9,4,0,0,0,0,0,0,2,0,2,0,0,0,3,1,2
2000-2001,207500,University of Oklahoma Norman Campus,Cross-country and/or track,51,22,29,20,8,12,20,7,13,2,2,0,0,0,0,3,2,1,1,0,1,5,3,2
2000-2001,207500,University of Oklahoma Norman Campus,Football,92,92,0,30,30,0,53,53,0,2,2,0,0,0,0,6,6,0,1,1,0,0,0,0
2000-2001,209551,University of Oregon,All other sports combined,98,36,62,72,30,42,4,2,2,1,0,1,4,2,2,0,0,0,3,0,3,14,2,12
2000-2001,209551,University of Oregon,Basketball,25,13,12,13,5,8,9,5,4,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0
2000-2001,209551,University of Oregon,Cross-country and/or track,51,27,24,34,18,16,8,4,4,1,0,1,2,2,0,1,1,0,2,0,2,3,2,1
2000-2001,209551,University of Oregon,Football,83,83,0,37,37,0,38,38,0,2,2,0,2,2,0,0,0,0,4,4,0,0,0,0
2000-2001,218663,University of South Carolina-Columbia,All other sports combined,138,55,83,115,50,65,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,18,5,13
2000-2001,218663,University of South Carolina-Columbia,Baseball,31,31,0,28,28,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,218663,University of South Carolina-Columbia,Basketball,28,13,15,6,5,1,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9
2000-2001,218663,University of South Carolina-Columbia,Cross-country and/or track,41,18,23,13,6,7,26,11,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2000-2001,218663,University of South Carolina-Columbia,Football,87,87,0,23,23,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,All other sports combined,143,53,90,70,20,50,2,0,2,2,0,2,6,1,5,0,0,0,21,8,13,42,24,18
2000-2001,123961,University of Southern California,Baseball,19,19,0,13,13,0,0,0,0,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0
2000-2001,123961,University of Southern California,Basketball,28,14,14,8,4,4,15,6,9,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0
2000-2001,123961,University of Southern California,Cross-country and/or track,36,17,19,6,5,1,16,6,10,1,0,1,0,0,0,0,0,0,8,3,5,5,3,2
2000-2001,123961,University of Southern California,Football,93,93,0,30,30,0,41,41,0,3,3,0,4,4,0,0,0,0,15,15,0,0,0,0
2000-2001,230728,Utah State University,All other sports combined,86,15,71,77,14,63,1,0,1,4,0,4,1,0,1,0,0,0,2,0,2,1,1,0
2000-2001,230728,Utah State University,Basketball,14,14,0,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2000-2001,230728,Utah State University,Cross-country and/or track,58,29,29,47,23,24,3,3,0,2,1,1,1,1,0,0,0,0,0,0,0,5,1,4
2000-2001,230728,Utah State University,Football,67,67,0,35,35,0,19,19,0,4,4,0,5,5,0,0,0,0,4,4,0,0,0,0
2000-2001,221999,Vanderbilt University,All other sports combined,92,41,51,81,37,44,1,0,1,4,2,2,1,0,1,0,0,0,3,1,2,2,1,1
2000-2001,221999,Vanderbilt University,Baseball,17,17,0,16,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,221999,Vanderbilt University,Basketball,25,12,13,12,4,8,7,5,2,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2
2000-2001,221999,Vanderbilt University,Cross-country and/or track,22,0,22,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1
2000-2001,221999,Vanderbilt University,Football,85,85,0,58,58,0,26,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
