Player,Team,Agency,Primary_Agent,Secondary_Agent,2011_2012_Salary,Id.Date,Draftexpress_Player_Bio_URL,Draftexpress_Comprehensive_Player_Stats_UR,Draftexpress_Agent_URL,Draftexpress_Team_URL
Al Jefferson,Jazz,Excel Sports Management,Jeff Schwartz,,"$14,000,000.00",6/30/2012,http://draftexpress.com/profile/Al-Jefferson-2979/,http://draftexpress.com/profile/Al-Jefferson-2979/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Jazz-25/
Kevin Durant,Thunder,Landmark Sports Agency,Rob Pelinka,,"$13,603,750.00",6/30/2012,http://draftexpress.com/profile/Kevin-Durant-390/,http://draftexpress.com/profile/Kevin-Durant-390/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/Thunder-24/
Andre Iguodala,76ers,Landmark Sports Agency,Rob Pelinka,,"$13,531,750.00",6/30/2012,http://draftexpress.com/profile/Andre-Iguodala-2918/,http://draftexpress.com/profile/Andre-Iguodala-2918/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/76-ers-4/
Carlos Boozer,Bulls,Landmark Sports Agency,Rob Pelinka,,"$13,500,000.00",6/30/2012,http://draftexpress.com/profile/Carlos-Boozer-1734/,http://draftexpress.com/profile/Carlos-Boozer-1734/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/Bulls-6/
Tyson Chandler,Knicks,Excel Sports Management,Jeff Schwartz,,"$13,107,837.00",6/30/2012,http://draftexpress.com/profile/Tyson-Chandler-1974/,http://draftexpress.com/profile/Tyson-Chandler-1974/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Knicks-3/
Nene,Wizards,Lagardere Unlimited,Dan Fegan,,"$13,000,000.00",6/30/2012,http://draftexpress.com/profile/Nene--2826/,http://draftexpress.com/profile/Nene--2826/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Wizards-15/
Manu Ginobili,Spurs,Interperformances,Herb Rudoy,Luciano Capicchioni,"$12,981,038.00",6/30/2012,http://draftexpress.com/profile/Manu-Ginobili-2562/,http://draftexpress.com/profile/Manu-Ginobili-2562/stats,http://draftexpress.com/agents/agency/Interperformances-9/,http://draftexpress.com/clubhouse/Spurs-20/
Marc Gasol,Grizzlies,Interperformances,Herb Rudoy,,"$12,922,194.00",6/30/2012,http://draftexpress.com/profile/Marc-Gasol-155/,http://draftexpress.com/profile/Marc-Gasol-155/stats,http://draftexpress.com/agents/agency/Interperformances-9/,http://draftexpress.com/clubhouse/Grizzlies-18/
Tony Parker,Spurs,Creative Artists Agency,Steven Heumann,,"$12,500,000.00",6/30/2012,http://draftexpress.com/profile/Tony-Parker-3870/,http://draftexpress.com/profile/Tony-Parker-3870/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Spurs-20/
Emeka Okafor,Hornets,Excel Sports Management,Jeff Schwartz,,"$12,492,500.00",6/30/2012,http://draftexpress.com/profile/Emeka-Okafor-3810/,http://draftexpress.com/profile/Emeka-Okafor-3810/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Hornets-19/
Josh Smith,Hawks,Shibumi Sports,Brian Dyke,Wallace Prather,"$12,400,000.00",6/30/2012,http://draftexpress.com/profile/Josh-Smith-4421/,http://draftexpress.com/profile/Josh-Smith-4421/stats,http://draftexpress.com/agents/agency/Shibumi-Sports-61/,http://draftexpress.com/clubhouse/Hawks-11/
Luol Deng,Bulls,Interperformances,Herb Rudoy,,"$12,325,000.00",6/30/2012,http://draftexpress.com/profile/Luol-Deng-2210/,http://draftexpress.com/profile/Luol-Deng-2210/stats,http://draftexpress.com/agents/agency/Interperformances-9/,http://draftexpress.com/clubhouse/Bulls-6/
Danny Granger,Pacers,Priority Sports,Mark Bartelstein,,"$12,215,904.00",6/30/2012,http://draftexpress.com/profile/Danny-Granger-86/,http://draftexpress.com/profile/Danny-Granger-86/stats,http://draftexpress.com/agents/agency/Priority-Sports-11/,http://draftexpress.com/clubhouse/Pacers-9/
Chris Kaman,Hornets,Landmark Sports Agency,Rob Pelinka,,"$12,200,000.00",6/30/2012,http://draftexpress.com/profile/Chris-Kaman-3099/,http://draftexpress.com/profile/Chris-Kaman-3099/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/Hornets-19/
Al Horford,Hawks,Wasserman Media Group,Arn Tellem,,"$12,000,000.00",6/30/2012,http://draftexpress.com/profile/Al-Horford-415/,http://draftexpress.com/profile/Al-Horford-415/stats,http://draftexpress.com/agents/agency/Wasserman-Media-Group-14/,http://draftexpress.com/clubhouse/Hawks-11/
Andrew Bogut,Warriors,DB Hoops,David Bauman,,"$12,000,000.00",6/30/2012,http://draftexpress.com/profile/Andrew-Bogut-70/,http://draftexpress.com/profile/Andrew-Bogut-70/stats,http://draftexpress.com/agents/agency/DB-Hoops-80/,http://draftexpress.com/clubhouse/Warriors-26/
Joakim Noah,Bulls,Blackwave Media Group,Bill Strickland,Donald Dell,"$12,000,000.00",6/30/2012,http://draftexpress.com/profile/Joakim-Noah-589/,http://draftexpress.com/profile/Joakim-Noah-589/stats,http://draftexpress.com/agents/agency/Blackwave-Media-Group-91/,http://draftexpress.com/clubhouse/Bulls-6/
LaMarcus Aldridge,Trailblazers,Wasserman Media Group,Arn Tellem,Thad Foucher,"$11,872,000.00",6/30/2012,http://draftexpress.com/profile/LaMarcus-Aldridge-55/,http://draftexpress.com/profile/LaMarcus-Aldridge-55/stats,http://draftexpress.com/agents/agency/Wasserman-Media-Group-14/,http://draftexpress.com/clubhouse/Trailblazers-23/
Steve Nash,Suns,BDA Sports,Bill Duffy,,"$11,689,062.00",6/30/2012,http://draftexpress.com/profile/Steve-Nash-3719/,http://draftexpress.com/profile/Steve-Nash-3719/stats,http://draftexpress.com/agents/agency/BDA-Sports-2/,http://draftexpress.com/clubhouse/Suns-29/
David Lee,Warriors,Priority Sports,Mark Bartelstein,,"$11,610,000.00",6/30/2012,http://draftexpress.com/profile/David-Lee-87/,http://draftexpress.com/profile/David-Lee-87/stats,http://draftexpress.com/agents/agency/Priority-Sports-11/,http://draftexpress.com/clubhouse/Warriors-26/
Ben Gordon,Pistons,IAM Sports,Raymond Brothers,,"$11,600,000.00",6/30/2012,http://draftexpress.com/profile/Ben-Gordon-2585/,http://draftexpress.com/profile/Ben-Gordon-2585/stats,http://draftexpress.com/agents/agency/IAM-Sports-94/,http://draftexpress.com/clubhouse/Pistons-8/
Kevin Martin,Rockets,Lagardere Unlimited,Dan Fegan,Stu Lash,"$11,519,840.00",6/30/2012,http://draftexpress.com/profile/Kevin-Martin-3450/,http://draftexpress.com/profile/Kevin-Martin-3450/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Rockets-17/
Jason Terry,Mavericks,Lagardere Unlimited,Dan Fegan,Byron Irvin,"$11,158,000.00",6/30/2012,http://draftexpress.com/profile/Jason-Terry-4564/,http://draftexpress.com/profile/Jason-Terry-4564/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Mavericks-16/
Marcus Camby,Rockets,No Affiliated Agency,Richard Kaplan,,"$11,071,500.00",6/30/2012,http://draftexpress.com/profile/Marcus-Camby-1917/,http://draftexpress.com/profile/Marcus-Camby-1917/stats,http://draftexpress.com/agents/agency/NO-AFFILIATED-AGENCY-0/,http://draftexpress.com/clubhouse/Rockets-17/
Monta Ellis,Bucks,Peake Management Group,Jeffrey Fried,,"$11,000,000.00",6/30/2012,http://draftexpress.com/profile/Monta-Ellis-289/,http://draftexpress.com/profile/Monta-Ellis-289/stats,http://draftexpress.com/agents/agency/Peake-Management-Group--29/,http://draftexpress.com/clubhouse/Bucks-10/
Mehmet Okur,Trailblazers,Entersport,Marc Fleisher,,"$10,890,000.00",6/30/2012,http://draftexpress.com/profile/Mehmet-Okur-3811/,http://draftexpress.com/profile/Mehmet-Okur-3811/stats,http://draftexpress.com/agents/agency/Entersport-21/,http://draftexpress.com/clubhouse/Trailblazers-23/
Hedo Turkoglu,Magic,Williams & Connolly,Jim Tanner,,"$10,600,000.00",6/30/2012,http://draftexpress.com/profile/Hedo-Turkoglu-4657/,http://draftexpress.com/profile/Hedo-Turkoglu-4657/stats,http://draftexpress.com/agents/agency/Williams-&-Connolly-15/,http://draftexpress.com/clubhouse/Magic-14/
Ray Allen,Celtics,Williams & Connolly,Jim Tanner,,"$10,500,000.00",6/30/2012,http://draftexpress.com/profile/Ray-Allen-1485/,http://draftexpress.com/profile/Ray-Allen-1485/stats,http://draftexpress.com/agents/agency/Williams-&-Connolly-15/,http://draftexpress.com/clubhouse/Celtics-1/
Corey Maggette,Bobcats,Landmark Sports Agency,Rob Pelinka,,"$10,262,069.00",6/30/2012,http://draftexpress.com/profile/Corey-Maggette-3394/,http://draftexpress.com/profile/Corey-Maggette-3394/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/Bobcats-12/
DeAndre Jordan,Clippers,Wasserman Media Group,Greg Lawrence,,"$10,079,404.00",6/30/2012,http://draftexpress.com/profile/DeAndre-Jordan-1072/,http://draftexpress.com/profile/DeAndre-Jordan-1072/stats,http://draftexpress.com/agents/agency/Wasserman-Media-Group-14/,http://draftexpress.com/clubhouse/Clippers-27/
Rajon Rondo,Celtics,BDA Sports,Bill Duffy,,"$10,045,455.00",6/30/2012,http://draftexpress.com/profile/Rajon-Rondo-216/,http://draftexpress.com/profile/Rajon-Rondo-216/stats,http://draftexpress.com/agents/agency/BDA-Sports-2/,http://draftexpress.com/clubhouse/Celtics-1/
David West,Pacers,Octagon,Lance Young,Jeff Austin,"$10,000,000.00",6/30/2012,http://draftexpress.com/profile/David-West-4823/,http://draftexpress.com/profile/David-West-4823/stats,http://draftexpress.com/agents/agency/Octagon-10/,http://draftexpress.com/clubhouse/Pacers-9/
Jose Calderon,Raptors,Priority Sports,Mark Bartelstein,,"$9,780,991.00",6/30/2012,http://draftexpress.com/profile/Jose-Calderon-5125/,http://draftexpress.com/profile/Jose-Calderon-5125/stats,http://draftexpress.com/agents/agency/Priority-Sports-11/,http://draftexpress.com/clubhouse/Raptors-5/
Gerald Wallace,Nets,Landmark Sports Agency,Rob Pelinka,,"$9,500,000.00",6/30/2012,http://draftexpress.com/profile/Gerald-Wallace-4748/,http://draftexpress.com/profile/Gerald-Wallace-4748/stats,http://draftexpress.com/agents/agency/Landmark-Sports-Agency-71/,http://draftexpress.com/clubhouse/Nets-2/
Richard Jefferson,Warriors,Stratosphere Sports,Todd Eley,,"$9,282,000.00",6/30/2012,http://draftexpress.com/profile/Richard-Jefferson-2978/,http://draftexpress.com/profile/Richard-Jefferson-2978/stats,http://draftexpress.com/agents/agency/Stratosphere-Sports-42/,http://draftexpress.com/clubhouse/Warriors-26/
Stephen Jackson,Spurs,Lagardere Unlimited,Dan Fegan,Byron Irvin,"$9,256,500.00",6/30/2012,http://draftexpress.com/profile/Stephen-Jackson-2950/,http://draftexpress.com/profile/Stephen-Jackson-2950/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Spurs-20/
Andrea Bargnani,Raptors,Creative Artists Agency,Leon Rose,Antonio Ricciotti,"$9,250,000.00",6/30/2012,http://draftexpress.com/profile/Andrea-Bargnani-154/,http://draftexpress.com/profile/Andrea-Bargnani-154/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Raptors-5/
Devin Harris,Jazz,Creative Artists Agency,Henry Thomas,,"$9,205,000.00",6/30/2012,http://draftexpress.com/profile/Devin-Harris-2746/,http://draftexpress.com/profile/Devin-Harris-2746/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Jazz-25/
Andris Biedrins,Warriors,BDA Sports,Bill Duffy,Rade Filipovich,"$9,000,000.00",6/30/2012,http://draftexpress.com/profile/Andris-Biedrins-1680/,http://draftexpress.com/profile/Andris-Biedrins-1680/stats,http://draftexpress.com/agents/agency/BDA-Sports-2/,http://draftexpress.com/clubhouse/Warriors-26/
Boris Diaw,Bobcats,The Neustadt Group,Doug Neustadt,,"$9,000,000.00",6/30/2012,http://draftexpress.com/profile/Boris-Diaw-2220/,http://draftexpress.com/profile/Boris-Diaw-2220/stats,http://draftexpress.com/agents/agency/The-Neustadt-Group-26/,http://draftexpress.com/clubhouse/Bobcats-12/
Lamar Odom,Mavericks,Excel Sports Management,Jeff Schwartz,,"$8,900,000.00",6/30/2012,http://draftexpress.com/profile/Lamar-Odom-3804/,http://draftexpress.com/profile/Lamar-Odom-3804/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Mavericks-16/
Luis Scola,Rockets,AAI Sports,George Bass,,"$8,591,793.00",6/30/2012,http://draftexpress.com/profile/Luis-Scola-5184/,http://draftexpress.com/profile/Luis-Scola-5184/stats,http://draftexpress.com/agents/agency/AAI-Sports-40/,http://draftexpress.com/clubhouse/Rockets-17/
Carl Landry,Hornets,IM Sports,Buddy Baker,,"$8,500,000.00",6/30/2012,http://draftexpress.com/profile/Carl-Landry-461/,http://draftexpress.com/profile/Carl-Landry-461/stats,http://draftexpress.com/agents/agency/IM-Sports-23/,http://draftexpress.com/clubhouse/Hornets-19/
Jason Kidd,Mavericks,Excel Sports Management,Jeff Schwartz,,"$8,500,000.00",6/30/2012,http://draftexpress.com/profile/Jason-Kidd-3144/,http://draftexpress.com/profile/Jason-Kidd-3144/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Mavericks-16/
John Salmons,Kings,Bell Management International,Joel Bell,,"$8,500,000.00",6/30/2012,http://draftexpress.com/profile/John-Salmons-4214/,http://draftexpress.com/profile/John-Salmons-4214/stats,http://draftexpress.com/agents/agency/Bell-Management-International-50/,http://draftexpress.com/clubhouse/Kings-30/
Maurice Williams,Clippers,Priority Sports,Mark Bartelstein,Reggie Brown,"$8,500,000.00",6/30/2012,http://draftexpress.com/profile/Maurice-Williams-4926/,http://draftexpress.com/profile/Maurice-Williams-4926/stats,http://draftexpress.com/agents/agency/Priority-Sports-11/,http://draftexpress.com/clubhouse/Clippers-27/
Rodney Stuckey,Pistons,Creative Artists Agency,Leon Rose,,"$8,500,000.00",6/30/2012,http://draftexpress.com/profile/Rodney-Stuckey-1015/,http://draftexpress.com/profile/Rodney-Stuckey-1015/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Pistons-8/
Paul Millsap,Jazz,Vartanian/Simmons Sports Management,DeAngelo Simmons,Ara Vartanian,"$8,103,435.00",6/30/2012,http://draftexpress.com/profile/Paul-Millsap-299/,http://draftexpress.com/profile/Paul-Millsap-299/stats,http://draftexpress.com/agents/agency/Vartanian-Simmons-Sports-Management--60/,http://draftexpress.com/clubhouse/Jazz-25/
Caron Butler,Clippers,IAM Sports,Raymond Brothers,,"$8,000,000.00",6/30/2012,http://draftexpress.com/profile/Caron-Butler-1894/,http://draftexpress.com/profile/Caron-Butler-1894/stats,http://draftexpress.com/agents/agency/IAM-Sports-94/,http://draftexpress.com/clubhouse/Clippers-27/
Kirk Hinrich,Hawks,Octagon,Jeff Austin,,"$8,000,000.00",6/30/2012,http://draftexpress.com/profile/Kirk-Hinrich-2836/,http://draftexpress.com/profile/Kirk-Hinrich-2836/stats,http://draftexpress.com/agents/agency/Octagon-10/,http://draftexpress.com/clubhouse/Hawks-11/
Kris Humphries,Nets,Lagardere Unlimited,Dan Fegan,Byron Irvin,"$8,000,000.00",6/30/2012,http://draftexpress.com/profile/Kris-Humphries-2903/,http://draftexpress.com/profile/Kris-Humphries-2903/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Nets-2/
Andre Miller,Nuggets,ASM Sports,Andy Miller,,"$7,807,728.00",6/30/2012,http://draftexpress.com/profile/Andre-Miller-3598/,http://draftexpress.com/profile/Andre-Miller-3598/stats,http://draftexpress.com/agents/agency/ASM-Sports-1/,http://draftexpress.com/clubhouse/Nuggets-21/
Shawn Marion,Mavericks,Lagardere Unlimited,Dan Fegan,Byron Irvin,"$7,725,932.00",6/30/2012,http://draftexpress.com/profile/Shawn-Marion-3426/,http://draftexpress.com/profile/Shawn-Marion-3426/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Mavericks-16/
Anderson Varejao,Cavaliers,Lagardere Unlimited,Dan Fegan,,"$7,700,000.00",6/30/2012,http://draftexpress.com/profile/Anderson-Varejao-4699/,http://draftexpress.com/profile/Anderson-Varejao-4699/stats,http://draftexpress.com/agents/agency/Lagardere-Unlimited-90/,http://draftexpress.com/clubhouse/Cavaliers-7/
