Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
47,Taylor Watson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529371&Q_SEASON=2012,S,5/10/13,205,RSO,"Simpsonville, SC ",Simpsonville,SC,Woodmont,,,,Clemson University,2012-2013
48,D.J. Reader,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530749&Q_SEASON=2012,DT,6/2/13,335,FR,"Greensboro, NC ",Greensboro,NC,Grimsley,,,,Clemson University,2012-2013
49,Beau Brown,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529434&Q_SEASON=2012,S,6/1/00,195,RFR,"Beaufort, SC ",Beaufort,SC,Beaufort,,,,Clemson University,2012-2013
50,Grady Jarrett,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529400&Q_SEASON=2012,DT,6/1/13,290,SO,"Conyers, GA ",Conyers,GA,Rockdale County,,,,Clemson University,2012-2013
51,Jim Brown,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529436&Q_SEASON=2012,LS,6/3/13,235,RFR,"Walterboro, SC ",Walterboro,SC,Pinewood Prep,,,,Clemson University,2012-2013
51,Harrison Tucker,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529377&Q_SEASON=2012,OG,6/3/13,290,RFR,"Ninety Six, SC ",Ninety Six,SC,Ninety Six,,,,Clemson University,2012-2013
52,Phillip Fajgenbaum,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529435&Q_SEASON=2012,LS,6/1/00,220,RJR,"Raleigh, NC ",Raleigh,NC,Ravenscroft School,,,,Clemson University,2012-2013
52,Kellen Jones,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205564208&Q_SEASON=2012,LB,6/1/13,215,SO,"Houston, TX ",Houston,TX,St. Pius X HS,,,,Clemson University,2012-2013
53,Martin Aiken,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530484&Q_SEASON=2012,DE,6/2/13,255,FR,"Smoaks, SC ",Smoaks,SC,Bamberg-Ehrhardt,,,,Clemson University,2012-2013
55,Dalton Freeman,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529413&Q_SEASON=2012,C,6/5/13,285,GR,"Pelion, SC ",Pelion,SC,Pelion,,,,Clemson University,2012-2013
56,Collins Mauldin,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529344&Q_SEASON=2012,DE,6/1/13,230,RFR,"Rock Hill, SC ",Rock Hill,SC,Northwestern,,,,Clemson University,2012-2013
56,Sam Van Gieson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529365&Q_SEASON=2012,LS,5/8/13,185,GR,"Greer, SC ",Greer,SC,Riverside,,,,Clemson University,2012-2013
57,Jay Guillermo,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530485&Q_SEASON=2012,C,6/2/13,290,FR,"Maryville, TN ",Maryville,TN,Maryville,,,,Clemson University,2012-2013
58,Ryan Norton,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529446&Q_SEASON=2012,C,6/3/13,270,RFR,"Simpsonville, SC ",Simpsonville,SC,Mauldin,,,,Clemson University,2012-2013
