,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
122,Women's College Basketball,NCAA Women's Basketball,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
123,Women's Professional Golf,LPGA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
124,Women's Professional Basketball,WNBA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
125,Women's Professional Soccer,NA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
126,Women's Professional Tennis,WTA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
127,Auto Racing,NA,1998,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
128,Professional Baseball,MLB,1998,0.18,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
129,Bowling,NA,1998,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
130,Boxing,NA,1998,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
131,College Football,NCAA Men's Football,1998,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
132,Professional Hockey,NHL,1998,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
133,Horse Racing,NA,1998,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
134,Men's College Basketball,NCAA Men's Basketball,1998,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
135,Men's Professional Golf,PGA,1998,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
136,Men's Professional Basketball,NBA,1998,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
137,Men's Professional Soccer,NA,1998,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
138,Men's Professional Tennis,USTA,1998,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
139,Not sure,NA,1998,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
140,Professional Football,NFL,1998,0.26,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
141,Swimming,NA,1998,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
142,Track & Field,NA,1998,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
143,Women's College Basketball,NCAA Women's Basketball,1998,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
144,Women's Professional Golf,LPGA,1998,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
145,Women's Professional Basketball,WNBA,1998,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
146,Women's Professional Soccer,NA,1998,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
147,Women's Professional Tennis,WTA,1998,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
148,Auto Racing,NA,2002,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
149,Professional Baseball,MLB,2002,0.14,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
150,Bowling,NA,2002,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
151,Boxing,NA,2002,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
