School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Louisville,27,MATHEMATICS AND STATISTICS.,College Major,1,0.016393443
Louisville,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,19,0.31147541
Louisville,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,8,0.131147541
Louisville,45,SOCIAL SCIENCES.,College Major,2,0.032786885
Louisville,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.131147541
Michigan,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,4,0.051948052
Michigan,14,ENGINEERING.,College Major,2,0.025974026
Michigan,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",College Major,1,0.012987013
Michigan,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,47,0.61038961
Michigan,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.012987013
Michigan,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.025974026
Michigan,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,10,0.12987013
Michigan,40,PHYSICAL SCIENCES.,College Major,1,0.012987013
Michigan,45,SOCIAL SCIENCES.,College Major,7,0.090909091
Michigan,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,1,0.012987013
Michigan,54,HISTORY.,College Major,1,0.012987013
Nebraska,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,2,0.019607843
Nebraska,3,NATURAL RESOURCES AND CONSERVATION.,College Major,2,0.019607843
Nebraska,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,5,0.049019608
Nebraska,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,5,0.049019608
Nebraska,13,EDUCATION.,College Major,5,0.049019608
Nebraska,14,ENGINEERING.,College Major,5,0.049019608
Nebraska,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,2,0.019607843
Nebraska,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,20,0.196078431
Nebraska,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.039215686
Nebraska,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,2,0.019607843
Nebraska,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.029411765
Nebraska,42,PSYCHOLOGY.,College Major,3,0.029411765
Nebraska,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.009803922
Nebraska,45,SOCIAL SCIENCES.,College Major,13,0.12745098
Nebraska,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.009803922
Nebraska,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,27,0.264705882
Nebraska,54,HISTORY.,College Major,2,0.019607843
Northern Illinois,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,7,0.072916667
Northern Illinois,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.010416667
Northern Illinois,13,EDUCATION.,College Major,1,0.010416667
Northern Illinois,14,ENGINEERING.,College Major,7,0.072916667
