Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_hd2003.idx_gr:vl-unitid of parent institution reporting graduation rates
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,2,4,5,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,7,5,2,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,6,6,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,13,13,0,10,10,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,1,5,2,0,2,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,2,6,7,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,5,5,0,8,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,0,4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,5,5,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,38,18,20,33,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,11,11,0,9,9,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,4,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,4,7,8,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,4,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,25,11,14,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,1,5,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,37,11,26,31,10,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,4,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,1,4,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,2,5,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,23,23,0,7,7,0,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,28,6,22,23,6,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,1,4,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,4,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,42,15,27,37,12,25,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,10,5,5,7,4,3,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,33,12,21,30,11,19,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,3,5,6,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,14,14,0,9,9,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,29,9,20,21,5,16,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,6,3,3,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,5,3,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,10,3,7,7,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,14,14,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,17,5,12,12,3,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,2,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,55,23,32,46,20,26,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,5,2,3,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,2,5,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,1,0,1,2,0,2,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,14,3,11,9,2,7,2,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,6,6,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,37,14,23,32,14,18,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,3,7,8,2,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,8,6,2,7,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,34,15,19,26,10,16,6,3,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,4,2,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,16,16,0,8,8,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,34,15,19,26,10,16,6,3,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,16,16,0,8,8,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,55,30,25,54,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,4,4,1,0,1,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,16,8,8,11,6,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,3,3,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,45,21,24,44,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,3,2,1,0,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,6,4,8,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,12,12,0,2,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,57,24,33,44,18,26,3,2,1,3,0,3,1,0,1,0,0,0,0,0,0,6,4,2,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,3,5,6,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,6,4,2,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,8,8,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,42,12,30,34,10,24,1,1,0,3,0,3,1,0,1,0,0,0,0,0,0,3,1,2,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,3,2,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,18,7,11,15,7,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,4,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,3,5,5,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,9,3,6,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,2,4,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,7,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,8,23,23,6,17,2,0,2,2,0,2,1,0,1,1,1,0,0,0,0,2,1,1,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,2,4,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,1,7,4,1,3,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,7,7,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,20,4,16,14,3,11,1,0,1,2,0,2,1,0,1,1,1,0,0,0,0,1,0,1,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,1,4,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
