Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2006.idx_gr:vl-unitid of parent institution reporting graduation rates
2005-2006,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),27,7,20,19,4,15,0,0,0,0,0,0,3,0,3,0,0,0,2,1,1,3,2,1,-2
2005-2006,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,23,5,18,18,4,14,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,2,1,1,-2
2005-2006,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,-2
2005-2006,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,0,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,0,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,7,7,0,9,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,4,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),26,10,16,24,10,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,24,9,15,22,9,13,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,1,6,3,0,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,1,6,3,0,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,131496,Georgetown University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),32,13,19,22,9,13,2,0,2,3,1,2,2,1,1,0,0,0,0,0,0,3,2,1,-2
2005-2006,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,22,6,16,16,4,12,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,2,2,0,-2
2005-2006,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
