"","X","season","pst_team","player","date","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url","position","tm","team","data_season"
"192",354,2008,"Blue Jays","Alex Rios","4/4/08","re-signed to a 6-year, $64M contract through 2014 with a $13.5M team option for 2015","re-signinging",0,6,2008,2014,"$13.5M team option for 2015",2008,"http://www.baseball-reference.com/players/r/riosal01.shtml","Rightfielder","TOR","Toronto Blue Jays",2007
"128",402,2008,"Yankees","Alex Rodriguez","12/13/07","re-signed to a 10-year contract through 2015","re-signinging",0,10,2008,2015,"",2007,"http://www.baseball-reference.com/players/r/rodrial01.shtml","Shortstop, Third Baseman","NYY","New York Yankees",2007
"183",37,1984,"Blue Jays","Alfredo Griffin","12/7/83","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1983,"http://www.baseball-reference.com/players/g/griffal01.shtml","Shortstop","TOR","Toronto Blue Jays",1983
"162",732,2013,"Cardinals","Allen Craig","3/8/13","re-signed to a 5-year contract extension through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2013,"http://www.baseball-reference.com/players/c/craigal01.shtml","First Baseman, Outfielder","STL","St. Louis Cardinals",2012
"96",623,2012,"Dodgers","Andre Ethier","6/12/12","re-signed to a 5-year contract extension through 2017","re-signinging",0,5,2012,2017,"",2012,"http://www.baseball-reference.com/players/e/ethiean01.shtml","Rightfielder","LAD","Los Angeles Dodgers",2011
"148",671,2012,"Pirates","Andrew McCutchen","3/4/12","re-signed to a 6-year contract extension through 2017 with an option for 2018","re-signinging",0,6,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/m/mccutan01.shtml","Centerfielder","PIT","Pittsburgh Pirates",2011
"9",125,2002,"Braves","Andruw Jones","11/13/01","re-signed to a 6-year contract extension","re-signinging",0,6,2002,2008,"",2001,"http://www.baseball-reference.com/players/j/jonesan01.shtml","Centerfielder","ATL","Atlanta Braves",2001
"69",741,2013,"Tigers","Anibal Sanchez","12/14/12","re-signed free agent to a 5-year contract through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2012,"http://www.baseball-reference.com/players/s/sanchan01.shtml","Pitcher","DET","Detroit Tigers",2012
"46",734,2013,"Cubs","Anthony Rizzo","5/12/13","re-signed to a 7-year contract extension through 2019 with options for 2020-21","re-signinging",0,7,2013,2019,"options for 2020-21",2013,"http://www.baseball-reference.com/players/r/rizzoan01.shtml","First Baseman","CHC","Chicago Cubs",2012
"43",286,2007,"Cubs","Aramis Ramirez","11/12/06","re-signed free agent to a 5-year, $75M contract through 2011 with a mutual option for 2012","re-signinging",75,5,2007,2011,"mutual option for 2012",2006,"http://www.baseball-reference.com/players/r/ramirar01.shtml","Third Baseman","CHC","Chicago Cubs",2006
"50",492,2010,"Reds","Aroldis Chapman","1/11/10","signed free agent to a 6-year contract through 2015","free agency",0,6,2010,2015,"",2010,"http://www.baseball-reference.com/players/c/chapmar01.shtml","Pitcher","CIN","Cincinnati Reds",2009
"190",213,2006,"Blue Jays","B.J. Ryan","11/28/05","signed free agent to a 5-year, $47M contract","free agency",47,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/r/ryanb.01.shtml","Pitcher","TOR","Toronto Blue Jays",2005
"12",731,2013,"Braves","B.J. Upton","11/28/12","signed free agent to a 5-year contract through 2017","free agency",0,5,2013,2017,"",2012,"http://www.baseball-reference.com/players/u/uptonbj01.shtml","Centerfielder, Third Baseman, Second Baseman","ATL","Atlanta Braves",2012
"154",127,2002,"Giants","Barry Bonds","1/14/02","re-signed to a 5-year contract","re-signinging",0,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/b/bondsba01.shtml","Leftfielder","SFG","San Francisco Giants",2001
"155",294,2007,"Giants","Barry Zito","12/29/06","signed unrestricted free agent to a 7-year contract through 2013 with a team option for 2014","free agency",0,7,2007,2013,"team option for 2014",2006,"http://www.baseball-reference.com/players/z/zitoba01.shtml","Pitcher","SFG","San Francisco Giants",2006
"45",30,1982,"Cubs","Bill Buckner","2/18/82","re-signed to a 5-year, $2.6M contract","re-signinging",2.6,5,1982,1987,"",1982,"http://www.baseball-reference.com/players/b/bucknbi01.shtml","First Baseman, Leftfielder","CHC","Chicago Cubs",1981
"136",128,2002,"Phillies","Bobby Abreu","2/20/02","re-signed to a 5-year, $64M contract extension","re-signinging",64,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/a/abreubo01.shtml","Rightfielder","PHI","Philadelphia Phillies",2001
"115",71,1992,"Mets","Bobby Bonilla","12/2/91","signed free agent (from White Sox) to a 5-year, $29M contract","free agency",29,5,1992,1997,"",1991,"http://www.baseball-reference.com/players/b/bonilbo01.shtml","Third Baseman, Rightfielder, First Baseman","NYM","New York Mets",1991
"13",82,1998,"Orioles","Brady Anderson","12/7/97","re-signed free agent to a 5-year, $31M contract","re-signinging",31,5,1998,2003,"",1997,"http://www.baseball-reference.com/players/a/anderbr01.shtml","Outfielder","BAL","Baltimore Orioles",1997
"53",716,2012,"Reds","Brandon Phillips","4/10/12","re-signed to a 6-year contract through 2017","re-signinging",0,6,2012,2017,"",2012,"http://www.baseball-reference.com/players/p/phillbr01.shtml","Second Baseman","CIN","Cincinnati Reds",2011
"10",263,2007,"Braves","Brian McCann","3/22/07","re-signed to a 6-year contract through 2012 with a 1-year team option for 2013","re-signinging",0,6,2007,2012,"1-year team option for 2013",2007,"http://www.baseball-reference.com/players/m/mccanbr01.shtml","Catcher","ATL","Atlanta Braves",2006
"8",49,1985,"Braves","Bruce Sutter","12/7/84","signed to a 6-year, $10M contract","free agency",10,6,1985,1991,"",1984,"http://www.baseball-reference.com/players/s/suttebr01.shtml","Pitcher","ATL","Atlanta Braves",1984
"87",594,2012,"Angels","C.J. Wilson","12/8/11","signed free agent to a 5-year contract through 2016","free agency",0,5,2012,2016,"",2011,"http://www.baseball-reference.com/players/w/wilsocj01.shtml","Pitcher","LAA","Los Angeles Angels of Anaheim",2011
"152",662,2012,"Padres","Cameron Maybin","3/3/12","re-signed to a 5-year contract extension through 2016 with an option for 2017","re-signinging",0,5,2012,2016,"an option for 2017",2012,"http://www.baseball-reference.com/players/m/maybica01.shtml","Centerfielder","SDP","San Diego Padres",2011
"30",552,2011,"Red Sox","Carl Crawford","12/9/10","signed free agent to a 7-year contract through 2017 (date 12-11 per CBC E MLB)","free agency",0,7,2011,2017,"",2010,"http://www.baseball-reference.com/players/c/crawfca02.shtml","Leftfielder","BOS","Boston Red Sox",2010
"168",175,2005,"Rays","Carl Crawford","4/1/05","re-signed to a 6-year contract","re-signinging",0,6,2005,2011,"",2005,"http://www.baseball-reference.com/players/c/crawfca02.shtml","Leftfielder","TBD","Tampa Bay Devil Rays",2004
"116",195,2005,"Mets","Carlos Beltran","1/11/05","signed free agent to a 7-year, $119M contract","free agency",119,7,2005,2012,"",2005,"http://www.baseball-reference.com/players/b/beltrca01.shtml","Centerfielder","NYM","New York Mets",2004
"63",578,2011,"Rockies","Carlos Gonzalez","1/11/11","re-signed to a 7-year contract extension through 2017","re-signinging",0,7,2011,2017,"",2011,"http://www.baseball-reference.com/players/g/gonzaca01.shtml","Outfielder","COL","Colorado Rockies",2010
"78",252,2007,"Astros","Carlos Lee","11/24/06","signed free agent (from Rangers) to a 6-year contract","free agency",0,6,2007,2013,"",2006,"http://www.baseball-reference.com/players/l/leeca01.shtml","Leftfielder, First Baseman","HOU","Houston Astros",2006
"59",643,2012,"Indians","Carlos Santana","4/10/12","re-signed to a 5-year contract through 2016 with a team option for 2017","re-signinging",0,5,2012,2016,"team option for 2017",2012,"http://www.baseball-reference.com/players/s/santaca01.shtml","Catcher, First Baseman","CLE","Cleveland Indians",2011
"40",271,2007,"Cubs","Carlos Zambrano","8/17/07","re-signed to a 5-year contract extension through 2012 with a 1-year option for 2013","re-signinging",0,5,2007,2012,"1-year option for 2013",2007,"http://www.baseball-reference.com/players/z/zambrca01.shtml","Pitcher","CHC","Chicago Cubs",2006
"129",437,2009,"Yankees","CC Sabathia","12/11/08","signed free agent to a 7-year contract through 2015 (date 12-18 per CBC E MLB)","free agency",0,7,2009,2015,"",2008,"http://www.baseball-reference.com/players/s/sabatc.01.shtml","Pitcher","NYY","New York Yankees",2008
"174",131,2002,"Rangers","Chan Ho Park","12/22/01","signed free agent (from Dodgers) to a 5-year contract","free agency",0,5,2002,2007,"",2001,"http://www.baseball-reference.com/players/p/parkch01.shtml","Pitcher","TEX","Texas Rangers",2001
"71",105,2001,"Marlins","Charles Johnson","12/18/00","signed free agent (from White Sox) to a 5-year contract","free agency",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/j/johnsch04.shtml","Catcher","FLA","Florida Marlins",2000
"140",303,2007,"Phillies","Chase Utley","1/21/07","re-signed to a 7-year contract extension","re-signinging",0,7,2007,2014,"",2007,"http://www.baseball-reference.com/players/u/utleych01.shtml","Second Baseman","PHI","Philadelphia Phillies",2006
"165",265,2007,"Cardinals","Chris Carpenter","12/4/06","re-signed to a 5-year contract extension through 2011 with a team option for 2012","re-signinging",0,5,2007,2011,"team option for 2012",2006,"http://www.baseball-reference.com/players/c/carpech01.shtml","Pitcher","STL","St. Louis Cardinals",2006
"49",742,2013,"White Sox","Chris Sale","3/7/13","re-signed to a 5-year contract extension through 2017 with options for 2018-19","re-signinging",0,5,2013,2017,"options for 2018-19",2013,"http://www.baseball-reference.com/players/s/salech01.shtml","Pitcher","CHW","Chicago White Sox",2012
"3",365,2008,"Diamondbacks","Chris Young","4/7/08","re-signed to a 5-year, ~$28M contract extension through 2013 with a team option for 2014","re-signinging",28,5,2008,2013,"team option for 2014",2008,"http://www.baseball-reference.com/players/y/youngch04.shtml","Centerfielder","ARI","Arizona Diamondbacks",2007
"142",524,2011,"Phillies","Cliff Lee","12/13/10","signed free agent to a 5-year contract through 2015 with an option for 2016","free agency",0,5,2011,2015,"an option for 2016",2010,"http://www.baseball-reference.com/players/l/leecl02.shtml","Pitcher","PHI","Philadelphia Phillies",2010
"143",663,2012,"Phillies","Cole Hamels","7/25/12","re-signed to a 6-year contract extension through 2018 with a 1-year option for 2019","re-signinging",0,6,2012,2018,"1-year option for 2019",2012,"http://www.baseball-reference.com/players/h/hamelco01.shtml","Pitcher","PHI","Philadelphia Phillies",2011
"112",13,1980,"Mets","Craig Swan","3/15/80","signed to a 5-year contract","free agency",0,5,1980,1985,"",1980,"http://www.baseball-reference.com/players/s/swancr01.shtml","Pitcher","NYM","New York Mets",1979
"66",398,2008,"Tigers","Curtis Granderson","2/4/08","re-signed to a 5-year, ~$30M contract with a team option for 2013","re-signinging",30,5,2008,2013,"",2008,"http://www.baseball-reference.com/players/g/grandcu01.shtml","Centerfielder","DET","Detroit Tigers",2007
"25",331,2007,"Red Sox","Daisuke Matsuzaka","12/14/06","signed free agent to a 6-year contract","free agency",0,6,2007,2013,"",2006,"http://www.baseball-reference.com/players/m/matsuda01.shtml","Pitcher","BOS","Boston Red Sox",2006
"186",40,1984,"Blue Jays","Damaso Garcia","2/14/84","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/g/garcida01.shtml","Second Baseman","TOR","Toronto Blue Jays",1983
"11",512,2011,"Braves","Dan Uggla","1/4/11","re-signed to a 5-year contract through 2015","re-signinging",0,5,2011,2015,"",2011,"http://www.baseball-reference.com/players/u/ugglada01.shtml","Second Baseman","ATL","Atlanta Braves",2010
"93",100,2001,"Dodgers","Darren Dreifort","12/11/00","re-signed to a 5-year contract","re-signinging",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/d/dreifda01.shtml","Pitcher","LAD","Los Angeles Dodgers",2000
"91",69,1991,"Dodgers","Darryl Strawberry","11/8/90","signed free agent (from Mets) to a 5-year, $20.3M contract","free agency",20.3,5,1991,1996,"",1990,"http://www.baseball-reference.com/players/s/strawda01.shtml","Rightfielder","LAD","Los Angeles Dodgers",1990
"74",21,1981,"Astros","Dave Roberts","12/10/80","signed free agent to a 5-year, $1.3M contract","free agency",1.3,5,1981,1986,"",1980,"http://www.baseball-reference.com/players/r/roberda06.shtml","Third Baseman, Catcher, Second Baseman","HOU","Houston Astros",1980
"121",28,1981,"Yankees","Dave Winfield","12/15/80","signed free agent (from Padres) to a 10-year contract","free agency",0,10,1981,1991,"",1980,"http://www.baseball-reference.com/players/w/winfida01.shtml","Rightfielder","NYY","New York Yankees",1980
"79",244,2006,"Royals","David DeJesus","3/9/06","re-signed to a 5-year, $13.5M contract with a 1-year team option for 2011","re-signinging",13.5,5,2006,2011,"",2006,"http://www.baseball-reference.com/players/d/dejesda01.shtml","Outfielder","KCR","Kansas City Royals",2005
"117",235,2006,"Mets","David Wright","8/6/06","re-signed to a 6-year contract extension with a team option for 2013","re-signinging",0,6,2006,2012,"",2006,"http://www.baseball-reference.com/players/w/wrighda03.shtml","Third Baseman","NYM","New York Mets",2005
"110",498,2010,"Twins","Denard Span","3/13/10","re-signed to a 5-year contract extension through 2014 with an option for 2015","re-signinging",0,5,2010,2014,"an option for 2015",2010,"http://www.baseball-reference.com/players/s/spande01.shtml","Centerfielder","MIN","Minnesota Twins",2009
"61",117,2001,"Rockies","Denny Neagle","12/4/00","signed free agent to a 5-year contract with a 1-year team option","free agency",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/n/neaglde01.shtml","Pitcher","COL","Colorado Rockies",2000
"180",675,2012,"Rangers","Derek Holland","3/20/12","re-signed to a 5-year contract extension through 2016 with options for 2017-18","re-signinging",0,5,2012,2016,"options for 2017-18",2012,"http://www.baseball-reference.com/players/h/hollade01.shtml","Pitcher","TEX","Texas Rangers",2011
"124",122,2001,"Yankees","Derek Jeter","2/9/01","re-signed to a 10-year contract","re-signinging",0,10,2001,2011,"",2001,"http://www.baseball-reference.com/players/j/jeterde01.shtml","Shortstop","NYY","New York Yankees",2000
"39",220,2006,"Cubs","Derrek Lee","4/10/06","re-signed to a 5-year, $65M contract through 2010","re-signinging",65,5,2006,2010,"",2006,"http://www.baseball-reference.com/players/l/leede02.shtml","First Baseman","CHC","Chicago Cubs",2005
"122",66,1990,"Yankees","Don Mattingly","4/9/90","re-signed to a 5-year contract extension through 1995","re-signinging",0,5,1990,1995,"",1990,"http://www.baseball-reference.com/players/m/mattido01.shtml","First Baseman, Outfielder","NYY","New York Yankees",1989
"90",11,1980,"Dodgers","Don Stanhouse","11/17/79","signed free agent (from Orioles) to a 5-year contract (date 11-19 per AP)","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/s/stanhdo01.shtml","Pitcher","LAD","Los Angeles Dodgers",1979
"113",23,1981,"Mets","Doug Flynn","3/16/81","signed to a 5-year, $2M contract","free agency",2,5,1981,1986,"",1981,"http://www.baseball-reference.com/players/f/flynndo01.shtml","Second Baseman, Shortstop, Third Baseman","NYM","New York Mets",1980
"27",421,2009,"Red Sox","Dustin Pedroia","12/3/08","re-signed to a 6-year contract extension through 2014 with an option for 2015","re-signinging",0,6,2009,2014,"an option for 2015",2008,"http://www.baseball-reference.com/players/p/pedrodu01.shtml","Second Baseman","BOS","Boston Red Sox",2008
"131",165,2004,"Athletics","Eric Chavez","3/18/04","re-signed to a 6-year contract extension","re-signinging",0,6,2004,2010,"",2004,"http://www.baseball-reference.com/players/c/chaveer01.shtml","Third Baseman","OAK","Oakland Athletics",2003
"187",142,2003,"Blue Jays","Eric Hinske","3/17/03","re-signed to a 5-year contract through 2007","re-signinging",0,5,2003,2007,"",2003,"http://www.baseball-reference.com/players/h/hinsker01.shtml","Third Baseman, Pinch Hitter, Outfielder","TOR","Toronto Blue Jays",2002
"171",389,2008,"Rays","Evan Longoria","4/18/08","re-signed to a 6-year, $17.5M contract extension with a team option for 2014 and a 2-year team option for 2015-16 ($44M if team exercises option years)","re-signinging",0,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/l/longoev01.shtml","Third Baseman","TBR","Tampa Bay Rays",2007
"60",739,2013,"Mariners","Felix Hernandez","2/12/13","re-signed to a 7-year contract extension through 2019","re-signinging",0,7,2013,2019,"",2013,"http://www.baseball-reference.com/players/h/hernafe02.shtml","Pitcher","CLE","Cleveland Indians",2012
"161",472,2010,"Mariners","Felix Hernandez","1/19/10","re-signed to a 5-year contract extension through 2014","re-signinging",0,5,2010,2014,"",2010,"http://www.baseball-reference.com/players/h/hernafe02.shtml","Pitcher","SEA","Seattle Mariners",2009
"83",248,2007,"Angels","Gary Matthews Jr.","11/22/06","signed free agent to a 5-year contract","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/m/matthga02.shtml","Outfielder","LAA","Los Angeles Angels of Anaheim",2006
"80",339,2007,"Royals","Gil Meche","12/7/06","signed free agent to a 5-year, $53M contract (plus $2M signing bonus)","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/m/mechegi01.shtml","Pitcher","KCR","Kansas City Royals",2006
"198",656,2012,"Nationals","Gio Gonzalez","1/15/12","re-signed to a 5-year contract extension through 2016 with options for 2017 and 2018","re-signinging",0,5,2012,2016,"options for 2017 and 2018",2012,"http://www.baseball-reference.com/players/g/gonzagi01.shtml","Pitcher","WSN","Washington Nationals",2011
"57",225,2006,"Indians","Grady Sizemore","3/29/06","re-signed to a 6-year, $23.45M contract through 2011 with a 1-year team option for 2012","re-signinging",23.45,6,2006,2011,"1-year team option for 2012",2006,"http://www.baseball-reference.com/players/s/sizemgr01.shtml","Centerfielder","CLE","Cleveland Indians",2005
"153",36,1983,"Giants","Greg Minton","12/10/82","signed to a 5-year contract","free agency",0,5,1983,1988,"",1982,"http://www.baseball-reference.com/players/m/mintogr01.shtml","Pitcher","SFG","San Francisco Giants",1982
"73",373,2008,"Marlins","Hanley Ramirez","5/17/08","re-signed to a 6-year, reported $70M contract extension through 2014","re-signinging",70,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/r/ramirha01.shtml","Shortstop, Third Baseman","FLA","Florida Marlins",2007
"100",738,2013,"Giants","Hunter Pence","9/28/13","re-signed to a 5-year contract extension through 2018","re-signinging",0,5,2013,2018,"",2013,"http://www.baseball-reference.com/players/p/pencehu01.shtml","Rightfielder","LAD","Los Angeles Dodgers",2012
"99",737,2013,"Dodgers","Hyun-jin Ryu","12/9/12","signed free agent to a 6-year contract through 2018","free agency",0,6,2013,2018,"",2012,"http://www.baseball-reference.com/players/r/ryuhy01.shtml","Pitcher","LAD","Los Angeles Dodgers",2012
"177",383,2008,"Rangers","Ian Kinsler","2/18/08","re-signed to a 5-year, $22M contract extension through 2012 with a $10M team option for 2013","re-signinging",0,5,2008,2012,"$10M team option for 2013",2008,"http://www.baseball-reference.com/players/k/kinslia01.shtml","Second Baseman","TEX","Texas Rangers",2007
"181",686,2012,"Rangers","Ian Kinsler","4/10/12","re-signed to a 5-year contract extension through 2017 with an option for 2018","re-signinging",0,5,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/k/kinslia01.shtml","Second Baseman","TEX","Texas Rangers",2011
"160",298,2007,"Mariners","Ichiro Suzuki","7/13/07","re-signed to a 5-year contract extension through 2012","re-signinging",0,5,2007,2012,"",2007,"http://www.baseball-reference.com/players/s/suzukic01.shtml","Rightfielder","SEA","Seattle Mariners",2006
"23",315,2007,"Red Sox","J.D. Drew","12/5/06","signed free agent to a 5-year contract","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/d/drewj.01.shtml","Rightfielder","BOS","Boston Red Sox",2006
"24",323,2007,"Red Sox","J.D. Drew","1/25/07","signed free agent to a 5-year contract through 2011 (date per CBC & ESPN)","free agency",0,5,2007,2011,"",2007,"http://www.baseball-reference.com/players/d/drewj.01.shtml","Rightfielder","BOS","Boston Red Sox",2006
"94",179,2005,"Dodgers","J.D. Drew","12/23/04","signed free agent to a 5-year contract","free agency",0,5,2005,2010,"",2004,"http://www.baseball-reference.com/players/d/drewj.01.shtml","Rightfielder","LAD","Los Angeles Dodgers",2004
"151",381,2008,"Padres","Jake Peavy","12/12/07","re-signed to a 5-year contract with a team option for 2013","re-signinging",0,5,2008,2013,"",2007,"http://www.baseball-reference.com/players/p/peavyja01.shtml","Pitcher","SDP","San Diego Padres",2007
"126",138,2002,"Yankees","Jason Giambi","12/13/01","signed free agent (from Athletics) to a 7-year contract with a 1-year team option","free agency",0,7,2002,2009,"",2001,"http://www.baseball-reference.com/players/g/giambja01.shtml","First Baseman, Designated Hitter, Leftfielder","NYY","New York Yankees",2001
"146",115,2001,"Pirates","Jason Kendall","11/17/00","re-signed to a 6-year contract extension","re-signinging",0,6,2001,2007,"",2000,"http://www.baseball-reference.com/players/k/kendaja01.shtml","Catcher","PIT","Pittsburgh Pirates",2000
"51",574,2011,"Reds","Jay Bruce","12/10/10","re-signed to a 6-year contract through 2016 with an option for 2017","re-signinging",0,6,2011,2016,"an option for 2017",2010,"http://www.baseball-reference.com/players/b/bruceja01.shtml","Rightfielder","CIN","Cincinnati Reds",2010
"196",521,2011,"Nationals","Jayson Werth","12/5/10","signed free agent to a 7-year contract through 2017","free agency",0,7,2011,2017,"",2010,"http://www.baseball-reference.com/players/w/werthja01.shtml","Rightfielder","WSN","Washington Nationals",2010
"170",176,2005,"Rays","Jeff Niemann","1/20/05","signed to a 5-year contract","free agency",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/n/niemaje01.shtml","Pitcher","TBR","Tampa Bay Rays",2004
"41",276,2007,"Cubs","Jeff Samardzija","1/19/07","signed to a 5-year contract","free agency",0,5,2007,2012,"",2007,"http://www.baseball-reference.com/players/s/samarje01.shtml","Pitcher","CHC","Chicago Cubs",2006
"42",281,2007,"Cubs","Jeff Samardzija","1/19/07","signed to a 5-year contract with team options for 2012 and 2013","free agency",0,5,2007,2012,"",2007,"http://www.baseball-reference.com/players/s/samarje01.shtml","Pitcher","CHC","Chicago Cubs",2006
"85",501,2011,"Angels","Jered Weaver","8/21/11","re-signed to a 5-year contract extension through 2016","re-signinging",0,5,2011,2016,"",2011,"http://www.baseball-reference.com/players/w/weaveje02.shtml","Pitcher","LAA","Los Angeles Angels of Anaheim",2010
"32",33,1982,"Red Sox","Jerry Remy","12/10/81","re-signed to a 5-year, $2.8M contract","re-signinging",2.8,5,1982,1987,"",1981,"http://www.baseball-reference.com/players/r/remyje01.shtml","Second Baseman","BOS","Boston Red Sox",1981
"58",230,2006,"Indians","Jhonny Peralta","3/10/06","re-signed to a 5-year contract with a 1-year team option for 2011","re-signinging",0,5,2006,2011,"",2006,"http://www.baseball-reference.com/players/p/peraljh01.shtml","Shortstop, Third Baseman","CLE","Cleveland Indians",2005
"138",156,2003,"Phillies","Jim Thome","12/3/02","signed free agent to a 6-year contract","free agency",0,6,2003,2009,"",2002,"http://www.baseball-reference.com/players/t/thomeji01.shtml","First Baseman, Designated Hitter, Third Baseman","PHI","Philadelphia Phillies",2002
"139",198,2005,"Phillies","Jimmy Rollins","6/13/05","re-signed to a 5-year contract extension through 2010","re-signinging",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/r/rolliji01.shtml","Shortstop","PHI","Philadelphia Phillies",2004
"52",712,2012,"Reds","Joey Votto","4/2/12","re-signed to a 10-year contract extension / 12-year contract (E) through 2023 with an option for 2024","re-signinging",0,10,2012,2023,"an option for 2024",2012,"http://www.baseball-reference.com/players/v/vottojo01.shtml","First Baseman","CIN","Cincinnati Reds",2011
"118",376,2008,"Mets","Johan Santana","2/2/08","re-signed to a 6-year contract extension through 2014","re-signinging",0,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/s/santajo02.shtml","Pitcher","NYM","New York Mets",2007
"150",18,1980,"Padres","John Curtis","11/26/79","signed free agent to a 5-year contract","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/c/curtijo01.shtml","Pitcher","SDP","San Diego Padres",1979
"48",725,2012,"White Sox","John Danks","12/21/11","re-signed to a 5-year contract extension through 2016","re-signinging",0,5,2012,2016,"",2011,"http://www.baseball-reference.com/players/d/danksjo01.shtml","Pitcher","CHW","Chicago White Sox",2011
"29",481,2010,"Red Sox","John Lackey","12/15/09","signed free agent to a 5-year contract through 2014","free agency",0,5,2010,2014,"",2009,"http://www.baseball-reference.com/players/l/lackejo01.shtml","Pitcher","BOS","Boston Red Sox",2009
"111",7,1979,"Mets","John Stearns","4/12/79","signed to a 5-year contract","free agency",0,5,1979,1984,"",1979,"http://www.baseball-reference.com/players/s/stearjo01.shtml","Catcher, First Baseman, Third Baseman","NYM","New York Mets",1978
