"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"127","Justin Verlander","2/4/10",2010,"Tigers","re-signed to a 5-year contract extension through 2019 with a 1-year option for 2020","re-signinging",0,5,2010,2019,"1-year option for 2020",2010,"http://www.baseball-reference.com/players/v/verlaju01.shtml"
"128","Kei Igawa","12/19/06",2007,"Yankees","signed free agent to a 5-year contract (date 12/27 per MLB.com) (N)","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/i/igawake01.shtml"
"129","Keith Hernandez","2/10/84",1984,"Mets","signed to a 5-year, $8.4M contract extension","free agency",8.4,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/h/hernake01.shtml"
"130","Kendrys Morales","12/1/04",2005,"Angels","signed free agent to a 6-year contract (N)","free agency",0,6,2005,2011,"",2004,"http://www.baseball-reference.com/players/m/moralke01.shtml"
"131","Kent Hrbek","2/11/85",1985,"Twins","re-signed to a 5-year contract","re-signinging",0,5,1985,1990,"",1985,"http://www.baseball-reference.com/players/h/hrbekke01.shtml"
"132","Kent Hrbek","12/7/89",1990,"Twins","re-signed to a 5-year contract","re-signinging",0,5,1990,1995,"",1989,"http://www.baseball-reference.com/players/h/hrbekke01.shtml"
"133","Kevin Millwood","12/29/05",2006,"Rangers","signed free agent to a 5-year contract","free agency",0,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/m/millwke01.shtml"
"134","Larry McWilliams","4/2/85",1985,"Pirates","re-signed to a 5-year contract","re-signinging",0,5,1985,1990,"",1985,"http://www.baseball-reference.com/players/m/mcwilla01.shtml"
"135","Lee Smith","2/6/84",1984,"Cubs","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/s/smithle02.shtml"
"136","Lenny Dykstra","12/30/93",1994,"Phillies","re-signed to a 5-year contract","re-signinging",0,5,1994,1999,"",1993,"http://www.baseball-reference.com/players/d/dykstle01.shtml"
