"","rank","team","value","year","value_change","debt_percent","revenue","operating_income","player_expense","gate_receipt","comments"
"374",18,"Tampa Bay Lightning","112.6",2000,NA,NA,NA,NA,NA,NA,NA
"375",18,"Tampa Bay Lightning","191",2009,-4,55,80,-2.2,NA,NA,NA
"434",21,"Tampa Bay Lightning","107",2001,-5,47,44.6,-5.1,21.4,9.5,"Team increased spending on marketing and investment in arena it controls."
"435",21,"Tampa Bay Lightning","120",2002,12,42,53,2.9,21.8,NA,NA
"436",21,"Tampa Bay Lightning","174",2011,20,26,87,-8.5,NA,NA,NA
"437",21,"Tampa Bay Lightning","48",1996,NA,NA,NA,NA,NA,NA,NA
"458",22,"Tampa Bay Lightning","64",1997,NA,NA,NA,NA,NA,NA,NA
"475",23,"Tampa Bay Lightning","124",2003,3,40,59,-1.3,NA,NA,NA
"476",23,"Tampa Bay Lightning","174",2012,0,26,88,-13.1,NA,NA,NA
"477",23,"Tampa Bay Lightning","39",1994,NA,NA,NA,NA,NA,NA,NA
"554",28,"Tampa Bay Lightning","145",2010,-24,31,76,-7.9,NA,NA,NA
"209",10,"St. Louis Blues","95",1997,NA,NA,NA,NA,NA,NA,NA
"226",11,"St. Louis Blues","59",1994,NA,NA,NA,NA,NA,NA,NA
"249",12,"St. Louis Blues","69",1995,NA,NA,NA,NA,NA,NA,NA
"270",13,"St. Louis Blues","52",1993,NA,NA,NA,NA,NA,NA,NA
"271",13,"St. Louis Blues","74",1996,NA,NA,NA,NA,NA,NA,NA
"394",19,"St. Louis Blues","31.6",1991,NA,NA,NA,NA,NA,NA,NA
"395",19,"St. Louis Blues","39",1992,NA,NA,NA,NA,NA,NA,NA
"332",16,"St Louis Blues ","140",2005,-5,69,66,-28.8,NA,NA,NA
"163",8,"St Louis Blues","154",1999,NA,64,70,13.6,NA,NA,NA
"267",13,"St Louis Blues","137.4",2000,NA,NA,NA,NA,NA,NA,NA
"268",13,"St Louis Blues","147",2004,-1,66,67,-29,NA,NA,NA
"269",13,"St Louis Blues","153",2002,13,63,64,-9.2,44.6,NA,NA
"312",15,"St Louis Blues","148",2003,-3,65,70,-18,NA,NA,NA
"330",16,"St Louis Blues","136",2001,-1,71,56.5,-5.9,34.8,28.2,"Laurie purchase stabilizes team and are doing a better job marketing team."
"331",16,"St Louis Blues","150",2006,7,80,66,1,NA,NA,NA
"457",22,"St Louis Blues","176",2009,9,68,80,-2.7,NA,NA,NA
"474",23,"St Louis Blues","165",2010,-6,73,79,-6.2,NA,NA,NA
"512",25,"St Louis Blues","162",2008,12,74,73,-8.6,NA,NA,NA
"543",27,"St Louis Blues","157",2011,-5,81,78,-2.7,NA,NA,NA
"566",29,"St Louis Blues","144",2007,-3,83,66,-5.5,NA,NA,NA
"576",30,"St Louis Blues","130",2012,-17,46,89,-10,NA,NA,NA
"290",14,"San Jose Sharks ","149",2005,8,30,74,1.3,NA,NA,NA
"162",8,"San Jose Sharks","104",1997,NA,NA,NA,NA,NA,NA,NA
"225",11,"San Jose Sharks","77",1996,NA,NA,NA,NA,NA,NA,NA
"248",12,"San Jose Sharks","158",2003,6,29,71,-0.8,NA,NA,NA
"265",13,"San Jose Sharks","141",2001,15,21,61.3,3.4,37,24.5,"Team has good lease at San Jose Arena."
"266",13,"San Jose Sharks","66",1995,NA,NA,NA,NA,NA,NA,NA
"289",14,"San Jose Sharks","52",1994,NA,NA,NA,NA,NA,NA,NA
"309",15,"San Jose Sharks","108",1999,NA,NA,49.2,-2.6,NA,NA,NA
"310",15,"San Jose Sharks","148",2002,5,27,63,4,39.1,NA,NA
"311",15,"San Jose Sharks","223",2012,6,0,101,-0.9,NA,NA,NA
"327",16,"San Jose Sharks","122.6",2000,NA,NA,NA,NA,NA,NA,NA
"328",16,"San Jose Sharks","137",2004,-13,33,65,-9,NA,NA,NA
"329",16,"San Jose Sharks","211",2011,9,21,96,-7.8,NA,NA,NA
"351",17,"San Jose Sharks","165",2007,13,27,72,-5.1,NA,NA,NA
"372",18,"San Jose Sharks","194",2010,6,23,88,-6.2,NA,NA,NA
"392",19,"San Jose Sharks","179",2008,9,25,85,2.4,NA,NA,NA
"393",19,"San Jose Sharks","184",2009,3,24,84,-5,NA,NA,NA
"417",20,"San Jose Sharks","145",2006,-2,31,69,1.8,NA,NA,NA
"418",20,"San Jose Sharks","43",1993,NA,NA,NA,NA,NA,NA,NA
"224",11,"Quebec Nordiques","45",1991,NA,NA,NA,NA,NA,NA,NA
"264",13,"Quebec Nordiques","45",1992,NA,NA,NA,NA,NA,NA,NA
"326",16,"Quebec Nordiques","48",1993,NA,NA,NA,NA,NA,NA,NA
"455",22,"Quebec Nordiques","43",1994,NA,NA,NA,NA,NA,NA,NA
"456",22,"Quebec Nordiques","49",1995,NA,NA,NA,NA,NA,NA,NA
"565",29,"Pittsburgh Penguins ","101",2005,-12,40,52,-0.6,NA,NA,NA
"454",22,"Pittsburgh Penguinsâ€  ","89",1999,NA,153,52.6,8.7,NA,NA,NA
"181",9,"Pittsburgh Penguins","235",2010,6,42,91,-1.6,NA,NA,NA
"182",9,"Pittsburgh Penguins","264",2011,12,38,110,-0.2,NA,NA,NA
"183",9,"Pittsburgh Penguins","288",2012,9,35,120,9.1,NA,NA,NA
"184",9,"Pittsburgh Penguins","96",1997,NA,NA,NA,NA,NA,NA,NA
"208",10,"Pittsburgh Penguins","62",1994,NA,NA,NA,NA,NA,NA,NA
"221",11,"Pittsburgh Penguins","222",2009,14,45,93,3.3,NA,NA,NA
"222",11,"Pittsburgh Penguins","53",1993,NA,NA,NA,NA,NA,NA,NA
"223",11,"Pittsburgh Penguins","75",1995,NA,NA,NA,NA,NA,NA,NA
"247",12,"Pittsburgh Penguins","76",1996,NA,NA,NA,NA,NA,NA,NA
"288",14,"Pittsburgh Penguins","149",2002,12,15,64,7.2,36.3,NA,NA
"308",15,"Pittsburgh Penguins","41.5",1991,NA,NA,NA,NA,NA,NA,NA
"325",16,"Pittsburgh Penguins","41",1992,NA,NA,NA,NA,NA,NA,NA
"369",18,"Pittsburgh Penguins","132",2001,33,17,57.5,3.2,35.4,21.9,"Emerged from Ch. 11 with better lease at Civic Arena; improved capitalization."
"370",18,"Pittsburgh Penguins","137",2003,-8,29,59,3,NA,NA,NA
"371",18,"Pittsburgh Penguins","195",2008,26,51,87,5.1,NA,NA,NA
"416",20,"Pittsburgh Penguins","99.2",2000,NA,NA,NA,NA,NA,NA,NA
"452",22,"Pittsburgh Penguins","114",2004,-16,35,57,4,NA,NA,NA
"453",22,"Pittsburgh Penguins","155",2007,17,65,67,8.1,NA,NA,NA
"553",28,"Pittsburgh Penguins","133",2006,31,38,63,4.8,NA,NA,NA
"368",18,"Phoenix Coyotes ","136",2005,14,44,57,-7.8,NA,NA,NA
"415",20,"Phoenix Coyotes^^","120",2004,2,84,43,-21,NA,NA,NA
"451",22,"Phoenix Coyotes","143",2006,5,49,63,-6,NA,NA,NA
"472",23,"Phoenix Coyotes","87",1999,NA,NA,41.2,0.7,NA,NA,NA
