Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1998-1999,198419,Duke University,All other sports combined,Scholarship Awards,141,56,85,125,48,77,7,4,3,0,0,0,2,1,1,0,0,0,2,1,1,5,2,3
1998-1999,198419,Duke University,Baseball,Scholarship Awards,19,19,0,17,17,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,198419,Duke University,Basketball,Scholarship Awards,25,11,14,12,4,8,10,6,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
1998-1999,198419,Duke University,Football,Scholarship Awards,82,82,0,48,48,0,32,32,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1998-1999,199120,University of North Carolina at Chapel Hill,All other sports combined,Scholarship Awards,242,102,140,228,95,133,5,3,2,2,1,1,4,1,3,2,1,1,0,0,0,1,1,0
1998-1999,199120,University of North Carolina at Chapel Hill,Baseball,Scholarship Awards,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,199120,University of North Carolina at Chapel Hill,Basketball,Scholarship Awards,28,16,12,9,5,4,15,7,8,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Scholarship Awards,44,22,22,24,13,11,18,7,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,199120,University of North Carolina at Chapel Hill,Football,Scholarship Awards,77,77,0,21,21,0,55,55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1998-1999,204796,Ohio State University-Main Campus,All other sports combined,Scholarship Awards,254,102,152,1,1,0,8,6,2,199,77,122,8,1,7,0,0,0,1,1,0,37,16,21
1998-1999,204796,Ohio State University-Main Campus,Baseball,Scholarship Awards,24,24,0,0,0,0,1,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,204796,Ohio State University-Main Campus,Basketball,Scholarship Awards,26,12,14,0,0,0,14,9,5,9,1,8,0,0,0,0,0,0,0,0,0,3,2,1
1998-1999,204796,Ohio State University-Main Campus,Cross-country and/or track,Scholarship Awards,23,9,14,0,0,0,11,3,8,9,4,5,0,0,0,0,0,0,0,0,0,3,2,1
1998-1999,204796,Ohio State University-Main Campus,Football,Scholarship Awards,82,82,0,0,0,0,46,46,0,34,34,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,207388,Oklahoma State University-Main Campus,All other sports combined,Scholarship Awards,77,32,45,64,23,41,3,3,0,3,1,2,3,2,1,3,2,1,0,0,0,1,1,0
1998-1999,207388,Oklahoma State University-Main Campus,Baseball,Scholarship Awards,29,29,0,27,27,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,207388,Oklahoma State University-Main Campus,Basketball,Scholarship Awards,28,10,18,13,4,9,12,6,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1998-1999,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Scholarship Awards,33,10,23,18,9,9,11,0,11,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2
1998-1999,207388,Oklahoma State University-Main Campus,Football,Scholarship Awards,80,80,0,27,27,0,51,51,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,207500,University of Oklahoma Norman Campus,All other sports combined,Scholarship Awards,139,58,81,101,43,58,8,3,5,9,4,5,4,2,2,6,3,3,0,0,0,11,3,8
1998-1999,207500,University of Oklahoma Norman Campus,Baseball,Scholarship Awards,23,23,0,19,19,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0
1998-1999,207500,University of Oklahoma Norman Campus,Basketball,Scholarship Awards,28,13,15,6,2,4,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
1998-1999,207500,University of Oklahoma Norman Campus,Cross-country and/or track,Scholarship Awards,47,19,28,18,5,13,13,7,6,1,1,0,0,0,0,3,0,3,0,0,0,12,6,6
1998-1999,207500,University of Oklahoma Norman Campus,Football,Scholarship Awards,87,87,0,29,29,0,54,54,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0
1998-1999,209542,Oregon State University,All other sports combined,Scholarship Awards,158,57,101,118,45,73,2,1,1,5,1,4,7,0,7,1,1,0,14,6,8,11,3,8
1998-1999,209542,Oregon State University,Baseball,Scholarship Awards,36,36,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1998-1999,209542,Oregon State University,Basketball,Scholarship Awards,25,10,15,13,4,9,5,2,3,0,0,0,1,1,0,0,0,0,3,0,3,3,3,0
1998-1999,209542,Oregon State University,Football,Scholarship Awards,85,85,0,35,35,0,31,31,0,4,4,0,3,3,0,1,1,0,10,10,0,1,1,0
1998-1999,209551,University of Oregon,All other sports combined,Scholarship Awards,109,37,72,85,31,54,2,0,2,0,0,0,3,1,2,0,0,0,5,0,5,14,5,9
1998-1999,209551,University of Oregon,Basketball,Scholarship Awards,27,13,14,10,2,8,10,7,3,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2
1998-1999,209551,University of Oregon,Cross-country and/or track,Scholarship Awards,54,26,28,42,20,22,4,1,3,0,0,0,1,1,0,0,0,0,4,1,3,3,3,0
1998-1999,209551,University of Oregon,Football,Scholarship Awards,86,86,0,38,38,0,32,32,0,6,6,0,6,6,0,1,1,0,3,3,0,0,0,0
1998-1999,217882,Clemson University,All other sports combined,Scholarship Awards,135,68,67,108,52,56,4,3,1,2,1,1,0,0,0,0,0,0,2,2,0,19,10,9
1998-1999,217882,Clemson University,Baseball,Scholarship Awards,35,35,0,34,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,217882,Clemson University,Basketball,Scholarship Awards,28,13,15,5,2,3,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
1998-1999,217882,Clemson University,Cross-country and/or track,Scholarship Awards,54,28,26,32,17,15,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
1998-1999,217882,Clemson University,Football,Scholarship Awards,85,85,0,32,32,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,218663,University of South Carolina-Columbia,All other sports combined,Scholarship Awards,124,50,74,94,33,61,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,17,10
1998-1999,218663,University of South Carolina-Columbia,Baseball,Scholarship Awards,29,29,0,25,25,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,218663,University of South Carolina-Columbia,Basketball,Scholarship Awards,23,13,10,4,2,2,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,218663,University of South Carolina-Columbia,Cross-country and/or track,Scholarship Awards,39,15,24,13,4,9,24,9,15,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,218663,University of South Carolina-Columbia,Football,Scholarship Awards,81,81,0,20,20,0,60,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,221999,Vanderbilt University,All other sports combined,Scholarship Awards,84,34,50,70,30,40,0,0,0,2,1,1,0,0,0,0,0,0,8,1,7,4,2,2
1998-1999,221999,Vanderbilt University,Baseball,Scholarship Awards,18,18,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1998-1999,221999,Vanderbilt University,Basketball,Scholarship Awards,24,12,12,10,3,7,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1998-1999,221999,Vanderbilt University,Cross-country and/or track,Scholarship Awards,23,0,23,14,0,14,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
1998-1999,221999,Vanderbilt University,Football,Scholarship Awards,90,90,0,50,50,0,39,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1998-1999,228246,Southern Methodist University,All other sports combined,Scholarship Awards,102,43,59,81,27,54,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,17,12,5
1998-1999,228246,Southern Methodist University,Basketball,Scholarship Awards,27,12,15,13,4,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,228246,Southern Methodist University,Cross-country and/or track,Scholarship Awards,26,14,12,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,11,10
1998-1999,228246,Southern Methodist University,Football,Scholarship Awards,87,87,0,42,42,0,40,40,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0
1998-1999,228723,Texas A & M University-College Station,All other sports combined,Scholarship Awards,143,46,97,117,37,80,4,1,3,4,1,3,3,1,2,1,1,0,1,0,1,13,5,8
1998-1999,228723,Texas A & M University-College Station,Baseball,Scholarship Awards,35,35,0,29,29,0,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1998-1999,228723,Texas A & M University-College Station,Basketball,Scholarship Awards,27,13,14,9,3,6,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,228723,Texas A & M University-College Station,Cross-country and/or track,Scholarship Awards,60,30,30,40,21,19,13,6,7,2,1,1,1,0,1,0,0,0,0,0,0,4,2,2
1998-1999,228723,Texas A & M University-College Station,Football,Scholarship Awards,91,91,0,31,31,0,53,53,0,2,2,0,2,2,0,0,0,0,3,3,0,0,0,0
1998-1999,228778,The University of Texas at Austin,All other sports combined,Scholarship Awards,193,60,133,160,54,106,7,1,6,7,0,7,5,0,5,2,1,1,0,0,0,12,4,8
1998-1999,228778,The University of Texas at Austin,Baseball,Scholarship Awards,27,27,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,228778,The University of Texas at Austin,Basketball,Scholarship Awards,28,12,16,8,2,6,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,228778,The University of Texas at Austin,Cross-country and/or track,Scholarship Awards,66,34,32,31,17,14,21,10,11,6,2,4,0,0,0,0,0,0,0,0,0,8,5,3
1998-1999,228778,The University of Texas at Austin,Football,Scholarship Awards,84,84,0,32,32,0,50,50,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,230728,Utah State University,All other sports combined,Scholarship Awards,81,16,65,74,15,59,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,2,1,1
1998-1999,230728,Utah State University,Basketball,Scholarship Awards,13,13,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,230728,Utah State University,Cross-country and/or track,Scholarship Awards,58,28,30,51,24,27,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,4,1,3
1998-1999,230728,Utah State University,Football,Scholarship Awards,77,77,0,42,42,0,22,22,0,3,3,0,7,7,0,0,0,0,2,2,0,1,1,0
1998-1999,243744,Stanford University,All other sports combined,Scholarship Awards,208,83,125,159,60,99,7,2,5,14,6,8,17,9,8,0,0,0,0,0,0,11,6,5
1998-1999,243744,Stanford University,Baseball,Scholarship Awards,23,23,0,19,19,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0
1998-1999,243744,Stanford University,Basketball,Scholarship Awards,26,13,13,10,5,5,13,7,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1998-1999,243744,Stanford University,Cross-country and/or track,Scholarship Awards,40,16,24,29,13,16,6,0,6,2,1,1,1,1,0,0,0,0,0,0,0,2,1,1
1998-1999,243744,Stanford University,Football,Scholarship Awards,82,82,0,43,43,0,33,33,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0
