Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2003-2004,228246,Southern Methodist University,All other sports combined,138,51,87,102,30,72,2,1,1,2,1,1,2,1,1,1,1,0,0,0,0,29,17,12
2003-2004,228246,Southern Methodist University,Basketball,27,12,15,12,4,8,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,228246,Southern Methodist University,Cross-country and/or track,28,13,15,6,3,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,19,9,10
2003-2004,228246,Southern Methodist University,Football,90,90,0,37,37,0,50,50,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
2003-2004,228723,Texas A & M University-College Station,All other sports combined,214,45,169,179,32,147,3,1,2,11,2,9,1,0,1,1,0,1,6,1,5,13,9,4
2003-2004,228723,Texas A & M University-College Station,Baseball,42,42,0,41,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228723,Texas A & M University-College Station,Basketball,32,14,18,8,3,5,18,6,12,1,0,1,0,0,0,0,0,0,3,3,0,2,2,0
2003-2004,228723,Texas A & M University-College Station,Cross-country and/or track,57,31,26,38,20,18,11,6,5,1,1,0,1,0,1,1,0,1,0,0,0,5,4,1
2003-2004,228723,Texas A & M University-College Station,Football,91,91,0,36,36,0,54,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,228778,The University of Texas at Austin,All other sports combined,202,65,137,155,53,102,8,1,7,10,3,7,7,1,6,1,0,1,3,1,2,18,6,12
2003-2004,228778,The University of Texas at Austin,Baseball,41,41,0,32,32,0,0,0,0,4,4,0,0,0,0,2,2,0,3,3,0,0,0,0
2003-2004,228778,The University of Texas at Austin,Basketball,27,14,13,9,5,4,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2003-2004,228778,The University of Texas at Austin,Cross-country and/or track,59,32,27,25,19,6,26,10,16,3,2,1,1,0,1,0,0,0,2,1,1,2,0,2
2003-2004,228778,The University of Texas at Austin,Football,90,90,0,29,29,0,58,58,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,230728,Utah State University,All other sports combined,86,17,69,72,14,58,1,0,1,4,0,4,1,0,1,0,0,0,3,1,2,5,2,3
2003-2004,230728,Utah State University,Basketball,26,12,14,18,5,13,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,230728,Utah State University,Cross-country and/or track,62,31,31,51,26,25,3,3,0,2,1,1,0,0,0,0,0,0,5,1,4,1,0,1
2003-2004,230728,Utah State University,Football,73,73,0,39,39,0,23,23,0,2,2,0,6,6,0,0,0,0,2,2,0,1,1,0
2003-2004,243744,Stanford University,All other sports combined,255,99,156,200,80,120,10,5,5,2,0,2,23,6,17,3,2,1,6,2,4,11,4,7
2003-2004,243744,Stanford University,Baseball,21,21,0,18,18,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2003-2004,243744,Stanford University,Basketball,26,12,14,15,4,11,9,6,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,243744,Stanford University,Cross-country and/or track,39,18,21,28,17,11,8,0,8,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,243744,Stanford University,Football,84,84,0,38,38,0,34,34,0,6,6,0,1,1,0,0,0,0,2,2,0,3,3,0
