Year,unitid,Institution_Name,Cohort,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2005-2006,181464,University of Nebraska-Lincoln,Scholarship Awards,Baseball,41,41,0,40,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,181464,University of Nebraska-Lincoln,Scholarship Awards,Basketball,28,15,13,9,3,6,14,10,4,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
2005-2006,181464,University of Nebraska-Lincoln,Scholarship Awards,Cross-country and/or track,71,33,38,44,19,25,10,9,1,1,0,1,0,0,0,0,0,0,1,0,1,15,5,10
2005-2006,181464,University of Nebraska-Lincoln,Scholarship Awards,Football,88,88,0,48,48,0,34,34,0,0,0,0,1,1,0,0,0,0,3,3,0,2,2,0
2005-2006,186380,Rutgers University-New Brunswick,Scholarship Awards,All other sports combined,247,107,140,195,80,115,15,7,8,8,4,4,10,3,7,3,2,1,5,4,1,11,7,4
2005-2006,186380,Rutgers University-New Brunswick,Scholarship Awards,Baseball,34,34,0,32,32,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Scholarship Awards,Basketball,25,13,12,5,2,3,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Scholarship Awards,Cross-country and/or track,58,25,33,25,13,12,27,10,17,2,0,2,2,2,0,0,0,0,2,0,2,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Scholarship Awards,Football,93,93,0,22,22,0,60,60,0,5,5,0,2,2,0,0,0,0,2,2,0,2,2,0
2005-2006,198419,Duke University,Scholarship Awards,All other sports combined,181,58,123,153,52,101,5,2,3,1,1,0,3,0,3,1,0,1,3,1,2,15,2,13
2005-2006,198419,Duke University,Scholarship Awards,Baseball,24,24,0,20,20,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,198419,Duke University,Scholarship Awards,Basketball,24,11,13,10,4,6,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2005-2006,198419,Duke University,Scholarship Awards,Football,82,82,0,36,36,0,44,44,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,199120,University of North Carolina at Chapel Hill,Scholarship Awards,All other sports combined,282,118,164,243,98,145,10,6,4,3,2,1,3,1,2,1,1,0,6,3,3,16,7,9
2005-2006,199120,University of North Carolina at Chapel Hill,Scholarship Awards,Baseball,26,26,0,24,24,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,199120,University of North Carolina at Chapel Hill,Scholarship Awards,Basketball,29,11,18,6,3,3,23,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,199120,University of North Carolina at Chapel Hill,Scholarship Awards,Cross-country and/or track,43,17,26,26,11,15,13,4,9,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2
2005-2006,199120,University of North Carolina at Chapel Hill,Scholarship Awards,Football,98,98,0,34,34,0,60,60,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Scholarship Awards,All other sports combined,414,184,230,303,141,162,13,6,7,11,7,4,4,2,2,2,1,1,9,4,5,72,23,49
2005-2006,204796,Ohio State University-Main Campus,Scholarship Awards,Baseball,33,33,0,32,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Scholarship Awards,Basketball,24,11,13,5,2,3,17,8,9,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2005-2006,204796,Ohio State University-Main Campus,Scholarship Awards,Cross-country and/or track,46,23,23,24,12,12,18,8,10,2,1,1,0,0,0,0,0,0,1,1,0,1,1,0
2005-2006,204796,Ohio State University-Main Campus,Scholarship Awards,Football,88,88,0,41,41,0,41,41,0,1,1,0,0,0,0,1,1,0,3,3,0,1,1,0
2005-2006,207388,Oklahoma State University-Main Campus,Scholarship Awards,All other sports combined,24,9,15,16,6,10,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,4,2,2
