Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,181464,University of Nebraska-Lincoln,Baseball,Scholarship Awards,32,32,0,28,28,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
1999-2000,181464,University of Nebraska-Lincoln,Basketball,Scholarship Awards,31,12,19,14,3,11,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,181464,University of Nebraska-Lincoln,Cross-country and/or track,Scholarship Awards,70,39,31,52,28,24,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6
1999-2000,181464,University of Nebraska-Lincoln,Football,Scholarship Awards,100,100,0,57,57,0,36,36,0,1,1,0,4,4,0,0,0,0,0,0,0,2,2,0
1999-2000,186380,Rutgers University-New Brunswick,All other sports combined,Scholarship Awards,246,97,149,211,85,126,10,1,9,4,3,1,9,2,7,1,1,0,10,4,6,1,1,0
1999-2000,186380,Rutgers University-New Brunswick,Baseball,Scholarship Awards,28,28,0,24,24,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,186380,Rutgers University-New Brunswick,Basketball,Scholarship Awards,30,14,16,5,3,2,18,7,11,1,1,0,0,0,0,0,0,0,4,1,3,2,2,0
1999-2000,186380,Rutgers University-New Brunswick,Cross-country and/or track,Scholarship Awards,59,28,31,31,16,15,20,8,12,3,1,2,0,0,0,0,0,0,3,2,1,2,1,1
1999-2000,186380,Rutgers University-New Brunswick,Football,Scholarship Awards,89,89,0,41,41,0,41,41,0,1,1,0,1,1,0,0,0,0,3,3,0,2,2,0
1999-2000,198419,Duke University,All other sports combined,Scholarship Awards,155,53,102,127,40,87,10,5,5,2,2,0,3,2,1,0,0,0,4,1,3,9,3,6
1999-2000,198419,Duke University,Baseball,Scholarship Awards,17,17,0,15,15,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
