Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
St. Pete Times Forum,Tampa,FL,United States of America,St. Petersburg Times,Venue Naming Rights,Naming Rights Deal,33,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Raymond James Stadium,Tampa,FL,United States of America,Raymond James Financial,Venue Naming Rights,Naming Rights Deal,32.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Adelphia Coliseum,Nashville,TN,United States of America,Adelphia Communications Corp.,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
FleetCenter Boston,Boston,MA,United States of America,Fleet,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
LP Field,Nashville,TN,United States of America,Louisiana Pacific Corp.,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Oracle Arena,Oakland,CA,United States of America,Oracle Corp.,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Park,Pittsburgh,PA,United States of America,PNC Bank,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Park,Philadelphia,PA,United States of America,PNC Financial Services,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Tropicana Field,St. Petersburg,FL,United States of America,Tropicana,Venue Naming Rights,Naming Rights Deal,30,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Continental Airlines Arena,East Rutherford,NJ,United States of America,Continental Airlines,Venue Naming Rights,Naming Rights Deal,29,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BankAtlantic Center,Broward County,FL,United States of America,BankAtlantic,Venue Naming Rights,Naming Rights Deal,27,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
America West Arena,Phoenix,AZ,United States of America,America West Airlines,Venue Naming Rights,Naming Rights Deal,26,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Corel Centre,Ottawa,ON,Canada,Corel Corp.,Venue Naming Rights,Naming Rights Deal,26,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
General Motors Place,Vancouver,BC,Canada,General Motors,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Hershey Centre Arena,Mississauga,ON,Canada,Hershey Canada,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Jobing.com Arena,Glendale,AZ,United States of America,Jobing.com,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
National Car Rental Car Center,Sunrise,FL,United States of America,National Car Rental,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pizza Hut Park,Frisco,TX,United States of America,Pizza Hut,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
United Center,Chicago,IL,United States of America,United Airlines,Venue Naming Rights,Naming Rights Deal,25,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
HSBC Arena,Buffalo,NY,United States of America,HSBC Corp,Venue Naming Rights,Naming Rights Deal,24,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
US Airways Center,Phoenix,AZ,United States of America,US Airways,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
BBVA Compass Stadium,Houston,TX,United States of America,BBVA Compass,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Ericsson Stadium,Charlotte,NC,United States of America,Ericcson Electronics,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Great Western Forum,Los Angeles,CA,United States of America,Great Western Bank,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pengrowth Saddledome,Calgary,AB,Canada,Pengrowth Enterprises Ltd.,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pro Player Stadium,Miami,FL,United States of America,Fruit of the Loom,Venue Naming Rights,Naming Rights Deal,20,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Arrowhead Pond of Anaheim,Anaheim,CA,United States of America,Arrowhead Mountain Spring Water,Venue Naming Rights,Naming Rights Deal,19.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Mellon Arena,Pittsburgh,PA,United States of America,Mellon Financial Corp.,Venue Naming Rights,Naming Rights Deal,18,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Qualcomm Stadium,San Diego,CA,United States of America,Qualcomm,Venue Naming Rights,Naming Rights Deal,18,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
