Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
Thomas M. Cooley Law School Stadium,Lansing,MI,United States of America,Thomas M. Cooley Law School,Venue Naming Rights,Term,11,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Chukchansi Park,Fresno,CA,United States of America,Chukchansi Gold Resort & Casino,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Coors Field,Denver,CO,United States of America,Coors Brewing Co.,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Key Arena,Seattle,WA,United States of America,Key Corp,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Raley's Field,Old Sacramento,CA,United States of America,Raley's Supermarkets,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Rio Tinto Stadium,Salt Lake City,UT,United States of America,Rio Tinto Group,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Office Depot Center,Sunrise,FL,United States of America,Office Depot,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Qwest Center,Omaha Omaha,NE,United States of America,Qwest Communications,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Network Associates Coliseum,Oakland,CA,United States of America,Network Associates,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
KFC Yum! Center,Louisville,KY,United States of America,Yum Brands,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Huntington Park,Columbus,OH,United States of America,Huntington Bancshares Inc.,Venue Naming Rights,Term,23,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Wells Fargo Arena,Des Moines,IW,United States of America,Wells Fargo & Co.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pinnacle Bank Arena,Lincoln,NE,United States of America,Pinnacle Bank,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Allstate Arena,Rosemont,IL,United States of America,Allstate Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BOK Center,Tulsa,OK,United States of America,Bank of Oklahoma,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Verizon Wireless Arena,Manchester,NH,United States of America,Verizon Wireless,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
DCU Center,Worcester,MA,United States of America,Digital Federal Credit Union,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Houlihan's Stadium,Tampa,FL,United States of America,Houlihan's,Venue Naming Rights,Term,30,Years,National Sports Law Institute of Marquette University Law School,5/10/12
MTS Centre,Winnipeg,MB,Canada,MTS Telecom,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
RCA Dome,Indianapolis,IN,United States of America,RCA,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ricoh Coliseum,Toronto,ON,Canada,Ricoh Canada,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ford Center,Oklahoma City,OK,United States of America,Area Ford Dealers,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
TD Waterhouse Centre,Orlando,FL,United States of America,TD Waterhouse,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Comcast Arena,Everett,WA,United States of America,Comcast Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
PGE Park,Portland,OR,United States of America,Portland General Electric,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Alltel Arena,Little Rock,AR,United States of America,Alltel,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Arco Arena,Sacramento,CA,United States of America,Atlantic Richfield Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Dunkin‰Ûª Donuts Arena,Providence,RI,United States of America,Dunkin‰Ûª Donuts,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
TECO Arena,Estero,FL,United States of America,TECO Energy,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Alltel Stadium,Jacksonville,FL,United States of America,Alltel Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Amsoil Arena,Duluth,MN,United States of America,Amsoil Inc.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Cinergy Field,Cincinnati,OH,United States of America,Cinergy Corp.,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Monster Park,San Francisco,CA,United States of America,Monster Cable Products,Venue Naming Rights,Term,4,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Colonial Center,Columbia,SC,United States of America,Colonial Life & Accident Insurance,Venue Naming Rights,Term,12,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Compaq Center,Houston,TX,United States of America,Compaq Computer Corp.,Venue Naming Rights,Term,6,Years,National Sports Law Institute of Marquette University Law School,5/10/12
DCU Center,Worcester,MA,United States of America,Digital Federal Credit Union,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
CenturyTel Center,Bossier City,LA,United States of America,CenturyTel,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Field,Toledo,OH,United States of America,Fifth Third Bank,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Oneok Field,Tulsa,OK,United States of America,Oneok,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Papa John's Cardinal Stadium,Louisville,KY,United States of America,Papa John's Pizza,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Resch Center,Green Bay,WI,United States of America,Dick Resch,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Field,Dayton,OH,United States of America,Fifth Third Bank,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First Energy Park,Lakewood,NJ,United States of America,FirstEnergy Corp.,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
GPU Energy Park,Lakewood,NJ,United States of America,GPU Energy,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Autozone Park,Memphis,TN,United States of America,AutoZone,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
iWireless Center,Moline,IL,United States of America,iWireless,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ford Center,Evansville,IN,United States of America,Tri-State Ford Dealers,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
3Com Park,San Francisco,CA,United States of America,3Com,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Chevrolet Centre,Youngstown,OH,United States of America,General Motors,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Taco Bell Arena,Boise,ID,United States of America,ES-O-EN Corp.,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
P&C Stadium,Syracuse,NY,United States of America,P & C grocery supplier,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Commerce Bank Park,Harrisburg,PA,United States of America,Commerce Bank,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Frontier Field,Rochester,NY,United States of America,Frontier Telephone,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Webster Bank Arena,Bridgeport,CT,United States of America,Webster Bank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Skyreach Centre,Edmonton,AB,Canada,Skyreach Equipment Corp,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Applebee‰Ûªs Park,Lexington,KY,United States of America,Applebee‰Ûªs Restaurants,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bi-Lo Center,Greenville,SC,United States of America,Bi-Lo Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Campbell‰Ûªs Field,Camden,NJ,United States of America,Campbell Soup Co.,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Erie Insurance Arena,Erie,PA,United States of America,Erie Insurance Group,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First Horizon Park,Greensboro,NC,United States of America,First Horizon National Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Florida Power Park,St. Petersburg,FL,United States of America,Florida Power Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Parkview Field,Ft. Wayne,IN,United States of America,Parkview Health,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Arena,Albany,NY,United States of America,Pepsi Cola. Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Blue Cross Arena at the War Memorial,Rochester,NY,United States of America,Blue Cross,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
John Labatt Centre,London,ON,Canada,Labatt Brewing Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Ervin J. Nutter Center,Dayton,OH,United States of America,Ervin J. Nutter,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Sovereign Bank Arena,Trenton,NJ,United States of America,Sovereign Bank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BancorpSouth Center,Tupelo,MS,United States of America,Bancorp South,Venue Naming Rights,Term,12,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Clipper Magazine Stadium,Lancaster,PA,United States of America,Clipper Magazine Inc.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Dell Diamond,Round Rock,TX,United States of America,Dell Computer,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
ipayOne Center,San Diego,CA,United States of America,ipayOne,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Rabobank Arena,Bakersfield,CA,United States of America,Rabobank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First Union Arena,Wilkes-Barre,PA,United States of America,First Union,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
United States Steel Yard,Gary,IN,United States of America,U.S. Steel,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Silver Cross Field,Joliet,IL,United States of America,Silver Cross Hospital,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First American Bank Ballpark,Midland,TX,United States of America,First American Bank,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Huntington Center,Toldeo,OH,United States of America,Huntington Bancshares,Venue Naming Rights,Term,6,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Sun National Bank Center,Trenton,NJ,United States of America,Sun National Bank,Venue Naming Rights,Term,7,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Alexian Field,Schaumburg,IL,United States of America,Alexian Health Care,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Louisville Slugger Field,Louisville,KY,United States of America,Louisville Slugger,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Reading Soverign Center,Reading,PA,United States of America,Sovereign Bank,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Tucson Electric Park,Tucson,AZ,United States of America,Tuscon Electric Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Arena,Milwaukee,WI,United States of America,U.S. Cellular,Venue Naming Rights,Term,6,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Target Center,North Minneapolis,MN,United States of America,Target Stores/Dayton Hudson,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bright House Networks Field,Clearwater,FL,United States of America,Bright House Networks,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
JetForm Park,Ottawa,ON,Canada,Jet Form Corporation,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Dunn Tire Park,Buffalo,NY,United States of America,Dunn Tires,Venue Naming Rights,Term,6,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Werner Park,Sarpy County,NE,United States of America,Werner Enterprises,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Budweiser Events Center,Loveland,CO,United States of America,Eagle Distributing,Venue Naming Rights,Term,20,Years,National Sports Law Institute of Marquette University Law School,5/10/12
CanWest Global Park,Winnipeg,MB,Canada,CanWest Global,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Mile One Stadium,St. Johns,NL,Canada,Molson Brewing,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Newman Outdoor,Field Fargo,ND,United States of America,Newman Outdoor,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Oldsmobile Park,Lansing,MI,United States of America,Oldsmobile,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Sovereign Center,Reading,PA,United States of America,Sovereign Bank,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Valley View Casino Center,San Diego,CA,United States of America,San Pasqual Band of Mission Indians,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Big Sandy Superstore Arena,Huntington,WV,United States of America,Big Sandy Superstores,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Franklin-Covey Field,Salt Lake City,UT,United States of America,Franklin-Covey,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BMO Harris Bank Center,Rockford,IL,United States of America,BMO Harris Bank,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bojangles Coliseum,Charlotte,NC,United States of America,Bojangles,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pringles Park,Jackson,TN,United States of America,Proctor & Gamble,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
PNC Field,Moosic,PA,United States of America,PNC Financial Services,Venue Naming Rights,Term,3,Years,National Sports Law Institute of Marquette University Law School,5/10/12
O‰ÛªBrien Field,Peoria,IL,United States of America,O‰ÛªBrien Automotive Group,Venue Naming Rights,Term,7,Years,National Sports Law Institute of Marquette University Law School,5/10/12
BellSouth Park,Chattanooga,TN,United States of America,BellSouth,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Campanelli Stadium,Brockton,MA,United States of America,Alfred Campanelli,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Coastal Federal Field,Myrtle Beach,SC,United States of America,Coastal Federal Bank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
GMC Park,Collinsville,IL,United States of America,GMC Corp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Coliseum,Quebec City,PQ,Canada,Pepsi Cola. Co.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Rimrock Auto Arena,Billings,MT,United States of America,Rimrock Auto,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Roger Dean Stadium,Jupiter,FL,United States of America,Roger Dean Automotive,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Town Toyota Center,Wenatchee,WA,United States of America,Town Toyota,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Coliseum,Indianapolis,IN,United States of America,Pepsi Cola Co.,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Arrowhead Credit Union Park,San Bernardino,CA,United States of America,Arrowhead Credit Union,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Cricket Arena,Charlotte,NC,United States of America,Leap Wireless,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
First Mariner Arena,Baltimore,MD,United States of America,First Mariner Bancorp.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Pricecutter Park,Ozark,MO,United States of America,Pricecutter Foods,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
SAS Stadium,Raleigh,NC,United States of America,SAS Institute,Venue Naming Rights,Term,3,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Burns Stadium,Calgary,AB,Canada,Burns Meats Co.,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Alliant Energy Field,Clinton,IA,United States of America,Alliant Energy,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Knology Park,Dunedin,FL,United States of America,Knology Inc.,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Dow Diamond,Midland,MI,United States of America,Dow Chemical Co.,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
John Thurman Field,Modesto,CA,United States of America,Modesto Bee,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Fieldcrest Cannon Stadium,Kannapolis,IW,United States of America,Fieldcrest Cannon Inc.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Center,Cedar Rapids,IA,United States of America,U.S. Cellular,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Hawkinson Ford Field,Crestwood,IL,United States of America,Hawkinson Ford,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
All Pro Freight Stadium,Avon,OH,United States of America,All Pro Freight Systems Inc.,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bank of America Center,Boise,ID,United States of America,Bank of America,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Bridgestone Arena,Nashville,TN,United States of America,Bridgestone Americas Inc.,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Champion Windows Field,Florence,KY,United States of America,Champion Windows,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Citizens Business Bank Arena,Ontario,CA,United States of America,Citizens Business Bank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Coca-Cola Park,Allentown,PA,United States of America,Coca-Cola,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Dr. Pepper/SevenUp Ballpark,Frisco,TX,United States of America,Dr. Pepper/Seven Up,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Fifth Third Bank Ballpark,Geneva,IL,United States of America,Fifth Third Bank,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Firstar Center,Cincinnati,OH,United States of America,Firstar,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
GPU Stadium,Reading,PA,United States of America,GPU Energy,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Gillette Stadium,Foxborough,MA,United States of America,Gillette Co.,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
NYSEG Stadium,Binghamton,NY,United States of America,New York StateElectrical and Gas,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Old Kent Park,Comstock Park,MI,United States of America,Old Kent Bank,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
RCBK Stadium,Staten Island,NY,United States of America,Richmond County Savings Bank,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Rogers Arena,Vancouver,BC,Canada,Rogers Communications,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Skyreach Place,Kelowna,BC,Canada,Skyreach Equipment,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
SBC Bricktown Park,Oklahoma City,OK,United States of America,Southwestern Bell (SBC),Venue Naming Rights,Term,7,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Spring Mobile Ballpark,Salt Lake City,UT,United States of America,Spring Communications,Venue Naming Rights,Term,5,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Stater Bros. Stadium,Adelanto,CA,United States of America,Stater Brothers Supermarkets See note,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Target Field,Minneapolis,MN,United States of America,Target Stores/Dayton Hudson,Venue Naming Rights,Term,25,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Telus Field,Edmonton,AB,Canada,Telus,Venue Naming Rights,Term,10,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Trustmark Park,Pearl,MS,United States of America,Trustmark National Bank,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Uni-Trade Stadium,Laredo,TX,United States of America,Uni-Trade Fowarding LLC,Venue Naming Rights,Term,NA,Years,National Sports Law Institute of Marquette University Law School,5/10/12
Whataburger Field,Corpus Christi,TX,United States of America,What A Burger Inc.,Venue Naming Rights,Term,15,Years,National Sports Law Institute of Marquette University Law School,5/10/12
