ModelName,Year,Bodypaint,CoverModel,ModelNationality,ModelHairFacet,ModelHairColor,ModelEyeFacet,ModelEyeColor,ModelDateOfBirth,ModelBirthYear,ModelBirthPlace,ModelBirthCity,ModelBirthStateProvence,ModelBirthCountry,ModelEthnicity,ModelHeight.US,Height.in,ModelHeight.numeric,ModelHeight.Label,ModelMeasurements.US,ModelBust.in,ModelWaste.in,ModelHips.in,ModelDressSize.US,ModelShoeSize.US,ModelAgency,ModelsHobbies,ModelCupSize,UnconfirmedCupSize,ModelImplants.,ModelNaturalCupSize,Wikipedia_URL,FMDURL
Beri Smither,1998,NA,NA,American,,Blonde,,Blue,6/22/71,1971,"Salem, Oregon, United States of America",Salem,Oregon,United States of America,American,"5'9.5""",69.5,5.79,5.95,34-25-36 ,34,25,36,6,8.5,Heffner Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Beri_Smither,http://www.fashionmodeldirectory.com/models/Beri_Smither
Bernadette Swann,1980,NA,NA,American,,Black,,Black,,1960,United States of America,,,United States of America,African-American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Bernadette_Swann&action=edit&redlink=1,
Beyonce Knowles,2007,NA,TRUE,American,,Blonde,,Brown,9/4/81,1981,"Houston, Texas, United States of America",Houston,Texas,United States of America,African-American,5'6.5'',66.5,5.54,5.65,36-26-38,36,26,38,6,NA,NA,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Beyonc%C3%A9_Knowles,
Brandi Quinones,1997,NA,NA,American,Dark,Brown,,Green,1/25/77,1977,"New York City, New York, United States of America",New York City,New York,United States of America,"Puerto Rican, Sicilian","5'9.5""",69.5,5.79,5.95,34-23-35 ,34,23,35,4,8.5,Place Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Brandi_Qui%C3%B1ones&action=edit&redlink=1,http://www.fashionmodeldirectory.com/models/Brandi_Quinones
Bridget Hall,2004,TRUE,NA,American,Dark,Blonde,Light,Brown,12/12/77,1977,"Springdale, Arkansas, United States of America",Springdale,Arkansas,United States of America,"English, Cherokee","5'11""",71,5.92,5.11,34-25-35 ,34,25,35,4,8.5,One Management,"Horseback Riding, Jetskiing, Pool, Swimming, Painting/Drawing, Reading, Surfing, Volleyball",B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bridget_Hall,http://www.fashionmodeldirectory.com/models/Bridget_Hall
Bridget Hall,2006,NA,NA,American,Dark,Blonde,Light,Brown,12/12/77,1977,"Springdale, Arkansas, United States of America",Springdale,Arkansas,United States of America,"English, Cherokee","5'11""",71,5.92,5.11,34-25-35 ,34,25,35,4,8.5,One Management,"Horseback Riding, Jetskiing, Pool, Swimming, Painting/Drawing, Reading, Surfing, Volleyball",B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bridget_Hall,http://www.fashionmodeldirectory.com/models/Bridget_Hall
Bridget Hall,2005,TRUE,NA,American,Dark,Blonde,Light,Brown,12/12/77,1977,"Springdale, Arkansas, United States of America",Springdale,Arkansas,United States of America,"English, Cherokee","5'11""",71,5.92,5.11,34-25-35 ,34,25,35,4,8.5,One Management,"Horseback Riding, Jetskiing, Pool, Swimming, Painting/Drawing, Reading, Surfing, Volleyball",B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bridget_Hall,http://www.fashionmodeldirectory.com/models/Bridget_Hall
Bridget Hall,2002,NA,NA,American,Dark,Blonde,Light,Brown,12/12/77,1977,"Springdale, Arkansas, United States of America",Springdale,Arkansas,United States of America,"English, Cherokee","5'11""",71,5.92,5.11,34-25-35 ,34,25,35,4,8.5,One Management,"Horseback Riding, Jetskiing, Pool, Swimming, Painting/Drawing, Reading, Surfing, Volleyball",B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bridget_Hall,http://www.fashionmodeldirectory.com/models/Bridget_Hall
Bridget Hall,2003,NA,NA,American,Dark,Blonde,Light,Brown,12/12/77,1977,"Springdale, Arkansas, United States of America",Springdale,Arkansas,United States of America,"English, Cherokee","5'11""",71,5.92,5.11,34-25-35 ,34,25,35,4,8.5,One Management,"Horseback Riding, Jetskiing, Pool, Swimming, Painting/Drawing, Reading, Surfing, Volleyball",B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Bridget_Hall,http://www.fashionmodeldirectory.com/models/Bridget_Hall
Britta Dubbels,1993,NA,NA,German,,Brown,,Green,,1971,"Niedersachsen, Germany",Niedersachsen,,Germany,German,,0,0,NA,,NA,NA,NA,NA,NA,Ford Models,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Britta_Dubbels&action=edit&redlink=1,
Brooklyn Decker,2009,TRUE,NA,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Brooklyn Decker,2006,NA,NA,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Brooklyn Decker,2011,NA,NA,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Brooklyn Decker,2008,NA,NA,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Brooklyn Decker,2007,NA,NA,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Brooklyn Decker,2010,NA,TRUE,American,,Blonde,,Blue,8/3/87,1987,"Matthews, North Carolina, United States of America",Matthews,North Carolina,United States of America,American,"5'9""",69,5.75,5.90,36-24-34 ,36,24,34,4,NA,Evolution Talent Agency,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Brooklyn_Decker,http://www.fashionmodeldirectory.com/models/Brooklyn_Decker
Caprice Bourret,1998,NA,NA,American,,Blonde,,Blue,10/24/74,1974,"Hacienda Heights, California, United States of America",Hacienda Heights,California,United States of America,"American, Canadian, French","5'9""",69,5.75,5.90,34-24-34 ,34,24,34,4,8,Next Model Management,,D,FALSE,TRUE,B,http://en.wikipedia.org/wiki/Caprice_Bourret,http://www.fashionmodeldirectory.com/models/Caprice_Bourret
Carla Campbell,2006,NA,NA,Jamaican,,Black,,Brown,7/11/81,1981,"Kingston, Jamaica",Kingston,,Jamaica,Jamaican,"5'11""",71,5.92,5.11,34-26-36 ,34,26,36,6,10,Pulse Models,,DD,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carla_Campbell,http://www.fashionmodeldirectory.com/models/Carla_Campbell
Carla Maria,2002,NA,NA,American,,Black,,Brown,,,United States of America,,,United States of America,African-American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Carla_Maria&action=edit&redlink=1,
Carmen Luisa Vela,1971,NA,NA,Dominican,,Black,,Brown,,,Dominican Republic,,,Dominican Republic,Dominican,,0,0,NA,,NA,NA,NA,NA,NA,NA,,A,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Carmen_Luisa_Vela&action=edit&redlink=1,
Carol Alt,1981,NA,NA,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Alt,1984,NA,NA,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Alt,1987,NA,NA,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Alt,1982,NA,TRUE,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Alt,1983,NA,NA,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Alt,1989,NA,NA,American,,Brown,,Blue,12/1/13,2013,"Flushing Point, New York, United States of America",Flushing Point,Queens,United States of America,American,"5'10""",70,5.83,5.10,34-24-35 ,34,24,35,6,9.5,Trump Model Management,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carol_Alt,http://www.fashionmodeldirectory.com/models/Carol_Alt
Carol Latimer,1974,NA,NA,American,,Brown,,Blue,,,United States of America,,,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Carol_Latimer&action=edit&redlink=1,
Carolyn Murphy,2004,NA,NA,American,,Blonde,,Blue,8/11/73,1973,"Fort Walton Beach, Florida, United States of America",Fort Walton Beach,Florida,United States of America,American,"5'9""",69,5.75,5.90,34-24-34 ,34,24,34,4,8,IMG Models,Rollerblading,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carolyn_Murphy,http://www.fashionmodeldirectory.com/models/Carolyn_Murphy
Carolyn Murphy,2006,NA,TRUE,American,,Blonde,,Blue,8/11/73,1973,"Fort Walton Beach, Florida, United States of America",Fort Walton Beach,Florida,United States of America,American,"5'9""",69,5.75,5.90,34-24-34 ,34,24,34,4,8,IMG Models,Rollerblading,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carolyn_Murphy,http://www.fashionmodeldirectory.com/models/Carolyn_Murphy
Carolyn Murphy,2005,NA,TRUE,American,,Blonde,,Blue,8/11/73,1973,"Fort Walton Beach, Florida, United States of America",Fort Walton Beach,Florida,United States of America,American,"5'9""",69,5.75,5.90,34-24-34 ,34,24,34,4,8,IMG Models,Rollerblading,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carolyn_Murphy,http://www.fashionmodeldirectory.com/models/Carolyn_Murphy
Carre Otis,2000,NA,NA,American,,Brown,,Green,9/28/68,1968,"San Francisco, California, United States of America",San Francisco,California,United States of America,American,"5'9.5""",69.5,5.79,5.95,37-28-38 ,37,28,38,8,9.5,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Carr%C3%A9_Otis,http://www.fashionmodeldirectory.com/models/Carre_Otis
Chandra North,1999,NA,NA,American,,Brown,,Blue,7/31/73,1973,"Dallas, Texas, United States of America",Dallas,Texas,United States of America,American,"5'9""",69,5.75,5.90,34-25-35 ,34,25,35,6,8.5,Louisa Models,Watersports,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Chandra_North,http://www.fashionmodeldirectory.com/models/Chandra_North
Chandra North,1998,NA,NA,American,,Brown,,Blue,7/31/73,1973,"Dallas, Texas, United States of America",Dallas,Texas,United States of America,American,"5'9""",69,5.75,5.90,34-25-35 ,34,25,35,6,8.5,Louisa Models,Watersports,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Chandra_North,http://www.fashionmodeldirectory.com/models/Chandra_North
Chandra North,1997,NA,NA,American,,Brown,,Blue,7/31/73,1973,"Dallas, Texas, United States of America",Dallas,Texas,United States of America,American,"5'9""",69,5.75,5.90,34-25-35 ,34,25,35,6,8.5,Louisa Models,Watersports,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Chandra_North,http://www.fashionmodeldirectory.com/models/Chandra_North
Chandra North,2002,NA,NA,American,,Brown,,Blue,7/31/73,1973,"Dallas, Texas, United States of America",Dallas,Texas,United States of America,American,"5'9""",69,5.75,5.90,34-25-35 ,34,25,35,6,8.5,Louisa Models,Watersports,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Chandra_North,http://www.fashionmodeldirectory.com/models/Chandra_North
Charissa Craig,1982,NA,NA,American,,Black,,Brown,,1963,United States of America,,,United States of America,African-American,"5'10""",70,5.83,5.10,34-24-36 ,34,24,36,8,9,Jana Alpert Model Management,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Charissa_Craig&action=edit&redlink=1,
Cheryl Tiegs,1978,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1974,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1977,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1970,NA,TRUE,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1983,NA,TRUE,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1995,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1989,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1972,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1975,NA,TRUE,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Cheryl Tiegs,1976,NA,NA,American,,Blonde,,Blue,9/25/47,1947,"Breckenridge, Minnesota, United States of America",Breckenridge,Minnesota,United States of America,American,"5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Bryan Bantry,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cheryl_Tiegs,http://www.fashionmodeldirectory.com/models/Cheryl_Tiegs
Christie Brinkley,1975,NA,NA,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1989,NA,NA,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1978,NA,NA,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1981,NA,TRUE,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1980,NA,TRUE,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1976,NA,NA,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christie Brinkley,1979,NA,TRUE,American,,Blonde,,Blue,2/2/54,1954,"Monroe, Michigan, United States of America",Monroe,Michigan,United States of America,American,"5'9""",69,5.75,5.90,36-24-35 ,36,24,35,6,8.5,Cathy Quinn Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christie_Brinkley,http://www.fashionmodeldirectory.com/models/Christie_Brinkley
Christine Teigen,2011,NA,NA,American,,Brown,Light,Brown,11/30/85,1985,"Delta, Utah, United States of America",Delta,Utah,United States of America,"Thai, Norwegian","5'8.5""",68.5,5.71,5.85,34-24-34 ,34,24,34,2,9,IMG Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christine_Teigen,http://www.fashionmodeldirectory.com/models/Christine_Teigen
Christine Teigen,2010,NA,NA,American,,Brown,Light,Brown,11/30/85,1985,"Delta, Utah, United States of America",Delta,Utah,United States of America,"Thai, Norwegian","5'8.5""",68.5,5.71,5.85,34-24-34 ,34,24,34,2,9,IMG Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christine_Teigen,http://www.fashionmodeldirectory.com/models/Christine_Teigen
Christine Teigen,2013,NA,NA,American,,Brown,Light,Brown,11/30/85,1985,"Delta, Utah, United States of America",Delta,Utah,United States of America,"Thai, Norwegian","5'8.5""",68.5,5.71,5.85,34-24-34 ,34,24,34,2,9,IMG Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christine_Teigen,http://www.fashionmodeldirectory.com/models/Christine_Teigen
Christine Teigen,2012,NA,NA,American,,Brown,Light,Brown,11/30/85,1985,"Delta, Utah, United States of America",Delta,Utah,United States of America,"Thai, Norwegian","5'8.5""",68.5,5.71,5.85,34-24-34 ,34,24,34,2,9,IMG Models,,C,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Christine_Teigen,http://www.fashionmodeldirectory.com/models/Christine_Teigen
Cindy Crawford,1988,NA,NA,American,,Brown,,Brown,2/20/66,1966,"De Kalb, Illinois, United States of America",De Kalb,Illinois,United States of America,American,"5'9.5""",69.5,5.79,5.95,34-25.5-36 ,34,25.5,36,6,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cindy_Crawford,http://www.fashionmodeldirectory.com/models/Cindy_Crawford
Cintia Dicker,2009,NA,NA,Brazilian,,Red,,Blue,6/12/86,1986,"Campo Bom, Rio Grande do Sul, Brazil",Campo Bom,Rio Grande do Sul,Brazil,"Brazilian, German","5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cintia_Dicker,http://www.fashionmodeldirectory.com/models/Cintia_Dicker
Cintia Dicker,2011,NA,NA,Brazilian,,Red,,Blue,6/12/86,1986,"Campo Bom, Rio Grande do Sul, Brazil",Campo Bom,Rio Grande do Sul,Brazil,"Brazilian, German","5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cintia_Dicker,http://www.fashionmodeldirectory.com/models/Cintia_Dicker
Cintia Dicker,2012,NA,NA,Brazilian,,Red,,Blue,6/12/86,1986,"Campo Bom, Rio Grande do Sul, Brazil",Campo Bom,Rio Grande do Sul,Brazil,"Brazilian, German","5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cintia_Dicker,http://www.fashionmodeldirectory.com/models/Cintia_Dicker
Cintia Dicker,2013,NA,NA,Brazilian,,Red,,Blue,6/12/86,1986,"Campo Bom, Rio Grande do Sul, Brazil",Campo Bom,Rio Grande do Sul,Brazil,"Brazilian, German","5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cintia_Dicker,http://www.fashionmodeldirectory.com/models/Cintia_Dicker
Cintia Dicker,2010,NA,NA,Brazilian,,Red,,Blue,6/12/86,1986,"Campo Bom, Rio Grande do Sul, Brazil",Campo Bom,Rio Grande do Sul,Brazil,"Brazilian, German","5'10""",70,5.83,5.10,34-24-34 ,34,24,34,4,9,Storm Models,,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Cintia_Dicker,http://www.fashionmodeldirectory.com/models/Cintia_Dicker
Coco Mitchell,1986,NA,NA,American,,Black,,Brown,4/18/67,1967,"Tampa Bay, Florida, United States of America",Tampa Bay,Florida,United States of America,African-American,"5'11""",71,5.92,5.11,34-25-35 ,34,25,35,NA,10,Wilhelmina Models,,B,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Coco_Mitchell&action=edit&redlink=1,
Crystal Renn,2012,NA,NA,American,,Brown,Light,Brown,6/18/87,1987,"Miami, Florida, United States of America",Miami,Florida,United States of America,American,"5'9""",69,5.75,5.90,39-32-43 ,39,32,43,8,9.5,Ford Models,,D,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Crystal_Renn,http://www.fashionmodeldirectory.com/models/Crystal_Renn
Cynthia Korman,1971,NA,NA,American,Dark,Blonde,,Blue,3/14/49,1949,"Cedarhurst, New York, United States of America",Cedarhurst,New York,United States of America,American,,0,0,NA,,NA,NA,NA,NA,NA,NA,,D,TRUE,FALSE,NA,http://en.wikipedia.org/w/index.php?title=Cynthia_Korman&action=edit&redlink=1,
Damaris Lewis,2011,NA,NA,American,,Brown,,Black,11/19/91,1991,"Brooklyn, New York, United States of America",Brooklyn,New York,United States of America,African-American,"5'9""",69,5.75,5.90,34-26-34 ,34,26,34,4,9.5,Elite Model Management,Dancing,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Damaris_Lewis,http://www.fashionmodeldirectory.com/models/Damaris_Lewis
Damaris Lewis,2009,NA,NA,American,,Brown,,Black,11/19/91,1991,"Brooklyn, New York, United States of America",Brooklyn,New York,United States of America,African-American,"5'9""",69,5.75,5.90,34-26-34 ,34,26,34,4,9.5,Elite Model Management,Dancing,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Damaris_Lewis,http://www.fashionmodeldirectory.com/models/Damaris_Lewis
Damaris Lewis,2010,NA,NA,American,,Brown,,Black,11/19/91,1991,"Brooklyn, New York, United States of America",Brooklyn,New York,United States of America,African-American,"5'9""",69,5.75,5.90,34-26-34 ,34,26,34,4,9.5,Elite Model Management,Dancing,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Damaris_Lewis,http://www.fashionmodeldirectory.com/models/Damaris_Lewis
Daniela Pestova,1995,NA,TRUE,Czech,,Blonde,,Blue,10/14/70,1970,"Teplice, Czech Republic",Teplice,,Czech Republic,Czech,"5'11""",71,5.92,5.11,34-23-36 ,34,23,36,6,9.5,Next Model Management,Walking,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Daniela_Pe%C5%A1tov%C3%A1,http://www.fashionmodeldirectory.com/models/Daniela_Pestova
Daniela Pestova,1998,NA,NA,Czech,,Blonde,,Blue,10/14/70,1970,"Teplice, Czech Republic",Teplice,,Czech Republic,Czech,"5'11""",71,5.92,5.11,34-23-36 ,34,23,36,6,9.5,Next Model Management,Walking,B,FALSE,FALSE,NA,http://en.wikipedia.org/wiki/Daniela_Pe%C5%A1tov%C3%A1,http://www.fashionmodeldirectory.com/models/Daniela_Pestova
