"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value"
"133","Baseball","Entity","Burlington Bees","http://www.sportsfangraph.com/team/burlington-bees",2012-12-06,"Rank",133
"134","Baseball","Entity","Inland Empire 66ers of Sa...","http://www.sportsfangraph.com/team/inland-empire-66ers-of-san-bernardino",2012-12-06,"Rank",134
"135","Baseball","Entity","Brevard County Manatees","http://www.sportsfangraph.com/team/brevard-county-manatees",2012-12-06,"Rank",135
"136","Baseball","Entity","Potomac Nationals","http://www.sportsfangraph.com/team/potomac-nationals",2012-12-06,"Rank",136
"137","Baseball","Entity","High Desert Mavericks","http://www.sportsfangraph.com/team/high-desert-mavericks",2012-12-06,"Rank",137
"138","Baseball","Entity","Clinton LumberKings","http://www.sportsfangraph.com/team/clinton-lumberkings",2012-12-06,"Rank",138
"139","Baseball","Entity","Chattanooga Lookouts","http://www.sportsfangraph.com/team/chattanooga-lookouts",2012-12-06,"Rank",139
"140","Baseball","Entity","Akron Aeros","http://www.sportsfangraph.com/team/akron-aeros",2012-12-06,"Rank",140
"141","Baseball","Entity","Beloit Snappers","http://www.sportsfangraph.com/team/beloit-snappers",2012-12-06,"Rank",141
"142","Baseball","Entity","Clearwater Threshers","http://www.sportsfangraph.com/team/clearwater-threshers",2012-12-06,"Rank",142
"143","Baseball","Entity","Saraperos de Saltillo","http://www.sportsfangraph.com/team/saraperos-de-saltillo",2012-12-06,"Rank",143
"144","Baseball","Entity","Huntsville Stars","http://www.sportsfangraph.com/team/huntsville-stars",2012-12-06,"Rank",144
"145","Baseball","Entity","Jacksonville Suns","http://www.sportsfangraph.com/team/jacksonville-suns",2012-12-06,"Rank",145
"146","Baseball","Entity","Fort Myers Miracle","http://www.sportsfangraph.com/team/fort-myers-miracle",2012-12-06,"Rank",146
"147","Baseball","Entity","University of Illinois Ba...","http://www.sportsfangraph.com/team/university-of-illinois-baseball",2012-12-06,"Rank",147
"148","Baseball","Entity","Bowling Green Hot Rods","http://www.sportsfangraph.com/team/bowling-green-hot-rods",2012-12-06,"Rank",148
"149","Baseball","Entity","Peoria Chiefs","http://www.sportsfangraph.com/team/peoria-chiefs",2012-12-06,"Rank",149
"150","Baseball","Entity","Dunedin Blue Jays","http://www.sportsfangraph.com/team/dunedin-blue-jays",2012-12-06,"Rank",150
"151","Baseball","Entity","Mobile BayBears","http://www.sportsfangraph.com/team/mobile-baybears",2012-12-06,"Rank",151
"152","Baseball","Entity","St. Lucie Mets","http://www.sportsfangraph.com/team/st-lucie-mets",2012-12-06,"Rank",152
"153","Baseball","Entity","New Orleans Zephyrs","http://www.sportsfangraph.com/team/new-orleans-zephyrs",2012-12-06,"Rank",153
"154","Baseball","Entity","University of Washington ...","http://www.sportsfangraph.com/team/university-of-washington-baseball",2012-12-06,"Rank",154
"155","Baseball","Entity","Vaqueros de la Laguna","http://www.sportsfangraph.com/team/vaqueros-de-la-laguna",2012-12-06,"Rank",155
"156","Baseball","Entity","University of Notre Dame ...","http://www.sportsfangraph.com/team/university-of-notre-dame-softball",2012-12-06,"Rank",156
"157","Baseball","Entity","Bakersfield Blaze","http://www.sportsfangraph.com/team/bakersfield-blaze",2012-12-06,"Rank",157
"158","Baseball","Entity","University of Illinois So...","http://www.sportsfangraph.com/team/university-of-illinois-softball",2012-12-06,"Rank",158
"159","Baseball","Entity","Myrtle Beach Pelicans","http://www.sportsfangraph.com/team/myrtle-beach-pelicans",2012-12-06,"Rank",159
"160","Baseball","Entity","Lancaster JetHawks","http://www.sportsfangraph.com/team/lancaster-jethawks",2012-12-06,"Rank",160
"161","Baseball","Entity","Rancho Cucamonga Quakes","http://www.sportsfangraph.com/team/rancho-cucamonga-quakes",2012-12-06,"Rank",161
"162","Baseball","Entity","Lakeland Flying Tigers","http://www.sportsfangraph.com/team/lakeland-flying-tigers",2012-12-06,"Rank",162
"163","Baseball","Entity","Visalia Rawhide","http://www.sportsfangraph.com/team/visalia-rawhide",2012-12-06,"Rank",163
"164","Baseball","Entity","Midland RockHounds","http://www.sportsfangraph.com/team/midland-rockhounds",2012-12-06,"Rank",164
"165","Baseball","Entity","University of Notre Dame ...","http://www.sportsfangraph.com/team/university-of-notre-dame-baseball",2012-12-06,"Rank",165
"166","Baseball","Entity","Jupiter Hammerheads","http://www.sportsfangraph.com/team/jupiter-hammerheads",2012-12-06,"Rank",166
"167","Baseball","Entity","Palm Beach Cardinals","http://www.sportsfangraph.com/team/palm-beach-cardinals",2012-12-06,"Rank",167
"168","Baseball","Entity","Dorados de Chihuahua","http://www.sportsfangraph.com/team/dorados-de-chihuahua",2012-12-06,"Rank",168
"169","Baseball","Entity","Lehigh University Basebal...","http://www.sportsfangraph.com/team/lehigh-university-baseball",2012-12-06,"Rank",169
"170","Baseball","Entity","West Tenn Diamond Jaxx","http://www.sportsfangraph.com/team/west-tenn-diamond-jaxx",2012-12-06,"Rank",170
"171","Baseball","Entity","Rojos del Aguila de Verac...","http://www.sportsfangraph.com/team/rojos-del-aguila-de-veracruz",2012-12-06,"Rank",171
"172","Baseball","Entity","Broncos de Reynosa","http://www.sportsfangraph.com/team/broncos-de-reynosa",2012-12-06,"Rank",172
"173","Baseball","Entity","Oklahoma City Redhawks","http://www.sportsfangraph.com/team/oklahoma-city-redhawks",2012-12-06,"Rank",173
"174","Baseball","Entity","Olmecas de Tabasco","http://www.sportsfangraph.com/team/olmecas-de-tabasco",2012-12-06,"Rank",174
"175","Baseball","Entity","Pericos de Puebla","http://www.sportsfangraph.com/team/pericos-de-puebla",2012-12-06,"Rank",175
"176","Baseball","Entity","Petroleros de Minatitlan","http://www.sportsfangraph.com/team/petroleros-de-minatitlan",2012-12-06,"Rank",176
"177","Baseball","Entity","Piratas de Campeche","http://www.sportsfangraph.com/team/piratas-de-campeche",2012-12-06,"Rank",177
"178","Baseball","Entity","Salt Lake Bees","http://www.sportsfangraph.com/team/salt-lake-bees",2012-12-06,"Rank",178
"179","Baseball","Entity","Sultanes de Monterrey","http://www.sportsfangraph.com/team/sultanes-de-monterrey",2012-12-06,"Rank",179
"180","Baseball","Entity","Tecolotes de Nuevo Laredo","http://www.sportsfangraph.com/team/tecolotes-de-nuevo-laredo",2012-12-06,"Rank",180
"181","Baseball","Entity","Tigres de Quintana Roo","http://www.sportsfangraph.com/team/tigres-de-quintana-roo",2012-12-06,"Rank",181
"182","Baseball","Entity","Frisco RoughRiders","http://www.sportsfangraph.com/team/frisco-roughriders",2012-12-06,"Rank",182
"183","Baseball","Entity","Chunichi Dragons","http://www.sportsfangraph.com/team/chunichi-dragons",2012-12-06,"Rank",183
"184","Baseball","Entity","Hanshin Tigers","http://www.sportsfangraph.com/team/hanshin-tigers",2012-12-06,"Rank",184
"185","Baseball","Entity","Hiroshima Toyo Carp","http://www.sportsfangraph.com/team/hiroshima-toyo-carp",2012-12-06,"Rank",185
"186","Baseball","Entity","Tokyo Yakult Swallows","http://www.sportsfangraph.com/team/tokyo-yakult-swallows",2012-12-06,"Rank",186
"187","Baseball","Entity","Yomiuri Giants","http://www.sportsfangraph.com/team/yomiuri-giants",2012-12-06,"Rank",187
"188","Baseball","Entity","Orix Buffaloes","http://www.sportsfangraph.com/team/orix-buffaloes",2012-12-06,"Rank",188
"189","Baseball","Entity","Saitama Seibu Lions","http://www.sportsfangraph.com/team/saitama-seibu-lions",2012-12-06,"Rank",189
"190","Baseball","Entity","Tohoku Rakuten Golden Eag...","http://www.sportsfangraph.com/team/tohoku-rakuten-golden-eagles",2012-12-06,"Rank",190
"191","Baseball","Entity","Dayton Dragons","http://www.sportsfangraph.com/team/dayton-dragons",2012-12-06,"Rank",191
"192","Baseball","Entity","Greensboro Grasshoppers","http://www.sportsfangraph.com/team/greensboro-grasshoppers",2012-12-06,"Rank",192
"193","Baseball","Entity","Kannapolis Intimidators","http://www.sportsfangraph.com/team/kannapolis-intimidators",2012-12-06,"Rank",193
"194","Baseball","Entity","Lakewood BlueClaws","http://www.sportsfangraph.com/team/lakewood-blueclaws",2012-12-06,"Rank",194
"195","Baseball","Entity","Lexington Legends","http://www.sportsfangraph.com/team/lexington-legends",2012-12-06,"Rank",195
"196","Baseball","Entity","University of Tennessee B...","http://www.sportsfangraph.com/team/university-of-tennessee-baseball",2012-12-06,"Rank",196
"197","Baseball","Entity","New York Yankees","http://www.sportsfangraph.com/team/new-york-yankees",2012-12-06,"Twitter Followers",781568
"198","Baseball","Entity","MLB","http://www.sportsfangraph.com/team/mlb",2012-12-06,"Twitter Followers",2566363
"199","Baseball","Entity","Boston Red Sox","http://www.sportsfangraph.com/team/boston-red-sox",2012-12-06,"Twitter Followers",340242
"200","Baseball","Entity","San Francisco Giants","http://www.sportsfangraph.com/team/san-francisco-giants",2012-12-06,"Twitter Followers",365626
"201","Baseball","Entity","Philadelphia Phillies","http://www.sportsfangraph.com/team/philadelphia-phillies",2012-12-06,"Twitter Followers",719932
"202","Baseball","Entity","Chicago Cubs","http://www.sportsfangraph.com/team/chicago-cubs",2012-12-06,"Twitter Followers",176477
"203","Baseball","Entity","Texas Rangers","http://www.sportsfangraph.com/team/texas-rangers",2012-12-06,"Twitter Followers",225866
"204","Baseball","Entity","St. Louis Cardinals","http://www.sportsfangraph.com/team/st-louis-cardinals",2012-12-06,"Twitter Followers",219325
"205","Baseball","Entity","Atlanta Braves","http://www.sportsfangraph.com/team/atlanta-braves",2012-12-06,"Twitter Followers",250487
"206","Baseball","Entity","Los Angeles Dodgers","http://www.sportsfangraph.com/team/los-angeles-dodgers",2012-12-06,"Twitter Followers",210576
"207","Baseball","Entity","Detroit Tigers","http://www.sportsfangraph.com/team/detroit-tigers",2012-12-06,"Twitter Followers",192801
"208","Baseball","Entity","Chicago White Sox","http://www.sportsfangraph.com/team/chicago-white-sox",2012-12-06,"Twitter Followers",101890
"209","Baseball","Entity","Minnesota Twins","http://www.sportsfangraph.com/team/minnesota-twins",2012-12-06,"Twitter Followers",111597
"210","Baseball","Entity","Cincinnati Reds","http://www.sportsfangraph.com/team/cincinnati-reds",2012-12-06,"Twitter Followers",150217
"211","Baseball","Entity","New York Mets","http://www.sportsfangraph.com/team/new-york-mets",2012-12-06,"Twitter Followers",138115
"212","Baseball","Entity","Milwaukee Brewers","http://www.sportsfangraph.com/team/milwaukee-brewers",2012-12-06,"Twitter Followers",101942
"213","Baseball","Entity","Toronto Blue Jays","http://www.sportsfangraph.com/team/toronto-blue-jays",2012-12-06,"Twitter Followers",189255
"214","Baseball","Entity","Cleveland Indians","http://www.sportsfangraph.com/team/cleveland-indians",2012-12-06,"Twitter Followers",83196
"215","Baseball","Entity","Los Angeles Angels of Ana...","http://www.sportsfangraph.com/team/los-angeles-angels-of-anaheim",2012-12-06,"Twitter Followers",78981
"216","Baseball","Entity","Seattle Mariners","http://www.sportsfangraph.com/team/seattle-mariners",2012-12-06,"Twitter Followers",78624
"217","Baseball","Entity","Colorado Rockies","http://www.sportsfangraph.com/team/colorado-rockies",2012-12-06,"Twitter Followers",60781
"218","Baseball","Entity","Baltimore Orioles","http://www.sportsfangraph.com/team/baltimore-orioles",2012-12-06,"Twitter Followers",99994
"219","Baseball","Entity","Tampa Bay Rays","http://www.sportsfangraph.com/team/tampa-bay-rays",2012-12-06,"Twitter Followers",83603
"220","Baseball","Entity","Houston Astros","http://www.sportsfangraph.com/team/houston-astros",2012-12-06,"Twitter Followers",54098
