year,team,rank,value,value_change,debt_value,debt_percent,revenue,expense,ebitda,revenue_multiple,ebitda_multiple,league
2003,Cleveland Indians,10,331,-0.08,109.23,0.33,141,142,-1,2.33,0,MLB
2003,Houston Astros,11,327,-0.03,49.05,0.15,121,121.8,-0.8,2.68,0,MLB
2003,Baltimore Orioles,12,310,-0.03,148.8,0.48,129,116.6,12.4,2.66,10.4,MLB
2003,St. Louis Cardinals,13,308,0.14,40.04,0.13,128,130,-2,2.37,0,MLB
2003,Colorado Rockies,14,304,-0.12,121.6,0.4,121,113.9,7.1,2.67,17.04,MLB
2003,Arizona Diamondbacks,15,269,-0.01,279.76,1.04,122,144.2,-22.2,1.87,0,MLB
2003,Philadelphia Phillies,16,239,0.03,179.25,0.75,97,108.9,-11.9,2.19,0,MLB
2003,Detroit Tigers,17,237,-0.1,175.38,0.74,108,113.3,-5.3,2.09,0,MLB
2003,Chicago White Sox,18,233,0.05,30.29,0.13,106,104.8,1.2,2.22,88.33,MLB
2003,San Diego Padres,19,226,0.09,153.68,0.68,98,93.4,4.6,2.42,21.3,MLB
2003,Los Angeles Angels of Anaheim,20,225,0.15,40.5,0.18,118,121.7,-3.7,1.85,0,MLB
2003,Pittsburgh Pirates,21,224,-0.07,89.6,0.4,101,102.6,-1.6,2.18,0,MLB
2003,Cincinnati Reds,22,223,0.1,0,0,91,86.1,4.9,2.59,18.57,MLB
2003,Milwaukee Brewers,23,206,-0.14,140.08,0.68,98,104.1,-6.1,1.98,0,MLB
2003,Oakland Athletics,24,172,0.1,60.2,0.35,96,89.4,6.6,1.92,14.55,MLB
2003,Toronto Blue Jays,25,166,-0.09,0,0,90,113.9,-23.9,1.46,0,MLB
2003,Kansas City Royals,26,153,0,30.6,0.2,85,96.2,-11.2,1.59,0,MLB
2003,Minnesota Twins,27,148,0.16,81.4,0.55,87,86.6,0.4,1.71,217.5,MLB
2003,Tampa Bay Rays,28,145,0.02,110.2,0.76,91,89.6,1.4,1.62,65,MLB
2003,Florida Marlins,29,136,-0.01,69.36,0.51,76,90,-14,1.51,0,MLB
2003,Montreal Expos,30,113,0.05,119.78,1.06,66,75.1,-9.1,1.5,0,MLB
2002,New York Yankees,1,751.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,New York Mets,2,483.5,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Los Angeles Dodgers,3,435.9,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Boston Red Sox,4,428.1,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Atlanta Braves,5,423,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Seattle Mariners,6,373.8,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Cleveland Indians,7,359.8,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Texas Rangers,8,357,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,San Francisco Giants,9,353.7,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Colorado Rockies,10,345.5,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Houston Astros,11,337.1,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Baltimore Orioles,12,319.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Chicago Cubs,13,286.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Arizona Diamondbacks,14,271.7,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,St. Louis Cardinals,15,270.2,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Detroit Tigers,16,263.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Pittsburgh Pirates,17,240.9,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Milwaukee Brewers,18,239.5,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Philadelphia Phillies,19,232,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Chicago White Sox,20,221.9,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,San Diego Padres,21,207.3,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Cincinnati Reds,22,202.7,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Los Angeles Angels of Anaheim,23,195.7,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Toronto Blue Jays,24,182.4,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Oakland Athletics,25,156.4,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Kansas City Royals,26,153,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Tampa Bay Rays,27,142.2,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Florida Marlins,28,137.4,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Minnesota Twins,29,127.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2002,Montreal Expos,30,107.6,NA,NA,NA,NA,NA,NA,NA,NA,MLB
2001,New York Yankees,1,635,0.16,254,0.4,192.4,170.5,21.9,3.72,8.79,MLB
2001,New York Mets,2,454,0.44,59.02,0.13,162,140.7,21.3,3.23,7.61,MLB
2001,Atlanta Braves,3,407,0.05,40.7,0.1,145.5,137.8,7.7,2.95,18.9,MLB
2001,Los Angeles Dodgers,4,381,0.17,41.91,0.11,131.3,148.7,-17.4,2.56,0,MLB
2001,Cleveland Indians,5,372,0.02,133.92,0.36,142.9,138.7,4.2,2.68,34.02,MLB
2001,Texas Rangers,6,342,0.16,174.42,0.51,126.5,119.1,7.4,2.87,17.09,MLB
2001,Boston Red Sox,7,339,0.2,40.68,0.12,125.7,133,-7.3,2.55,0,MLB
2001,Baltimore Orioles,8,335,-0.03,150.75,0.45,124,121.9,2.1,2.75,59.05,MLB
2001,Colorado Rockies,9,334,0.09,40.08,0.12,119.1,112.7,6.4,2.96,18.61,MLB
2001,San Francisco Giants,10,333,0.4,196.47,0.59,138.8,111.4,27.4,2.99,5.07,MLB
2001,Seattle Mariners,11,332,0.14,169.32,0.51,138.3,120.5,17.8,2.76,7.77,MLB
2001,Houston Astros,12,318,0.14,159,0.5,122.2,99.9,22.3,3.18,5.48,MLB
2001,Detroit Tigers,13,290,0.45,191.4,0.66,120.8,108.7,12.1,2.67,9.98,MLB
2001,Chicago Cubs,14,247,0.02,39.52,0.16,112.4,103.3,9.1,2.39,12.35,MLB
2001,Arizona Diamondbacks,15,245,-0.08,154.35,0.63,109.1,117,-7.9,2.09,0,MLB
2001,St. Louis Cardinals,16,243,0.11,38.88,0.16,110.5,113.5,-3,2.14,0,MLB
2001,Chicago White Sox,17,213,0.28,40.47,0.19,92.6,74.8,17.8,2.85,5.2,MLB
2001,Pittsburgh Pirates,18,211,0.31,90.73,0.43,70.4,68.1,2.3,3.1,30.61,MLB
2001,Milwaukee Brewers,19,209,0.25,140.03,0.67,69.6,71.2,-1.6,2.94,0,MLB
2001,Los Angeles Angels of Anaheim,20,198,0.02,25.74,0.13,94.4,103.3,-8.9,1.92,0,MLB
2001,Cincinnati Reds,21,187,0.07,65.45,0.35,77.8,70.9,6.9,2.64,11.28,MLB
2001,San Diego Padres,22,176,-0.11,190.08,1.08,84,92,-8,1.91,0,MLB
2001,Toronto Blue Jays,23,161,-0.01,40.25,0.25,80.3,86.2,-5.9,1.87,0,MLB
2001,Philadelphia Phillies,24,158,0.06,39.5,0.25,79.2,80.3,-1.1,1.97,0,MLB
2001,Tampa Bay Rays,25,150,-0.08,99,0.66,81.3,92.6,-11.3,1.62,0,MLB
2001,Oakland Athletics,26,149,0.11,59.6,0.4,74.7,69.5,5.2,2.14,14.37,MLB
2001,Kansas City Royals,27,138,0.13,40.02,0.29,72.6,68.3,4.3,2.02,16.88,MLB
2001,Florida Marlins,28,128,0.03,38.4,0.3,67.3,60.8,6.5,2.11,10.35,MLB
2001,Minnesota Twins,29,99,0.09,83.16,0.84,58,52.2,5.8,1.9,10,MLB
2001,Montreal Expos,30,92,0.03,67.16,0.73,53.9,62,-8.1,1.48,0,MLB
2000,New York Yankees,1,548,0.11,257.56,0.47,195.6,178.1,17.5,3.08,11.18,MLB
2000,Atlanta Braves,2,388,0.09,34.92,0.09,155.2,136.9,18.3,2.83,8.48,MLB
2000,Cleveland Indians,3,364,0.01,134.68,0.37,151.7,135.2,16.5,2.69,9.19,MLB
2000,Baltimore Orioles,4,347,-0.01,149.21,0.43,138.8,139.5,-0.7,2.49,0,MLB
2000,Los Angeles Dodgers,5,325,0.2,35.75,0.11,120.3,141.4,-21.1,2.3,0,MLB
2000,New York Mets,6,314,0.26,59.66,0.19,125.6,126.8,-1.2,2.48,0,MLB
2000,Colorado Rockies,7,305,-0.02,42.7,0.14,122.2,114.3,7.9,2.67,15.47,MLB
2000,Texas Rangers,8,294,0.05,199.92,0.68,117.5,127,-9.5,2.31,0,MLB
2000,Seattle Mariners,9,290,0.23,171.1,0.59,111.6,106.1,5.5,2.73,20.29,MLB
2000,Boston Red Sox,10,284,0.11,36.92,0.13,123.3,120.9,2.4,2.35,51.38,MLB
2000,Houston Astros,11,280,0.17,159.6,0.57,93.3,98.8,-5.5,2.83,0,MLB
2000,Arizona Diamondbacks,12,268,-0.08,134,0.5,111.5,98.6,12.9,2.72,8.64,MLB
2000,Chicago Cubs,13,242,0.08,36.3,0.15,105.4,107,-1.6,2.26,0,MLB
2000,San Francisco Giants,14,237,0.12,180.12,0.76,71.9,80.9,-9,2.93,0,MLB
2000,St. Louis Cardinals,15,219,0.07,35.04,0.16,104.5,99.1,5.4,2.21,19.35,MLB
2000,Detroit Tigers,16,200,0.32,174,0.87,71.5,70.4,1.1,2.84,65,MLB
2000,San Diego Padres,17,197,-0.04,185.18,0.94,78.9,87.7,-8.8,2.25,0,MLB
2000,Los Angeles Angels of Anaheim,18,195,0,19.5,0.1,90.7,93.2,-2.5,2.09,0,MLB
2000,Cincinnati Reds,19,175,0.07,64.75,0.37,59.4,64.5,-5.1,2.71,0,MLB
2000,Milwaukee Brewers,20,167,0.08,140.28,0.84,60.8,75.2,-14.4,2.22,0,MLB
2000,Chicago White Sox,21,166,-0.07,36.52,0.22,73.8,62.1,11.7,2.67,6.31,MLB
2000,Tampa Bay Rays,22,163,-0.28,99.43,0.61,77.5,84,-6.5,1.94,0,MLB
2000,Toronto Blue Jays,23,162,0,35.64,0.22,73.7,76.5,-2.8,2.12,0,MLB
2000,Pittsburgh Pirates,24,161,0.11,90.16,0.56,57.6,57.4,0.2,2.8,288,MLB
2000,Philadelphia Phillies,25,150,0.03,36,0.24,68.1,65.1,3,2.3,22.7,MLB
2000,Oakland Athletics,26,134,0.07,60.3,0.45,60.9,57,3.9,2.35,15.62,MLB
2000,Florida Marlins,27,125,-0.19,17.5,0.14,59.3,56.9,2.4,2.2,24.71,MLB
2000,Kansas City Royals,28,122,0.27,36.6,0.3,62.5,56.7,5.8,2.15,10.78,MLB
2000,Minnesota Twins,29,91,0.02,82.81,0.91,47.7,45.5,2.2,2,21.68,MLB
2000,Montreal Expos,30,89,0.07,66.75,0.75,47.1,45.2,1.9,1.97,24.79,MLB
1999,New York Yankees,1,491,0.36,14.73,0.03,175.5,152.5,23,3.22,7.63,MLB
1999,Cleveland Indians,2,359,0.12,57.44,0.16,149.7,130.7,19,2.75,7.88,MLB
1999,Atlanta Braves,3,357,0.19,21.42,0.06,142.7,126.3,16.4,2.83,8.7,MLB
1999,Baltimore Orioles,4,351,0.09,98.28,0.28,140.5,132,8.5,2.66,16.53,MLB
1999,Colorado Rockies,5,311,0.03,34.21,0.11,124.6,105.1,19.5,2.96,6.39,MLB
1999,Arizona Diamondbacks,6,291,NA,136.77,0.47,116.3,93.8,22.5,3.1,5.17,MLB
1999,Texas Rangers,7,281,0.11,199.51,0.71,108.1,107.6,0.5,2.61,216.2,MLB
1999,Los Angeles Dodgers,8,270,0.14,13.5,0.05,107.9,119.6,-11.7,2.26,0,MLB
1999,Boston Red Sox,9,256,0.12,20.48,0.08,106.9,114.5,-7.6,2.24,0,MLB
1999,New York Mets,10,249,0.29,12.45,0.05,99.7,104.9,-5.2,2.37,0,MLB
1999,Houston Astros,11,239,0.26,160.13,0.67,82.5,86.2,-3.7,2.77,0,MLB
1999,Seattle Mariners,12,236,-0.06,82.6,0.35,81.3,89.9,-8.6,2.63,0,MLB
1999,Tampa Bay Rays,13,225,NA,74.25,0.33,93.7,73.1,20.6,3.08,4.55,MLB
1999,Chicago Cubs,14,224,0.1,13.44,0.06,93.1,101,-7.9,2.22,0,MLB
1999,San Francisco Giants,15,213,0.13,170.4,0.8,73.3,79.7,-6.4,2.67,0,MLB
1999,St. Louis Cardinals,16,205,0.18,14.35,0.07,97.8,96.2,1.6,2.13,61.13,MLB
1999,San Diego Padres,17,205,0.27,129.15,0.63,78.9,86.9,-8,2.36,0,MLB
1999,Los Angeles Angels of Anaheim,18,195,0.24,19.5,0.1,88.5,88.7,-0.2,2.2,0,MLB
1999,Chicago White Sox,19,178,-0.17,14.24,0.08,74.1,73.9,0.2,2.41,370.5,MLB
1999,Cincinnati Reds,20,163,0.2,29.34,0.18,54.4,53.8,0.6,3.03,90.67,MLB
1999,Toronto Blue Jays,21,162,0.15,12.96,0.08,73.4,82.9,-9.5,1.95,0,MLB
1999,Milwaukee Brewers,22,155,0.22,124,0.8,55.5,64.3,-8.8,2.41,0,MLB
1999,Florida Marlins,23,153,-0.04,0,0,69.5,60.9,8.6,2.51,8.08,MLB
1999,Detroit Tigers,24,152,0.11,145.92,0.96,54.2,58.7,-4.5,2.59,0,MLB
1999,Philadelphia Phillies,25,145,0.11,13.05,0.09,66,61.5,4.5,2.36,14.67,MLB
1999,Pittsburgh Pirates,26,145,0.09,89.9,0.62,51.7,49.1,2.6,2.95,19.88,MLB
1999,Oakland Athletics,27,125,0.06,13.75,0.11,56.7,53.4,3.3,2.34,17.18,MLB
1999,Kansas City Royals,28,96,-0.11,20.16,0.21,53.5,64.4,-10.9,1.49,0,MLB
1999,Minnesota Twins,29,89,-0.05,82.77,0.93,46.8,53.9,-7.1,1.65,0,MLB
1999,Montreal Expos,30,84,-0.04,50.4,0.6,46.5,40.9,5.6,2.05,8.3,MLB
1998,Arizona Diamondbacks,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Tampa Bay Rays,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,New York Yankees,1,489,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Baltimore Orioles,2,322,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Cleveland Indians,3,321,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Colorado Rockies,4,302,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Atlanta Braves,5,300,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Texas Rangers,6,253,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Seattle Mariners,7,251,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Los Angeles Dodgers,8,237,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Boston Red Sox,9,229,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Chicago White Sox,10,214,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Chicago Cubs,11,204,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,New York Mets,12,193,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Houston Astros,13,190,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,San Francisco Giants,14,188,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,St. Louis Cardinals,15,174,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,San Diego Padres,16,161,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Florida Marlins,17,159,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Los Angeles Angels of Anaheim,18,157,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Toronto Blue Jays,19,141,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Detroit Tigers,20,137,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Cincinnati Reds,21,136,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Pittsburgh Pirates,22,133,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Philadelphia Phillies,23,131,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Milwaukee Brewers,24,127,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Oakland Athletics,25,118,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Kansas City Royals,26,108,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Minnesota Twins,27,94,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1998,Montreal Expos,28,88,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,New York Yankees,1,241,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Baltimore Orioles,2,207,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Atlanta Braves,3,199,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Colorado Rockies,4,184,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Los Angeles Dodgers,5,178,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Cleveland Indians,6,175,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Texas Rangers,7,174,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Boston Red Sox,8,172,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Chicago Cubs,9,165,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Toronto Blue Jays,10,155,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Chicago White Sox,11,149,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,New York Mets,12,144,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,St. Louis Cardinals,13,134,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,San Francisco Giants,14,128,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Florida Marlins,15,123,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Oakland Athletics,16,115,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Houston Astros,17,114,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Philadelphia Phillies,18,112,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Detroit Tigers,19,110,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Seattle Mariners,20,107,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Cincinnati Reds,21,95,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Los Angeles Angels of Anaheim,22,93,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Milwaukee Brewers,23,92,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Kansas City Royals,24,88,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,San Diego Padres,25,86,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Minnesota Twins,26,77,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Montreal Expos,27,77,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1997,Pittsburgh Pirates,28,71,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,New York Yankees,1,209,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Baltimore Orioles,2,168,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Atlanta Braves,3,163,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Toronto Blue Jays,4,152,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Los Angeles Dodgers,5,147,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Chicago White Sox,6,144,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Boston Red Sox,7,143,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Chicago Cubs,8,140,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Texas Rangers,9,138,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Colorado Rockies,10,133,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,New York Mets,11,131,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Cleveland Indians,12,125,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,San Francisco Giants,13,122,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,St. Louis Cardinals,14,112,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Detroit Tigers,15,106,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Philadelphia Phillies,16,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Cincinnati Reds,17,99,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Florida Marlins,18,98,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Houston Astros,19,97,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Oakland Athletics,20,97,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Seattle Mariners,21,92,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Los Angeles Angels of Anaheim,22,90,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Kansas City Royals,23,80,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Minnesota Twins,24,74,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Milwaukee Brewers,25,71,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Montreal Expos,26,68,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,San Diego Padres,27,67,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1996,Pittsburgh Pirates,28,62,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,New York Yankees,1,185,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Baltimore Orioles,2,164,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Texas Rangers,3,157,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Chicago White Sox,4,152,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Toronto Blue Jays,5,146,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Boston Red Sox,6,143,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Los Angeles Dodgers,7,143,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Chicago Cubs,8,135,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,New York Mets,9,134,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Atlanta Braves,10,120,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Colorado Rockies,11,117,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,St. Louis Cardinals,12,110,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Cleveland Indians,13,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,San Francisco Giants,14,102,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Oakland Athletics,15,101,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Kansas City Royals,16,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Philadelphia Phillies,17,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Florida Marlins,18,92,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Houston Astros,19,92,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Los Angeles Angels of Anaheim,20,88,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Cincinnati Reds,21,84,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Detroit Tigers,22,83,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Minnesota Twins,23,80,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Montreal Expos,24,76,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Seattle Mariners,25,76,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Milwaukee Brewers,26,75,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,San Diego Padres,27,74,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1995,Pittsburgh Pirates,28,70,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,New York Yankees,1,166,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Toronto Blue Jays,2,150,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,New York Mets,3,147,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Boston Red Sox,4,141,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Los Angeles Dodgers,5,138,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Chicago White Sox,6,133,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Texas Rangers,7,132,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Baltimore Orioles,8,129,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Chicago Cubs,9,120,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Oakland Athletics,10,114,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Colorado Rockies,11,110,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,St. Louis Cardinals,12,105,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Cleveland Indians,13,100,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Atlanta Braves,14,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Milwaukee Brewers,15,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Philadelphia Phillies,16,96,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Kansas City Royals,17,94,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Los Angeles Angels of Anaheim,18,93,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,San Francisco Giants,19,93,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Detroit Tigers,20,89,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Cincinnati Reds,21,86,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Houston Astros,22,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,San Diego Padres,23,85,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Minnesota Twins,24,83,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Florida Marlins,25,81,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Seattle Mariners,26,80,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Pittsburgh Pirates,27,79,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1994,Montreal Expos,28,75,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,New York Yankees,1,160,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Toronto Blue Jays,2,155,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,New York Mets,3,145,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Boston Red Sox,4,136,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Los Angeles Dodgers,5,135,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Baltimore Orioles,6,130,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Oakland Athletics,7,124,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Chicago White Sox,8,123,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Kansas City Royals,9,111,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Texas Rangers,10,106,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Los Angeles Angels of Anaheim,11,105,NA,NA,NA,NA,NA,NA,NA,NA,MLB
1993,Cincinnati Reds,12,103,NA,NA,NA,NA,NA,NA,NA,NA,MLB
