Number,Player,Last_Name,First_Name,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
97,Claudius Mbemba,Mbemba,Claudius,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/claudius_mbemba_797236.html,DL,6/2/13,235,FR,"Lewis Center, Ohio ",Lewis Center,Ohio,Olentangy High School,,,,Ohio State University,2012-2013
91,William McCary,McCary,William,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/william_mccary_758489.html,DL,6/1/13,234,SR,"Carrollton, Texas ",Carrollton,Texas,Creekview High School,,,,Ohio State University,2012-2013
74,Jack Mewhort,Mewhort,Jack,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jack_mewhort_753535.html,OL,6/6/13,312,JR,"Toledo, Ohio ",Toledo,Ohio,St. John's High School,,,,Ohio State University,2012-2013
5,Braxton Miller,Miller,Braxton,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/braxton_miller_758495.html,QB,6/2/13,220,SO,"Huber Heights, Ohio ",Huber Heights,Ohio,Wayne High School,,,,Ohio State University,2012-2013
88,Steve Miller,Miller,Steve,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/steve_miller_758496.html,DL,6/3/13,255,SO,"Canton, Ohio ",Canton,Ohio,McKinley High School,,,,Ohio State University,2012-2013
50,J.T. Moore,Moore,J.T.,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jt_moore_753544.html,DL,6/3/13,260,SO,"Youngstown, Ohio ",Youngstown,Ohio,Boardman High School,,,,Ohio State University,2012-2013
18,Najee Murray,Murray,Najee,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/najee_murray_807565.html,DB,5/9/13,178,FR,"Steubenville, Ohio ",Steubenville,Ohio,Steubenville High School,,,,Ohio State University,2012-2013
26,Kevin Niehoff,Niehoff,Kevin,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/kevin_niehoff_798047.html,K,6/3/13,200,FR,"Mason, Ohio ",Mason,Ohio,Mason High School,,,,Ohio State University,2012-2013
78,Andrew Norwell,Norwell,Andrew,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/andrew_norwell_753549.html,OL,6/6/13,310,JR,"Cincinnati, Ohio ",Cincinnati,Ohio,Anderson High School,,,,Ohio State University,2012-2013
20,Ross Oltorik,Oltorik,Ross,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ross_oltorik_797235.html,LB,6/1/13,225,SR,"Cincinnati, Ohio ",Cincinnati,Ohio,Moeller High School,,,,Ohio State University,2012-2013
21,David Perkins,Perkins,David,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/david_perkins_807563.html,LB,6/2/13,220,FR,"South Bend, Ind. ",South Bend,Ind,Washington High School,,,,Ohio State University,2012-2013
37,Joshua Perry,Perry,Joshua,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/joshua_perry_793846.html,LB,6/4/13,238,FR,"Lewis Center, Ohio ",Lewis Center,Ohio,Olentangy High School,,,,Ohio State University,2012-2013
35,Vincent Petrella,Petrella,Vincent,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/vincent_petrella_758506.html,DB,5/11/13,175,SR,"Blacklick, Ohio ",Blacklick,Ohio,Bishop Hartley High School,,,,Ohio State University,2012-2013
95,Se'Von Pittman,Pittman,Se'Von,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/sevon_pittman_797950.html,DL,6/3/13,268,FR,"Canton, Ohio ",Canton,Ohio,McKinley High School,,,,Ohio State University,2012-2013
23,Tyvis Powell,Powell,Tyvis,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/tyvis_powell_793845.html,DB,6/3/13,199,FR,"Bedford, Ohio ",Bedford,Ohio,Bedford High School,,,,Ohio State University,2012-2013
19,Levi Ratliff,Ratliff,Levi,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/levi_ratliff_814647.html,QB,6/3/13,195,FR,"West Portsmouth, Ohio ",West Portsmouth,Ohio,Portsmouth West High School,,,,Ohio State University,2012-2013
26,Armani Reeves,Reeves,Armani,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/armani_reeves_807676.html,CB,5/10/13,194,FR,"West Roxbury, Mass. ",West Roxbury,Mass,Catholic Memorial High School,,,,Ohio State University,2012-2013
29,Taylor Rice,Rice,Taylor,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/taylor_rice_753566.html,WR,5/10/13,185,SR,"Dublin, Ohio ",Dublin,Ohio,Scioto High School,,,,Ohio State University,2012-2013
42,Luke Roberts,Roberts,Luke,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/luke_roberts_797949.html,LB,6/1/13,226,FR,"Lancaster, Ohio ",Lancaster,Ohio,Lancaster High School,,,,Ohio State University,2012-2013
1,Bradley Roby,Roby,Bradley,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/bradley_roby_753573.html,DB,5/11/13,190,SO,"Suwanee, Ga. ",Suwanee,Ga,Peachtree Ridge High School,,,,Ohio State University,2012-2013
6,Etienne Sabino,Sabino,Etienne,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/etienne_sabino_753582.html,LB,6/3/13,237,SR,"North Miami Beach, Fla. ",North Miami Beach,Fla,Dr. Krop High School,,,,Ohio State University,2012-2013
33,Nik Sarac,Sarac,Nik,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/nik_sarac_779203.html,DB,5/9/13,182,FR,"Cleveland, Ohio ",Cleveland,Ohio,St. Ignatius High School,,,,Ohio State University,2012-2013
90,Tommy Schutt,Schutt,Tommy,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/tommy_schutt_807677.html,DL,6/2/13,295,FR,"Glen Ellyn, Ill. ",Glen Ellyn,Ill,Glenbard West High School,,,,Ohio State University,2012-2013
10,Ryan Shazier,Shazier,Ryan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ryan_shazier_758525.html,LB,6/2/13,230,SO,"Plantation, Fla. ",Plantation,Fla,Plantation High School,,,,Ohio State University,2012-2013
17,Justin Siems,Siems,Justin,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/justin_siems_753592.html,QB,6/2/13,215,SR,"Charlotte, NC ",Charlotte,NC,Providence High School,,,,Ohio State University,2012-2013
54,John Simon,Simon,John,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/john_simon_753596.html,DL,6/2/13,263,SR,"Youngstown, Ohio ",Youngstown,Ohio,Cardinal Mooney High School,,,,Ohio State University,2012-2013
15,Devin Smith,Smith,Devin,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/devin_smith_758535.html,WR,6/1/13,200,SO,"Massillon, Ohio ",Massillon,Ohio,Washington High School,,,,Ohio State University,2012-2013
2,Rod Smith,Smith,Rod,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/rod_smith_753602.html,RB,6/3/13,228,SO,"Fort Wayne, Ind. ",Fort Wayne,Ind,Paul Harding High School,,,,Ohio State University,2012-2013
59,Stewart Smith,Smith,Stewart,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/stewart_smith_753610.html,LB,6/3/13,230,SR,"New Albany, Ohio ",New Albany,Ohio,Gahanna Lincoln High School,,,,Ohio State University,2012-2013
8,Noah Spence,Spence,Noah,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/noah_spence_807679.html,DL,6/3/13,240,FR,"Harrisburg, Pa. ",Harrisburg,Pa,Bishop McDevitt High School,,,,Ohio State University,2012-2013
16,Evan Spencer,Spencer,Evan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/evan_spencer_758542.html,WR,6/2/13,205,SO,"Vernon Hills, Ill. ",Vernon Hills,Ill,Vernon Hills High School,,,,Ohio State University,2012-2013
67,Ben St. John,St. John,Ben,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ben_st_john_758544.html,OL,6/3/13,285,SO,"Elmore, Ohio ",Elmore,Ohio,Woodmore High School,,,,Ohio State University,2012-2013
96,Kharim Stephens,Stephens,Kharim,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/kharim_stephens_797952.html,DL,6/2/13,280,SR,"St. Albans, N.Y. ",St. Albans,NY,Martin Van High School,,,,Ohio State University,2012-2013
11,Jake Stoneburner,Stoneburner,Jake,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jake_stoneburner_753613.html,TE,6/5/13,245,SR,"Dublin, Ohio ",Dublin,Ohio,Dublin Coffman High School,,,,Ohio State University,2012-2013
28,Ron Tanner,Tanner,Ron,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ron_tanner_758551.html,DB,6/1/00,200,FR,"Columbus, Ohio ",Columbus,Ohio,Eastmoor Academy High School,,,,Ohio State University,2012-2013
89,Blake Thomas,Thomas,Blake,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/blake_thomas_807680.html,TE,6/3/13,238,FR,"Cleveland, Ohio ",Cleveland,Ohio,St. Ignatius High School,,,,Ohio State University,2012-2013
83,Michael Thomas,Thomas,Michael,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/michael_thomas_793844.html,WR,6/2/13,198,FR,"Los Angeles, Calif. ",Los Angeles,Calif,Woodland Hills Taft High School,,,,Ohio State University,2012-2013
70,Tim Trummer,Trummer,Tim,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/tim_trummer_807681.html,OL,6/1/13,283,FR,"Kettering, Ohio ",Kettering,Ohio,Fairmont High School,,,,Ohio State University,2012-2013
73,Antonio Underwood,Underwood,Antonio,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/antonio_underwood_758555.html,OL,6/2/13,306,SO,"Shaker Heights, Ohio ",Shaker Heights,Ohio,Shaker Heights High School,,,,Ohio State University,2012-2013
81,Nick Vannett,Vannett,Nick,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/nick_vannett_758557.html,TE,6/6/13,255,FR,"Westerville, Ohio ",Westerville,Ohio,Central High School,,,,Ohio State University,2012-2013
92,Adolphus Washington,Washington,Adolphus,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/adolphus_washington_807682.html,DL,6/3/13,289,FR,"Cincinnati, Ohio ",Cincinnati,Ohio,Taft High School,,,,Ohio State University,2012-2013
5,Camren Williams,Williams,Camren,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/camren_williams_807684.html,LB,6/1/13,225,FR,"West Roxbury, Mass. ",West Roxbury,Mass,Catholic Memorial High School,,,,Ohio State University,2012-2013
43,Nathan Williams,Williams,Nathan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/nathan_williams_753669.html,DL,6/3/13,249,SR,"Washington C.H., Ohio ",Washington C.H.,Ohio,Miami Trace High School,,,,Ohio State University,2012-2013
21,Jamie Wood,Wood,Jamie,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jamie_wood_753671.html,DB,6/1/13,207,JR,"Pickerington, Ohio ",Pickerington,Ohio,Central High School,,,,Ohio State University,2012-2013
