Number,Player,PlayerBio_URL,Height,Weight,Year,Eligibility,Position,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
38,Ben George,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ben_george_727809.html,6/1/13,195,So.,SQ,DB,"Tyler, Texas ",Tyler,TEXAS,Lee High School,,,,,University of Texas at Austin,2012-2013
83,Chris Giron,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/chris_giron_795953.html,5/8/13,165,Jr.,HS,WR,"Cypress, Texas ",Cypress,TEXAS,Cypress Woods High School,,,,,University of Texas at Austin,2012-2013
48,Trey Gonzales,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/trey_gonzales_787721.html,6/1/00,220,Fr.,RS,LB,"Friendswood, Texas ",Friendswood,TEXAS,Friendswood High School,,,,,University of Texas at Austin,2012-2013
84,Marquise Goodwin,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/marquise_goodwin_445838.html,5/9/13,180,Sr.,3L,WR,"Garland, Texas ",Garland,TEXAS,Rowlett High School,,,,,University of Texas at Austin,2012-2013
82,Trey Graham,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/trey_graham_445839.html,6/5/13,236,Jr.,SQ,TE,"Waco, Texas ",Waco,TEXAS,Midway High School,,,,,University of Texas at Austin,2012-2013
18,D.J. Grant,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dj_grant_360449.html,6/3/13,238,Sr.,1L,TE,"Austin, Texas ",Austin,TEXAS,Lindon B. Johnson High School,,,,,University of Texas at Austin,2012-2013
32,Johnathan Gray,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/johnathan_gray_809510.html,5/11/13,207,Fr.,HS,RB,"Aledo, Texas ",Aledo,TEXAS,Aledo High School,,,,,University of Texas at Austin,2012-2013
76,Garrett Greenlea,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/garrett_greenlea_763437.html,6/7/13,308,Fr.,RS,OL,"Spring, Texas ",Spring,TEXAS,Klein Collins High School,,,,,University of Texas at Austin,2012-2013
40,Tate Gresham,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tate_gresham_727807.html,5/9/13,183,So.,SQ,WR,"Pasadena, Texas ",Pasadena,TEXAS,Pasadena High School,,,,,University of Texas at Austin,2012-2013
42,Dakota Haines,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dakota_haines_748042.html,6/1/13,184,Fr.,RS,WR,"Lago Vista, Texas ",Lago Vista,TEXAS,Lago Vista High School,,,,,University of Texas at Austin,2012-2013
44,Dylan Haines,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dylan_haines_830361.html,6/1/13,185,Fr.,HS,DB,"Lago Vista, Texas ",Lago Vista,TEXAS,Lago Vista High School,,,,,University of Texas at Austin,2012-2013
9,John Harris,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/john_harris_712701.html,6/3/13,218,So.,1L,WR,"Garland, Texas ",Garland,TEXAS,Naaman Forest High School,,,,,University of Texas at Austin,2012-2013
51,Donald Hawkins,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/donald_hawkins_795957.html,6/5/13,310,Jr.,TR,OT,"Tunica, Miss. ",Tunica,MISS,Rosa Fort High School,,,,,University of Texas at Austin,2012-2013
3,Jordan Hicks,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jordan_hicks_712702.html,6/2/13,235,Jr.,2L,LB,"Cincinnati, Ohio ",Cincinnati,OHIO,Lakota West High School,,,,,University of Texas at Austin,2012-2013
5,Jeremy Hills,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jeremy_hills_360457.html,6/1/00,205,Sr.,2L,RB,"Houston, Texas ",Houston,TEXAS,Alief Elsik High School,,,,,University of Texas at Austin,2012-2013
43,Heath Hohmann,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/heath_hohmann_712703.html,5/9/13,195,Sr.,SQ,RB,"Austin, Texas ",Austin,TEXAS,Bowie High School,,,,,University of Texas at Austin,2012-2013
15,Trey Holtz,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/trey_holtz_809513.html,6/1/00,180,Fr.,HS,QB,"Tampa, Fla. ",Tampa,FLA,H.B. Plant High School,,,,,University of Texas at Austin,2012-2013
75,Trey Hopkins,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/trey_hopkins_712704.html,6/4/13,301,Jr.,2L,OG,"Galena Park, Texas ",Galena Park,TEXAS,North Shore High School,,,,,University of Texas at Austin,2012-2013
32,Devin Huffines,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/devin_huffines_787722.html,6/1/00,193,Jr.,SQ,S,"Highland Park, Texas ",Highland Park,TEXAS,home schooled High School,,,,,University of Texas at Austin,2012-2013
71,Camrhon Hughes,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/camrhon_hughes_795958.html,6/7/13,320,Fr.,HS,OL,"Harker Heights, Texas ",Harker Heights,TEXAS,Harker Heights High School,,,,,University of Texas at Austin,2012-2013
65,Marcus Hutchins,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/marcus_hutchins_763438.html,6/5/13,280,Fr.,RS,OL,"DeSoto, Texas ",DeSoto,TEXAS,DeSoto High School,,,,,University of Texas at Austin,2012-2013
45,Shawn Izadi,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/shawn_izadi_795959.html,6/1/00,215,Jr.,HS,LB,"Coppell, Texas ",Coppell,TEXAS,Coppell High School,,,,,University of Texas at Austin,2012-2013
16,Bryant Jackson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/bryant_jackson_712705.html,6/2/13,199,So.,SQ,WR,"Sulphur Springs, Texas ",Sulphur Springs,TEXAS,Sulphur Springs High School,,,,,University of Texas at Austin,2012-2013
99,Desmond Jackson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/desmond_jackson_763439.html,6/1/13,303,So.,1L,DT,"Houston, Texas ",Houston,TEXAS,Westfield High School,,,,,University of Texas at Austin,2012-2013
11,Tevin Jackson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tevin_jackson_763641.html,6/2/13,233,So.,1L,LB,"Garland, Texas ",Garland,TEXAS,Garland High School,,,,,University of Texas at Austin,2012-2013
44,Jackson Jeffcoat,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jackson_jeffcoat_712707.html,6/5/13,245,Jr.,2L,DE,"Plano, Texas ",Plano,TEXAS,Plano West High School,,,,,University of Texas at Austin,2012-2013
19,Peter Jinkens,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/peter_jinkens_809514.html,6/1/13,213,Fr.,HS,LB,"Dallas, Texas ",Dallas,TEXAS,Skyline High School,,,,,University of Texas at Austin,2012-2013
27,Daje Johnson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/daje_johnson_809516.html,5/10/13,184,Fr.,HS,RB,"Pflugerville, Texas ",Pflugerville,TEXAS,Hendrickson High School,,,,,University of Texas at Austin,2012-2013
80,Marcus Johnson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/marcus_johnson_809517.html,6/1/13,189,Fr.,HS,WR,"League City, Texas ",League City,TEXAS,Clear Springs High School,,,,,University of Texas at Austin,2012-2013
4,Cayleb Jones,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/cayleb_jones_809518.html,6/3/13,211,Fr.,HS,WR,"Austin, Texas ",Austin,TEXAS,Austin High School,,,,,University of Texas at Austin,2012-2013
28,Nick Jordan,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/nick_jordan_809520.html,6/1/13,175,Fr.,HS,PK,"Coppell, Texas ",Coppell,TEXAS,Coppell High School,,,,,University of Texas at Austin,2012-2013
15,Alex King,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/alex_king_809521.html,6/2/13,205,Sr.,TR,P,"Winston-Salem, N.C. ",Winston-Salem,NC,Duke High School,,,,,University of Texas at Austin,2012-2013
69,Kyle Kriegel,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kyle_kriegel_403707.html,6/5/13,280,Jr.,SQ,DT,"Elysian Fields, Texas ",Elysian Fields,TEXAS,Elysian Fields High School,,,,,University of Texas at Austin,2012-2013
83,Trevor Leeson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/trevor_leeson_737770.html,6/3/13,210,Sr.,SQ,TE,"Kermit, Texas ",Kermit,TEXAS,Kermit High School,,,,,University of Texas at Austin,2012-2013
89,Barrett Matthews,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/barrett_matthews_445843.html,6/2/13,235,Sr.,3L,TE,"Galena Park, Texas ",Galena Park,TEXAS,North Shore High School,,,,,University of Texas at Austin,2012-2013
6,Case McCoy,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/case_mccoy_601505.html,6/2/13,200,Jr.,1L,QB,"Graham, Texas ",Graham,TEXAS,Graham High School,,,,,University of Texas at Austin,2012-2013
86,Cade McCrary,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/cade_mccrary_445877.html,6/4/13,193,Jr.,2L,H,"Austin, Texas ",Austin,TEXAS,Lake Travis High School,,,,,University of Texas at Austin,2012-2013
85,M.J. McFarland,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/mj_mcfarland_748043.html,6/6/13,245,Fr.,RS,TE,"El Paso, Texas ",El Paso,TEXAS,El Dorado High School,,,,,University of Texas at Austin,2012-2013
43,Logan Mills,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/logan_mills_787739.html,6/3/13,233,Fr.,RS,DE,"La Vernia, Texas ",La Vernia,TEXAS,La Vernia High School,,,,,University of Texas at Austin,2012-2013
26,D.J. Monroe,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dj_monroe_360505.html,5/9/13,175,Sr.,3L,RB/WR,"Angleton, Texas ",Angleton,TEXAS,Angleton High School,,,,,University of Texas at Austin,2012-2013
97,Brandon Moore,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/brandon_moore_795960.html,6/5/13,320,Jr.,TR,DT,"Montgomery, Ala. ",Montgomery,ALA,Carver High School,,,,,University of Texas at Austin,2012-2013
13,Chet Moss,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/chet_moss_748044.html,6/2/13,255,So.,SQ,FB,"Cedar Park, Texas ",Cedar Park,TEXAS,Cedar Park High School,,,,,University of Texas at Austin,2012-2013
39,Tom Newman,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tom_newman_727810.html,6/2/13,230,So.,SQ,DS,"Brenham, Texas ",Brenham,TEXAS,Brenham High School,,,,,University of Texas at Austin,2012-2013
29,Jaren Nickleson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jaren_nickleson_493225.html,6/1/00,199,Sr.,SQ,WR,"Corpus Christi, Texas ",Corpus Christi,TEXAS,King High School,,,,,University of Texas at Austin,2012-2013
94,Alex Norman,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/alex_norman_809532.html,6/4/13,275,Fr.,HS,DT,"Dallas, Texas ",Dallas,TEXAS,Bishop Dunne High School,,,,,University of Texas at Austin,2012-2013
80,Alex Okafor,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/alex_okafor_403774.html,6-4.5,265,Sr.,3L,DE,"Pflugerville, Texas ",Pflugerville,TEXAS,Pflugerville High School,,,,,University of Texas at Austin,2012-2013
17,Miles Onyegbule,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/miles_onyegbule_763442.html,6/4/13,235,So.,1L,WR/TE,"Arlington, Texas ",Arlington,TEXAS,Arlington High School,,,,,University of Texas at Austin,2012-2013
57,Clark Orren,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/clark_orren_830365.html,6/1/00,240,Fr.,HS,OL,"Longview, Texas ",Longview,TEXAS,Longview High School,,,,,University of Texas at Austin,2012-2013
3,Jalen Overstreet,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jalen_overstreet_809533.html,6/2/13,212,Fr.,HS,QB,"Tatum, Texas ",Tatum,TEXAS,Tatum High School,,,,,University of Texas at Austin,2012-2013
41,Holt Perlman,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/holt_perlman_795961.html,6/2/13,215,Fr.,HS,LB,"Dallas, Texas ",Dallas,TEXAS,Highland Park High School,,,,,University of Texas at Austin,2012-2013
17,Adrian Phillips,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/adrian_phillips_712709.html,5/11/13,201,Jr.,2L,S,"Garland, Texas ",Garland,TEXAS,Garland High School,,,,,University of Texas at Austin,2012-2013
77,Luke Poehlmann,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/luke_poehlmann_360521.html,6/7/13,275,Sr.,2L,OT,"Brenham, Texas ",Brenham,TEXAS,Brenham High School,,,,,University of Texas at Austin,2012-2013
73,Garrett Porter,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/garrett_porter_445846.html,6/6/13,315,Jr.,2L,OG/C,"Odessa, Texas ",Odessa,TEXAS,Permian High School,,,,,University of Texas at Austin,2012-2013
31,Ben Pruitt,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ben_pruitt_763443.html,6/1/13,200,Fr.,RS,PK,"The Woodlands, Texas ",The Woodlands,TEXAS,The Woodlands High School,,,,,University of Texas at Austin,2012-2013
88,Cedric Reed,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/cedric_reed_763444.html,6/6/13,260,So.,SQ,DE,"Cleveland, Texas ",Cleveland,TEXAS,Cleveland High School,,,,,University of Texas at Austin,2012-2013
81,Hassan Ridgeway,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/hassan_ridgeway_809535.html,6/4/13,280,Fr.,HS,DE,"Mansfield, Texas ",Mansfield,TEXAS,Mansfield High School,,,,,University of Texas at Austin,2012-2013
62,Curtis Riser,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/curtis_riser_809536.html,6/4/13,305,Fr.,HS,OL,"DeSoto, Texas ",DeSoto,TEXAS,DeSoto High School,,,,,University of Texas at Austin,2012-2013
30,Ryan Roberson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ryan_roberson_360526.html,5/10/13,240,Sr.,3L,FB,"Brenham, Texas ",Brenham,TEXAS,Brenham High School,,,,,University of Texas at Austin,2012-2013
30,Ryan Roberts,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/ryan_roberts_787742.html,5/8/13,171,Fr.,RS,CB,"Cedar Park, Texas ",Cedar Park,TEXAS,Cedar Park High School,,,,,University of Texas at Austin,2012-2013
23,Nick Rose,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/nick_rose_809537.html,6/3/13,192,Fr.,HS,PK,"Dallas, Texas ",Dallas,TEXAS,Highland Park High School,,,,,University of Texas at Austin,2012-2013
14,William Russ,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/william_russ_712712.html,6/4/13,185,So.,SQ,P/PK,"Shreveport, La. ",Shreveport,LA,Evangel Christian High School,,,,,University of Texas at Austin,2012-2013
56,Drew Russo,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/drew_russo_737774.html,6/2/13,245,So.,SQ,OL,"Cedar Park, Texas ",Cedar Park,TEXAS,Cedar Park High School,,,,,University of Texas at Austin,2012-2013
2,Kendall Sanders,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kendall_sanders_809538.html,6/1/00,183,Fr.,HS,WR,"Athens, Texas ",Athens,TEXAS,Athens High School,,,,,University of Texas at Austin,2012-2013
55,Dalton Santos,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dalton_santos_809539.html,6/3/13,250,Fr.,HS,LB,"Van, Texas ",Van,TEXAS,Van High School,,,,,University of Texas at Austin,2012-2013
31,Leroy Scott,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/leroy_scott_763445.html,5/10/13,193,So.,1L,CB,"Pasadena, Texas ",Pasadena,TEXAS,South Houston High School,,,,,University of Texas at Austin,2012-2013
8,Jaxon Shipley,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jaxon_shipley_763446.html,6/1/13,192,So.,1L,WR,"Brownwood, Texas ",Brownwood,TEXAS,Brownwood High School,,,,,University of Texas at Austin,2012-2013
33,Grant Sirgo,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/grant_sirgo_727812.html,5/10/13,190,So.,SQ,PK,"Midland, Texas ",Midland,TEXAS,Midland High School,,,,,University of Texas at Austin,2012-2013
