ID_School,School_Label,unitid,DOE.Institution_Name,Sport,DBPediaCollege_Name,ID_Conference,DBPediaURI_College,DBPediaData_College,Wayback_Roster_URL,Roster12_URL,Rank,Wins,Losses,Points,Previous,Season,Source
OK,Oklahoma,207500,University of Oklahoma Norman Campus,Football,University of Oklahoma,BIG12,http://live.dbpedia.org/resource/University_of_Oklahoma,http://live.dbpedia.org/data/University_of_Oklahoma.json,http://web.archive.org/web/*/http://www.soonersports.com/sports/m-footbl/mtt/okla-m-footbl-mtt.html,http://web.archive.org/web/20121123222300/http://www.soonersports.com/sports/m-footbl/mtt/okla-m-footbl-mtt.html,15,10,3,615,12,2012-2013,Bowl Championship Series
ORE,Oregon,209551,University of Oregon,Football,University of Oregon,PAC12,http://live.dbpedia.org/resource/University_of_Oregon,http://live.dbpedia.org/data/University_of_Oregon.json,http://web.archive.org/web/*/http://www.goducks.com/SportSelect.dbml?DB_OEM_ID=500&SPID=233&SPSID=3378,http://web.archive.org/web/20130114220348/http://www.goducks.com/SportSelect.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500,2,12,1,"1,358",5,2012-2013,Bowl Championship Series
ORE.ST,Oregon State,209542,Oregon State University,Football,Oregon State University,PAC12,http://live.dbpedia.org/resource/Oregon_State_University,http://live.dbpedia.org/data/Oregon_State_University.json,http://web.archive.org/web/*/http://www.osubeavers.com/sports/m-footbl/mtt/orst-m-footbl-mtt.html,http://web.archive.org/web/20130122153756/http://www.osubeavers.com/sports/m-footbl/mtt/orst-m-footbl-mtt.html,20,9,4,303,15,2012-2013,Bowl Championship Series
OSU,Ohio State,204796,Ohio State University-Main Campus,Football,Ohio State University,BIG10,http://live.dbpedia.org/resource/Ohio_State_University,http://live.dbpedia.org/data/Ohio_State_University.json,http://web.archive.org/web/*/http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/osu-m-footbl-mtt.html,http://web.archive.org/web/20130127065016/http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/osu-m-footbl-mtt.html,3,12,0,"1,302",3,2012-2013,Bowl Championship Series
RUT,Rutgers,186380,Rutgers University-New Brunswick,Football,Rutgers University,BIGEAST,http://live.dbpedia.org/resource/Rutgers_University,http://live.dbpedia.org/data/Rutgers_University.json,http://web.archive.org/web/*/http://www.scarletknights.com/football/roster/roster.asp,http://web.archive.org/web/20121025163454/http://scarletknights.com/football//roster/roster.asp,NA,9,4,NA,NA,2012-2013,Bowl Championship Series
SCAR,South Carolina,218663,University of South Carolina-Columbia,Football,University of South Carolina,SEC,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,http://web.archive.org/web/*/http://www.gamecocksonline.com/sports/m-footbl/mtt/scar-m-footbl-mtt.html,http://web.archive.org/web/20130117132553/http://www.gamecocksonline.com/sports/m-footbl/mtt/scar-m-footbl-mtt.html,8,11,2,"1,038",11,2012-2013,Bowl Championship Series
SJ.ST,San Jose State,122755,San Jose State University,Football,San Jose State University,MWC,http://live.dbpedia.org/resource/San_Jose_State_University,http://live.dbpedia.org/data/San_Jose_State_University.json,http://web.archive.org/web/*/http://www.sjsuspartans.com/SportSelect.dbml?DB_OEM_ID=5600&SPID=2290&SPSID=29302,http://web.archive.org/web/20121114093605/http://www.sjsuspartans.com/SportSelect.dbml?DB_OEM_ID=5600&SPID=2290&SPSID=29302,21,11,2,243,24,2012-2013,Bowl Championship Series
STAN,Stanford,243744,Stanford University,Football,Stanford University,PAC12,http://live.dbpedia.org/resource/Stanford_University,http://live.dbpedia.org/data/Stanford_University.json,http://web.archive.org/web/*/http://www.gostanford.com/sports/m-footbl/mtt/stan-m-footbl-mtt.html,http://web.archive.org/web/20130122061623/http://www.gostanford.com/sports/m-footbl/mtt/stan-m-footbl-mtt.html,7,12,2,"1,169",8,2012-2013,Bowl Championship Series
TAM,Texas A&M,228723,Texas A & M University-College Station,Football,Texas A&M University,SEC,http://live.dbpedia.org/resource/Texas_A&M_University,http://live.dbpedia.org/data/Texas_A&M_University.json,http://web.archive.org/web/*/http://www.aggieathletics.com/SportSelect.dbml?DB_OEM_ID=27300&SPID=93232&SPSID=632663,http://www.aggieathletics.com/SportSelect.dbml?DB_OEM_ID=27300&SPID=93232&SPSID=632663,5,11,2,"1,230",10,2012-2013,Bowl Championship Series
UGA,Georgia,139959,University of Georgia,Football,University of Georgia,SEC,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,http://web.archive.org/web/*/http://www.georgiadogs.com/sports/m-footbl/mtt/geo-m-footbl-mtt.html,http://web.archive.org/web/20130117025107/http://www.georgiadogs.com/sports/m-footbl/mtt/geo-m-footbl-mtt.html,5,12,2,"1,230",6,2012-2013,Bowl Championship Series
UM,Michigan,170976,University of Michigan-Ann Arbor,Football,University of Michigan,BIG10,http://live.dbpedia.org/resource/University_of_Michigan,http://live.dbpedia.org/data/University_of_Michigan.json,http://web.archive.org/web/*/http://www.mgoblue.com/sports/m-footbl/mtt/mich-m-footbl-mtt.html,http://web.archive.org/web/20130116235724/http://www.mgoblue.com/sports/m-footbl/mtt/mich-m-footbl-mtt.html,24,8,5,147,19,2012-2013,Bowl Championship Series
UT,Texas,228778,The University of Texas at Austin,Football,University of Texas at Austin,BIG12,http://live.dbpedia.org/resource/University_of_Texas_at_Austin,http://live.dbpedia.org/data/University_of_Texas_at_Austin.json,http://web.archive.org/web/*/http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tex-m-footbl-mtt.html,http://web.archive.org/web/20130117033819/http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tex-m-footbl-mtt.html,19,9,4,358,NR,2012-2013,Bowl Championship Series
UTA.ST,Utah State,230728,Utah State University,Football,Utah State University,MWC,http://live.dbpedia.org/resource/Utah_State_University,http://live.dbpedia.org/data/Utah_State_University.json,http://web.archive.org/web/*/http://www.utahstateaggies.com/sports/m-footbl/mtt/ust-m-footbl-mtt.html,http://web.archive.org/web/20130117141219/http://www.utahstateaggies.com/sports/m-footbl/mtt/ust-m-footbl-mtt.html,16,11,2,456,18,2012-2013,Bowl Championship Series
VANDY,Vanderbilt,221999,Vanderbilt University,Football,Vanderbilt University,SEC,http://live.dbpedia.org/resource/Vanderbilt_University,http://live.dbpedia.org/data/Vanderbilt_University.json,http://web.archive.org/web/*/http://www.vucommodores.com/sports/m-footbl/mtt/vand-m-footbl-mtt.html,http://web.archive.org/web/20130122150410/http://www.vucommodores.com/sports/m-footbl/mtt/vand-m-footbl-mtt.html,23,9,4,180,NR,2012-2013,Bowl Championship Series
AUB,Auburn,100858,Auburn University,Football,Auburn University,SEC,http://live.dbpedia.org/resource/Auburn_University,http://live.dbpedia.org/data/Auburn_University.json,,,,,,,,,
DUKE,Duke,198419,Duke University,Football,Duke University,ACC,http://live.dbpedia.org/resource/Duke_University,http://live.dbpedia.org/data/Duke_University.json,,,,,,,,,
GTOWN,Georgetown,131496,Georgetown University,Football,Georgetown University,BIGEAST,http://live.dbpedia.org/resource/Georgetown_University,http://live.dbpedia.org/data/Georgetown_University.json,,,,,,,,,
OKSTATE,Oklahoma State,207388,Oklahoma State University-Main Campus,Football,Oklahoma State University at Stillwater,BIG12,http://live.dbpedia.org/resource/Oklahoma_State_University%E2%80%93Stillwater,http://live.dbpedia.org/data/Oklahoma_State_University%E2%80%93Stillwater.json,,,,,,,,,
PENNSTATE,Penn State,214777,Pennsylvania State University-Main Campus,Football,Pennsylvania State University,BIGEAST,http://live.dbpedia.org/resource/Pennsylvania_State_University,http://live.dbpedia.org/data/Pennsylvania_State_University.json,,,,,,,,,
SMU,Southern Methodist,228246,Southern Methodist University,Football,Southern Methodist University,CUSA,http://live.dbpedia.org/resource/Southern_Methodist_University,http://live.dbpedia.org/data/Southern_Methodist_University.json,,,,,,,,,
UOFM,University of Miami,135726,University of Miami,Football,University of Miami,ACC,http://live.dbpedia.org/resource/University_of_Miami,http://live.dbpedia.org/data/University_of_Miami.json,,,,,,,,,
UNC,North Carolina,199120,University of North Carolina at Chapel Hill,Football,University of North Carolina at Chapel Hill,ACC,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,,,,,,,,,
USC,Southern California,123961,University of Southern California,Football,University of Southern California,PAC12,http://live.dbpedia.org/resource/University_of_Southern_California,http://live.dbpedia.org/data/University_of_Southern_California.json,,,,,,,,,
