Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,207500,University of Oklahoma Norman Campus,Physical Sciences,40',Bachelor's degrees,90,68,22
1985-1986,207500,University of Oklahoma Norman Campus,Psychology,42',Bachelor's degrees,55,15,40
1985-1986,207500,University of Oklahoma Norman Campus,Protective Services,43',Bachelor's degrees,24,18,6
1985-1986,207500,University of Oklahoma Norman Campus,Public Affairs,44',Bachelor's degrees,37,11,26
1985-1986,207500,University of Oklahoma Norman Campus,Social Sciences,45',Bachelor's degrees,141,86,55
1985-1986,207500,University of Oklahoma Norman Campus,Area and Ethnic Studies,5',Bachelor's degrees,2,2,0
1985-1986,207500,University of Oklahoma Norman Campus,Visual and Performing Arts,50',Bachelor's degrees,81,31,50
1985-1986,207500,University of Oklahoma Norman Campus,Business and Management,6',Bachelor's degrees,684,392,292
1985-1986,207500,University of Oklahoma Norman Campus,Communications,9',Bachelor's degrees,220,73,147
1985-1986,209551,University of Oregon,Computer and Information Sciences,11',Bachelor's degrees,89,60,29
1985-1986,209551,University of Oregon,Education,13',Bachelor's degrees,157,38,119
1985-1986,209551,University of Oregon,Foreign Languages,16',Bachelor's degrees,67,22,45
1985-1986,209551,University of Oregon,Health Sciences,18',Bachelor's degrees,14,2,12
1985-1986,209551,University of Oregon,Letters,23',Bachelor's degrees,143,62,81
1985-1986,209551,University of Oregon,Life Sciences,26',Bachelor's degrees,79,51,28
1985-1986,209551,University of Oregon,Mathematics,27',Bachelor's degrees,33,19,14
1985-1986,209551,University of Oregon,Multi/Interdisciplinary Studies,30',Bachelor's degrees,56,30,26
1985-1986,209551,University of Oregon,Parks and Recreation,31',Bachelor's degrees,63,28,35
1985-1986,209551,University of Oregon,Philosophy and Religion,38',Bachelor's degrees,17,14,3
1985-1986,209551,University of Oregon,Architecture and Environmental Design,4',Bachelor's degrees,130,92,38
1985-1986,209551,University of Oregon,Physical Sciences,40',Bachelor's degrees,50,41,9
1985-1986,209551,University of Oregon,Psychology,42',Bachelor's degrees,162,55,107
1985-1986,209551,University of Oregon,Public Affairs,44',Bachelor's degrees,72,32,40
1985-1986,209551,University of Oregon,Social Sciences,45',Bachelor's degrees,376,245,131
1985-1986,209551,University of Oregon,Area and Ethnic Studies,5',Bachelor's degrees,6,2,4
1985-1986,209551,University of Oregon,Visual and Performing Arts,50',Bachelor's degrees,121,43,78
1985-1986,209551,University of Oregon,Business and Management,6',Bachelor's degrees,366,205,161
1985-1986,209551,University of Oregon,Communications,9',Bachelor's degrees,290,119,171
1985-1986,218663,University of South Carolina-Columbia,Computer and Information Sciences,11',Bachelor's degrees,71,33,38
1985-1986,218663,University of South Carolina-Columbia,Education,13',Bachelor's degrees,150,37,113
1985-1986,218663,University of South Carolina-Columbia,Engineering,14',Bachelor's degrees,213,182,31
1985-1986,218663,University of South Carolina-Columbia,Foreign Languages,16',Bachelor's degrees,15,1,14
1985-1986,218663,University of South Carolina-Columbia,Health Sciences,18',Bachelor's degrees,171,8,163
1985-1986,218663,University of South Carolina-Columbia,Letters,23',Bachelor's degrees,67,22,45
1985-1986,218663,University of South Carolina-Columbia,Liberal/General Studies,24',Bachelor's degrees,258,128,130
1985-1986,218663,University of South Carolina-Columbia,Life Sciences,26',Bachelor's degrees,112,62,50
1985-1986,218663,University of South Carolina-Columbia,Mathematics,27',Bachelor's degrees,28,13,15
1985-1986,218663,University of South Carolina-Columbia,Philosophy and Religion,38',Bachelor's degrees,15,10,5
1985-1986,218663,University of South Carolina-Columbia,Physical Sciences,40',Bachelor's degrees,56,41,15
1985-1986,218663,University of South Carolina-Columbia,Psychology,42',Bachelor's degrees,160,49,111
1985-1986,218663,University of South Carolina-Columbia,Protective Services,43',Bachelor's degrees,70,43,27
1985-1986,218663,University of South Carolina-Columbia,Social Sciences,45',Bachelor's degrees,338,207,131
1985-1986,218663,University of South Carolina-Columbia,Visual and Performing Arts,50',Bachelor's degrees,97,37,60
1985-1986,218663,University of South Carolina-Columbia,Business and Management,6',Bachelor's degrees,696,395,301
1985-1986,218663,University of South Carolina-Columbia,Business (Administrative Support),7',Bachelor's degrees,35,2,33
1985-1986,218663,University of South Carolina-Columbia,Marketing and Distribution,8',Bachelor's degrees,110,65,45
1985-1986,218663,University of South Carolina-Columbia,Communications,9',Bachelor's degrees,249,92,157
1985-1986,123961,University of Southern California,Communications Technologies,10',Bachelor's degrees,53,37,16
1985-1986,123961,University of Southern California,Computer and Information Sciences,11',Bachelor's degrees,79,58,21
1985-1986,123961,University of Southern California,Education,13',Bachelor's degrees,45,6,39
1985-1986,123961,University of Southern California,Engineering,14',Bachelor's degrees,430,374,56
1985-1986,123961,University of Southern California,Engineering and Engineering Related Technologies,15',Bachelor's degrees,12,12,0
1985-1986,123961,University of Southern California,Foreign Languages,16',Bachelor's degrees,32,11,21
1985-1986,123961,University of Southern California,Allied Health,17',Bachelor's degrees,16,1,15
1985-1986,123961,University of Southern California,Health Sciences,18',Bachelor's degrees,31,0,31
1985-1986,123961,University of Southern California,Home Economics,19',Bachelor's degrees,12,2,10
1985-1986,123961,University of Southern California,Letters,23',Bachelor's degrees,56,21,35
1985-1986,123961,University of Southern California,Liberal/General Studies,24',Bachelor's degrees,7,6,1
1985-1986,123961,University of Southern California,Life Sciences,26',Bachelor's degrees,102,56,46
1985-1986,123961,University of Southern California,Mathematics,27',Bachelor's degrees,6,5,1
1985-1986,123961,University of Southern California,Multi/Interdisciplinary Studies,30',Bachelor's degrees,54,15,39
1985-1986,123961,University of Southern California,Philosophy and Religion,38',Bachelor's degrees,11,6,5
1985-1986,123961,University of Southern California,Architecture and Environmental Design,4',Bachelor's degrees,49,37,12
1985-1986,123961,University of Southern California,Physical Sciences,40',Bachelor's degrees,38,33,5
1985-1986,123961,University of Southern California,Psychology,42',Bachelor's degrees,78,29,49
1985-1986,123961,University of Southern California,Public Affairs,44',Bachelor's degrees,75,51,24
1985-1986,123961,University of Southern California,Social Sciences,45',Bachelor's degrees,277,160,117
1985-1986,123961,University of Southern California,Area and Ethnic Studies,5',Bachelor's degrees,6,0,6
1985-1986,123961,University of Southern California,Visual and Performing Arts,50',Bachelor's degrees,127,63,64
1985-1986,123961,University of Southern California,Business and Management,6',Bachelor's degrees,935,600,335
1985-1986,123961,University of Southern California,Communications,9',Bachelor's degrees,223,69,154
1985-1986,230728,Utah State University,Agricultural Business and Production,1',Bachelor's degrees,22,20,2
1985-1986,230728,Utah State University,Computer and Information Sciences,11',Bachelor's degrees,113,70,43
1985-1986,230728,Utah State University,Education,13',Bachelor's degrees,328,94,234
1985-1986,230728,Utah State University,Engineering,14',Bachelor's degrees,125,116,9
1985-1986,230728,Utah State University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,24,24,0
1985-1986,230728,Utah State University,Foreign Languages,16',Bachelor's degrees,14,7,7
1985-1986,230728,Utah State University,Allied Health,17',Bachelor's degrees,5,1,4
1985-1986,230728,Utah State University,Health Sciences,18',Bachelor's degrees,25,12,13
1985-1986,230728,Utah State University,Home Economics,19',Bachelor's degrees,43,7,36
1985-1986,230728,Utah State University,Agricultural Sciences,2',Bachelor's degrees,53,46,7
1985-1986,230728,Utah State University,Law (non-first professional),22',Bachelor's degrees,9,7,2
1985-1986,230728,Utah State University,Letters,23',Bachelor's degrees,53,27,26
1985-1986,230728,Utah State University,Liberal/General Studies,24',Bachelor's degrees,6,2,4
1985-1986,230728,Utah State University,Life Sciences,26',Bachelor's degrees,22,19,3
1985-1986,230728,Utah State University,Mathematics,27',Bachelor's degrees,12,10,2
1985-1986,230728,Utah State University,Renewable Natural Resources,3',Bachelor's degrees,35,23,12
1985-1986,230728,Utah State University,Parks and Recreation,31',Bachelor's degrees,10,3,7
1985-1986,230728,Utah State University,Philosophy and Religion,38',Bachelor's degrees,2,2,0
1985-1986,230728,Utah State University,Architecture and Environmental Design,4',Bachelor's degrees,26,23,3
1985-1986,230728,Utah State University,Physical Sciences,40',Bachelor's degrees,28,24,4
1985-1986,230728,Utah State University,Psychology,42',Bachelor's degrees,41,19,22
1985-1986,230728,Utah State University,Public Affairs,44',Bachelor's degrees,28,9,19
1985-1986,230728,Utah State University,Social Sciences,45',Bachelor's degrees,65,52,13
1985-1986,230728,Utah State University,Mechanics and Repairers,47',Bachelor's degrees,9,9,0
1985-1986,230728,Utah State University,Area and Ethnic Studies,5',Bachelor's degrees,2,2,0
1985-1986,230728,Utah State University,Visual and Performing Arts,50',Bachelor's degrees,86,42,44
1985-1986,230728,Utah State University,Business and Management,6',Bachelor's degrees,264,214,50
1985-1986,230728,Utah State University,Communications,9',Bachelor's degrees,15,10,5
1985-1986,221999,Vanderbilt University,Computer and Information Sciences,11',Bachelor's degrees,34,26,8
1985-1986,221999,Vanderbilt University,Education,13',Bachelor's degrees,58,5,53
1985-1986,221999,Vanderbilt University,Engineering,14',Bachelor's degrees,221,170,51
1985-1986,221999,Vanderbilt University,Foreign Languages,16',Bachelor's degrees,29,10,19
1985-1986,221999,Vanderbilt University,Health Sciences,18',Bachelor's degrees,123,0,123
1985-1986,221999,Vanderbilt University,Letters,23',Bachelor's degrees,97,40,57
1985-1986,221999,Vanderbilt University,Life Sciences,26',Bachelor's degrees,59,29,30
1985-1986,221999,Vanderbilt University,Mathematics,27',Bachelor's degrees,81,42,39
1985-1986,221999,Vanderbilt University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,60,14,46
1985-1986,221999,Vanderbilt University,Philosophy and Religion,38',Bachelor's degrees,16,10,6
1985-1986,221999,Vanderbilt University,Physical Sciences,40',Bachelor's degrees,39,30,9
1985-1986,221999,Vanderbilt University,Psychology,42',Bachelor's degrees,85,25,60
1985-1986,221999,Vanderbilt University,Social Sciences,45',Bachelor's degrees,258,163,95
1985-1986,221999,Vanderbilt University,Area and Ethnic Studies,5',Bachelor's degrees,21,5,16
1985-1986,221999,Vanderbilt University,Visual and Performing Arts,50',Bachelor's degrees,28,2,26
