Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,155399,Kansas State University,Letters,23',Bachelor's degrees,38,9,29
1985-1986,155399,Kansas State University,Life Sciences,26',Bachelor's degrees,105,58,47
1985-1986,155399,Kansas State University,Mathematics,27',Bachelor's degrees,21,13,8
1985-1986,155399,Kansas State University,Renewable Natural Resources,3',Bachelor's degrees,25,19,6
1985-1986,155399,Kansas State University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,67,35,32
1985-1986,155399,Kansas State University,Philosophy and Religion,38',Bachelor's degrees,1,1,0
1985-1986,155399,Kansas State University,Architecture and Environmental Design,4',Bachelor's degrees,162,109,53
1985-1986,155399,Kansas State University,Physical Sciences,40',Bachelor's degrees,59,45,14
1985-1986,155399,Kansas State University,Psychology,42',Bachelor's degrees,45,21,24
1985-1986,155399,Kansas State University,Public Affairs,44',Bachelor's degrees,34,4,30
1985-1986,155399,Kansas State University,Social Sciences,45',Bachelor's degrees,167,87,80
1985-1986,155399,Kansas State University,Visual and Performing Arts,50',Bachelor's degrees,37,15,22
1985-1986,155399,Kansas State University,Business and Management,6',Bachelor's degrees,502,285,217
1985-1986,155399,Kansas State University,Business (Administrative Support),7',Bachelor's degrees,9,0,9
1985-1986,155399,Kansas State University,Communications,9',Bachelor's degrees,161,76,85
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,1',Bachelor's degrees,41,40,1
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,11',Bachelor's degrees,92,56,36
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Education,13',Bachelor's degrees,327,48,279
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,14',Bachelor's degrees,427,367,60
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Engineering and Engineering Related Technologies,15',Bachelor's degrees,73,68,5
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages,16',Bachelor's degrees,20,6,14
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Allied Health,17',Bachelor's degrees,18,0,18
1985-1986,159391,Louisiana State University and Agricultural & Mechanical College,Health Sciences,18',Bachelor's degrees,73,50,23
