Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,198419,Duke University,Bachelor's degree,First major,Area- Ethnic and Cultural Studies,'05',34,8,26,21,4,17,6,1,5,2,0,2,1,1,0,0,0,0,4,2,2,0,0,0
2001-2002,198419,Duke University,Bachelor's degree,First major,Psychology,'42',156,44,112,99,31,68,19,3,16,8,3,5,8,3,5,0,0,0,18,4,14,4,0,4
2001-2002,198419,Duke University,Bachelor's degree,First major,Mathematics,'27',20,14,6,14,11,3,1,1,0,0,0,0,2,1,1,0,0,0,2,1,1,1,0,1
2001-2002,134097,Florida State University,Bachelor's degree,First major,English Language and Literature/Letters,'23',269,70,199,201,61,140,32,5,27,25,4,21,8,0,8,2,0,2,1,0,1,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Parks- Recreation- Leisure and Fitness Studies,'31',36,8,28,32,7,25,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,134097,Florida State University,Bachelor's degree,First major,Education,'13',486,135,351,397,102,295,52,16,36,22,9,13,8,3,5,3,2,1,2,2,0,2,1,1
2001-2002,134097,Florida State University,Bachelor's degree,First major,Liberal Arts and Studies- General Sciences and Humanities,'24',30,7,23,26,5,21,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Health Professions and Related Sciences,'51',252,24,228,191,21,170,40,2,38,14,1,13,7,0,7,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Physical Sciences,'40',62,39,23,56,35,21,1,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Business Management and Administrative Services,'52',1354,770,584,1043,620,423,135,45,90,103,72,31,32,17,15,3,1,2,2,1,1,36,14,22
2001-2002,134097,Florida State University,Bachelor's degree,First major,Computer and Information Sciences,'11',261,179,82,184,131,53,38,20,18,19,17,2,8,4,4,4,3,1,1,1,0,7,3,4
2001-2002,134097,Florida State University,Bachelor's degree,First major,Communications,'09',352,118,234,289,99,190,21,8,13,28,6,22,6,2,4,2,1,1,1,1,0,5,1,4
2001-2002,134097,Florida State University,Bachelor's degree,First major,Public Administration and Services,'44',112,11,101,71,9,62,34,2,32,5,0,5,2,0,2,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Bachelor's degree,First major,Protective Services,'43',353,183,170,253,146,107,58,16,42,29,11,18,9,7,2,2,2,0,0,0,0,2,1,1
