Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1998-1999,123961,University of Southern California,Visual and Performing Arts,'50',Bachelor's degree,214,97,117,132,64,68,4,1,3,23,12,11,29,10,19,2,2,0,5,1,4,19,7,12
1998-1999,131496,Georgetown University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,15,7,8,13,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,131496,Georgetown University,Biological Science/Life Sciences,'26',Bachelor's degree,58,25,33,37,16,21,3,2,1,2,0,2,13,4,9,0,0,0,0,0,0,3,3,0
1998-1999,131496,Georgetown University,Business Management and Administrative Services,'52',Bachelor's degree,369,243,126,211,150,61,25,10,15,20,15,5,34,17,17,2,1,1,9,6,3,68,44,24
1998-1999,131496,Georgetown University,Computer and Information Sciences,'11',Bachelor's degree,7,5,2,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,131496,Georgetown University,English Language and Literature/Letters,'23',Bachelor's degree,160,60,100,117,42,75,9,2,7,10,7,3,15,5,10,1,1,0,7,3,4,1,0,1
1998-1999,131496,Georgetown University,Foreign Languages and Literatures,'16',Bachelor's degree,166,49,117,119,35,84,9,1,8,4,1,3,11,3,8,1,1,0,7,3,4,15,5,10
1998-1999,131496,Georgetown University,Health Professions and Related Sciences,'51',Bachelor's degree,70,2,68,52,0,52,3,0,3,3,0,3,5,2,3,0,0,0,1,0,1,6,0,6
1998-1999,131496,Georgetown University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,22,7,15,13,5,8,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
1998-1999,131496,Georgetown University,Mathematics,'27',Bachelor's degree,9,5,4,6,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1998-1999,131496,Georgetown University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,31,15,16,23,13,10,0,0,0,0,0,0,5,2,3,0,0,0,2,0,2,1,0,1
1998-1999,131496,Georgetown University,Philosophy and Religion,'38',Bachelor's degree,30,17,13,21,11,10,1,0,1,1,1,0,3,1,2,0,0,0,1,1,0,3,3,0
1998-1999,131496,Georgetown University,Physical Sciences,'40',Bachelor's degree,10,5,5,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,131496,Georgetown University,Psychology,'42',Bachelor's degree,83,26,57,61,21,40,7,3,4,2,0,2,3,0,3,0,0,0,1,0,1,9,2,7
1998-1999,131496,Georgetown University,Social Sciences and History,'45',Bachelor's degree,603,339,264,385,235,150,34,12,22,43,23,20,45,17,28,0,0,0,27,19,8,69,33,36
1998-1999,131496,Georgetown University,Visual and Performing Arts,'50',Bachelor's degree,16,3,13,11,3,8,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,15,5,10,13,4,9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Biological Science/Life Sciences,'26',Bachelor's degree,194,96,98,157,73,84,12,5,7,14,11,3,9,6,3,0,0,0,0,0,0,2,1,1
1998-1999,134097,Florida State University,Business Management and Administrative Services,'52',Bachelor's degree,1191,696,495,990,593,397,69,32,37,76,43,33,23,10,13,4,1,3,0,0,0,29,17,12
1998-1999,134097,Florida State University,Communications,'09',Bachelor's degree,318,104,214,272,92,180,24,3,21,16,6,10,0,0,0,2,0,2,0,0,0,4,3,1
1998-1999,134097,Florida State University,Computer and Information Sciences,'11',Bachelor's degree,61,48,13,43,36,7,3,2,1,10,7,3,4,3,1,0,0,0,0,0,0,1,0,1
1998-1999,134097,Florida State University,Education,'13',Bachelor's degree,556,163,393,477,138,339,36,8,28,31,13,18,10,3,7,1,1,0,0,0,0,1,0,1
1998-1999,134097,Florida State University,Engineering,'14',Bachelor's degree,160,127,33,112,93,19,15,7,8,12,10,2,7,4,3,2,2,0,0,0,0,12,11,1
1998-1999,134097,Florida State University,English Language and Literature/Letters,'23',Bachelor's degree,300,98,202,240,84,156,29,7,22,23,4,19,7,3,4,1,0,1,0,0,0,0,0,0
1998-1999,134097,Florida State University,Foreign Languages and Literatures,'16',Bachelor's degree,68,15,53,49,10,39,10,3,7,8,2,6,1,0,1,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Health Professions and Related Sciences,'51',Bachelor's degree,277,39,238,235,33,202,25,4,21,10,1,9,6,1,5,0,0,0,0,0,0,1,0,1
1998-1999,134097,Florida State University,Home Economics- General,'19',Bachelor's degree,348,50,298,265,39,226,52,8,44,23,3,20,4,0,4,1,0,1,0,0,0,3,0,3
1998-1999,134097,Florida State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,26,6,20,26,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Library Science,'25',Bachelor's degree,20,10,10,15,8,7,3,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1998-1999,134097,Florida State University,Mathematics,'27',Bachelor's degree,26,14,12,20,14,6,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
1998-1999,134097,Florida State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,43,7,36,38,6,32,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Philosophy and Religion,'38',Bachelor's degree,27,18,9,25,16,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Physical Sciences,'40',Bachelor's degree,88,54,34,78,51,27,2,0,2,5,2,3,1,0,1,0,0,0,0,0,0,2,1,1
1998-1999,134097,Florida State University,Protective Services,'43',Bachelor's degree,387,230,157,301,191,110,50,22,28,25,11,14,6,4,2,4,1,3,0,0,0,1,1,0
1998-1999,134097,Florida State University,Psychology,'42',Bachelor's degree,286,85,201,229,72,157,24,2,22,17,6,11,10,4,6,3,1,2,0,0,0,3,0,3
1998-1999,134097,Florida State University,Public Administration and Services,'44',Bachelor's degree,141,20,121,102,13,89,32,5,27,5,1,4,2,1,1,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Social Sciences and History,'45',Bachelor's degree,700,409,291,565,339,226,59,32,27,52,25,27,9,6,3,7,3,4,0,0,0,8,4,4
1998-1999,134097,Florida State University,Visual and Performing Arts,'50',Bachelor's degree,322,104,218,268,87,181,16,5,11,26,7,19,5,2,3,0,0,0,0,0,0,7,3,4
1998-1999,134130,University of Florida,Agricultural Business and Production,'01',Bachelor's degree,71,50,21,51,37,14,7,5,2,5,4,1,6,2,4,0,0,0,0,0,0,2,2,0
1998-1999,134130,University of Florida,Agricultural Sciences,'02',Bachelor's degree,308,127,181,230,93,137,10,3,7,41,16,25,20,10,10,2,1,1,0,0,0,5,4,1
1998-1999,134130,University of Florida,Architecture and Related Programs,'04',Bachelor's degree,97,64,33,70,50,20,1,0,1,16,11,5,5,1,4,0,0,0,0,0,0,5,2,3
1998-1999,134130,University of Florida,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,8,5,3,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Biological Science/Life Sciences,'26',Bachelor's degree,366,197,169,258,137,121,19,8,11,32,20,12,56,31,25,0,0,0,0,0,0,1,1,0
1998-1999,134130,University of Florida,Business Management and Administrative Services,'52',Bachelor's degree,1192,769,423,931,601,330,48,26,22,120,87,33,66,38,28,4,3,1,2,2,0,21,12,9
1998-1999,134130,University of Florida,Communications,'09',Bachelor's degree,596,212,384,474,166,308,43,11,32,51,22,29,21,10,11,2,1,1,0,0,0,5,2,3
1998-1999,134130,University of Florida,Computer and Information Sciences,'11',Bachelor's degree,50,44,6,37,35,2,3,3,0,4,2,2,5,4,1,0,0,0,0,0,0,1,0,1
1998-1999,134130,University of Florida,Conservation and Renewable Natural Resources,'03',Bachelor's degree,114,51,63,101,47,54,4,3,1,6,1,5,1,0,1,0,0,0,0,0,0,2,0,2
1998-1999,134130,University of Florida,Education,'13',Bachelor's degree,599,160,439,476,125,351,37,14,23,56,14,42,21,3,18,6,1,5,0,0,0,3,3,0
1998-1999,134130,University of Florida,Engineering,'14',Bachelor's degree,727,609,118,519,450,69,25,20,5,73,59,14,83,54,29,3,3,0,4,4,0,20,19,1
1998-1999,134130,University of Florida,Engineering-Related Technologies,'15',Bachelor's degree,131,121,10,118,111,7,3,2,1,6,6,0,3,2,1,1,0,1,0,0,0,0,0,0
1998-1999,134130,University of Florida,English Language and Literature/Letters,'23',Bachelor's degree,207,77,130,177,68,109,10,1,9,14,5,9,6,3,3,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Foreign Languages and Literatures,'16',Bachelor's degree,92,32,60,61,22,39,11,3,8,11,4,7,8,3,5,1,0,1,0,0,0,0,0,0
1998-1999,134130,University of Florida,Health Professions and Related Sciences,'51',Bachelor's degree,449,81,368,383,65,318,18,5,13,20,4,16,21,6,15,3,1,2,0,0,0,4,0,4
1998-1999,134130,University of Florida,Home Economics- General,'19',Bachelor's degree,57,15,42,36,7,29,10,5,5,4,1,3,7,2,5,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Mathematics,'27',Bachelor's degree,67,42,25,57,34,23,4,2,2,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Multi/Interdisciplinary Studies,'30',Bachelor's degree,56,32,24,37,23,14,1,1,0,5,3,2,13,5,8,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,145,55,90,109,42,67,14,5,9,13,4,9,7,3,4,0,0,0,0,0,0,2,1,1
1998-1999,134130,University of Florida,Philosophy and Religion,'38',Bachelor's degree,50,34,16,38,27,11,2,1,1,7,5,2,2,1,1,0,0,0,0,0,0,1,0,1
1998-1999,134130,University of Florida,Physical Sciences,'40',Bachelor's degree,84,54,30,69,47,22,2,2,0,2,1,1,11,4,7,0,0,0,0,0,0,0,0,0
1998-1999,134130,University of Florida,Protective Services,'43',Bachelor's degree,116,69,47,88,54,34,15,6,9,11,7,4,1,1,0,0,0,0,0,0,0,1,1,0
1998-1999,134130,University of Florida,Psychology,'42',Bachelor's degree,292,77,215,226,55,171,11,4,7,38,16,22,10,2,8,3,0,3,0,0,0,4,0,4
1998-1999,134130,University of Florida,Social Sciences and History,'45',Bachelor's degree,621,328,293,484,269,215,44,18,26,64,30,34,24,9,15,1,0,1,1,1,0,3,1,2
1998-1999,134130,University of Florida,Visual and Performing Arts,'50',Bachelor's degree,189,66,123,139,42,97,9,4,5,25,11,14,11,5,6,0,0,0,1,1,0,4,3,1
1998-1999,135726,University of Miami,Architecture and Related Programs,'04',Bachelor's degree,47,27,20,12,6,6,2,1,1,21,11,10,4,3,1,0,0,0,0,0,0,8,6,2
1998-1999,135726,University of Miami,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,3,1,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,135726,University of Miami,Biological Science/Life Sciences,'26',Bachelor's degree,179,89,90,67,39,28,17,3,14,52,26,26,32,12,20,0,0,0,3,1,2,8,8,0
1998-1999,135726,University of Miami,Business Management and Administrative Services,'52',Bachelor's degree,384,202,182,162,104,58,32,12,20,111,42,69,15,4,11,0,0,0,1,0,1,63,40,23
1998-1999,135726,University of Miami,Communications,'09',Bachelor's degree,126,35,91,67,23,44,10,2,8,39,5,34,3,1,2,0,0,0,0,0,0,7,4,3
1998-1999,135726,University of Miami,Computer and Information Sciences,'11',Bachelor's degree,30,23,7,5,3,2,5,3,2,11,9,2,0,0,0,0,0,0,0,0,0,9,8,1
1998-1999,135726,University of Miami,Conservation and Renewable Natural Resources,'03',Bachelor's degree,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
