Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1986-1987,100858,Auburn University,Public Administration and Services,'44.0000',Bachelor's degree,35,16,19,33,15,18,1,,1,1,1,,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Science Technologies,'41.0000',Bachelor's degree,11,2,9,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Social Sciences and History,'45.0000',Bachelor's degree,139,104,35,137,103,34,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,100858,Auburn University,Visual and Performing Arts,'50.0000',Bachelor's degree,106,58,48,103,56,47,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Allied Health,'17.0000',Bachelor's degree,10,3,7,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1986-1987,142115,Boise State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,10,7,3,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Business (Admin Support),'07.0000',Bachelor's degree,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Business and Management,'06.0000',Bachelor's degree,255,151,104,227,132,95,1,1,0,9,3,6,5,2,3,0,0,0,13,13,0
1986-1987,142115,Boise State University,Communications,'09.0000',Bachelor's degree,45,13,32,44,12,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Computer and Information Sciences,'11.0000',Bachelor's degree,41,24,17,39,23,16,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Education,'13.0000',Bachelor's degree,126,32,94,122,30,92,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0
1986-1987,142115,Boise State University,Engineering,'14.0000',Bachelor's degree,4,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,142115,Boise State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,14,3,11,14,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Health Sciences,'18.0000',Bachelor's degree,18,2,16,18,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Mathematics,'27.0000',Bachelor's degree,18,11,7,16,10,6,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1986-1987,142115,Boise State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,48,39,9,47,38,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,142115,Boise State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,16,8,8,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Philosophy and Religion,'38.0000',Bachelor's degree,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Physical Sciences,'40.0000',Bachelor's degree,28,22,6,26,21,5,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1986-1987,142115,Boise State University,Protective Services,'43.0000',Bachelor's degree,18,12,6,17,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Psychology,'42.0000',Bachelor's degree,21,6,15,21,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Public Administration and Services,'44.0000',Bachelor's degree,19,2,17,18,2,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Social Sciences and History,'45.0000',Bachelor's degree,90,55,35,85,51,34,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0
1986-1987,142115,Boise State University,Transportation and Material Moving Workers,'49.0000',Bachelor's degree,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,142115,Boise State University,Visual and Performing Arts,'50.0000',Bachelor's degree,60,17,43,58,16,42,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1986-1987,217882,Clemson University,Agricultural Business and Production,'01.0000',Bachelor's degree,15,14,1,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Agricultural Sciences,'02.0000',Bachelor's degree,63,34,29,62,34,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1986-1987,217882,Clemson University,Architecture and Related Programs,'04.0000',Bachelor's degree,80,61,19,74,56,18,3,3,0,1,1,0,0,0,0,0,0,0,2,1,1
1986-1987,217882,Clemson University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,62,41,21,55,39,16,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Business and Management,'06.0000',Bachelor's degree,518,275,243,496,264,232,15,7,8,0,0,0,1,0,1,1,0,1,5,4,1
1986-1987,217882,Clemson University,Computer and Information Sciences,'11.0000',Bachelor's degree,88,52,36,72,46,26,12,3,9,0,0,0,0,0,0,0,0,0,4,3,1
1986-1987,217882,Clemson University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,19,17,2,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Education,'13.0000',Bachelor's degree,207,43,164,200,38,162,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Engineering,'14.0000',Bachelor's degree,505,413,92,464,386,78,20,8,12,4,3,1,2,2,0,0,0,0,15,14,1
1986-1987,217882,Clemson University,Engineering-Related Technologies,'15.0000',Bachelor's degree,75,64,11,68,59,9,5,3,2,0,0,0,1,1,0,0,0,0,1,1,0
1986-1987,217882,Clemson University,English Language and Literature/Letters,'23.0000',Bachelor's degree,39,10,29,38,10,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,9,4,5,8,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Health Sciences,'18.0000',Bachelor's degree,91,1,90,84,1,83,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Marketing Operations/Marketing and Distribution,'08.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Mathematics,'27.0000',Bachelor's degree,62,21,41,56,19,37,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0
1986-1987,217882,Clemson University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,75,23,52,72,22,50,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
1986-1987,217882,Clemson University,Physical Sciences,'40.0000',Bachelor's degree,33,22,11,30,20,10,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,217882,Clemson University,Precision Production Trades,'48.0000',Bachelor's degree,15,5,10,14,4,10,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Psychology,'42.0000',Bachelor's degree,33,9,24,31,9,22,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,217882,Clemson University,Social Sciences and History,'45.0000',Bachelor's degree,108,55,53,102,52,50,4,2,2,0,0,0,2,1,1,0,0,0,0,0,0
1986-1987,198419,Duke University,Allied Health,'17.0000',Bachelor's degree,39,8,31,36,8,28,2,,2,1,,1,0,0,0,0,0,0,0,0,0
1986-1987,198419,Duke University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,31,7,24,27,7,20,0,0,0,2,,2,2,,2,0,0,0,0,0,0
1986-1987,198419,Duke University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,122,43,79,106,40,66,6,,6,2,1,1,8,2,6,0,0,0,0,0,0
1986-1987,198419,Duke University,Computer and Information Sciences,'11.0000',Bachelor's degree,69,46,23,60,40,20,3,2,1,4,2,2,2,2,,0,0,0,0,,
1986-1987,198419,Duke University,Engineering,'14.0000',Bachelor's degree,204,160,44,188,149,39,6,4,2,1,,1,9,7,2,0,0,0,0,,
1986-1987,198419,Duke University,English Language and Literature/Letters,'23.0000',Bachelor's degree,85,29,56,80,29,51,2,,2,2,,2,1,,1,0,0,0,0,0,0
1986-1987,198419,Duke University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,42,13,29,39,13,26,1,,1,1,,1,1,,1,0,0,0,0,0,0
1986-1987,198419,Duke University,Mathematics,'27.0000',Bachelor's degree,40,22,18,34,18,16,4,3,1,1,,1,1,1,,0,0,0,0,,
1986-1987,198419,Duke University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,21,8,13,20,8,12,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1986-1987,198419,Duke University,Philosophy and Religion,'38.0000',Bachelor's degree,32,15,17,31,15,16,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1986-1987,198419,Duke University,Physical Sciences,'40.0000',Bachelor's degree,66,37,29,54,31,23,3,1,2,1,1,,8,4,4,0,0,0,0,,
1986-1987,198419,Duke University,Psychology,'42.0000',Bachelor's degree,204,64,140,185,58,127,9,1,8,3,2,1,7,3,4,0,0,0,0,0,0
1986-1987,198419,Duke University,Public Administration and Services,'44.0000',Bachelor's degree,121,49,72,117,46,71,2,1,1,0,,,2,2,,0,0,0,0,0,0
1986-1987,198419,Duke University,Social Sciences and History,'45.0000',Bachelor's degree,544,303,241,494,282,212,22,8,14,14,7,7,13,6,7,1,,1,0,0,0
1986-1987,198419,Duke University,Visual and Performing Arts,'50.0000',Bachelor's degree,34,10,24,30,8,22,1,1,,1,,1,2,1,1,0,0,0,0,0,0
1986-1987,134097,Florida State University,Allied Health,'17.0000',Bachelor's degree,28,5,23,23,3,20,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Architecture and Related Programs,'04.0000',Bachelor's degree,62,4,58,57,2,55,2,1,1,1,0,1,1,0,1,0,0,0,1,1,0
1986-1987,134097,Florida State University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,75,53,22,59,43,16,3,1,2,5,5,0,4,3,1,0,0,0,4,1,3
1986-1987,134097,Florida State University,Business and Management,'06.0000',Bachelor's degree,919,500,419,829,460,369,38,9,29,27,15,12,9,5,4,2,2,0,13,8,5
1986-1987,134097,Florida State University,Communications,'09.0000',Bachelor's degree,223,64,159,210,63,147,10,1,9,2,0,2,1,0,1,0,0,0,0,0,0
1986-1987,134097,Florida State University,Computer and Information Sciences,'11.0000',Bachelor's degree,93,60,33,80,54,26,5,2,3,2,0,2,2,2,0,0,0,0,4,2,2
1986-1987,134097,Florida State University,Education,'13.0000',Bachelor's degree,316,49,267,300,47,253,8,0,8,6,2,4,1,0,1,0,0,0,1,0,1
1986-1987,134097,Florida State University,Engineering,'14.0000',Bachelor's degree,46,42,4,40,36,4,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0
1986-1987,134097,Florida State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,94,39,55,90,37,53,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0
1986-1987,134097,Florida State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,36,9,27,30,7,23,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Health Sciences,'18.0000',Bachelor's degree,139,5,134,127,4,123,8,0,8,2,0,2,0,0,0,0,0,0,2,1,1
1986-1987,134097,Florida State University,Home Economics,'19.0000',Bachelor's degree,194,10,184,168,8,160,19,0,19,4,1,3,1,1,0,0,0,0,2,0,2
1986-1987,134097,Florida State University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,12,6,6,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Library Science,'25.0000',Bachelor's degree,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Mathematics,'27.0000',Bachelor's degree,16,9,7,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1986-1987,134097,Florida State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,41,8,33,40,8,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Philosophy and Religion,'38.0000',Bachelor's degree,12,7,5,11,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Physical Sciences,'40.0000',Bachelor's degree,43,29,14,38,26,12,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1
1986-1987,134097,Florida State University,Protective Services,'43.0000',Bachelor's degree,171,102,69,149,89,60,19,11,8,2,1,1,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Psychology,'42.0000',Bachelor's degree,121,37,84,115,35,80,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Public Administration and Services,'44.0000',Bachelor's degree,38,4,34,28,3,25,9,1,8,1,0,1,0,0,0,0,0,0,0,0,0
1986-1987,134097,Florida State University,Social Sciences and History,'45.0000',Bachelor's degree,501,357,144,445,319,126,28,18,10,21,15,6,2,1,1,2,2,0,2,2,0
1986-1987,134097,Florida State University,Visual and Performing Arts,'50.0000',Bachelor's degree,171,75,96,162,70,92,5,3,2,3,2,1,0,0,0,0,0,0,1,0,1
1986-1987,131496,Georgetown University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,85,39,46,63,28,35,4,2,2,4,1,3,7,5,2,0,0,0,7,3,4
1986-1987,131496,Georgetown University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,59,32,27,43,24,19,5,2,3,4,3,1,3,2,1,0,0,0,4,1,3
1986-1987,131496,Georgetown University,Business and Management,'06.0000',Bachelor's degree,265,163,102,212,129,83,13,6,7,11,7,4,6,3,3,0,0,0,23,18,5
1986-1987,131496,Georgetown University,English Language and Literature/Letters,'23.0000',Bachelor's degree,116,46,70,101,42,59,6,2,4,2,1,1,1,,1,1,,1,5,1,4
1986-1987,131496,Georgetown University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,109,24,85,92,21,71,5,1,4,4,1,3,2,1,1,0,0,0,6,,6
1986-1987,131496,Georgetown University,Health Sciences,'18.0000',Bachelor's degree,105,,105,96,,96,3,,3,0,,,4,,4,0,0,0,2,,2
1986-1987,131496,Georgetown University,Liberal/General Studies and Humanities,'24.0000',Bachelor's degree,8,1,7,5,,5,0,0,0,1,1,,1,,1,0,0,0,1,,1
1986-1987,131496,Georgetown University,Mathematics,'27.0000',Bachelor's degree,8,6,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,131496,Georgetown University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,7,2,5,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1986-1987,131496,Georgetown University,Philosophy and Religion,'38.0000',Bachelor's degree,33,22,11,28,21,7,2,,2,2,1,1,0,0,0,0,0,0,1,,1
1986-1987,131496,Georgetown University,Physical Sciences,'40.0000',Bachelor's degree,24,14,10,17,11,6,1,,1,1,1,,3,2,1,0,0,0,2,,2
1986-1987,131496,Georgetown University,Psychology,'42.0000',Bachelor's degree,44,19,25,36,18,18,4,1,3,0,0,0,2,,2,0,0,0,2,,2
1986-1987,131496,Georgetown University,Social Sciences and History,'45.0000',Bachelor's degree,522,302,220,418,246,172,30,15,15,18,8,10,18,10,8,1,,1,37,23,14
1986-1987,131496,Georgetown University,Visual and Performing Arts,'50.0000',Bachelor's degree,14,6,8,11,5,6,0,0,0,1,,1,1,,1,0,0,0,1,1,
1986-1987,155399,Kansas State University,Agricultural Business and Production,'01.0000',Bachelor's degree,120,109,11,116,105,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
1986-1987,155399,Kansas State University,Agricultural Sciences,'02.0000',Bachelor's degree,163,120,43,151,113,38,0,0,0,8,5,3,0,0,0,0,0,0,3,1,2
1986-1987,155399,Kansas State University,Allied Health,'17.0000',Bachelor's degree,13,2,11,13,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Architecture and Related Programs,'04.0000',Bachelor's degree,158,99,59,148,89,59,1,1,,3,3,,0,0,0,1,1,,5,5,
1986-1987,155399,Kansas State University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,109,67,42,97,59,38,2,1,1,8,5,3,2,2,,0,0,0,0,,
1986-1987,155399,Kansas State University,Business (Admin Support),'07.0000',Bachelor's degree,5,,5,5,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Business and Management,'06.0000',Bachelor's degree,548,318,230,525,304,221,7,4,3,6,3,3,3,2,1,4,4,,3,1,2
1986-1987,155399,Kansas State University,Communications,'09.0000',Bachelor's degree,150,57,93,142,50,92,5,4,1,3,3,,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Computer and Information Sciences,'11.0000',Bachelor's degree,71,55,16,65,52,13,0,0,0,0,0,0,3,3,,0,0,0,3,,3
1986-1987,155399,Kansas State University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,20,16,4,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1986-1987,155399,Kansas State University,Education,'13.0000',Bachelor's degree,253,53,200,243,52,191,4,1,3,4,,4,0,,,1,,1,1,,1
1986-1987,155399,Kansas State University,Engineering,'14.0000',Bachelor's degree,377,330,47,348,302,46,2,2,,3,3,,4,4,,1,1,,19,18,1
1986-1987,155399,Kansas State University,Engineering-Related Technologies,'15.0000',Bachelor's degree,57,57,,51,51,,0,0,0,1,1,,2,2,,0,0,0,3,3,
1986-1987,155399,Kansas State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,28,7,21,25,6,19,2,1,1,1,,1,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,21,5,16,20,5,15,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1986-1987,155399,Kansas State University,Health Sciences,'18.0000',Bachelor's degree,20,9,11,15,7,8,1,,1,2,,2,1,1,,0,0,0,1,1,
1986-1987,155399,Kansas State University,Home Economics,'19.0000',Bachelor's degree,97,3,94,92,3,89,2,,2,2,,2,0,0,0,0,0,0,1,,1
1986-1987,155399,Kansas State University,Mathematics,'27.0000',Bachelor's degree,30,9,21,29,9,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
1986-1987,155399,Kansas State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,50,29,21,49,28,21,0,0,0,1,1,,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Philosophy and Religion,'38.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Physical Sciences,'40.0000',Bachelor's degree,60,43,17,55,39,16,0,0,0,1,1,,0,,,0,0,0,4,3,1
1986-1987,155399,Kansas State University,Psychology,'42.0000',Bachelor's degree,38,15,23,36,15,21,0,0,0,1,,1,0,0,0,0,0,0,1,,1
1986-1987,155399,Kansas State University,Public Administration and Services,'44.0000',Bachelor's degree,34,5,29,31,4,27,2,1,1,0,0,0,0,0,0,1,,1,0,,
1986-1987,155399,Kansas State University,Social Sciences and History,'45.0000',Bachelor's degree,177,115,62,161,110,51,14,5,9,1,,1,0,,,1,,1,0,,
1986-1987,155399,Kansas State University,Visual and Performing Arts,'50.0000',Bachelor's degree,43,17,26,43,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,155399,Kansas State University,Vocational Home Economics,'20.0000',Bachelor's degree,28,4,24,26,4,22,0,0,0,0,0,0,0,0,0,0,0,0,2,,2
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,'01.0000',Bachelor's degree,28,24,4,17,14,3,0,,,1,1,,0,0,0,0,0,0,10,9,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,'02.0000',Bachelor's degree,33,23,10,20,11,9,0,0,0,3,2,1,0,0,0,0,0,0,10,10,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Allied Health,'17.0000',Bachelor's degree,21,,21,19,,19,1,,1,1,,1,0,0,0,0,0,0,0,0,0
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Related Programs,'04.0000',Bachelor's degree,104,54,50,83,38,45,2,2,,4,2,2,0,0,0,0,0,0,15,12,3
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,1,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,95,62,33,88,59,29,1,,1,3,1,2,2,2,,0,0,0,1,,1
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Business (Admin Support),'07.0000',Bachelor's degree,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Business and Management,'06.0000',Bachelor's degree,688,378,310,601,340,261,27,7,20,11,6,5,10,3,7,0,0,0,39,22,17
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Communications,'09.0000',Bachelor's degree,190,64,126,163,57,106,17,3,14,6,3,3,0,0,0,1,,1,3,1,2
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,'11.0000',Bachelor's degree,71,47,24,58,40,18,2,1,1,1,1,,3,1,2,0,0,0,7,4,3
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,9,8,1,8,7,1,0,0,0,0,0,0,0,0,0,1,1,,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Education,'13.0000',Bachelor's degree,294,37,257,285,37,248,5,,5,2,,2,0,0,0,2,,2,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,'14.0000',Bachelor's degree,413,357,56,297,257,40,11,7,4,9,8,1,16,16,,0,,,80,69,11
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Engineering-Related Technologies,'15.0000',Bachelor's degree,102,98,4,93,90,3,3,3,,3,3,,2,1,1,0,0,0,1,1,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,English Language and Literature/Letters,'23.0000',Bachelor's degree,86,26,60,85,26,59,1,,1,0,,,0,,,0,0,0,0,,
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Foreign Languages and Literatures,'16.0000',Bachelor's degree,24,5,19,20,5,15,0,,,2,,2,0,,,0,0,0,2,,2
1986-1987,159391,Louisiana State University and Agricultural & Mechanical College,Health Sciences,'18.0000',Bachelor's degree,39,34,5,33,28,5,2,2,,2,2,,2,2,,0,0,0,0,,
