Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,Philosophy and religious studies.,'38',31,24,7,1,0,1,1,0,1,1,1,0,3,3,0,25,20,5,,,,,,,,,,0,0,0,0,0,0
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',413,88,325,0,0,0,16,2,14,20,3,17,9,0,9,350,79,271,,,,,,,,,,15,4,11,3,0,3
2007-2008,217882,Clemson University,Bachelor's degree,First major,Science technologies/technicians.,'41',29,24,5,0,0,0,1,1,0,5,4,1,0,0,0,22,18,4,,,,,,,,,,1,1,0,0,0,0
2007-2008,134097,Florida State University,Bachelor's degree,First major,Public administration and social service professions.,'44',133,9,124,2,0,2,3,1,2,30,2,28,13,2,11,85,4,81,,,,,,,,,,0,0,0,0,0,0
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Natural resources and conservation.,'03',65,50,15,1,1,0,1,1,0,0,0,0,1,1,0,59,44,15,,,,,,,,,,3,3,0,0,0,0
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Visual and performing arts.,'50',130,53,77,0,0,0,1,0,1,6,4,2,4,4,0,111,41,70,,,,,,,,,,3,1,2,5,3,2
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,English language and literature/letters.,'23',497,92,405,3,0,3,8,2,6,11,0,11,33,8,25,441,82,359,,,,,,,,,,1,0,1,0,0,0
2007-2008,134097,Florida State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',67,24,43,0,0,0,1,0,1,3,1,2,4,2,2,58,20,38,,,,,,,,,,1,1,0,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Social sciences.,'45',169,110,59,1,0,1,3,1,2,2,2,0,5,4,1,138,89,49,0,0,0,0,0,0,0,0,0,8,6,2,12,8,4
2007-2008,207500,University of Oklahoma Norman Campus,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',81,25,56,11,2,9,5,3,2,4,1,3,3,0,3,57,18,39,,,,,,,,,,0,0,0,1,1,0
2007-2008,209551,University of Oregon,Bachelor's degree,First major,Education.,'13',141,20,121,1,0,1,4,0,4,1,0,1,5,1,4,120,17,103,,,,,,,,,,8,1,7,2,1,1
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',44,22,22,1,1,0,7,2,5,0,0,0,3,1,2,32,17,15,,,,,,,,,,0,0,0,1,1,0
2007-2008,243744,Stanford University,Bachelor's degree,First major,Public administration and social service professions.,'44',14,7,7,1,0,1,3,2,1,1,0,1,3,1,2,6,4,2,,,,,,,,,,0,0,0,0,0,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Engineering.,'14',384,302,82,2,2,0,102,78,24,9,5,4,47,39,8,161,126,35,,,,,,,,,,8,7,1,55,45,10
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Engineering technologies/technicians.,'15',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,0,0,0,0,0,0
2007-2008,122755,San Jose State University,Bachelor's degree,First major,Natural resources and conservation.,'03',33,17,16,1,0,1,8,6,2,1,0,1,2,1,1,15,8,7,,,,,,,,,,5,1,4,1,1,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Computer and information sciences and support services.,'11',119,112,7,0,0,0,10,10,0,6,5,1,3,3,0,86,84,2,,,,,,,,,,4,2,2,10,8,2
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',193,81,112,2,2,0,6,2,4,14,6,8,6,2,4,151,62,89,,,,,,,,,,13,7,6,1,0,1
2007-2008,134097,Florida State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',280,68,212,1,0,1,5,2,3,23,4,19,39,11,28,207,51,156,,,,,,,,,,0,0,0,5,0,5
2007-2008,198419,Duke University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',38,6,32,0,0,0,3,0,3,12,2,10,1,0,1,18,4,14,,,,,,,,,,2,0,2,2,0,2
2007-2008,198419,Duke University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',137,53,84,0,0,0,46,14,32,9,1,8,11,4,7,63,29,34,,,,,,,,,,5,4,1,3,1,2
2007-2008,243744,Stanford University,Bachelor's degree,First major,Social sciences.,'45',411,229,182,10,6,4,72,40,32,43,25,18,53,25,28,173,95,78,,,,,,,,,,24,13,11,36,25,11
2007-2008,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Education.,'13',296,83,213,37,8,29,1,1,0,11,6,5,7,1,6,239,66,173,,,,,,,,,,0,0,0,1,1,0
2007-2008,134097,Florida State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',62,19,43,0,0,0,3,0,3,6,2,4,11,6,5,40,10,30,,,,,,,,,,1,1,0,1,0,1
2007-2008,228246,Southern Methodist University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',197,40,157,1,1,0,6,3,3,7,0,7,15,3,12,159,29,130,,,,,,,,,,1,1,0,8,3,5
2007-2008,228246,Southern Methodist University,Bachelor's degree,First major,Public administration and social service professions.,'44',7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,,,,,,,,,,0,0,0,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,Education.,'13',255,43,212,0,0,0,2,0,2,9,4,5,1,1,0,229,35,194,,,,,,,,,,14,3,11,0,0,0
2007-2008,209551,University of Oregon,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',184,66,118,1,1,0,9,5,4,2,0,2,11,1,10,139,48,91,,,,,,,,,,11,7,4,11,4,7
2007-2008,134097,Florida State University,Bachelor's degree,First major,Social sciences.,'45',1321,726,595,12,5,7,31,14,17,184,91,93,125,71,54,939,534,405,,,,,,,,,,11,6,5,19,5,14
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Public administration and social service professions.,'44',23,2,21,0,0,0,0,0,0,1,0,1,1,0,1,20,2,18,,,,,,,,,,1,0,1,0,0,0
