Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',75,36,39,71,35,36,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Philosophy and Religion,'38',3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Physical Sciences,'40',43,25,18,30,19,11,7,2,5,0,0,0,0,0,0,0,0,0,2,1,1,4,3,1
1997-1998,217882,Clemson University,Bachelor's degree,Psychology,'42',112,28,84,103,25,78,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Social Sciences and History,'45',135,77,58,117,68,49,13,6,7,1,1,0,0,0,0,0,0,0,4,2,2,0,0,0
1997-1998,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,'50',62,27,35,54,24,30,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',27,4,23,16,3,13,3,1,2,2,0,2,4,0,4,0,0,0,0,0,0,2,0,2
1997-1998,198419,Duke University,Bachelor's degree,Biological Science/Life Sciences,'26',246,119,127,167,76,91,14,5,9,6,4,2,54,33,21,0,0,0,0,0,0,5,1,4
1997-1998,198419,Duke University,Bachelor's degree,Computer and Information Sciences,'11',30,23,7,26,20,6,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1
1997-1998,198419,Duke University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',42,20,22,33,18,15,4,1,3,1,0,1,3,0,3,0,0,0,0,0,0,1,1,0
1997-1998,198419,Duke University,Bachelor's degree,Engineering,'14',221,173,48,164,131,33,6,4,2,5,4,1,38,26,12,0,0,0,0,0,0,8,8,0
1997-1998,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,'23',121,43,78,100,37,63,9,3,6,1,0,1,11,3,8,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Foreign Languages and Literatures,'16',36,12,24,28,9,19,6,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Mathematics,'27',15,7,8,10,5,5,2,1,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0
1997-1998,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',18,7,11,14,6,8,2,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
