"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"1","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Year","Comment","StartDate","EndDate","Basketball Value","Regular Season"
"2","1","Howard","Howard, Josh","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"3","2","Thomas","Thomas, Kurt","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"4","3","Dampier","Dampier, Erick","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"5","4","Marion","Marion, Shawn","NBA","TOR","2008-2009","20090218CLETOR","2009-02-13","2009-07-01","Basketball Value","Regular Season"
"6","4","Marion","Marion, Shawn","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-02-13","Basketball Value","Regular Season"
"7","5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"8","6","Terry","Terry, Jason","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"9","7","Bell","Bell, Raja","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"10","7","R. Bell","Bell, Raja","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"11","7","Bell","Bell, Raja","NBA","CHA","2008-2009","Trade","2008-12-13","2009-07-01","Basketball Value","Regular Season"
"12","8","Nash","Nash, Steve","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"13","10","Jones","Jones, James","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"14","12","Diaw","Diaw, Boris","NBA","CHA","2008-2009","Trade","2008-12-13","2009-07-01","Basketball Value","Regular Season"
"15","12","Diaw","Diaw, Boris","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"16","14","M. Daniels","Daniels, Marquis","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"17","14","Daniels","Daniels, Marquis","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"18","15","Harris","Harris, Devin","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"19","16","Barbosa","Barbosa, Leandro","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"20","17","Diop","Diop, DeSagana","NBA","CHA","2008-2009","Trade","2009-01-16","2009-07-01","Basketball Value","Regular Season"
"21","17","Diop","Diop, DeSagana","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-01-16","Basketball Value","Regular Season"
"22","20","House","House, Eddie","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"23","21","Martin","Martin, Kenyon","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"24","21","K. Martin","Martin, Kenyon","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"25","22","Nesterovic","Nesterovic, Rasho","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"26","23","Camby","Camby, Marcus","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"27","24","Ginobili","Ginobili, Manu","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"28","25","Anthony","Anthony, Carmelo","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"29","26","Duncan","Duncan, Tim","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"30","28","B. Bowen","Bowen, Bruce","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"31","28","Bowen","Bowen, Bruce","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"32","29","Finley","Finley, Michael","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"33","30","W. Parker","Parker, Tony","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"34","30","T. Parker","Parker, Tony","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"35","30","Parker","Parker, Tony","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"36","31","Miller","Miller, Andre","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"37","31","A. Miller","Miller, Andre","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"38","33","Barry","Barry, Brent","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"39","34","Nene","Hilario, Nene","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"40","34","Hilario","Hilario, Nene","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"41","36","Najera","Najera, Eduardo","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"42","37","Oberto","Oberto, Fabricio","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"43","39","Buckner","Buckner, Greg","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"44","40","Mohammed","Mohammed, Nazr","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"45","42","Elson","Elson, Francisco","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"46","45","Redd","Redd, Michael","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"47","46","Iverson","Iverson, Allen","NBA","DET","2008-2009","Trade","2008-11-07","2009-07-01","Basketball Value","Regular Season"
"48","46","Iverson","Iverson, Allen","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2008-11-03","Basketball Value","Regular Season"
"49","47","Ford","Ford, T.J.","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"50","48","Simmons","Simmons, Bobby","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"51","49","Bogut","Bogut, Andrew","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"52","50","Hunter","Hunter, Steven","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"53","50","S. Hunter","Hunter, Steven","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"54","51","Magloire","Magloire, Jamaal","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"55","52","Iguodala","Iguodala, Andre","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"56","54","Korver","Korver, Kyle","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"57","55","M. Williams","Williams, Mo","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"58","56","Gadzuric","Gadzuric, Dan","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"59","59","Salmons","Salmons, John","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"60","59","Salmons","Salmons, John","NBA","CHI","2008-2009","20090222CHIIND","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"61","60","C. Bell","Bell, Charlie","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"62","60","Bell","Bell, Charlie","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"63","61","Ollie","Ollie, Kevin","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"64","63","E. Smith","Smith, J.R.","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"65","63","Smith","Smith, J.R.","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"66","65","Miller","Miller, Brad","NBA","CHI","2008-2009","20090222CHIIND","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"67","65","Miller","Miller, Brad","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"68","65","B. Miller","Miller, Brad","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"69","67","Stojakovic","Stojakovic, Peja","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"70","68","Bibby","Bibby, Mike","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"71","69","D. West","West, David","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"72","69","West","West, David","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"73","70","Paul","Paul, Chris","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"74","72","Claxton","Claxton, Speedy","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"75","73","Andersen","Andersen, Chris","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"76","74","Thomas","Thomas, Kenny","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"77","74","K. Thomas","Thomas, Kenny","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"78","75","Hart","Hart, Jason","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-02-28","Basketball Value","Regular Season"
"79","75","Hart","Hart, Jason","NBA","DEN","2008-2009","20090305PORDEN","2009-03-03","2009-07-01","Basketball Value","Regular Season"
"80","76","R. Butler","Butler, Rasual","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"81","76","Butler","Butler, Rasual","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"82","77","Martin","Martin, Kevin","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"83","77","K. Martin","Martin, Kevin","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"84","78","Skinner","Skinner, Brian","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"85","79","Mason","Mason, Desmond","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"86","80","Garcia","Garcia, Francisco","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"87","83","Bass","Bass, Brandon","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"88","85","Price","Price, Ronnie","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"89","86","Johnson","Johnson, Joe","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"90","87","B. Davis","Davis, Baron","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"91","88","Pachulia","Pachulia, Zaza","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"92","89","Murphy","Murphy, Troy","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"93","90","J. Richardson","Richardson, Jason","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2008-12-11","Basketball Value","Regular Season"
"94","90","Richardson","Richardson, Jason","NBA","PHX","2008-2009","Trade","2008-12-12","2009-07-01","Basketball Value","Regular Season"
"95","90","Richardson","Richardson, Jason","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2008-12-11","Basketball Value","Regular Season"
"96","92","Dunleavy","Dunleavy, Mike","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"97","93","Foyle","Foyle, Adonal","NBA","ORL","2008-2009","20090403CLEORL","2009-03-23","2009-07-01","Basketball Value","Regular Season"
"98","93","Foyle","Foyle, Adonal","NBA","MEM","2008-2009","20090224MEMCLE","2009-02-19","2009-03-01","Basketball Value","Regular Season"
"99","93","Foyle","Foyle, Adonal","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"100","94","Smith","Smith, Josh","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"101","94","J. Smith","Smith, Josh","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"102","95","Harrington","Harrington, Al","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2008-11-25","Basketball Value","Regular Season"
"103","95","Harrington","Harrington, Al","NBA","NYK","2008-2009","Trade","2008-11-25","2009-07-01","Basketball Value","Regular Season"
"104","96","Lue","Lue, Tyronn","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-02-05","Basketball Value","Regular Season"
"105","96","Lue","Lue, Tyronn","NBA","ORL","2008-2009","Trade","2009-02-05","2009-07-01","Basketball Value","Regular Season"
"106","97","Williams","Williams, Marvin","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"107","98","Pietrus","Pietrus, Mickael","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"108","101","Biedrins","Biedrins, Andris","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"109","103","Fisher","Fisher, Derek","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"110","109","Ivey","Ivey, Royal","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"111","110","Hinrich","Hinrich, Kirk","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"112","111","Wallace","Wallace, Gerald","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"113","111","G. Wallace","Wallace, Gerald","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"114","112","Nocioni","Nocioni, Andres","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"115","112","Nocioni","Nocioni, Andres","NBA","SAC","2008-2009","20090221SACDAL","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"116","113","Duhon","Duhon, Chris","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"117","114","Knight","Knight, Brevin","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"118","116","Rush","Rush, Kareem","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"119","117","Okafor","Okafor, Emeka","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"120","118","Chandler","Chandler, Tyson","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"121","119","Gordon","Gordon, Ben","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"122","121","Songaila","Songaila, Darius","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"123","122","Deng","Deng, Luol","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"124","123","Ely","Ely, Melvin","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"125","125","Ti. Thomas","Thomas, Tim","NBA","CHI","2008-2009","Diff from Tyrus","2009-02-22","2009-07-01","Basketball Value","Regular Season"
"126","125","T. Thomas","Thomas, Tim","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2008-11-25","Basketball Value","Regular Season"
"127","125","Thomas","Thomas, Tim","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2008-11-25","Basketball Value","Regular Season"
"128","125","Thomas","Thomas, Tim","NBA","NYK","2008-2009","Trade","2008-11-25","2009-07-01","Basketball Value","Regular Season"
"129","126","Felton","Felton, Raymond","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"130","127","May","May, Sean","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"131","128","Carroll","Carroll, Matt","NBA","CHA","2008-2009","SeasonStart","2008-10-28","2009-01-16","Basketball Value","Regular Season"
"132","128","Carroll","Carroll, Matt","NBA","DAL","2008-2009","Trade","2009-01-16","2009-07-01","Basketball Value","Regular Season"
"133","130","Allen","Allen, Malik","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"134","132","Okur","Okur, Mehmet","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"135","136","Kirilenko","Kirilenko, Andrei","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"136","137","J. Collins","Collins, Jarron","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"137","137","Collins","Collins, Jarron","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"138","138","Harpring","Harpring, Matt","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"139","139","Williams","Williams, Deron","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"140","139","D. Williams","Williams, Deron","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"141","140","Brown","Brown, Devin","NBA","NOH","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"142","141","Humphries","Humphries, Kris","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"143","143","O'Neal","O'Neal, Jermaine","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-02-13","Basketball Value","Regular Season"
"144","143","O'Neal","O'Neal, Jermaine","NBA","MIA","2008-2009","20090218MINMIA","2009-02-13","2009-07-01","Basketball Value","Regular Season"
"145","144","Battie","Battie, Tony","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"146","145","Artest","Artest, Ron","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"147","146","Francis","Francis, Steve","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"148","147","Jackson","Jackson, Stephen","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"149","148","Stevenson","Stevenson, DeShawn","NBA","WAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"150","149","D. Howard","Howard, Dwight","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"151","149","Howard","Howard, Dwight","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"152","150","Croshere","Croshere, Austin","NBA","SAS","2008-2009","20090116SASPHI","2009-01-16","2009-07-01","Basketball Value","Regular Season"
"153","150","Croshere","Croshere, Austin","NBA","MIL","2008-2009","SeasonStart","2008-10-01","2009-01-06","Basketball Value","Regular Season"
"154","151","Turkoglu","Turkoglu, Hedo","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"155","152","Tinsley","Tinsley, Jamaal","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"156","154","Jones","Jones, Fred","NBA","LAC","2008-2009","20081228DALLAC","2008-12-28","2009-07-01","Basketball Value","Regular Season"
"157","155","Granger","Granger, Danny","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"158","158","Nelson","Nelson, Jameer","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"159","158","J. Nelson","Nelson, Jameer","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"160","163","Evans","Evans, Reggie","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"161","163","R. Evans","Evans, Reggie","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"162","164","Kaman","Kaman, Chris","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"163","165","Cassell","Cassell, Sam","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"164","166","R. Allen","Allen, Ray","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"165","166","W. Allen","Allen, Ray","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"166","167","Brand","Brand, Elton","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"167","168","Petro","Petro, Johan","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-01-06","Basketball Value","Regular Season"
"168","168","Petro","Petro, Johan","NBA","DEN","2008-2009","Trade","2009-01-07","2009-07-01","Basketball Value","Regular Season"
"169","169","Ross","Ross, Quinton","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"170","170","R. Lewis","Lewis, Rashard","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"171","170","Lewis","Lewis, Rashard","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"172","171","Mobley","Mobley, Cuttino","NBA","LAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"173","172","Collison","Collison, Nick","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"174","173","Ridnour","Ridnour, Luke","NBA","MIL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"175","174","Murray","Murray, Ronald (Flip)","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"176","176","Wilkins","Wilkins, Damien","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"177","178","Singleton","Singleton, James","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"178","180","Radmanovic","Radmanovic, Vladimir","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-02-07","Basketball Value","Regular Season"
"179","180","Radmanovic","Radmanovic, Vladimir","NBA","CHA","2008-2009","Trade","2009-02-07","2009-07-01","Basketball Value","Regular Season"
"180","181","Wilcox","Wilcox, Chris","NBA","NYK","2008-2009","20090222NYKTOR","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"181","181","Wilcox","Wilcox, Chris","NBA","OKC","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"182","186","Bryant","Bryant, Kobe","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"183","186","K. Bryant","Bryant, Kobe","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"184","187","Odom","Odom, Lamar","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"185","188","Mihm","Mihm, Chris","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"186","189","Brown","Brown, Kwame","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"187","190","George","George, Devean","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"188","191","Cook","Cook, Brian","NBA","ORL","2008-2009","SeasonStart","2008-10-28","2009-02-19","Basketball Value","Regular Season"
"189","191","Cook","Cook, Brian","NBA","HOU","2008-2009","20090222CHAHOU","2009-02-19","2009-07-01","Basketball Value","Regular Season"
"190","193","Vujacic","Vujacic, Sasha","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"191","194","A. Bynum","Bynum, Andrew","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"192","194","Bynum","Bynum, Andrew","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"193","197","Gasol","Gasol, Pau","NBA","LAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"194","198","Battier","Battier, Shane","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"195","199","Wright","Wright, Lorenzen","NBA","CLE","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"196","200","Walker","Walker, Antoine","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"197","201","Haslem","Haslem, Udonis","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"198","202","Jones","Jones, Eddie","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"199","203","O'Neal","O'Neal, Shaquille","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"200","204","Wade","Wade, Dwayne","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"201","209","Miller","Miller, Mike","NBA","MIN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"202","210","Jackson","Jackson, Bobby","NBA","SAC","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"203","211","Kapono","Kapono, Jason","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"204","212","Jones","Jones, Dahntay","NBA","DEN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"205","214","Wright","Wright, Dorell","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
