"","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Season","GameIDFound","Source","Season.Type"
"232","171","Mobley","Mobley","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"233","172","Collison","Collison","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"234","173","Ridnour","Ridnour","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"235","174","R. Murray","R. Murray","NBA","SEA","2005-2006","20060128NJNSEA","Basketball Value","Regular Season"
"236","174","Murray","R. Murray","NBA","CLE","2005-2006","Transaction Li","Basketball Value","Regular Season"
"237","174","F. Murray","R. Murray","NBA","CLE","2005-2006","20060408CLENJN","Basketball Value","Regular Season"
"238","174","Murray","R. Murray","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"239","175","Fortson","Fortson","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"240","176","Wilkins","Wilkins","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"241","177","D. Ewing","D. Ewing","NBA","LAC","2005-2006","20051217HOULAC","Basketball Value","Regular Season"
"242","177","Ewing","D. Ewing","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"243","178","Singleton","Singleton","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"244","179","Goldwire","Goldwire","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"245","180","Radmanovic","Radmanovic","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"246","180","Radmanovic","V. Radmanovic","NBA","LAC","2005-2006","Transaction Li","Basketball Value","Regular Season"
"247","181","Wilcox","Wilcox","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"248","181","Wilcox","C. Wilcox","NBA","SEA","2005-2006","Transaction Li","Basketball Value","Regular Season"
"249","182","Brunson","R. Brunson","NBA","HOU","2005-2006","Transaction Li","Basketball Value","Regular Season"
"250","182","Brunson","Brunson","NBA","SEA","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"251","183","Rebraca","Rebraca","NBA","LAC","2005-2006","20051102LACSEA","Basketball Value","Regular Season"
"252","185","S. Parker","S. Parker","NBA","LAL","2005-2006","20051129LALSAS","Basketball Value","Regular Season"
"253","185","Parker","S. Parker","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"254","186","K. Bryant","K. Bryant","NBA","LAL","2005-2006","20051223LALORL","Basketball Value","Regular Season"
"255","186","K. Bryant","K. Bryant","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"256","186","Bryant","K. Bryant","NBA","LAL","2005-2006","20051225LALMIA","Basketball Value","Regular Season"
"257","187","Odom","Odom","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"258","188","Mihm","Mihm","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"259","189","K. Brown","K. Brown","NBA","LAL","2005-2006","20051108LALATL","Basketball Value","Regular Season"
"260","189","Brown","K. Brown","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"261","190","George","George","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"262","191","Cook","Cook","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"263","192","McKie","McKie","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"264","193","Vujacic","Vujacic","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"265","194","Bynum","A. Bynum","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"266","194","A. Bynum","A. Bynum","NBA","LAL","2005-2006","20060411GSWLAL","Basketball Value","Regular Season"
"267","195","Profit","Profit","NBA","LAL","2005-2006","20051102LALDEN","Basketball Value","Regular Season"
"268","196","Williams","J. Williams","NBA","MIA","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"269","196","J. Williams","J. Williams","NBA","MIA","2005-2006","20051105MIAMIL","Basketball Value","Regular Season"
"270","197","Gasol","Gasol","NBA","MEM","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"271","198","Battier","Battier","NBA","MEM","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"272","199","Wright","L. Wright","NBA","MEM","2005-2006","20051104MEMORL","Basketball Value","Regular Season"
"273","199","L. Wright","L. Wright","NBA","MEM","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"274","200","Walker","A.Walker","NBA","MIA","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"275","200","A. Walker","A.Walker","NBA","MIA","2005-2006","20051103INDMIA","Basketball Value","Regular Season"
"276","201","Haslem","Haslem","NBA","MIA","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
"277","202","E. Jones","E. Jones","NBA","MEM","2005-2006","20051102MIAMEM","Basketball Value","Regular Season"
