"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"77","61","Ollie","Ollie, Kevin","NBA","PHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"78","62","Wells","Wells, Bonzi","NBA","HOU","2007-2008","Season Start","2007-10-29","2008-02-21","Basketball Value","Regular Season"
"79","62","Wells","Wells, Bonzi","NBA","NOH","2007-2008","Trade","2008-02-21","2008-07-01","Basketball Value","Regular Season"
"80","63","E. Smith","Smith, J.R.","NBA","DEN","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"81","63","Smith","Smith, J.R.","NBA","DEN","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"82","64","Abdur-Rahim","Abdur-Rahim, Shareef","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"83","65","Miller","Miller, Brad","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"84","65","B. Miller","Miller, Brad","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"85","66","Brown","Brown, Collier (P.J.)","NBA","BOS","2007-2008","20080307CHIBOS","2008-02-27","2008-07-01","Basketball Value","Regular Season"
"86","67","Stojakovic","Stojakovic, Peja","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"87","68","Bibby","Bibby, Mike","NBA","ATL","2007-2008","Trade","2008-02-16","2008-07-01","Basketball Value","Regular Season"
"88","68","Bibby","Bibby, Mike","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-02-16","Basketball Value","Regular Season"
"89","68","M. Bibby","Bibby, Mike","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-02-16","Basketball Value","Regular Season"
"90","69","D. West","West, David","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"91","69","West","West, David","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"92","70","Paul","Paul, Chris","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"93","71","Nachbar","Nachbar, Bostjan","NBA","NJN","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"94","72","Claxton","Claxton, Speedy","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"95","73","Andersen","Andersen, Chris","NBA","NOH","2007-2008","20080325NOHIND","2008-03-05","2008-07-01","Basketball Value","Regular Season"
"96","74","Thomas","Thomas, Kenny","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"97","74","K. Thomas","Thomas, Kenny","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"98","75","Hart","Hart, Jason","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"99","76","R. Butler","Butler, Rasual","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"100","76","Butler","Butler, Rasual","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"101","77","K. Martin","Martin, Kevin","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"102","77","Martin","Martin, Kevin","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"103","78","Skinner","Skinner, Brian","NBA","PHX","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"104","79","Mason","Mason, Desmond","NBA","MIL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"105","80","Garcia","Garcia, Francisco","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"106","83","Bass","Bass, Brandon","NBA","DAL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"107","85","Price","Price, Ronnie","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"108","86","J. Johnson","Johnson, Joe","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"109","87","B. Davis","Davis, Baron","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"110","87","Davis","Davis, Baron","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"111","88","Pachulia","Pachulia, Zaza","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"112","89","Murphy","Murphy, Troy","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"113","90","J. Richardson","Richardson, Jason","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"114","90","Richardson","Richardson, Jason","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"115","91","Childress","Childress, Josh","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"116","92","Dunleavy","Dunleavy, Mike","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"117","93","Foyle","Foyle, Adonal","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"118","94","Smith","Smith, Josh","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"119","94","J. Smith","Smith, Josh","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"120","95","Harrington","Harrington, Al","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"121","96","Lue","Lue, Tyronn","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-02-16","Basketball Value","Regular Season"
"122","96","Lue","Lue, Tyronn","NBA","SAC","2007-2008","Trade","2008-02-16","2008-02-29","Basketball Value","Regular Season"
"123","96","Lue","Lue, Tyronn","NBA","DAL","2007-2008","20080312CHADAL","2008-03-04","2008-07-01","Basketball Value","Regular Season"
"124","97","M. Williams","Williams, Marvin","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"125","98","Pietrus","Pietrus, Mickael","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"126","100","C. Stoudamire","Stoudamire, Salim","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"127","100","Stoudamire","Stoudamire, Salim","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"128","100","S. Stoudamire","Stoudamire, Salim","NBA","ATL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"129","101","Biedrins","Biedrins, Andris","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"130","103","Fisher","Fisher, Derek","NBA","LAL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"131","109","Ivey","Ivey, Royal","NBA","MIL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"132","110","Hinrich","Hinrich, Kirk","NBA","CHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"133","111","Wallace","Wallace, Gerald","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"134","111","G. Wallace","Wallace, Gerald","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"135","112","Nocioni","Nocioni, Andres","NBA","CHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"136","113","Duhon","Duhon, Chris","NBA","CHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"137","114","Knight","Knight, Brevin","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"138","115","Brezec","Brezec, Primoz","NBA","TOR","2007-2008","Trade","2008-02-21","2008-07-01","Basketball Value","Regular Season"
"139","115","Brezec","Brezec, Primoz","NBA","CHA","2007-2008","Season Start","2007-10-29","2007-12-14","Basketball Value","Regular Season"
"140","115","Brezec","Brezec, Primoz","NBA","DET","2007-2008","20071216GSWDET","2007-12-14","2008-02-21","Basketball Value","Regular Season"
"141","116","Rush","Rush, Kareem","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"142","117","Okafor","Okafor, Emeka","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"143","118","Chandler","Chandler, Tyson","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"144","119","Gordon","Gordon, Ben","NBA","CHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"145","121","Songaila","Songaila, Darius","NBA","WAS","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"146","122","Deng","Deng, Luol","NBA","CHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"147","123","Ely","Ely, Melvin","NBA","NOH","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"148","124","O. Harrington","Harrington, Othella","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"149","124","Harrington","Harrington, Othella","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"150","125","Thomas","Thomas, Tim","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"151","125","T. Thomas","Thomas, Tim","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"152","126","Felton","Felton, Raymond","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"153","127","May","May, Sean","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"154","128","Carroll","Carroll, Matt","NBA","CHA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"155","130","Allen","Allen, Malik","NBA","DAL","2007-2008","Trade","2008-02-19","2008-07-01","Basketball Value","Regular Season"
"156","130","M. Allen","Allen, Malik","NBA","NJN","2007-2008","Season Start","2007-10-29","2008-02-19","Basketball Value","Regular Season"
"157","130","Allen","Allen, Malik","NBA","NJN","2007-2008","Season Start","2007-10-29","2008-02-19","Basketball Value","Regular Season"
"158","131","Piatkowski","Piatkowski, Eric","NBA","PHX","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"159","132","Okur","Okur, Mehmet","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"160","133","Giricek","Giricek, Gordan","NBA","UTA","2007-2008","Season Start","2007-10-29","2007-12-29","Basketball Value","Regular Season"
"161","133","Giricek","Giricek, Gordan","NBA","PHI","2007-2008","Trade","2007-12-29","2008-02-29","Basketball Value","Regular Season"
"162","133","Giricek","Giricek, Gordan","NBA","PHX","2007-2008","20080304PHXPOR","2008-03-04","2008-07-01","Basketball Value","Regular Season"
"163","136","Kirilenko","Kirilenko, Andrei","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"164","137","Collins","Collins, Jarron","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"165","137","J. Collins","Collins, Jarron","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"166","138","Harpring","Harpring, Matt","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"167","139","Williams","Williams, Deron","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"168","139","D. Williams","Williams, Deron","NBA","UTA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"169","140","D. Brown","Brown, Devin","NBA","CLE","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"170","141","Humphries","Humphries, Kris","NBA","TOR","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"171","143","J. O'Neal","O'Neal, Jermaine","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"172","143","O'Neal","O'Neal, Jermaine","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"173","144","Battie","Battie, Tony","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"174","145","Artest","Artest, Ron","NBA","SAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"175","146","Francis","Francis, Steve","NBA","HOU","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"176","147","Jackson","Jackson, Stephen","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"177","148","Stevenson","Stevenson, DeShawn","NBA","WAS","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"178","149","D. Howard","Howard, Dwight","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"179","149","Howard","Howard, Dwight","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"180","150","Croshere","Croshere, Austin","NBA","GSW","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"181","151","Turkoglu","Turkoglu, Hedo","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"182","152","Tinsley","Tinsley, Jamaal","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"183","154","Jones","Jones, Fred","NBA","NYK","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"184","155","Granger","Granger, Danny","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"185","156","Outlaw","Outlaw, Bo","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"186","156","B. Outlaw","Outlaw, Bo","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"187","158","J. Nelson","Nelson, Jameer","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"188","158","Nelson","Nelson, Jameer","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"189","159","Harrison","Harrison, David","NBA","IND","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"190","161","Garrity","Garrity, Pat","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"191","163","R. Evans","Evans, Reggie","NBA","PHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"192","163","Evans","Evans, Reggie","NBA","PHI","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"193","164","Kaman","Kaman, Chris","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"194","165","Cassell","Cassell, Sam","NBA","BOS","2007-2008","Signing","2008-03-04","2008-07-01","Basketball Value","Regular Season"
"195","165","Cassell","Cassell, Sam","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-02-28","Basketball Value","Regular Season"
"196","166","R. Allen","Allen, Ray","NBA","BOS","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"197","166","W. Allen","Allen, Ray","NBA","BOS","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"198","167","Brand","Brand, Elton","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"199","168","Petro","Petro, Johan","NBA","SEA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"200","169","Ross","Ross, Quinton","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"201","170","Lewis","Lewis, Rashard","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"202","170","R. Lewis","Lewis, Rashard","NBA","ORL","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"203","171","Mobley","Mobley, Cuttino","NBA","LAC","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"204","172","Collison","Collison, Nick","NBA","SEA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"205","173","Ridnour","Ridnour, Luke","NBA","SEA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"206","174","Murray","Murray, Ronald (Flip)","NBA","IND","2007-2008","20080302MILIND","2008-03-02","2008-07-01","Basketball Value","Regular Season"
"207","174","F. Murray","Murray, Ronald (Flip)","NBA","DET","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"208","174","Murray","Murray, Ronald (Flip)","NBA","DET","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
"209","176","Wilkins","Wilkins, Damien","NBA","SEA","2007-2008","Season Start","2007-10-29","2008-07-01","Basketball Value","Regular Season"
