"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"69","West","West, David","NBA","NOH","2010-2011",4,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"70","Paul","Paul, Chris","NBA","NOH","2010-2011",1,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"73","Andersen","Andersen, Chris","NBA","DEN","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"76","Butler","Butler, Rasual","NBA","LAC","2010-2011",2.98,"SeasonStart","2010-10-25","2011-03-03","Basketball Value","Regular Season"
"76","Butler","Butler, Rasual","NBA","CHI","2010-2011",2.98,"20110311ATLCHI","2011-03-03","2011-07-01","Basketball Value","Regular Season"
"77","Martin","Martin, Kevin","NBA","HOU","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"78","Skinner","Skinner, Brian","NBA","MIL","2010-2011",3.99,"20101208INDMIL","2010-12-02","2011-07-01","Basketball Value","Regular Season"
"80","Garcia","Garcia, Francisco","NBA","SAC","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"83","Bass","Bass, Brandon","NBA","ORL","2010-2011",4.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"85","Price","Price, Ronnie","NBA","UTA","2010-2011",0.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"86","Johnson","Johnson, Joe","NBA","ATL","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"87","Davis","Davis, Baron","NBA","CLE","2010-2011",1.02,"20110304CLENYK","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"87","Davis","Davis, Baron","NBA","LAC","2010-2011",1.02,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"88","Pachulia","Pachulia, Zaza","NBA","ATL","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"89","Murphy","Murphy, Troy","NBA","BOS","2010-2011",4.02,"20110302PHXBOS","2011-03-02","2011-07-01","Basketball Value","Regular Season"
"89","Murphy","Murphy, Troy","NBA","NJN","2010-2011",4.02,"SeasonStart","2010-10-25","2011-03-02","Basketball Value","Regular Season"
"90","Richardson","Richardson, Jason","NBA","PHX","2010-2011",2,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"90","J. Richardson","Richardson, Jason","NBA","ORL","2010-2011",2,"20101220ORLATL","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"91","Childress","Childress, Josh","NBA","PHX","2010-2011",2.51,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
