ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,26,Wade Iams,Iams,Wade,Defensive Back,DB,5'9,69,188,SO,"Mishawaka, IN",Mishawaka,IN,Penn,http://www.und.com/sports/m-footbl/mtt/iams_wade00.html
ND,FBALL,2005-2006,8,Junior Jabbie,Jabbie,Junior,Running Back,RB,6'0,72,188,SO,"Parlin, NJ",Parlin,NJ,The Hun School,http://www.und.com/sports/m-footbl/mtt/jabbie_junior00.html
ND,FBALL,2005-2006,61,J.J. Jansen,Jansen,J.J.,Snapper,LS,6'3,75,242,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/jansen_jj00.html
ND,FBALL,2005-2006,32,Jeff Jenkins,Jenkins,Jeff,Running Back,RB,6'0,72,232,SR,"Ann Arbor, MI",Ann Arbor,MI,Huron,http://www.und.com/sports/m-footbl/mtt/jenkins_jeff00.html
ND,FBALL,2005-2006,69,Neil Kennedy,Kennedy,Neil,Defensive Line,DL,5'11,71,260,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/kennedy_neil00.html
ND,FBALL,2005-2006,35,Tim Kenney,Kenney,Tim,Defensive Back,DB,6'0,72,180,JR,"Belvidere, IL",Belvidere,IL,Belvidere,http://www.und.com/sports/m-footbl/mtt/kenney_tim00.html
ND,FBALL,2005-2006,96,Pat Kuntz,Kuntz,Pat,Defensive Line,DL,6'2,74,267,FR,"Indianapolis, IN",Indianapolis,IN,Roncalli,http://www.und.com/sports/m-footbl/mtt/kuntz_pat00.html
ND,FBALL,2005-2006,20,Terrail Lambert,Lambert,Terrail,Defensive Back,DB,5'11,71,188,SO,"Oxnard, CA",Oxnard,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/lambert_terrail00.html
ND,FBALL,2005-2006,66,Derek Landri,Landri,Derek,Defensive Line,DL,6'3,75,263,SR,"Concord, CA",Concord,CA,De La Salle,http://www.und.com/sports/m-footbl/mtt/landri_derek00.html
ND,FBALL,2005-2006,98,Trevor Laws,Laws,Trevor,Defensive Line,DL,6'1,73,293,JR,"Burnsville, MN",Burnsville,MN,Apple Valley,http://www.und.com/sports/m-footbl/mtt/laws_trevor00.html
ND,FBALL,2005-2006,34,Tommie Lee,Lee,Tommie,Defensive Back,DB,6'2,74,200,JR,"Milwaukee, WI",Milwaukee,WI,Pius XI,http://www.und.com/sports/m-footbl/mtt/lee_tommie00.html
ND,FBALL,2005-2006,73,Mark LeVoir,LeVoir,Mark,Offensive Line,OL,6'7,79,311,SR,"Eden Prairie, MN",Eden Prairie,MN,Eden Prairie,http://www.und.com/sports/m-footbl/mtt/levoir_mark01.html
ND,FBALL,2005-2006,27,John Lyons,Lyons,John,Running Back,RB,6'1,73,205,JR,"Sioux Falls, SD",Sioux Falls,SD,O'Gorman,http://www.und.com/sports/m-footbl/mtt/lyons_john01.html
ND,FBALL,2005-2006,79,Brian Mattes,Mattes,Brian,Offensive Line,OL,6'6,78,285,SR,"Larksville, PA",Larksville,PA,Wyoming Valley West,http://www.und.com/sports/m-footbl/mtt/mattes_brian00.html
ND,FBALL,2005-2006,46,Corey Mays,Mays,Corey,Linebacker,LB,6'1,73,234,SR,"Chicago, IL",Chicago,IL,Morgan Park,http://www.und.com/sports/m-footbl/mtt/mays_corey00.html
ND,FBALL,2005-2006,28,Kyle McCarthy,McCarthy,Kyle,Defensive Back,DB,6'0,72,189,FR,"Youngstown, OH",Youngstown,OH,Cardinal Mooney,http://www.und.com/sports/m-footbl/mtt/mccarthy_kyle00.html
