"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"272","MLB","Franchise","Colorado Rockies","Operating Income","Estimated",14.4,"Dollars_Millions",2012,"Forbes"
"273","MLB","Franchise","Baltimore Orioles","Operating Income","Estimated",12.9,"Dollars_Millions",2012,"Forbes"
"274","MLB","Franchise","San Diego Padres","Operating Income","Estimated",23.2,"Dollars_Millions",2012,"Forbes"
"275","MLB","Franchise","Miami Marlins","Operating Income","Estimated",8.9,"Dollars_Millions",2012,"Forbes"
"276","MLB","Franchise","Milwaukee Brewers","Operating Income","Estimated",19.2,"Dollars_Millions",2012,"Forbes"
"277","MLB","Franchise","Arizona Diamondbacks","Operating Income","Estimated",27.2,"Dollars_Millions",2012,"Forbes"
"278","MLB","Franchise","Cincinnati Reds","Operating Income","Estimated",17.1,"Dollars_Millions",2012,"Forbes"
"279","MLB","Franchise","Toronto Blue Jays","Operating Income","Estimated",24.9,"Dollars_Millions",2012,"Forbes"
"280","MLB","Franchise","Cleveland Indians","Operating Income","Estimated",30.1,"Dollars_Millions",2012,"Forbes"
"281","MLB","Franchise","Kansas City Royals","Operating Income","Estimated",28.5,"Dollars_Millions",2012,"Forbes"
"282","MLB","Franchise","Pittsburgh Pirates","Operating Income","Estimated",15.9,"Dollars_Millions",2012,"Forbes"
"283","MLB","Franchise","Tampa Bay Rays","Operating Income","Estimated",26.2,"Dollars_Millions",2012,"Forbes"
"284","MLB","Franchise","Oakland Athletics","Operating Income","Estimated",14.6,"Dollars_Millions",2012,"Forbes"
"285","NFL","Franchise","Dallas Cowboys","Operating Income","Estimated",226.7,"Dollars_Millions",2012,"Forbes"
"286","NFL","Franchise","New England Patriots","Operating Income","Estimated",118.8,"Dollars_Millions",2012,"Forbes"
"287","NFL","Franchise","Washington Redskins","Operating Income","Estimated",109,"Dollars_Millions",2012,"Forbes"
"288","NFL","Franchise","New York Giants","Operating Income","Estimated",59,"Dollars_Millions",2012,"Forbes"
"289","NFL","Franchise","Houston Texans","Operating Income","Estimated",61.9,"Dollars_Millions",2012,"Forbes"
"290","NFL","Franchise","New York Jets","Operating Income","Estimated",27,"Dollars_Millions",2012,"Forbes"
"291","NFL","Franchise","Philadelphia Eagles","Operating Income","Estimated",48.2,"Dollars_Millions",2012,"Forbes"
"292","NFL","Franchise","Chicago Bears","Operating Income","Estimated",65.3,"Dollars_Millions",2012,"Forbes"
"293","NFL","Franchise","San Francisco 49ers","Operating Income","Estimated",30,"Dollars_Millions",2012,"Forbes"
"294","NFL","Franchise","Green Bay Packers","Operating Income","Estimated",43.1,"Dollars_Millions",2012,"Forbes"
"295","NFL","Franchise","Baltimore Ravens","Operating Income","Estimated",48.6,"Dollars_Millions",2012,"Forbes"
"296","NFL","Franchise","Indianapolis Colts","Operating Income","Estimated",62.6,"Dollars_Millions",2012,"Forbes"
"297","NFL","Franchise","Denver Broncos","Operating Income","Estimated",49.3,"Dollars_Millions",2012,"Forbes"
"298","NFL","Franchise","Pittsburgh Steelers","Operating Income","Estimated",-0.8,"Dollars_Millions",2012,"Forbes"
"299","NFL","Franchise","Miami Dolphins","Operating Income","Estimated",14.5,"Dollars_Millions",2012,"Forbes"
"300","NFL","Franchise","Carolina Panthers","Operating Income","Estimated",11.5,"Dollars_Millions",2012,"Forbes"
"301","NFL","Franchise","Seattle Seahawks","Operating Income","Estimated",16.4,"Dollars_Millions",2012,"Forbes"
"302","NFL","Franchise","Tampa Bay Buccaneers","Operating Income","Estimated",44.1,"Dollars_Millions",2012,"Forbes"
"303","NFL","Franchise","Tennessee Titans","Operating Income","Estimated",38.8,"Dollars_Millions",2012,"Forbes"
"304","NFL","Franchise","Kansas City Chiefs","Operating Income","Estimated",46.4,"Dollars_Millions",2012,"Forbes"
"305","NFL","Franchise","Cleveland Browns","Operating Income","Estimated",28.7,"Dollars_Millions",2012,"Forbes"
"306","NFL","Franchise","Minnesota Vikings","Operating Income","Estimated",7.2,"Dollars_Millions",2012,"Forbes"
"307","NFL","Franchise","New Orleans Saints","Operating Income","Estimated",37,"Dollars_Millions",2012,"Forbes"
"308","NFL","Franchise","San Diego Chargers","Operating Income","Estimated",22.5,"Dollars_Millions",2012,"Forbes"
"309","NFL","Franchise","Arizona Cardinals","Operating Income","Estimated",20.5,"Dollars_Millions",2012,"Forbes"
"310","NFL","Franchise","Cincinnati Bengals","Operating Income","Estimated",18.1,"Dollars_Millions",2012,"Forbes"
"311","NFL","Franchise","Detroit Lions","Operating Income","Estimated",-4.6,"Dollars_Millions",2012,"Forbes"
"312","NFL","Franchise","Atlanta Falcons","Operating Income","Estimated",15.3,"Dollars_Millions",2012,"Forbes"
"313","NFL","Franchise","Buffalo Bills","Operating Income","Estimated",29.4,"Dollars_Millions",2012,"Forbes"
"314","NFL","Franchise","Oakland Raiders","Operating Income","Estimated",-15.2,"Dollars_Millions",2012,"Forbes"
"315","NFL","Franchise","St Louis Rams","Operating Income","Estimated",6.7,"Dollars_Millions",2012,"Forbes"
"316","NFL","Franchise","Jacksonville Jaguars","Operating Income","Estimated",29.6,"Dollars_Millions",2012,"Forbes"
"317","UEFA","Franchise","Manchester United","Operating Income","Estimated",178,"Dollars_Millions",2012,"Forbes"
"318","UEFA","Franchise","Real Madrid","Operating Income","Estimated",214,"Dollars_Millions",2012,"Forbes"
"319","UEFA","Franchise","Barcelona","Operating Income","Estimated",96,"Dollars_Millions",2012,"Forbes"
"320","UEFA","Franchise","Arsenal","Operating Income","Estimated",98,"Dollars_Millions",2012,"Forbes"
"321","UEFA","Franchise","Bayern Munich","Operating Income","Estimated",90,"Dollars_Millions",2012,"Forbes"
"322","UEFA","Franchise","AC Milan","Operating Income","Estimated",29,"Dollars_Millions",2012,"Forbes"
"323","UEFA","Franchise","Chelsea","Operating Income","Estimated",76,"Dollars_Millions",2012,"Forbes"
"324","UEFA","Franchise","Liverpool","Operating Income","Estimated",45,"Dollars_Millions",2012,"Forbes"
"325","UEFA","Franchise","Juventus","Operating Income","Estimated",-38,"Dollars_Millions",2012,"Forbes"
"326","UEFA","Franchise","Schalke 04","Operating Income","Estimated",101,"Dollars_Millions",2012,"Forbes"
"327","UEFA","Franchise","Tottenham Hotspur","Operating Income","Estimated",60,"Dollars_Millions",2012,"Forbes"
"328","UEFA","Franchise","Inter Milan","Operating Income","Estimated",-84,"Dollars_Millions",2012,"Forbes"
"329","UEFA","Franchise","Manchester City","Operating Income","Estimated",-123,"Dollars_Millions",2012,"Forbes"
"330","UEFA","Franchise","Borussia Dortmund","Operating Income","Estimated",33,"Dollars_Millions",2012,"Forbes"
"331","UEFA","Franchise","Olympique Lyonnais","Operating Income","Estimated",-3,"Dollars_Millions",2012,"Forbes"
"332","UEFA","Franchise","Hamburg SV","Operating Income","Estimated",17,"Dollars_Millions",2012,"Forbes"
"333","UEFA","Franchise","AS Roma","Operating Income","Estimated",2,"Dollars_Millions",2012,"Forbes"
"334","UEFA","Franchise","Olympique Marseille","Operating Income","Estimated",17,"Dollars_Millions",2012,"Forbes"
"335","UEFA","Franchise","Valencia","Operating Income","Estimated",23,"Dollars_Millions",2012,"Forbes"
"336","UEFA","Franchise","Napoli","Operating Income","Estimated",58,"Dollars_Millions",2012,"Forbes"
"337","NBA","Franchise","Los Angeles Lakers","Total Debt","Estimated",6923.07692307692,"Dollars_Millions",2012,"Forbes"
"338","NBA","Franchise","New York Knicks","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"339","NBA","Franchise","Chicago Bulls","Total Debt","Estimated",6666.66666666667,"Dollars_Millions",2012,"Forbes"
"340","NBA","Franchise","Dallas Mavericks","Total Debt","Estimated",1242.5,"Dollars_Millions",2012,"Forbes"
"341","NBA","Franchise","Boston Celtics","Total Debt","Estimated",1302.7027027027,"Dollars_Millions",2012,"Forbes"
"342","NBA","Franchise","Miami Heat","Total Debt","Estimated",1344.11764705882,"Dollars_Millions",2012,"Forbes"
"343","NBA","Franchise","Houston Rockets","Total Debt","Estimated",2059.09090909091,"Dollars_Millions",2012,"Forbes"
"344","NBA","Franchise","Golden State Warriors","Total Debt","Estimated",1363.63636363636,"Dollars_Millions",2012,"Forbes"
"345","NBA","Franchise","San Antonio Spurs","Total Debt","Estimated",3483.33333333333,"Dollars_Millions",2012,"Forbes"
"346","NBA","Franchise","Phoenix Suns","Total Debt","Estimated",840.425531914894,"Dollars_Millions",2012,"Forbes"
"347","NBA","Franchise","Orlando Magic","Total Debt","Estimated",1241.93548387097,"Dollars_Millions",2012,"Forbes"
"348","NBA","Franchise","Toronto Raptors","Total Debt","Estimated",1123.52941176471,"Dollars_Millions",2012,"Forbes"
"349","NBA","Franchise","Portland Trail Blazers","Total Debt","Estimated",1321.42857142857,"Dollars_Millions",2012,"Forbes"
"350","NBA","Franchise","New Jersey Nets","Total Debt","Estimated",451.898734177215,"Dollars_Millions",2012,"Forbes"
"351","NBA","Franchise","Oklahoma City Thunder","Total Debt","Estimated",870,"Dollars_Millions",2012,"Forbes"
"352","NBA","Franchise","Utah Jazz","Total Debt","Estimated",11166.6666666667,"Dollars_Millions",2012,"Forbes"
"353","NBA","Franchise","Detroit Pistons","Total Debt","Estimated",592.857142857143,"Dollars_Millions",2012,"Forbes"
"354","NBA","Franchise","Cleveland Cavaliers","Total Debt","Estimated",539.344262295082,"Dollars_Millions",2012,"Forbes"
"355","NBA","Franchise","Washington Wizards","Total Debt","Estimated",820,"Dollars_Millions",2012,"Forbes"
"356","NBA","Franchise","Los Angeles Clippers","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"357","NBA","Franchise","Denver Nuggets","Total Debt","Estimated",3950,"Dollars_Millions",2012,"Forbes"
"358","NBA","Franchise","Philadelphia 76ers","Total Debt","Estimated",654.166666666667,"Dollars_Millions",2012,"Forbes"
"359","NBA","Franchise","Sacramento Kings","Total Debt","Estimated",909.090909090909,"Dollars_Millions",2012,"Forbes"
"360","NBA","Franchise","New Orleans Hornets","Total Debt","Estimated",271.428571428571,"Dollars_Millions",2012,"Forbes"
"361","NBA","Franchise","Indiana Pacers","Total Debt","Estimated",533.962264150943,"Dollars_Millions",2012,"Forbes"
"362","NBA","Franchise","Charlotte Bobcats","Total Debt","Estimated",512.962962962963,"Dollars_Millions",2012,"Forbes"
"363","NBA","Franchise","Minnesota Timberwolves","Total Debt","Estimated",971.428571428571,"Dollars_Millions",2012,"Forbes"
"364","NBA","Franchise","Atlanta Hawks","Total Debt","Estimated",300,"Dollars_Millions",2012,"Forbes"
"365","NBA","Franchise","Memphis Grizzlies","Total Debt","Estimated",480.357142857143,"Dollars_Millions",2012,"Forbes"
"366","NBA","Franchise","Milwaukee Bucks","Total Debt","Estimated",1276.19047619048,"Dollars_Millions",2012,"Forbes"
"367","MLB","Franchise","New York Yankees","Total Debt","Estimated",92500,"Dollars_Millions",2012,"Forbes"
"368","MLB","Franchise","Los Angeles Dodgers","Total Debt","Estimated",3414.63414634146,"Dollars_Millions",2012,"Forbes"
"369","MLB","Franchise","Boston Red Sox","Total Debt","Estimated",4166.66666666667,"Dollars_Millions",2012,"Forbes"
"370","MLB","Franchise","Chicago Cubs","Total Debt","Estimated",1331.81818181818,"Dollars_Millions",2012,"Forbes"
"371","MLB","Franchise","Philadelphia Phillies","Total Debt","Estimated",3012.5,"Dollars_Millions",2012,"Forbes"
"372","MLB","Franchise","New York Mets","Total Debt","Estimated",1042.02898550725,"Dollars_Millions",2012,"Forbes"
"373","MLB","Franchise","Texas Rangers","Total Debt","Estimated",1225.45454545455,"Dollars_Millions",2012,"Forbes"
"374","MLB","Franchise","Los Angeles Angels of Anaheim","Total Debt","Estimated",21866.6666666667,"Dollars_Millions",2012,"Forbes"
"375","MLB","Franchise","San Francisco Giants","Total Debt","Estimated",4018.75,"Dollars_Millions",2012,"Forbes"
"376","MLB","Franchise","Chicago White Sox","Total Debt","Estimated",8571.42857142857,"Dollars_Millions",2012,"Forbes"
"377","MLB","Franchise","St Louis Cardinals","Total Debt","Estimated",1257.44680851064,"Dollars_Millions",2012,"Forbes"
"378","MLB","Franchise","Seattle Mariners","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"379","MLB","Franchise","Houston Astros","Total Debt","Estimated",1339.0243902439,"Dollars_Millions",2012,"Forbes"
"380","MLB","Franchise","Minnesota Twins","Total Debt","Estimated",2550,"Dollars_Millions",2012,"Forbes"
"381","MLB","Franchise","Atlanta Braves","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"382","MLB","Franchise","Washington Nationals","Total Debt","Estimated",923.076923076923,"Dollars_Millions",2012,"Forbes"
"383","MLB","Franchise","Detroit Tigers","Total Debt","Estimated",1225.64102564103,"Dollars_Millions",2012,"Forbes"
"384","MLB","Franchise","Colorado Rockies","Total Debt","Estimated",3093.33333333333,"Dollars_Millions",2012,"Forbes"
"385","MLB","Franchise","Baltimore Orioles","Total Debt","Estimated",1393.93939393939,"Dollars_Millions",2012,"Forbes"
"386","MLB","Franchise","San Diego Padres","Total Debt","Estimated",1040.90909090909,"Dollars_Millions",2012,"Forbes"
"387","MLB","Franchise","Miami Marlins","Total Debt","Estimated",1406.25,"Dollars_Millions",2012,"Forbes"
"388","MLB","Franchise","Milwaukee Brewers","Total Debt","Estimated",1659.25925925926,"Dollars_Millions",2012,"Forbes"
"389","MLB","Franchise","Arizona Diamondbacks","Total Debt","Estimated",1146.15384615385,"Dollars_Millions",2012,"Forbes"
"390","MLB","Franchise","Cincinnati Reds","Total Debt","Estimated",4240,"Dollars_Millions",2012,"Forbes"
"391","MLB","Franchise","Toronto Blue Jays","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"392","MLB","Franchise","Cleveland Indians","Total Debt","Estimated",1518.51851851852,"Dollars_Millions",2012,"Forbes"
"393","MLB","Franchise","Kansas City Royals","Total Debt","Estimated",2528.57142857143,"Dollars_Millions",2012,"Forbes"
"394","MLB","Franchise","Pittsburgh Pirates","Total Debt","Estimated",884.210526315789,"Dollars_Millions",2012,"Forbes"
"395","MLB","Franchise","Tampa Bay Rays","Total Debt","Estimated",897.222222222222,"Dollars_Millions",2012,"Forbes"
"396","MLB","Franchise","Oakland Athletics","Total Debt","Estimated",1146.42857142857,"Dollars_Millions",2012,"Forbes"
"397","NFL","Franchise","Dallas Cowboys","Total Debt","Estimated",16153.8461538462,"Dollars_Millions",2012,"Forbes"
"398","NFL","Franchise","New England Patriots","Total Debt","Estimated",10218.75,"Dollars_Millions",2012,"Forbes"
"399","NFL","Franchise","Washington Redskins","Total Debt","Estimated",5714.28571428571,"Dollars_Millions",2012,"Forbes"
"400","NFL","Franchise","New York Giants","Total Debt","Estimated",3336.36363636364,"Dollars_Millions",2012,"Forbes"
"401","NFL","Franchise","Houston Texans","Total Debt","Estimated",8700,"Dollars_Millions",2012,"Forbes"
"402","NFL","Franchise","New York Jets","Total Debt","Estimated",2213.79310344828,"Dollars_Millions",2012,"Forbes"
"403","NFL","Franchise","Philadelphia Eagles","Total Debt","Estimated",15750,"Dollars_Millions",2012,"Forbes"
"404","NFL","Franchise","Chicago Bears","Total Debt","Estimated",11900,"Dollars_Millions",2012,"Forbes"
"405","NFL","Franchise","San Francisco 49ers","Total Debt","Estimated",10681.8181818182,"Dollars_Millions",2012,"Forbes"
"406","NFL","Franchise","Green Bay Packers","Total Debt","Estimated",58050,"Dollars_Millions",2012,"Forbes"
"407","NFL","Franchise","Baltimore Ravens","Total Debt","Estimated",5030.4347826087,"Dollars_Millions",2012,"Forbes"
"408","NFL","Franchise","Indianapolis Colts","Total Debt","Estimated",28850,"Dollars_Millions",2012,"Forbes"
"409","NFL","Franchise","Denver Broncos","Total Debt","Estimated",8707.69230769231,"Dollars_Millions",2012,"Forbes"
"410","NFL","Franchise","Pittsburgh Steelers","Total Debt","Estimated",6111.11111111111,"Dollars_Millions",2012,"Forbes"
"411","NFL","Franchise","Miami Dolphins","Total Debt","Estimated",2944.44444444444,"Dollars_Millions",2012,"Forbes"
"412","NFL","Franchise","Carolina Panthers","Total Debt","Estimated",5822.22222222222,"Dollars_Millions",2012,"Forbes"
"413","NFL","Franchise","Seattle Seahawks","Total Debt","Estimated",8666.66666666667,"Dollars_Millions",2012,"Forbes"
"414","NFL","Franchise","Tampa Bay Buccaneers","Total Debt","Estimated",6076.47058823529,"Dollars_Millions",2012,"Forbes"
"415","NFL","Franchise","Tennessee Titans","Total Debt","Estimated",8425,"Dollars_Millions",2012,"Forbes"
"416","NFL","Franchise","Kansas City Chiefs","Total Debt","Estimated",7753.84615384615,"Dollars_Millions",2012,"Forbes"
"417","NFL","Franchise","Cleveland Browns","Total Debt","Estimated",6580,"Dollars_Millions",2012,"Forbes"
"418","NFL","Franchise","Minnesota Vikings","Total Debt","Estimated",2867.64705882353,"Dollars_Millions",2012,"Forbes"
"419","NFL","Franchise","New Orleans Saints","Total Debt","Estimated",7469.23076923077,"Dollars_Millions",2012,"Forbes"
"420","NFL","Franchise","San Diego Chargers","Total Debt","Estimated",7200,"Dollars_Millions",2012,"Forbes"
"421","NFL","Franchise","Arizona Cardinals","Total Debt","Estimated",5762.5,"Dollars_Millions",2012,"Forbes"
"422","NFL","Franchise","Cincinnati Bengals","Total Debt","Estimated",7918.18181818182,"Dollars_Millions",2012,"Forbes"
"423","NFL","Franchise","Detroit Lions","Total Debt","Estimated",2671.875,"Dollars_Millions",2012,"Forbes"
"424","NFL","Franchise","Atlanta Falcons","Total Debt","Estimated",2536.36363636364,"Dollars_Millions",2012,"Forbes"
"425","NFL","Franchise","Buffalo Bills","Total Debt","Estimated",5031.25,"Dollars_Millions",2012,"Forbes"
"426","NFL","Franchise","Oakland Raiders","Total Debt","Estimated",4906.25,"Dollars_Millions",2012,"Forbes"
"427","NFL","Franchise","St Louis Rams","Total Debt","Estimated",5200,"Dollars_Millions",2012,"Forbes"
"428","NFL","Franchise","Jacksonville Jaguars","Total Debt","Estimated",4052.63157894737,"Dollars_Millions",2012,"Forbes"
"429","UEFA","Franchise","Manchester United","Total Debt","Estimated",6984.375,"Dollars_Millions",2012,"Forbes"
"430","UEFA","Franchise","Real Madrid","Total Debt","Estimated",14438.4615384615,"Dollars_Millions",2012,"Forbes"
"431","UEFA","Franchise","Barcelona","Total Debt","Estimated",2420.37037037037,"Dollars_Millions",2012,"Forbes"
"432","UEFA","Franchise","Arsenal","Total Debt","Estimated",4037.5,"Dollars_Millions",2012,"Forbes"
"433","UEFA","Franchise","Bayern Munich","Total Debt","Estimated",9500,"Dollars_Millions",2012,"Forbes"
"434","UEFA","Franchise","AC Milan","Total Debt","Estimated",10988.8888888889,"Dollars_Millions",2012,"Forbes"
"435","UEFA","Franchise","Chelsea","Total Debt","Estimated",3459.09090909091,"Dollars_Millions",2012,"Forbes"
"436","UEFA","Franchise","Liverpool","Total Debt","Estimated",7737.5,"Dollars_Millions",2012,"Forbes"
"437","UEFA","Franchise","Juventus","Total Debt","Estimated",3940,"Dollars_Millions",2012,"Forbes"
"438","UEFA","Franchise","Schalke 04","Total Debt","Estimated",1467.5,"Dollars_Millions",2012,"Forbes"
"439","UEFA","Franchise","Tottenham Hotspur","Total Debt","Estimated",3525,"Dollars_Millions",2012,"Forbes"
"440","UEFA","Franchise","Inter Milan","Total Debt","Estimated",3266.66666666667,"Dollars_Millions",2012,"Forbes"
"441","UEFA","Franchise","Manchester City","Total Debt","Estimated",3691.66666666667,"Dollars_Millions",2012,"Forbes"
"442","UEFA","Franchise","Borussia Dortmund","Total Debt","Estimated",2188.88888888889,"Dollars_Millions",2012,"Forbes"
"443","UEFA","Franchise","Olympique Lyonnais","Total Debt","Estimated",3208.33333333333,"Dollars_Millions",2012,"Forbes"
"444","UEFA","Franchise","Hamburg SV","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"445","UEFA","Franchise","AS Roma","Total Debt","Estimated",0,"Dollars_Millions",2012,"Forbes"
"446","UEFA","Franchise","Olympique Marseille","Total Debt","Estimated",2326.66666666667,"Dollars_Millions",2012,"Forbes"
"447","UEFA","Franchise","Valencia","Total Debt","Estimated",154.838709677419,"Dollars_Millions",2012,"Forbes"
"448","UEFA","Franchise","Napoli","Total Debt","Estimated",3144.44444444444,"Dollars_Millions",2012,"Forbes"
"449","NBA","Franchise","Los Angeles Lakers","Franchise Value","Estimated",642.857142857143,"Dollars_Millions",2011,"Forbes"
"450","NBA","Franchise","New York Knicks","Franchise Value","Estimated",655.46218487395,"Dollars_Millions",2011,"Forbes"
"451","NBA","Franchise","Chicago Bulls","Franchise Value","Estimated",512.820512820513,"Dollars_Millions",2011,"Forbes"
"452","NBA","Franchise","Dallas Mavericks","Franchise Value","Estimated",439.823008849558,"Dollars_Millions",2011,"Forbes"
"453","NBA","Franchise","Boston Celtics","Franchise Value","Estimated",450.467289719626,"Dollars_Millions",2011,"Forbes"
"454","NBA","Franchise","Miami Heat","Franchise Value","Estimated",423.148148148148,"Dollars_Millions",2011,"Forbes"
"455","NBA","Franchise","Houston Rockets","Franchise Value","Estimated",444.117647058824,"Dollars_Millions",2011,"Forbes"
"456","NBA","Franchise","Golden State Warriors","Franchise Value","Estimated",362.903225806452,"Dollars_Millions",2011,"Forbes"
"457","NBA","Franchise","San Antonio Spurs","Franchise Value","Estimated",405.825242718447,"Dollars_Millions",2011,"Forbes"
"458","NBA","Franchise","Phoenix Suns","Franchise Value","Estimated",411.458333333333,"Dollars_Millions",2011,"Forbes"
"459","NBA","Franchise","Orlando Magic","Franchise Value","Estimated",385,"Dollars_Millions",2011,"Forbes"
"460","NBA","Franchise","Toronto Raptors","Franchise Value","Estimated",397.916666666667,"Dollars_Millions",2011,"Forbes"
"461","NBA","Franchise","Portland Trail Blazers","Franchise Value","Estimated",355.769230769231,"Dollars_Millions",2011,"Forbes"
"462","NBA","Franchise","New Jersey Nets","Franchise Value","Estimated",313.157894736842,"Dollars_Millions",2011,"Forbes"
"463","NBA","Franchise","Oklahoma City Thunder","Franchise Value","Estimated",328.301886792453,"Dollars_Millions",2011,"Forbes"
"464","NBA","Franchise","Utah Jazz","Franchise Value","Estimated",341.836734693878,"Dollars_Millions",2011,"Forbes"
"465","NBA","Franchise","Detroit Pistons","Franchise Value","Estimated",360.869565217391,"Dollars_Millions",2011,"Forbes"
"466","NBA","Franchise","Cleveland Cavaliers","Franchise Value","Estimated",353.763440860215,"Dollars_Millions",2011,"Forbes"
"467","NBA","Franchise","Washington Wizards","Franchise Value","Estimated",321.56862745098,"Dollars_Millions",2011,"Forbes"
"468","NBA","Franchise","Los Angeles Clippers","Franchise Value","Estimated",305.660377358491,"Dollars_Millions",2011,"Forbes"
"469","NBA","Franchise","Denver Nuggets","Franchise Value","Estimated",316,"Dollars_Millions",2011,"Forbes"
"470","NBA","Franchise","Philadelphia 76ers","Franchise Value","Estimated",330.526315789474,"Dollars_Millions",2011,"Forbes"
"471","NBA","Franchise","Sacramento Kings","Franchise Value","Estimated",294.117647058824,"Dollars_Millions",2011,"Forbes"
"472","NBA","Franchise","New Orleans Hornets","Franchise Value","Estimated",279.411764705882,"Dollars_Millions",2011,"Forbes"
"473","NBA","Franchise","Indiana Pacers","Franchise Value","Estimated",269.52380952381,"Dollars_Millions",2011,"Forbes"
"474","NBA","Franchise","Charlotte Bobcats","Franchise Value","Estimated",279.79797979798,"Dollars_Millions",2011,"Forbes"
"475","NBA","Franchise","Minnesota Timberwolves","Franchise Value","Estimated",264.077669902913,"Dollars_Millions",2011,"Forbes"
"476","NBA","Franchise","Atlanta Hawks","Franchise Value","Estimated",293.478260869565,"Dollars_Millions",2011,"Forbes"
"477","NBA","Franchise","Memphis Grizzlies","Franchise Value","Estimated",266.336633663366,"Dollars_Millions",2011,"Forbes"
"478","NBA","Franchise","Milwaukee Bucks","Franchise Value","Estimated",257.692307692308,"Dollars_Millions",2011,"Forbes"
"479","MLB","Franchise","New York Yankees","Franchise Value","Estimated",1697.24770642202,"Dollars_Millions",2011,"Forbes"
"480","MLB","Franchise","Los Angeles Dodgers","Franchise Value","Estimated",800,"Dollars_Millions",2011,"Forbes"
"481","MLB","Franchise","Boston Red Sox","Franchise Value","Estimated",909.090909090909,"Dollars_Millions",2011,"Forbes"
"482","MLB","Franchise","Chicago Cubs","Franchise Value","Estimated",771.052631578947,"Dollars_Millions",2011,"Forbes"
"483","MLB","Franchise","Philadelphia Phillies","Franchise Value","Estimated",607.563025210084,"Dollars_Millions",2011,"Forbes"
"484","MLB","Franchise","New York Mets","Franchise Value","Estimated",748.958333333333,"Dollars_Millions",2011,"Forbes"
"485","MLB","Franchise","Texas Rangers","Franchise Value","Estimated",561.666666666667,"Dollars_Millions",2011,"Forbes"
"486","MLB","Franchise","Los Angeles Angels of Anaheim","Franchise Value","Estimated",555.932203389831,"Dollars_Millions",2011,"Forbes"
"487","MLB","Franchise","San Francisco Giants","Franchise Value","Estimated",564.035087719298,"Dollars_Millions",2011,"Forbes"
"488","MLB","Franchise","Chicago White Sox","Franchise Value","Estimated",526.315789473684,"Dollars_Millions",2011,"Forbes"
"489","MLB","Franchise","St Louis Cardinals","Franchise Value","Estimated",518.421052631579,"Dollars_Millions",2011,"Forbes"
"490","MLB","Franchise","Seattle Mariners","Franchise Value","Estimated",450,"Dollars_Millions",2011,"Forbes"
"491","MLB","Franchise","Houston Astros","Franchise Value","Estimated",473.275862068966,"Dollars_Millions",2011,"Forbes"
"492","MLB","Franchise","Minnesota Twins","Franchise Value","Estimated",490.384615384615,"Dollars_Millions",2011,"Forbes"
"493","MLB","Franchise","Atlanta Braves","Franchise Value","Estimated",483.809523809524,"Dollars_Millions",2011,"Forbes"
"494","MLB","Franchise","Washington Nationals","Franchise Value","Estimated",417.391304347826,"Dollars_Millions",2011,"Forbes"
"495","MLB","Franchise","Detroit Tigers","Franchise Value","Estimated",385.483870967742,"Dollars_Millions",2011,"Forbes"
"496","MLB","Franchise","Colorado Rockies","Franchise Value","Estimated",414.285714285714,"Dollars_Millions",2011,"Forbes"
"497","MLB","Franchise","Baltimore Orioles","Franchise Value","Estimated",410.714285714286,"Dollars_Millions",2011,"Forbes"
"498","MLB","Franchise","San Diego Padres","Franchise Value","Estimated",405.309734513274,"Dollars_Millions",2011,"Forbes"
"499","MLB","Franchise","Miami Marlins","Franchise Value","Estimated",360,"Dollars_Millions",2011,"Forbes"
"500","MLB","Franchise","Milwaukee Brewers","Franchise Value","Estimated",376.470588235294,"Dollars_Millions",2011,"Forbes"
"501","MLB","Franchise","Arizona Diamondbacks","Franchise Value","Estimated",395.575221238938,"Dollars_Millions",2011,"Forbes"
"502","MLB","Franchise","Cincinnati Reds","Franchise Value","Estimated",375.221238938053,"Dollars_Millions",2011,"Forbes"
"503","MLB","Franchise","Toronto Blue Jays","Franchise Value","Estimated",335.772357723577,"Dollars_Millions",2011,"Forbes"
"504","MLB","Franchise","Cleveland Indians","Franchise Value","Estimated",353.448275862069,"Dollars_Millions",2011,"Forbes"
"505","MLB","Franchise","Kansas City Royals","Franchise Value","Estimated",350.49504950495,"Dollars_Millions",2011,"Forbes"
"506","MLB","Franchise","Pittsburgh Pirates","Franchise Value","Estimated",302.702702702703,"Dollars_Millions",2011,"Forbes"
"507","MLB","Franchise","Tampa Bay Rays","Franchise Value","Estimated",329.591836734694,"Dollars_Millions",2011,"Forbes"
"508","MLB","Franchise","Oakland Athletics","Franchise Value","Estimated",305.714285714286,"Dollars_Millions",2011,"Forbes"
"509","NFL","Franchise","Dallas Cowboys","Franchise Value","Estimated",1842.10526315789,"Dollars_Millions",2011,"Forbes"
"510","NFL","Franchise","New England Patriots","Franchise Value","Estimated",1397.4358974359,"Dollars_Millions",2011,"Forbes"
"511","NFL","Franchise","Washington Redskins","Franchise Value","Estimated",1553.39805825243,"Dollars_Millions",2011,"Forbes"
