"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"144","MLB","Franchise","Los Angeles Dodgers","Total Revenue","Estimated",230,"Dollars_Millions",2012,"Forbes"
"145","MLB","Franchise","Boston Red Sox","Total Revenue","Estimated",310,"Dollars_Millions",2012,"Forbes"
"146","MLB","Franchise","Chicago Cubs","Total Revenue","Estimated",266,"Dollars_Millions",2012,"Forbes"
"147","MLB","Franchise","Philadelphia Phillies","Total Revenue","Estimated",249,"Dollars_Millions",2012,"Forbes"
"148","MLB","Franchise","New York Mets","Total Revenue","Estimated",225,"Dollars_Millions",2012,"Forbes"
"149","MLB","Franchise","Texas Rangers","Total Revenue","Estimated",233,"Dollars_Millions",2012,"Forbes"
"150","MLB","Franchise","Los Angeles Angels of Anaheim","Total Revenue","Estimated",226,"Dollars_Millions",2012,"Forbes"
"151","MLB","Franchise","San Francisco Giants","Total Revenue","Estimated",230,"Dollars_Millions",2012,"Forbes"
"152","MLB","Franchise","Chicago White Sox","Total Revenue","Estimated",214,"Dollars_Millions",2012,"Forbes"
"153","MLB","Franchise","St Louis Cardinals","Total Revenue","Estimated",233,"Dollars_Millions",2012,"Forbes"
"154","MLB","Franchise","Seattle Mariners","Total Revenue","Estimated",210,"Dollars_Millions",2012,"Forbes"
"155","MLB","Franchise","Houston Astros","Total Revenue","Estimated",196,"Dollars_Millions",2012,"Forbes"
"156","MLB","Franchise","Minnesota Twins","Total Revenue","Estimated",213,"Dollars_Millions",2012,"Forbes"
"157","MLB","Franchise","Atlanta Braves","Total Revenue","Estimated",203,"Dollars_Millions",2012,"Forbes"
"158","MLB","Franchise","Washington Nationals","Total Revenue","Estimated",200,"Dollars_Millions",2012,"Forbes"
"159","MLB","Franchise","Detroit Tigers","Total Revenue","Estimated",217,"Dollars_Millions",2012,"Forbes"
"160","MLB","Franchise","Colorado Rockies","Total Revenue","Estimated",193,"Dollars_Millions",2012,"Forbes"
"161","MLB","Franchise","Baltimore Orioles","Total Revenue","Estimated",179,"Dollars_Millions",2012,"Forbes"
"162","MLB","Franchise","San Diego Padres","Total Revenue","Estimated",163,"Dollars_Millions",2012,"Forbes"
