,Sport,Governing_Body,Event,Facet_Type,Facet_Value,Variable,Value,Value_Type,Date,Period,Source
100,NA,NCAA Men's Basketball,NA,Age,35-to-44,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
101,NA,NCAA Men's Basketball,NA,Age,45-to-54,Distribution of Fans,0.2,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
102,NA,NCAA Men's Basketball,NA,Age,55 and older,Distribution of Fans,0.28,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
103,NA,NBA,NA,Age,12-to-17,Distribution of Fans,0.16,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
104,NA,NBA,NA,Age,18-to-24,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
105,NA,NBA,NA,Age,25-to-34,Distribution of Fans,0.18,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
106,NA,NBA,NA,Age,35-to-44,Distribution of Fans,0.13,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
107,NA,NBA,NA,Age,45-to-54,Distribution of Fans,0.18,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
108,NA,NBA,NA,Age,55 and older,Distribution of Fans,0.21,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
109,NA,NASCAR,NA,Age,12-to-17,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
110,NA,NASCAR,NA,Age,18-to-24,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
111,NA,NASCAR,NA,Age,25-to-34,Distribution of Fans,0.18,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
112,NA,NASCAR,NA,Age,35-to-44,Distribution of Fans,0.18,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
113,NA,NASCAR,NA,Age,45-to-54,Distribution of Fans,0.22,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
114,NA,NASCAR,NA,Age,55 and older,Distribution of Fans,0.23,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
115,NA,NHL,NA,Age,12-to-17,Distribution of Fans,0.13,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
116,NA,NHL,NA,Age,18-to-24,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
117,NA,NHL,NA,Age,25-to-34,Distribution of Fans,0.18,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
118,NA,NHL,NA,Age,35-to-44,Distribution of Fans,0.21,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
119,NA,NHL,NA,Age,45-to-54,Distribution of Fans,0.2,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
120,NA,NHL,NA,Age,55 and older,Distribution of Fans,0.17,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
121,NA,WTA,NA,Age,12-to-17,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
122,NA,WTA,NA,Age,18-to-24,Distribution of Fans,0.08,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
