"","Year","ID_School","DOE.Institution_Name","ID_Conference","Total"
"63","1997-1998","USC","University of Southern California","PAC12",264
"64","1997-1998","UT","The University of Texas at Austin","BIG12",377
"65","1997-1998","UTA.ST","Utah State University","MWC",220
"66","1997-1998","VANDY","Vanderbilt University","SEC",249
"67","1998-1999","AUB","Auburn University","SEC",315
"68","1998-1999","BAMA","The University of Alabama","SEC",297
"69","1998-1999","BOS.ST","Boise State University","MWC",56
"70","1998-1999","CLEM","Clemson University","ACC",337
"71","1998-1999","DUKE","Duke University","ACC",267
"72","1998-1999","FLA","University of Florida","SEC",350
"73","1998-1999","FSU","Florida State University","ACC",276
"74","1998-1999","GTOWN","Georgetown University","BIGEAST",158
"75","1998-1999","KAN.ST","Kansas State University","BIG12",277
"76","1998-1999","LOUIS","University of Louisville","BIGEAST",291
"77","1998-1999","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",303
"78","1998-1999","ND","University of Notre Dame","IND",353
"79","1998-1999","NEB","University of Nebraska-Lincoln","BIG10",437
"80","1998-1999","NWST","Northwestern University","BIG12",290
"81","1998-1999","OK","University of Oklahoma Norman Campus","BIG12",324
"82","1998-1999","OKSTATE","Oklahoma State University-Main Campus","BIG12",247
"83","1998-1999","ORE","University of Oregon","PAC12",276
"84","1998-1999","ORE.ST","Oregon State University","PAC12",304
"85","1998-1999","OSU","Ohio State University-Main Campus","BIG10",409
"86","1998-1999","SCAR","University of South Carolina-Columbia","SEC",296
"87","1998-1999","SJ.ST","San Jose State University","MWC",289
"88","1998-1999","SMU","Southern Methodist University","CUSA",242
"89","1998-1999","STAN","Stanford University","PAC12",379
"90","1998-1999","TAM","Texas A & M University-College Station","SEC",356
"91","1998-1999","UGA","University of Georgia","SEC",302
"92","1998-1999","UM","University of Michigan-Ann Arbor","BIG10",418
"93","1998-1999","UNC","University of North Carolina at Chapel Hill","ACC",412
"94","1998-1999","UOFM","University of Miami","ACC",178
"95","1998-1999","USC","University of Southern California","PAC12",286
"96","1998-1999","UT","The University of Texas at Austin","BIG12",398
"97","1998-1999","UTA.ST","Utah State University","MWC",229
"98","1998-1999","VANDY","Vanderbilt University","SEC",239
"99","1999-2000","AUB","Auburn University","SEC",344
"100","1999-2000","BAMA","The University of Alabama","SEC",303
"101","1999-2000","BOS.ST","Boise State University","MWC",273
"102","1999-2000","CLEM","Clemson University","ACC",344
"103","1999-2000","DUKE","Duke University","ACC",273
"104","1999-2000","FLA","University of Florida","SEC",358
"105","1999-2000","FSU","Florida State University","ACC",285
"106","1999-2000","GTOWN","Georgetown University","BIGEAST",163
"107","1999-2000","KAN.ST","Kansas State University","BIG12",258
"108","1999-2000","LOUIS","University of Louisville","BIGEAST",331
"109","1999-2000","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",319
"110","1999-2000","ND","University of Notre Dame","IND",361
"111","1999-2000","NEB","University of Nebraska-Lincoln","BIG10",425
"112","1999-2000","NWST","Northwestern University","BIG12",292
"113","1999-2000","OK","University of Oklahoma Norman Campus","BIG12",343
"114","1999-2000","OKSTATE","Oklahoma State University-Main Campus","BIG12",377
"115","1999-2000","ORE","University of Oregon","PAC12",261
"116","1999-2000","ORE.ST","Oregon State University","PAC12",334
"117","1999-2000","OSU","Ohio State University-Main Campus","BIG10",504
"118","1999-2000","RUT","Rutgers University-New Brunswick","BIGEAST",452
"119","1999-2000","SCAR","University of South Carolina-Columbia","SEC",304
"120","1999-2000","SJ.ST","San Jose State University","MWC",274
"121","1999-2000","SMU","Southern Methodist University","CUSA",232
"122","1999-2000","STAN","Stanford University","PAC12",391
"123","1999-2000","TAM","Texas A & M University-College Station","SEC",367
"124","1999-2000","UGA","University of Georgia","SEC",311
"125","1999-2000","UM","University of Michigan-Ann Arbor","BIG10",426
"126","1999-2000","UNC","University of North Carolina at Chapel Hill","ACC",400
"127","1999-2000","UOFM","University of Miami","ACC",215
"128","1999-2000","USC","University of Southern California","PAC12",291
"129","1999-2000","UT","The University of Texas at Austin","BIG12",433
"130","1999-2000","UTA.ST","Utah State University","MWC",232
"131","1999-2000","VANDY","Vanderbilt University","SEC",232
"132","2000-2001","AUB","Auburn University","SEC",322
"133","2000-2001","BAMA","The University of Alabama","SEC",316
"134","2000-2001","BOS.ST","Boise State University","MWC",260
"135","2000-2001","CLEM","Clemson University","ACC",90
"136","2000-2001","DUKE","Duke University","ACC",309
"137","2000-2001","FLA","University of Florida","SEC",322
"138","2000-2001","FSU","Florida State University","ACC",349
"139","2000-2001","GTOWN","Georgetown University","BIGEAST",180
"140","2000-2001","KAN.ST","Kansas State University","BIG12",215
"141","2000-2001","LOUIS","University of Louisville","BIGEAST",350
"142","2000-2001","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",335
"143","2000-2001","ND","University of Notre Dame","IND",360
"144","2000-2001","NEB","University of Nebraska-Lincoln","BIG10",401
"145","2000-2001","NWST","Northwestern University","BIG12",71
"146","2000-2001","OK","University of Oklahoma Norman Campus","BIG12",350
"147","2000-2001","OKSTATE","Oklahoma State University-Main Campus","BIG12",334
"148","2000-2001","ORE","University of Oregon","PAC12",257
"149","2000-2001","ORE.ST","Oregon State University","PAC12",306
"150","2000-2001","OSU","Ohio State University-Main Campus","BIG10",529
"151","2000-2001","RUT","Rutgers University-New Brunswick","BIGEAST",486
"152","2000-2001","SCAR","University of South Carolina-Columbia","SEC",325
"153","2000-2001","SJ.ST","San Jose State University","MWC",259
"154","2000-2001","SMU","Southern Methodist University","CUSA",261
"155","2000-2001","STAN","Stanford University","PAC12",429
"156","2000-2001","TAM","Texas A & M University-College Station","SEC",395
"157","2000-2001","UGA","University of Georgia","SEC",337
"158","2000-2001","UM","University of Michigan-Ann Arbor","BIG10",427
"159","2000-2001","UNC","University of North Carolina at Chapel Hill","ACC",425
"160","2000-2001","UOFM","University of Miami","ACC",229
"161","2000-2001","USC","University of Southern California","PAC12",319
"162","2000-2001","UT","The University of Texas at Austin","BIG12",435
"163","2000-2001","UTA.ST","Utah State University","MWC",225
"164","2000-2001","VANDY","Vanderbilt University","SEC",241
"165","2001-2002","AUB","Auburn University","SEC",360
"166","2001-2002","BAMA","The University of Alabama","SEC",342
"167","2001-2002","BOS.ST","Boise State University","MWC",267
"168","2001-2002","CLEM","Clemson University","ACC",87
"169","2001-2002","DUKE","Duke University","ACC",313
"170","2001-2002","FLA","University of Florida","SEC",357
"171","2001-2002","FSU","Florida State University","ACC",351
"172","2001-2002","GTOWN","Georgetown University","BIGEAST",215
"173","2001-2002","KAN.ST","Kansas State University","BIG12",321
"174","2001-2002","LOUIS","University of Louisville","BIGEAST",322
"175","2001-2002","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",343
"176","2001-2002","ND","University of Notre Dame","IND",392
"177","2001-2002","NEB","University of Nebraska-Lincoln","BIG10",466
"178","2001-2002","NWST","Northwestern University","BIG12",337
"179","2001-2002","OK","University of Oklahoma Norman Campus","BIG12",309
"180","2001-2002","OKSTATE","Oklahoma State University-Main Campus","BIG12",324
"181","2001-2002","ORE","University of Oregon","PAC12",264
"182","2001-2002","ORE.ST","Oregon State University","PAC12",313
"183","2001-2002","OSU","Ohio State University-Main Campus","BIG10",566
"184","2001-2002","RUT","Rutgers University-New Brunswick","BIGEAST",469
"185","2001-2002","SCAR","University of South Carolina-Columbia","SEC",320
"186","2001-2002","SJ.ST","San Jose State University","MWC",272
"187","2001-2002","SMU","Southern Methodist University","CUSA",290
"188","2001-2002","STAN","Stanford University","PAC12",411
"189","2001-2002","TAM","Texas A & M University-College Station","SEC",423
"190","2001-2002","UGA","University of Georgia","SEC",350
"191","2001-2002","UM","University of Michigan-Ann Arbor","BIG10",476
"192","2001-2002","UNC","University of North Carolina at Chapel Hill","ACC",445
"193","2001-2002","UOFM","University of Miami","ACC",254
"194","2001-2002","USC","University of Southern California","PAC12",47
"195","2001-2002","UT","The University of Texas at Austin","BIG12",434
"196","2001-2002","UTA.ST","Utah State University","MWC",220
"197","2001-2002","VANDY","Vanderbilt University","SEC",246
"198","2002-2003","AUB","Auburn University","SEC",367
"199","2002-2003","BAMA","The University of Alabama","SEC",336
"200","2002-2003","BOS.ST","Boise State University","MWC",317
"201","2002-2003","CLEM","Clemson University","ACC",397
"202","2002-2003","DUKE","Duke University","ACC",357
"203","2002-2003","FLA","University of Florida","SEC",392
"204","2002-2003","FSU","Florida State University","ACC",367
"205","2002-2003","GTOWN","Georgetown University","BIGEAST",236
"206","2002-2003","KAN.ST","Kansas State University","BIG12",373
"207","2002-2003","LOUIS","University of Louisville","BIGEAST",344
"208","2002-2003","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",311
"209","2002-2003","ND","University of Notre Dame","IND",402
"210","2002-2003","NEB","University of Nebraska-Lincoln","BIG10",432
"211","2002-2003","NWST","Northwestern University","BIG12",350
"212","2002-2003","OK","University of Oklahoma Norman Campus","BIG12",366
"213","2002-2003","OKSTATE","Oklahoma State University-Main Campus","BIG12",324
"214","2002-2003","ORE","University of Oregon","PAC12",284
"215","2002-2003","ORE.ST","Oregon State University","PAC12",308
"216","2002-2003","OSU","Ohio State University-Main Campus","BIG10",599
"217","2002-2003","RUT","Rutgers University-New Brunswick","BIGEAST",471
"218","2002-2003","SCAR","University of South Carolina-Columbia","SEC",333
"219","2002-2003","SJ.ST","San Jose State University","MWC",286
"220","2002-2003","SMU","Southern Methodist University","CUSA",288
"221","2002-2003","STAN","Stanford University","PAC12",414
"222","2002-2003","TAM","Texas A & M University-College Station","SEC",457
"223","2002-2003","UGA","University of Georgia","SEC",350
"224","2002-2003","UM","University of Michigan-Ann Arbor","BIG10",471
"225","2002-2003","UNC","University of North Carolina at Chapel Hill","ACC",442
"226","2002-2003","UOFM","University of Miami","ACC",239
"227","2002-2003","USC","University of Southern California","PAC12",319
"228","2002-2003","UT","The University of Texas at Austin","BIG12",440
"229","2002-2003","UTA.ST","Utah State University","MWC",238
"230","2002-2003","VANDY","Vanderbilt University","SEC",229
"231","2003-2004","AUB","Auburn University","SEC",361
"232","2003-2004","BAMA","The University of Alabama","SEC",345
"233","2003-2004","BOS.ST","Boise State University","MWC",259
"234","2003-2004","CLEM","Clemson University","ACC",396
"235","2003-2004","DUKE","Duke University","ACC",312
"236","2003-2004","FLA","University of Florida","SEC",469
"237","2003-2004","FSU","Florida State University","ACC",326
"238","2003-2004","GTOWN","Georgetown University","BIGEAST",247
"239","2003-2004","KAN.ST","Kansas State University","BIG12",376
"240","2003-2004","LOUIS","University of Louisville","BIGEAST",354
"241","2003-2004","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",341
"242","2003-2004","ND","University of Notre Dame","IND",420
"243","2003-2004","NEB","University of Nebraska-Lincoln","BIG10",429
"244","2003-2004","NWST","Northwestern University","BIG12",349
"245","2003-2004","OK","University of Oklahoma Norman Campus","BIG12",359
"246","2003-2004","OKSTATE","Oklahoma State University-Main Campus","BIG12",279
"247","2003-2004","ORE","University of Oregon","PAC12",265
"248","2003-2004","ORE.ST","Oregon State University","PAC12",228
"249","2003-2004","OSU","Ohio State University-Main Campus","BIG10",592
"250","2003-2004","RUT","Rutgers University-New Brunswick","BIGEAST",464
"251","2003-2004","SCAR","University of South Carolina-Columbia","SEC",364
"252","2003-2004","SJ.ST","San Jose State University","MWC",292
"253","2003-2004","SMU","Southern Methodist University","CUSA",283
"254","2003-2004","STAN","Stanford University","PAC12",425
"255","2003-2004","TAM","Texas A & M University-College Station","SEC",436
"256","2003-2004","UGA","University of Georgia","SEC",304
"257","2003-2004","UM","University of Michigan-Ann Arbor","BIG10",466
"258","2003-2004","UNC","University of North Carolina at Chapel Hill","ACC",445
"259","2003-2004","UOFM","University of Miami","ACC",235
"260","2003-2004","USC","University of Southern California","PAC12",365
"261","2003-2004","UT","The University of Texas at Austin","BIG12",419
"262","2003-2004","UTA.ST","Utah State University","MWC",247
"263","2003-2004","VANDY","Vanderbilt University","SEC",234
"264","2004-2005","AUB","Auburn University","SEC",368
"265","2004-2005","BAMA","The University of Alabama","SEC",343
"266","2004-2005","BOS.ST","Boise State University","MWC",261
"267","2004-2005","CLEM","Clemson University","ACC",409
"268","2004-2005","DUKE","Duke University","ACC",303
"269","2004-2005","FLA","University of Florida","SEC",416
"270","2004-2005","FSU","Florida State University","ACC",338
"271","2004-2005","GTOWN","Georgetown University","BIGEAST",39
"272","2004-2005","KAN.ST","Kansas State University","BIG12",394
"273","2004-2005","LOUIS","University of Louisville","BIGEAST",363
"274","2004-2005","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",352
"275","2004-2005","ND","University of Notre Dame","IND",424
"276","2004-2005","NEB","University of Nebraska-Lincoln","BIG10",414
"277","2004-2005","NWST","Northwestern University","BIG12",461
"278","2004-2005","OK","University of Oklahoma Norman Campus","BIG12",380
"279","2004-2005","OKSTATE","Oklahoma State University-Main Campus","BIG12",313
"280","2004-2005","ORE","University of Oregon","PAC12",293
"281","2004-2005","ORE.ST","Oregon State University","PAC12",177
"282","2004-2005","OSU","Ohio State University-Main Campus","BIG10",589
"283","2004-2005","RUT","Rutgers University-New Brunswick","BIGEAST",464
"284","2004-2005","SCAR","University of South Carolina-Columbia","SEC",386
"285","2004-2005","SJ.ST","San Jose State University","MWC",322
"286","2004-2005","SMU","Southern Methodist University","CUSA",55
"287","2004-2005","STAN","Stanford University","PAC12",421
"288","2004-2005","TAM","Texas A & M University-College Station","SEC",465
"289","2004-2005","UGA","University of Georgia","SEC",373
"290","2004-2005","UM","University of Michigan-Ann Arbor","BIG10",471
"291","2004-2005","UNC","University of North Carolina at Chapel Hill","ACC",447
"292","2004-2005","UOFM","University of Miami","ACC",249
"293","2004-2005","USC","University of Southern California","PAC12",357
"294","2004-2005","UT","The University of Texas at Austin","BIG12",402
"295","2004-2005","UTA.ST","Utah State University","MWC",240
"296","2004-2005","VANDY","Vanderbilt University","SEC",238
"297","2005-2006","AUB","Auburn University","SEC",375
"298","2005-2006","BAMA","The University of Alabama","SEC",354
"299","2005-2006","BOS.ST","Boise State University","MWC",289
"300","2005-2006","CLEM","Clemson University","ACC",77
"301","2005-2006","DUKE","Duke University","ACC",311
"302","2005-2006","FLA","University of Florida","SEC",419
"303","2005-2006","FSU","Florida State University","ACC",346
"304","2005-2006","GTOWN","Georgetown University","BIGEAST",271
"305","2005-2006","KAN.ST","Kansas State University","BIG12",390
"306","2005-2006","LOUIS","University of Louisville","BIGEAST",369
"307","2005-2006","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",340
"308","2005-2006","ND","University of Notre Dame","IND",419
"309","2005-2006","NEB","University of Nebraska-Lincoln","BIG10",413
"310","2005-2006","NWST","Northwestern University","BIG12",362
"311","2005-2006","OK","University of Oklahoma Norman Campus","BIG12",359
"312","2005-2006","OKSTATE","Oklahoma State University-Main Campus","BIG12",73
