"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"451","Tony Romo","2005-2013",2005,2013,3721,2406,29122,201,128,9,"http://www.pro-football-reference.com/players/R/RomoTo00.htm","http://www.pro-football-reference.com/players/R/RomoTo00/gamelog"
"404","Steve Grogan","1975-1990",1975,1990,3688,1927,27457,185,151,16,"http://www.pro-football-reference.com/players/G/GrogSt00.htm","http://www.pro-football-reference.com/players/G/GrogSt00/gamelog"
"269","Ken O'Brien","1984-1993",1984,1993,3669,2155,25598,130,129,10,"http://www.pro-football-reference.com/players/O/OBriKe00.htm","http://www.pro-football-reference.com/players/O/OBriKe00/gamelog"
"15","Archie Manning","1971-1984",1971,1984,3642,2011,23911,125,150,13,"http://www.pro-football-reference.com/players/M/MannAr00.htm","http://www.pro-football-reference.com/players/M/MannAr00/gamelog"
"38","Bob Griese","1967-1980",1967,1980,3637,2038,26559,202,173,14,"http://www.pro-football-reference.com/players/G/GrieBo00.htm","http://www.pro-football-reference.com/players/G/GrieBo00/gamelog"
"21","Bernie Kosar","1985-1996",1985,1996,3635,2146,25254,140,134,12,"http://www.pro-football-reference.com/players/K/KosaBe00.htm","http://www.pro-football-reference.com/players/K/KosaBe00/gamelog"
"398","Steve Bartkowski","1975-1986",1975,1986,3567,1985,24916,161,133,12,"http://www.pro-football-reference.com/players/B/BartSt00.htm","http://www.pro-football-reference.com/players/B/BartSt00/gamelog"
"329","Neil O'Donnell","1991-2003",1991,2003,3504,2024,23399,129,130,13,"http://www.pro-football-reference.com/players/O/ODonNe00.htm","http://www.pro-football-reference.com/players/O/ODonNe00/gamelog"
"56","Brian Sipe","1974-1983",1974,1983,3479,1957,23896,154,122,10,"http://www.pro-football-reference.com/players/S/SipeBr00.htm","http://www.pro-football-reference.com/players/S/SipeBr00/gamelog"
"77","Charley Johnson","1961-1975",1961,1975,3392,1737,24410,170,147,15,"http://www.pro-football-reference.com/players/J/JohnCh02.htm","http://www.pro-football-reference.com/players/J/JohnCh02/gamelog"
"364","Roger Staubach","1969-1979",1969,1979,3368,1908,25491,177,150,11,"http://www.pro-football-reference.com/players/S/StauRo00.htm","http://www.pro-football-reference.com/players/S/StauRo00/gamelog"
"399","Steve Beuerlein","1988-2003",1988,2003,3359,1910,24317,148,130,14,"http://www.pro-football-reference.com/players/B/BeueSt00.htm","http://www.pro-football-reference.com/players/B/BeueSt00/gamelog"
"112","Daunte Culpepper","1999-2009",1999,2009,3333,2089,25133,157,109,11,"http://www.pro-football-reference.com/players/C/CulpDa00.htm","http://www.pro-football-reference.com/players/C/CulpDa00/gamelog"
"109","Danny White","1976-1988",1976,1988,3310,1967,24243,170,183,13,"http://www.pro-football-reference.com/players/W/WhitDa01.htm","http://www.pro-football-reference.com/players/W/WhitDa01/gamelog"
"452","Trent Dilfer","1994-2007",1994,2007,3307,1818,21489,117,133,13,"http://www.pro-football-reference.com/players/D/DilfTr00.htm","http://www.pro-football-reference.com/players/D/DilfTr00/gamelog"
"292","Marc Bulger","2002-2009",2002,2009,3284,2037,23758,126,99,8,"http://www.pro-football-reference.com/players/B/BulgMa00.htm","http://www.pro-football-reference.com/players/B/BulgMa00/gamelog"
"205","Jeff Blake","1992-2005",1992,2005,3241,1827,21711,134,119,13,"http://www.pro-football-reference.com/players/B/BlakJe00.htm","http://www.pro-football-reference.com/players/B/BlakJe00/gamelog"
"43","Bobby Hebert","1985-1996",1985,1996,3223,1897,22331,138,118,11,"http://www.pro-football-reference.com/players/H/HebeBo00.htm","http://www.pro-football-reference.com/players/H/HebeBo00/gamelog"
"202","Jay Cutler","2006-2013",2006,2013,3222,1963,23328,150,102,8,"http://www.pro-football-reference.com/players/C/CutlJa00.htm","http://www.pro-football-reference.com/players/C/CutlJa00/gamelog"
"190","Jack Kemp","1960-1969",1960,1969,3213,1506,22256,116,120,9,"http://www.pro-football-reference.com/players/K/KempJa00.htm","http://www.pro-football-reference.com/players/K/KempJa00/gamelog"
"173","George Blanda","1956-1975",1956,1975,3209,1555,22169,195,229,17,"http://www.pro-football-reference.com/players/B/BlanGe00.htm","http://www.pro-football-reference.com/players/B/BlanGe00/gamelog"
"3","Aaron Rodgers","2005-2013",2005,2013,3208,2113,26191,204,102,9,"http://www.pro-football-reference.com/players/R/RodgAa00.htm","http://www.pro-football-reference.com/players/R/RodgAa00/gamelog"
"328","Neil Lomax","1981-1988",1981,1988,3204,1849,23156,138,109,8,"http://www.pro-football-reference.com/players/L/LomaNe00.htm","http://www.pro-football-reference.com/players/L/LomaNe00/gamelog"
"290","Lynn Dickey","1971-1985",1971,1985,3184,1783,23914,146,131,13,"http://www.pro-football-reference.com/players/D/DickLy00.htm","http://www.pro-football-reference.com/players/D/DickLy00/gamelog"
"183","Gus Frerotte","1994-2008",1994,2008,3181,1733,21666,115,119,15,"http://www.pro-football-reference.com/players/F/FrerGu00.htm","http://www.pro-football-reference.com/players/F/FrerGu00/gamelog"
"228","Jim Zorn","1976-1987",1976,1987,3177,1683,21249,113,120,11,"http://www.pro-football-reference.com/players/Z/ZornJi00.htm","http://www.pro-football-reference.com/players/Z/ZornJi00/gamelog"
"232","Joe Flacco","2008-2013",2008,2013,3172,1898,22472,131,101,6,"http://www.pro-football-reference.com/players/F/FlacJo00.htm","http://www.pro-football-reference.com/players/F/FlacJo00/gamelog"
"107","Dan Pastorini","1971-1983",1971,1983,3171,1627,19469,107,144,12,"http://www.pro-football-reference.com/players/P/PastDa00.htm","http://www.pro-football-reference.com/players/P/PastDa00/gamelog"
"313","Michael Vick","2001-2013",2001,2013,3171,1782,22466,133,133,11,"http://www.pro-football-reference.com/players/V/VickMi00.htm","http://www.pro-football-reference.com/players/V/VickMi00/gamelog"
"29","Billy Kilmer","1961-1978",1961,1978,3162,1677,21555,160,173,16,"http://www.pro-football-reference.com/players/K/KilmBi00.htm","http://www.pro-football-reference.com/players/K/KilmBi00/gamelog"
"194","Jake Delhomme","1999-2011",1999,2011,3158,1871,22822,138,110,11,"http://www.pro-football-reference.com/players/D/DelhJa00.htm","http://www.pro-football-reference.com/players/D/DelhJa00/gamelog"
"309","Matt Ryan","2008-2013",2008,2013,3157,2004,22639,151,91,6,"http://www.pro-football-reference.com/players/R/RyanMa00.htm","http://www.pro-football-reference.com/players/R/RyanMa00/gamelog"
"310","Matt Schaub","2004-2013",2004,2013,3145,2029,24101,130,125,10,"http://www.pro-football-reference.com/players/S/SchaMa00.htm","http://www.pro-football-reference.com/players/S/SchaMa00/gamelog"
"357","Richard Todd","1976-1985",1976,1985,3107,1688,21636,128,122,10,"http://www.pro-football-reference.com/players/T/ToddRi00.htm","http://www.pro-football-reference.com/players/T/ToddRi00/gamelog"
"2","Aaron Brooks","2000-2006",2000,2006,3040,1719,20822,129,95,7,"http://www.pro-football-reference.com/players/B/BrooAa00.htm","http://www.pro-football-reference.com/players/B/BrooAa00/gamelog"
"204","Jay Schroeder","1985-1994",1985,1994,2966,1498,20854,119,121,10,"http://www.pro-football-reference.com/players/S/SchrJa00.htm","http://www.pro-football-reference.com/players/S/SchrJa00/gamelog"
"83","Chris Miller","1987-1999",1987,1999,2954,1615,19789,126,100,10,"http://www.pro-football-reference.com/players/M/MillCh00.htm","http://www.pro-football-reference.com/players/M/MillCh00/gamelog"
"111","Daryle Lamonica","1963-1974",1963,1974,2862,1405,21082,183,151,12,"http://www.pro-football-reference.com/players/L/LamoDa00.htm","http://www.pro-football-reference.com/players/L/LamoDa00/gamelog"
"297","Mark Rypien","1988-2001",1988,2001,2847,1592,20249,123,105,11,"http://www.pro-football-reference.com/players/R/RypiMa00.htm","http://www.pro-football-reference.com/players/R/RypiMa00/gamelog"
"19","Bart Starr","1960-1971",1960,1971,2812,1649,22810,148,146,12,"http://www.pro-football-reference.com/players/S/StarBa00.htm","http://www.pro-football-reference.com/players/S/StarBa00/gamelog"
"54","Brian Griese","1998-2008",1998,2008,2796,1752,19440,119,93,11,"http://www.pro-football-reference.com/players/G/GrieBr00.htm","http://www.pro-football-reference.com/players/G/GrieBr00/gamelog"
"397","Stan Humphries","1989-1997",1989,1997,2744,1549,18538,95,94,8,"http://www.pro-football-reference.com/players/H/HumpSt00.htm","http://www.pro-football-reference.com/players/H/HumpSt00/gamelog"
"18","Babe Parilli","1960-1969",1960,1969,2743,1298,18778,146,120,10,"http://www.pro-football-reference.com/players/P/PariBa00.htm","http://www.pro-football-reference.com/players/P/PariBa00/gamelog"
"223","Jim McMahon","1982-1996",1982,1996,2728,1574,19260,105,126,15,"http://www.pro-football-reference.com/players/M/McMaJi00.htm","http://www.pro-football-reference.com/players/M/McMaJi00/gamelog"
"76","Chad Pennington","2000-2010",2000,2010,2687,1764,19241,110,95,11,"http://www.pro-football-reference.com/players/P/PennCh01.htm","http://www.pro-football-reference.com/players/P/PennCh01/gamelog"
"141","Doug Williams","1978-1989",1978,1989,2676,1308,18108,109,95,9,"http://www.pro-football-reference.com/players/W/WillDo01.htm","http://www.pro-football-reference.com/players/W/WillDo01/gamelog"
"22","Bert Jones","1973-1982",1973,1982,2613,1459,18589,125,105,10,"http://www.pro-football-reference.com/players/J/JoneBe00.htm","http://www.pro-football-reference.com/players/J/JoneBe00/gamelog"
"466","Wade Wilson","1981-1998",1981,1998,2613,1490,18605,106,129,17,"http://www.pro-football-reference.com/players/W/WilsWa00.htm","http://www.pro-football-reference.com/players/W/WilsWa00/gamelog"
"154","Elvis Grbac","1994-2001",1994,2001,2578,1521,17492,102,100,8,"http://www.pro-football-reference.com/players/G/GrbaEl00.htm","http://www.pro-football-reference.com/players/G/GrbaEl00/gamelog"
"7","Alex Smith","2005-2013",2005,2013,2560,1514,16694,95,91,8,"http://www.pro-football-reference.com/players/S/SmitAl03.htm","http://www.pro-football-reference.com/players/S/SmitAl03/gamelog"
"240","Joey Harrington","2002-2007",2002,2007,2538,1424,14693,79,82,6,"http://www.pro-football-reference.com/players/H/HarrJo00.htm","http://www.pro-football-reference.com/players/H/HarrJo00/gamelog"
"278","Kordell Stewart","1995-2005",1995,2005,2500,1385,15490,79,130,11,"http://www.pro-football-reference.com/players/S/StewKo00.htm","http://www.pro-football-reference.com/players/S/StewKo00/gamelog"
"325","Mike Tomczak","1985-1999",1985,1999,2480,1322,16963,90,138,15,"http://www.pro-football-reference.com/players/T/TomcMi00.htm","http://www.pro-football-reference.com/players/T/TomcMi00/gamelog"
"209","Jeff Hostetler","1986-1997",1986,1997,2453,1429,17464,101,111,11,"http://www.pro-football-reference.com/players/H/HostJe00.htm","http://www.pro-football-reference.com/players/H/HostJe00/gamelog"
"23","Bill Kenney","1980-1988",1980,1988,2446,1338,17374,105,86,9,"http://www.pro-football-reference.com/players/K/KennBi00.htm","http://www.pro-football-reference.com/players/K/KennBi00/gamelog"
"157","Erik Kramer","1987-1999",1987,1999,2429,1408,16336,98,86,10,"http://www.pro-football-reference.com/players/K/KramEr00.htm","http://www.pro-football-reference.com/players/K/KramEr00/gamelog"
"386","Scott Mitchell","1992-2001",1992,2001,2400,1324,15925,96,85,10,"http://www.pro-football-reference.com/players/M/MitcSc00.htm","http://www.pro-football-reference.com/players/M/MitcSc00/gamelog"
"133","Don Meredith","1960-1968",1960,1968,2386,1209,17750,138,105,9,"http://www.pro-football-reference.com/players/M/MereDo00.htm","http://www.pro-football-reference.com/players/M/MereDo00/gamelog"
"363","Rodney Peete","1989-2004",1989,2004,2378,1364,16636,79,103,14,"http://www.pro-football-reference.com/players/P/PeetRo00.htm","http://www.pro-football-reference.com/players/P/PeetRo00/gamelog"
"448","Tony Banks","1996-2005",1996,2005,2359,1278,15315,77,95,9,"http://www.pro-football-reference.com/players/B/BankTo00.htm","http://www.pro-football-reference.com/players/B/BankTo00/gamelog"
"119","David Garrard","2002-2010",2002,2010,2343,1440,16489,92,89,9,"http://www.pro-football-reference.com/players/G/GarrDa00.htm","http://www.pro-football-reference.com/players/G/GarrDa00/gamelog"
"373","Ryan Fitzpatrick","2005-2013",2005,2013,2327,1379,14862,94,76,9,"http://www.pro-football-reference.com/players/F/FitzRy00.htm","http://www.pro-football-reference.com/players/F/FitzRy00/gamelog"
"182","Greg Landry","1968-1984",1968,1984,2312,1281,16100,98,123,15,"http://www.pro-football-reference.com/players/L/LandGr00.htm","http://www.pro-football-reference.com/players/L/LandGr00/gamelog"
"63","Bubby Brister","1986-2000",1986,2000,2274,1241,14801,82,98,14,"http://www.pro-football-reference.com/players/B/BrisBu00.htm","http://www.pro-football-reference.com/players/B/BrisBu00/gamelog"
"118","David Carr","2002-2012",2002,2012,2267,1353,14452,65,95,10,"http://www.pro-football-reference.com/players/C/CarrDa00.htm","http://www.pro-football-reference.com/players/C/CarrDa00/gamelog"
"200","Jason Campbell","2006-2013",2006,2013,2257,1374,15243,81,80,8,"http://www.pro-football-reference.com/players/C/CampJa00.htm","http://www.pro-football-reference.com/players/C/CampJa00/gamelog"
"311","Matthew Stafford","2009-2013",2009,2013,2244,1353,15804,99,54,5,"http://www.pro-football-reference.com/players/S/StafMa00.htm","http://www.pro-football-reference.com/players/S/StafMa00/gamelog"
"138","Doug Flutie","1986-2005",1986,2005,2218,1209,15209,88,93,12,"http://www.pro-football-reference.com/players/F/FlutDo00.htm","http://www.pro-football-reference.com/players/F/FlutDo00/gamelog"
"284","Kyle Orton","2005-2013",2005,2013,2214,1293,14621,81,73,8,"http://www.pro-football-reference.com/players/O/OrtoKy00.htm","http://www.pro-football-reference.com/players/O/OrtoKy00/gamelog"
"145","Earl Morrall","1960-1976",1960,1976,2210,1162,17529,142,140,17,"http://www.pro-football-reference.com/players/M/MorrEa00.htm","http://www.pro-football-reference.com/players/M/MorrEa00/gamelog"
"301","Matt Cassel","2005-2013",2005,2013,2137,1264,14101,85,84,9,"http://www.pro-football-reference.com/players/C/CassMa00.htm","http://www.pro-football-reference.com/players/C/CassMa00/gamelog"
"293","Marc Wilson","1980-1990",1980,1990,2108,1096,14526,87,81,10,"http://www.pro-football-reference.com/players/W/WilsMa00.htm","http://www.pro-football-reference.com/players/W/WilsMa00/gamelog"
"161","Frank Ryan","1960-1970",1960,1970,2102,1078,15833,152,111,11,"http://www.pro-football-reference.com/players/R/RyanFr00.htm","http://www.pro-football-reference.com/players/R/RyanFr00/gamelog"
"359","Rick Mirer","1993-2003",1993,2003,2043,1088,11969,50,79,8,"http://www.pro-football-reference.com/players/M/MireRi00.htm","http://www.pro-football-reference.com/players/M/MireRi00/gamelog"
"25","Bill Nelsen","1963-1972",1963,1972,2037,1031,15004,101,92,10,"http://www.pro-football-reference.com/players/N/NelsBi00.htm","http://www.pro-football-reference.com/players/N/NelsBi00/gamelog"
"298","Mark Sanchez","2009-2012",2009,2012,2024,1123,13247,77,67,4,"http://www.pro-football-reference.com/players/S/SancMa00.htm","http://www.pro-football-reference.com/players/S/SancMa00/gamelog"
"256","Josh Freeman","2009-2013",2009,2013,2020,1164,13724,80,61,5,"http://www.pro-football-reference.com/players/F/FreeJo00.htm","http://www.pro-football-reference.com/players/F/FreeJo00/gamelog"
"24","Bill Munson","1964-1979",1964,1979,1990,1072,12940,84,104,16,"http://www.pro-football-reference.com/players/M/MunsBi00.htm","http://www.pro-football-reference.com/players/M/MunsBi00/gamelog"
"166","Gary Danielson","1977-1988",1977,1988,1970,1129,14000,81,86,10,"http://www.pro-football-reference.com/players/D/DaniGa00.htm","http://www.pro-football-reference.com/players/D/DaniGa00/gamelog"
"132","Don Majkowski","1987-1996",1987,1996,1928,1070,12906,69,78,10,"http://www.pro-football-reference.com/players/M/MajkDo00.htm","http://www.pro-football-reference.com/players/M/MajkDo00/gamelog"
"326","Milt Plum","1957-1969",1957,1969,1912,1019,13469,95,94,12,"http://www.pro-football-reference.com/players/P/PlumMi00.htm","http://www.pro-football-reference.com/players/P/PlumMi00/gamelog"
"322","Mike Phipps","1970-1981",1970,1981,1858,911,10806,56,103,12,"http://www.pro-football-reference.com/players/P/PhipMi00.htm","http://www.pro-football-reference.com/players/P/PhipMi00/gamelog"
"203","Jay Fiedler","1998-2005",1998,2005,1827,1067,12499,72,79,8,"http://www.pro-football-reference.com/players/F/FiedJa00.htm","http://www.pro-football-reference.com/players/F/FiedJa00/gamelog"
"462","Vince Ferragamo","1977-1986",1977,1986,1803,994,12564,84,77,9,"http://www.pro-football-reference.com/players/F/FerrVi00.htm","http://www.pro-football-reference.com/players/F/FerrVi00/gamelog"
"378","Sam Bradford","2010-2013",2010,2013,1760,1032,11065,59,49,4,"http://www.pro-football-reference.com/players/B/BradSa00.htm","http://www.pro-football-reference.com/players/B/BradSa00/gamelog"
"318","Mike Livingston","1968-1979",1968,1979,1751,912,11295,56,90,12,"http://www.pro-football-reference.com/players/L/LiviMi00.htm","http://www.pro-football-reference.com/players/L/LiviMi00/gamelog"
"400","Steve Bono","1985-1999",1985,1999,1728,947,10576,63,75,14,"http://www.pro-football-reference.com/players/B/BonoSt00.htm","http://www.pro-football-reference.com/players/B/BonoSt00/gamelog"
"296","Mark Malone","1981-1989",1981,1989,1719,879,10733,64,73,8,"http://www.pro-football-reference.com/players/M/MaloMa00.htm","http://www.pro-football-reference.com/players/M/MaloMa00/gamelog"
"424","Tim Couch","1999-2003",1999,2003,1714,1025,11131,64,62,5,"http://www.pro-football-reference.com/players/C/CoucTi00.htm","http://www.pro-football-reference.com/players/C/CoucTi00/gamelog"
"437","Tom Flores","1960-1969",1960,1969,1714,838,11960,93,88,9,"http://www.pro-football-reference.com/players/F/FlorTo00.htm","http://www.pro-football-reference.com/players/F/FlorTo00/gamelog"
"28","Billy Joe Tolliver","1989-1999",1989,1999,1707,891,10760,59,77,9,"http://www.pro-football-reference.com/players/T/TollBi00.htm","http://www.pro-football-reference.com/players/T/TollBi00/gamelog"
"355","Rex Grossman","2003-2011",2003,2011,1695,932,11015,60,57,9,"http://www.pro-football-reference.com/players/G/GrosRe00.htm","http://www.pro-football-reference.com/players/G/GrosRe00/gamelog"
"94","Cotton Davidson","1960-1968",1960,1968,1687,742,11451,73,71,8,"http://www.pro-football-reference.com/players/D/DaviCo00.htm","http://www.pro-football-reference.com/players/D/DaviCo00/gamelog"
"192","Jack Trudeau","1986-1995",1986,1995,1677,894,10494,44,68,10,"http://www.pro-football-reference.com/players/T/TrudJa00.htm","http://www.pro-football-reference.com/players/T/TrudJa00/gamelog"
"114","Dave M. Brown","1992-2000",1992,2000,1644,898,10304,44,71,9,"http://www.pro-football-reference.com/players/B/BrowDa00.htm","http://www.pro-football-reference.com/players/B/BrowDa00/gamelog"
"67","Byron Leftwich","2003-2012",2003,2012,1637,948,10711,58,63,9,"http://www.pro-football-reference.com/players/L/LeftBy00.htm","http://www.pro-football-reference.com/players/L/LeftBy00/gamelog"
"449","Tony Eason","1983-1990",1983,1990,1636,953,11703,68,66,8,"http://www.pro-football-reference.com/players/E/EasoTo00.htm","http://www.pro-football-reference.com/players/E/EasoTo00/gamelog"
"31","Billy Wade","1955-1966",1955,1966,1620,883,11390,80,70,8,"http://www.pro-football-reference.com/players/W/WadeBi00.htm","http://www.pro-football-reference.com/players/W/WadeBi00/gamelog"
"78","Charlie Batch","1998-2012",1998,2012,1604,908,11085,61,80,12,"http://www.pro-football-reference.com/players/B/BatcCh00.htm","http://www.pro-football-reference.com/players/B/BatcCh00/gamelog"
"471","Y.A. Tittle","1948-1964",1948,1964,1592,870,12007,104,68,7,"http://www.pro-football-reference.com/players/T/TittY.00.htm","http://www.pro-football-reference.com/players/T/TittY.00/gamelog"
"74","Chad Henne","2008-2013",2008,2013,1591,944,10648,45,51,6,"http://www.pro-football-reference.com/players/H/HennCh01.htm","http://www.pro-football-reference.com/players/H/HennCh01/gamelog"
"155","Eric Hipple","1981-1989",1981,1989,1584,852,11009,56,66,8,"http://www.pro-football-reference.com/players/H/HippEr00.htm","http://www.pro-football-reference.com/players/H/HippEr00/gamelog"
"321","Mike Pagel","1982-1993",1982,1993,1534,773,9593,51,76,11,"http://www.pro-football-reference.com/players/P/PageMi00.htm","http://www.pro-football-reference.com/players/P/PageMi00/gamelog"
"282","Kyle Boller","2003-2011",2003,2011,1519,861,8931,48,66,8,"http://www.pro-football-reference.com/players/B/BollKy00.htm","http://www.pro-football-reference.com/players/B/BollKy00/gamelog"
"336","Pat Haden","1976-1981",1976,1981,1486,786,10024,56,68,6,"http://www.pro-football-reference.com/players/H/HadePa00.htm","http://www.pro-football-reference.com/players/H/HadePa00/gamelog"
"125","Derek Anderson","2006-2013",2006,2013,1440,760,9206,53,58,8,"http://www.pro-football-reference.com/players/A/AndeDe00.htm","http://www.pro-football-reference.com/players/A/AndeDe00/gamelog"
"12","Andy Dalton","2011-2013",2011,2013,1418,866,9713,58,43,3,"http://www.pro-football-reference.com/players/D/DaltAn00.htm","http://www.pro-football-reference.com/players/D/DaltAn00/gamelog"
"461","Vince Evans","1977-1995",1977,1995,1398,706,9511,52,94,15,"http://www.pro-football-reference.com/players/E/EvanVi00.htm","http://www.pro-football-reference.com/players/E/EvanVi00/gamelog"
"123","David Woodley","1980-1985",1980,1985,1381,735,9203,53,63,6,"http://www.pro-football-reference.com/players/W/WoodDa00.htm","http://www.pro-football-reference.com/players/W/WoodDa00/gamelog"
"413","Steve Walsh","1989-1999",1989,1999,1376,745,8248,42,61,9,"http://www.pro-football-reference.com/players/W/WalsSt00.htm","http://www.pro-football-reference.com/players/W/WalsSt00/gamelog"
"342","Pete Beathard","1964-1973",1964,1973,1368,609,8544,45,79,10,"http://www.pro-football-reference.com/players/B/BeatPe00.htm","http://www.pro-football-reference.com/players/B/BeatPe00/gamelog"
"245","John Friesz","1990-2000",1990,2000,1364,745,8699,45,57,10,"http://www.pro-football-reference.com/players/F/FrieJo00.htm","http://www.pro-football-reference.com/players/F/FrieJo00/gamelog"
"167","Gary Hogeboom","1982-1989",1982,1989,1354,757,9598,51,59,8,"http://www.pro-football-reference.com/players/H/HogeGa00.htm","http://www.pro-football-reference.com/players/H/HogeGa00/gamelog"
"271","Kent Graham","1992-2001",1992,2001,1339,694,7801,39,60,9,"http://www.pro-football-reference.com/players/G/GrahKe00.htm","http://www.pro-football-reference.com/players/G/GrahKe00/gamelog"
"463","Vince Young","2006-2011",2006,2011,1333,771,9102,46,62,6,"http://www.pro-football-reference.com/players/Y/YounVi00.htm","http://www.pro-football-reference.com/players/Y/YounVi00/gamelog"
"445","Tommy Maddox","1992-2005",1992,2005,1296,740,8754,53,56,9,"http://www.pro-football-reference.com/players/M/MaddTo00.htm","http://www.pro-football-reference.com/players/M/MaddTo00/gamelog"
"352","Randy Johnson","1966-1976",1966,1976,1286,647,8329,51,73,10,"http://www.pro-football-reference.com/players/J/JohnRa00.htm","http://www.pro-football-reference.com/players/J/JohnRa00/gamelog"
"162","Frank Tripucka","1960-1963",1960,1963,1277,662,7676,51,43,4,"http://www.pro-football-reference.com/players/T/TripFr00.htm","http://www.pro-football-reference.com/players/T/TripFr00/gamelog"
"70","Cam Newton","2011-2013",2011,2013,1241,744,9721,53,40,3,"http://www.pro-football-reference.com/players/N/NewtCa00.htm","http://www.pro-football-reference.com/players/N/NewtCa00/gamelog"
"165","Gary Cuozzo","1963-1972",1963,1972,1234,606,7688,45,82,10,"http://www.pro-football-reference.com/players/C/CuozGa00.htm","http://www.pro-football-reference.com/players/C/CuozGa00/gamelog"
"198","James Harris","1969-1979",1969,1979,1198,628,8479,47,78,10,"http://www.pro-football-reference.com/players/H/HarrJa01.htm","http://www.pro-football-reference.com/players/H/HarrJa01/gamelog"
"127","Dick Wood","1962-1966",1962,1966,1194,522,7153,51,47,5,"http://www.pro-football-reference.com/players/W/WoodDi00.htm","http://www.pro-football-reference.com/players/W/WoodDi00/gamelog"
"42","Bobby Douglass","1969-1978",1969,1978,1178,507,6493,36,74,10,"http://www.pro-football-reference.com/players/D/DougBo00.htm","http://www.pro-football-reference.com/players/D/DougBo00/gamelog"
"258","Josh McCown","2002-2013",2002,2013,1174,681,7474,40,53,10,"http://www.pro-football-reference.com/players/M/McCoJo01.htm","http://www.pro-football-reference.com/players/M/McCoJo01/gamelog"
"35","Bob Berry","1965-1975",1965,1975,1173,661,9197,64,71,11,"http://www.pro-football-reference.com/players/B/BerrBo00.htm","http://www.pro-football-reference.com/players/B/BerrBo00/gamelog"
"472","Zeke Bratkowski","1960-1971",1960,1971,1162,608,8005,47,79,10,"http://www.pro-football-reference.com/players/B/BratZe00.htm","http://www.pro-football-reference.com/players/B/BratZe00/gamelog"
"410","Steve Spurrier","1967-1976",1967,1976,1151,597,7919,40,104,10,"http://www.pro-football-reference.com/players/S/SpurSt00.htm","http://www.pro-football-reference.com/players/S/SpurSt00/gamelog"
"34","Bob Avellini","1975-1984",1975,1984,1135,575,7288,34,66,8,"http://www.pro-football-reference.com/players/A/AvelBo00.htm","http://www.pro-football-reference.com/players/A/AvelBo00/gamelog"
"353","Randy Wright","1984-1988",1984,1988,1119,602,7106,31,45,5,"http://www.pro-football-reference.com/players/W/WrigRa00.htm","http://www.pro-football-reference.com/players/W/WrigRa00/gamelog"
"189","Jack Concannon","1964-1975",1964,1975,1110,560,6270,36,60,10,"http://www.pro-football-reference.com/players/C/ConcJa00.htm","http://www.pro-football-reference.com/players/C/ConcJa00/gamelog"
"403","Steve Fuller","1979-1986",1979,1986,1107,627,7454,30,62,7,"http://www.pro-football-reference.com/players/F/FullSt00.htm","http://www.pro-football-reference.com/players/F/FullSt00/gamelog"
"382","Scott Brunner","1980-1985",1980,1985,1097,537,6843,35,45,5,"http://www.pro-football-reference.com/players/B/BrunSc00.htm","http://www.pro-football-reference.com/players/B/BrunSc00/gamelog"
"418","Tarvaris Jackson","2006-2013",2006,2013,1096,647,7368,39,53,8,"http://www.pro-football-reference.com/players/J/JackTa00.htm","http://www.pro-football-reference.com/players/J/JackTa00/gamelog"
"95","Craig Erickson","1992-1997",1992,1997,1092,591,7625,41,52,6,"http://www.pro-football-reference.com/players/E/EricCr00.htm","http://www.pro-football-reference.com/players/E/EricCr00/gamelog"
"369","Rudy Bukich","1960-1968",1960,1968,1084,588,7865,59,68,9,"http://www.pro-football-reference.com/players/B/BukiRu00.htm","http://www.pro-football-reference.com/players/B/BukiRu00/gamelog"
"116","Dave Wilson","1981-1988",1981,1988,1051,553,7007,36,53,7,"http://www.pro-football-reference.com/players/W/WilsDa00.htm","http://www.pro-football-reference.com/players/W/WilsDa00/gamelog"
"224","Jim Miller","1995-2002",1995,2002,1051,613,6410,36,38,6,"http://www.pro-football-reference.com/players/M/MillJi00.htm","http://www.pro-football-reference.com/players/M/MillJi00/gamelog"
"160","Frank Reich","1985-1998",1985,1998,1036,575,6858,47,78,13,"http://www.pro-football-reference.com/players/R/ReicFr00.htm","http://www.pro-football-reference.com/players/R/ReicFr00/gamelog"
"225","Jim Ninowski","1958-1969",1958,1969,1036,505,6984,33,62,11,"http://www.pro-football-reference.com/players/N/NinoJi00.htm","http://www.pro-football-reference.com/players/N/NinoJi00/gamelog"
"234","Joe Kapp","1967-1970",1967,1970,1019,510,6746,43,55,4,"http://www.pro-football-reference.com/players/K/KappJo00.htm","http://www.pro-football-reference.com/players/K/KappJo00/gamelog"
"146","Ed Brown","1956-1965",1956,1965,1008,455,7820,50,73,7,"http://www.pro-football-reference.com/players/B/BrowEd01.htm","http://www.pro-football-reference.com/players/B/BrowEd01/gamelog"
"348","Quincy Carter","2001-2004",2001,2004,996,563,6491,32,38,4,"http://www.pro-football-reference.com/players/C/CartQu00.htm","http://www.pro-football-reference.com/players/C/CartQu00/gamelog"
"108","Danny Kanell","1996-2003",1996,2003,988,507,5328,32,40,6,"http://www.pro-football-reference.com/players/K/KaneDa00.htm","http://www.pro-football-reference.com/players/K/KaneDa00/gamelog"
