"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"341","Paul McDonald","1980-1984",1980,1984,804,429,5550,25,35,5,"http://www.pro-football-reference.com/players/M/McDoPa00.htm","http://www.pro-football-reference.com/players/M/McDoPa00/gamelog"
"39","Bob Lee","1969-1980",1969,1980,797,401,5416,31,84,12,"http://www.pro-football-reference.com/players/L/LeexBo00.htm","http://www.pro-football-reference.com/players/L/LeexBo00/gamelog"
"168","Gary Huff","1973-1978",1973,1978,788,392,4329,16,40,5,"http://www.pro-football-reference.com/players/H/HuffGa00.htm","http://www.pro-football-reference.com/players/H/HuffGa00/gamelog"
"390","Seneca Wallace","2005-2013",2005,2013,783,463,4956,31,64,8,"http://www.pro-football-reference.com/players/W/WallSe00.htm","http://www.pro-football-reference.com/players/W/WallSe00/gamelog"
"343","Pete Liske","1964-1972",1964,1972,778,396,5170,30,42,5,"http://www.pro-football-reference.com/players/L/LiskPe00.htm","http://www.pro-football-reference.com/players/L/LiskPe00/gamelog"
"32","Blaine Gabbert","2011-2013",2011,2013,777,414,4357,22,28,3,"http://www.pro-football-reference.com/players/G/GabbBl00.htm","http://www.pro-football-reference.com/players/G/GabbBl00/gamelog"
"385","Scott Hunter","1971-1979",1971,1979,772,347,4906,23,55,6,"http://www.pro-football-reference.com/players/H/HuntSc00.htm","http://www.pro-football-reference.com/players/H/HuntSc00/gamelog"
"1","A.J. Feeley","2001-2011",2001,2011,762,425,4618,28,31,7,"http://www.pro-football-reference.com/players/F/FeelA.00.htm","http://www.pro-football-reference.com/players/F/FeelA.00/gamelog"
"432","Todd Collins","1995-2010",1995,2010,759,421,4820,24,54,12,"http://www.pro-football-reference.com/players/C/CollTo00.htm","http://www.pro-football-reference.com/players/C/CollTo00/gamelog"
"307","Matt Moore","2007-2012",2007,2012,758,448,5268,33,46,5,"http://www.pro-football-reference.com/players/M/MoorMa01.htm","http://www.pro-football-reference.com/players/M/MoorMa01/gamelog"
"274","Kevin Kolb","2007-2012",2007,2012,755,449,5206,28,32,6,"http://www.pro-football-reference.com/players/K/KolbKe00.htm","http://www.pro-football-reference.com/players/K/KolbKe00/gamelog"
"362","Robert Griffin III","2012-2013",2012,2013,749,473,5734,34,25,2,"http://www.pro-football-reference.com/players/G/GrifRo01.htm","http://www.pro-football-reference.com/players/G/GrifRo01/gamelog"
"376","Ryan Tannehill","2012-2013",2012,2013,745,437,5063,23,24,2,"http://www.pro-football-reference.com/players/T/TannRy00.htm","http://www.pro-football-reference.com/players/T/TannRy00/gamelog"
"126","Dick Shiner","1964-1974",1964,1974,736,354,4801,36,52,10,"http://www.pro-football-reference.com/players/S/ShinDi00.htm","http://www.pro-football-reference.com/players/S/ShinDi00/gamelog"
"121","David Klingler","1992-1997",1992,1997,718,389,3994,16,32,6,"http://www.pro-football-reference.com/players/K/KlinDa00.htm","http://www.pro-football-reference.com/players/K/KlinDa00/gamelog"
"51","Brandon Weeden","2012-2013",2012,2013,714,401,4537,19,21,2,"http://www.pro-football-reference.com/players/W/WeedBr00.htm","http://www.pro-football-reference.com/players/W/WeedBr00/gamelog"
"426","Tim Rattay","2000-2007",2000,2007,714,432,4853,31,36,8,"http://www.pro-football-reference.com/players/R/RattTi00.htm","http://www.pro-football-reference.com/players/R/RattTi00/gamelog"
"86","Chris Weinke","2001-2007",2001,2007,712,386,3901,15,30,5,"http://www.pro-football-reference.com/players/W/WeinCh00.htm","http://www.pro-football-reference.com/players/W/WeinCh00/gamelog"
