Season,Year_Start,Year_End,Date,Month,Day,Name,Person_Type,Current_Team,Team,First_Team,Second_Team,Third_Team,Notes,Award,Award.Name,League,fname,PTS,REB,AST,Wins,Losses,WL%,PPG,RPG,APG,BPG,PPG_Previous,RPG_Previous,APG_Previous,SPG,FG%,FT%,source
1951-1952,1951,1952,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,six players in All-NBA First Team,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1951-1952,1951,1952,NA,NA,NA,Larry Foust,Player,Detroit Pistons,Fort Wayne Pistons,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1951-1952,1951,1952,NA,NA,NA,Vern Mikkelsen,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1951-1952,1951,1952,NA,NA,NA,Jim Pollard,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1951-1952,1951,1952,NA,NA,NA,Bob Wanzer,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1951-1952,1951,1952,NA,NA,NA,Andy Phillip,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,George Mikan,Player,Los Angeles Lakers,Minneapolis Lakers,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Neil Johnston,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Ed Macauley,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Vern Mikkelsen,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Bob Wanzer,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Bob Davies,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1952-1953,1952,1953,NA,NA,NA,Andy Phillip,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Neil Johnston,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,George Mikan,Player,Los Angeles Lakers,Minneapolis Lakers,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Harry Gallatin,Player,New York Knicks,New York Knicks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Ed Macauley,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Jim Pollard,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Carl Braun,Player,New York Knicks,New York Knicks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Bob Wanzer,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1953-1954,1953,1954,NA,NA,NA,Paul Seymour,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Neil Johnston,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,Milwaukee Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Larry Foust,Player,Detroit Pistons,Fort Wayne Pistons,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Vern Mikkelsen,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Harry Gallatin,Player,New York Knicks,New York Knicks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Paul Seymour,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Slater Martin,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1954-1955,1954,1955,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Paul Arizin,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Neil Johnston,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Maurice Stokes,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Clyde Lovellette,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Slater Martin,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1955-1956,1955,1956,NA,NA,NA,Jack George,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Paul Arizin,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,George Yardley,Player,Detroit Pistons,Fort Wayne Pistons,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Maurice Stokes,Player,Sacramento Kings,Rochester Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Neil Johnston,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Dick Garmaker,Player,Los Angeles Lakers,Minneapolis Lakers,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1956-1957,1956,1957,NA,NA,NA,Slater Martin,Player,Atlanta Hawks,St. Louis Hawks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,George Yardley,Player,Detroit Pistons,Detroit Pistons,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Cliff Hagan,Player,Atlanta Hawks,St. Louis Hawks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Maurice Stokes,Player,Sacramento Kings,Cincinnati Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Bill Russell,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Tom Gola,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1957-1958,1957,1958,NA,NA,NA,Slater Martin,Player,Atlanta Hawks,St. Louis Hawks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Elgin Baylor,Player,Los Angeles Lakers,Minneapolis Lakers,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Bill Russell,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Paul Arizin,Player,Golden State Warriors,Philadelphia Warriors,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Cliff Hagan,Player,Atlanta Hawks,St. Louis Hawks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Slater Martin,Player,Atlanta Hawks,St. Louis Hawks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1958-1959,1958,1959,NA,NA,NA,Richie Guerin,Player,New York Knicks,New York Knicks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Elgin Baylor,Player,Los Angeles Lakers,Minneapolis Lakers,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Wilt Chamberlain,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Gene Shue,Player,Detroit Pistons,Detroit Pistons,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Jack Twyman,Player,Sacramento Kings,Cincinnati Royals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Bill Russell,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Richie Guerin,Player,New York Knicks,New York Knicks,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1959-1960,1959,1960,NA,NA,NA,Bill Sharman,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Elgin Baylor,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Bob Pettit,Player,Atlanta Hawks,St. Louis Hawks,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Wilt Chamberlain,Player,Golden State Warriors,Philadelphia Warriors,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Bob Cousy,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Oscar Robertson,Player,Sacramento Kings,Cincinnati Royals,TRUE,NA,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Dolph Schayes,Player,Philadelphia 76ers,Syracuse Nationals,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Tom Heinsohn,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1960-1961,1960,1961,NA,NA,NA,Bill Russell,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-NBA,NA,NBA,All NBA Winners.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
