Franchise,Gate,Media,Stadium,Other Revenue,Total Revenue,Player Salaries,Other Expenses,Total Expenses,Operating Income,Franchise Value,Debt,Season,Source URL
Portland Trail Blazers,"14,200,000","24,600,000","4,000,000",0,"46,000,000","23,100,000","15,300,000","38,400,000","7,600,000","132,000,000",,1993-1994,
Sacramento Kings,"15,300,000","13,600,000","9,400,000",0,"41,400,000","16,000,000","20,800,000","36,800,000","4,600,000","108,000,000",,1993-1994,
San Antonio Spurs,"26,100,000","13,300,000","5,900,000",0,"50,500,000","19,500,000","15,500,000","35,000,000","15,500,000","110,000,000",,1993-1994,
Seattle Supersonics,"19,200,000","20,200,000","1,900,000",0,"44,300,000","20,200,000","15,500,000","35,700,000","8,600,000","119,000,000",,1993-1994,
Utah Jazz,"25,000,000","16,700,000","8,600,000",0,"53,800,000","17,000,000","20,600,000","37,600,000","16,200,000","127,000,000",,1993-1994,
Washington Wizards,"14,400,000","14,500,000","6,200,000",0,"38,200,000","15,900,000","17,400,000","33,300,000","4,900,000","96,000,000",,1993-1994,
New York Knicks,"36,900,000","25,500,000","14,500,000",0,"80,800,000","27,300,000","21,700,000","49,000,000","31,800,000","205,000,000",,1994-1995,
Phoenix Suns,"31,100,000","35,300,000","11,400,000",0,"82,300,000","29,000,000","22,900,000","51,900,000","30,400,000","191,000,000",,1994-1995,
Detroit Pistons,"19,900,000","21,300,000","19,700,000",0,"64,500,000","17,100,000","18,900,000","36,000,000","28,500,000","186,000,000",,1994-1995,
Chicago Bulls,"34,100,000","24,100,000","8,300,000",0,"69,900,000","23,600,000","20,100,000","43,700,000","26,200,000","178,000,000",,1994-1995,
Los Angeles Lakers,"26,900,000","34,000,000","6,900,000",0,"72,400,000","45,600,000","20,600,000","66,200,000","6,200,000","171,000,000",,1994-1995,
Cleveland Cavaliers,"29,700,000","18,600,000","13,800,000",0,"65,900,000","30,400,000","14,000,000","44,400,000","21,500,000","151,000,000",,1994-1995,
Utah Jazz,"24,400,000","16,200,000","8,800,000",0,"53,000,000","19,300,000","16,300,000","35,600,000","17,400,000","142,000,000",,1994-1995,
Portland Trail Blazers,"18,200,000","23,000,000","2,200,000",0,"47,300,000","29,200,000","11,300,000","40,500,000","6,800,000","137,000,000",,1994-1995,
Boston Celtics,"20,800,000","29,300,000","600,000",0,"54,200,000","25,300,000","12,200,000","37,500,000","16,700,000","134,000,000",,1994-1995,
San Antonio Spurs,"30,000,000","18,600,000","4,500,000",0,"56,500,000","24,700,000","14,600,000","39,300,000","17,200,000","126,000,000",,1994-1995,
Seattle Supersonics,"21,600,000","19,100,000","2,000,000",0,"46,500,000","25,800,000","11,500,000","37,300,000","9,200,000","129,000,000",,1994-1995,
Orlando Magic,"26,800,000","25,400,000","2,500,000",0,"58,100,000","31,000,000","12,600,000","43,600,000","14,500,000","121,000,000",,1994-1995,
Houston Rockets,"28,800,000","21,500,000","2,500,000",0,"57,300,000","18,500,000","13,700,000","32,200,000","25,100,000","116,000,000",,1994-1995,
Sacramento Kings,"15,700,000","14,200,000","10,700,000",0,"44,100,000","21,900,000","14,300,000","36,200,000","7,900,000","114,000,000",,1994-1995,
Charlotte Hornets,"21,400,000","19,200,000","2,600,000",0,"46,600,000","20,700,000","10,200,000","30,900,000","15,700,000","113,000,000",,1994-1995,
Washington Wizards,"16,600,000","15,400,000","5,300,000",0,"40,700,000","18,200,000","11,600,000","29,800,000","10,900,000","113,000,000",,1994-1995,
Golden State Warriors,"17,000,000","20,300,000","5,500,000",0,"46,200,000","24,100,000","11,800,000","35,900,000","10,300,000","114,000,000",,1994-1995,
Minnesota Timberwolves,"15,700,000","22,000,000","6,200,000",0,"47,300,000","18,600,000","10,700,000","29,300,000","18,000,000","110,000,000",,1994-1995,
New Jersey Nets,"20,600,000","27,300,000","500,000",0,"51,800,000","24,700,000","16,300,000","41,000,000","10,800,000","108,000,000",,1994-1995,
Milwaukee Bucks,"14,200,000","14,500,000","7,800,000",0,"40,200,000","17,900,000","8,400,000","26,300,000","13,900,000","103,000,000",,1994-1995,
Denver Nuggets,"14,700,000","16,900,000","6,700,000",0,"41,700,000","23,500,000","8,300,000","31,800,000","9,900,000","102,000,000",,1994-1995,
Miami Heat,"13,900,000","17,800,000","4,000,000",0,"39,100,000","19,600,000","9,200,000","28,800,000","10,300,000","97,000,000",,1994-1995,
Atlanta Hawks,"12,600,000","17,000,000","6,700,000",0,"40,800,000","23,300,000","13,300,000","36,600,000","4,200,000","96,000,000",,1994-1995,
Indiana Pacers,"20,400,000","17,000,000","4,500,000",0,"45,300,000","26,600,000","9,800,000","36,400,000","8,900,000","94,000,000",,1994-1995,
Philadelphia 76ers,"12,900,000","19,800,000","1,000,000",0,"37,200,000","21,300,000","9,000,000","30,300,000","6,900,000","93,000,000",,1994-1995,
Dallas Mavericks,"16,100,000","17,100,000","1,800,000",0,"38,500,000","19,900,000","9,300,000","29,200,000","9,300,000","89,000,000",,1994-1995,
Los Angeles Clippers,"10,500,000","18,700,000","2,000,000",0,"34,700,000","19,600,000","7,400,000","27,000,000","7,700,000","88,000,000",,1994-1995,
New York Knicks,"41,200,000","30,000,000","19,600,000","9,100,000","99,900,000","45,900,000","31,000,000","76,900,000","23,000,000","250,000,000",,1995-1996,
Phoenix Suns,"27,500,000","32,500,000","10,900,000","7,900,000","78,800,000","39,000,000","24,500,000","63,500,000","15,300,000","220,000,000",,1995-1996,
Chicago Bulls,"38,000,000","27,300,000","12,200,000","9,300,000","86,800,000","25,500,000","28,200,000","53,700,000","33,100,000","214,000,000",,1995-1996,
Los Angeles Lakers,"31,000,000","36,500,000","6,800,000","7,000,000","81,300,000","34,900,000","26,500,000","61,400,000","19,900,000","211,000,000",,1995-1996,
Detroit Pistons,"24,400,000","22,100,000","24,500,000","6,300,000","77,300,000","25,600,000","26,000,000","51,600,000","25,700,000","202,000,000",,1995-1996,
Cleveland Cavaliers,"25,700,000","19,500,000","13,400,000","5,900,000","64,500,000","29,600,000","23,000,000","52,600,000","11,900,000","180,000,000",,1995-1996,
Portland Trail Blazers,"40,900,000","22,600,000","15,200,000","7,400,000","86,100,000","25,600,000","27,000,000","52,600,000","33,500,000","179,000,000",,1995-1996,
Utah Jazz,"27,200,000","15,600,000","11,500,000","7,100,000","61,400,000","24,000,000","22,500,000","46,500,000","14,900,000","163,000,000",,1995-1996,
Orlando Magic,"27,600,000","25,100,000","4,800,000","5,300,000","62,800,000","39,100,000","15,200,000","54,300,000","8,500,000","156,000,000",,1995-1996,
San Antonio Spurs,"29,400,000","20,200,000","6,000,000","4,100,000","59,700,000","28,000,000","16,500,000","44,500,000","15,200,000","156,000,000",,1995-1996,
Boston Celtics,"29,800,000","22,600,000","7,400,000","4,800,000","64,600,000","27,600,000","20,600,000","48,200,000","16,400,000","155,000,000",,1995-1996,
Houston Rockets,"27,900,000","25,000,000","4,400,000","5,500,000","62,800,000","27,400,000","22,000,000","49,400,000","13,400,000","154,000,000",,1995-1996,
Toronto Raptors,"23,700,000","17,000,000","4,500,000","4,200,000","49,400,000","18,100,000","17,000,000","35,100,000","14,300,000","138,000,000",,1995-1996,
New Jersey Nets,"19,200,000","24,700,000","5,300,000","3,700,000","52,900,000","24,600,000","21,000,000","45,600,000","7,300,000","137,000,000",,1995-1996,
Seattle Supersonics,"26,600,000","19,500,000","3,900,000","5,700,000","55,700,000","27,700,000","16,000,000","43,700,000","12,000,000","137,000,000",,1995-1996,
Charlotte Hornets,"23,500,000","19,800,000","6,200,000","4,200,000","53,700,000","24,200,000","14,600,000","38,800,000","14,900,000","136,000,000",,1995-1996,
Sacramento Kings,"19,900,000","15,800,000","9,400,000","5,300,000","50,400,000","26,100,000","20,000,000","46,100,000","4,300,000","131,000,000",,1995-1996,
Golden State Warriors,"18,600,000","20,900,000","4,900,000","3,800,000","48,200,000","24,700,000","15,700,000","40,400,000","7,800,000","130,000,000",,1995-1996,
Washington Wizards,"17,500,000","16,200,000","7,000,000","5,200,000","45,900,000","23,800,000","17,500,000","41,300,000","4,600,000","129,000,000",,1995-1996,
Vancouver Grizzlies,"17,800,000","14,500,000","3,800,000","6,200,000","42,300,000","19,400,000","17,500,000","36,900,000","5,400,000","127,000,000",,1995-1996,
Minnesota Timberwolves,"13,600,000","19,900,000","6,800,000","3,700,000","44,000,000","23,900,000","13,500,000","37,400,000","6,600,000","123,000,000",,1995-1996,
Miami Heat,"17,200,000","18,800,000","4,400,000","3,900,000","44,300,000","23,500,000","16,000,000","39,500,000","4,800,000","118,000,000",,1995-1996,
Denver Nuggets,"16,200,000","18,600,000","4,600,000","4,200,000","43,600,000","24,800,000","14,400,000","39,200,000","4,400,000","116,000,000",,1995-1996,
Indiana Pacers,"22,400,000","16,800,000","4,700,000","3,900,000","47,800,000","25,600,000","13,100,000","38,700,000","9,100,000","114,000,000",,1995-1996,
Philadelphia 76ers,"14,100,000","24,500,000","2,300,000","3,700,000","44,600,000","27,100,000","15,400,000","42,500,000","2,100,000","113,000,000",,1995-1996,
Atlanta Hawks,"12,300,000","17,700,000","5,800,000","5,500,000","41,300,000","24,100,000","20,000,000","44,100,000","-2,800,000","111,000,000",,1995-1996,
Dallas Mavericks,"18,500,000","17,700,000","2,300,000","3,700,000","42,200,000","23,300,000","14,300,000","37,600,000","4,600,000","104,000,000",,1995-1996,
Milwaukee Bucks,"14,200,000","15,600,000","2,800,000","3,800,000","36,400,000","24,900,000","15,000,000","39,900,000","-3,500,000","103,000,000",,1995-1996,
Los Angeles Clippers,"10,100,000","19,100,000","2,500,000","3,800,000","35,500,000","22,600,000","14,200,000","36,800,000","-1,300,000","95,000,000",,1995-1996,
Chicago Bulls,,,,0,"112,200,000",0,0,"103,600,000","8,600,000","303,000,000",,1996-1997,
New York Knicks,,,,0,"109,700,000",0,0,"91,400,000","18,300,000","296,000,000",,1996-1997,
Los Angeles Lakers,,,,0,"92,400,000",0,0,"67,600,000","24,800,000","268,000,000",,1996-1997,
Portland Trail Blazers,,,,0,"94,100,000",0,0,"59,900,000","34,200,000","245,000,000",,1996-1997,
Phoenix Suns,,,,0,"87,000,000",0,0,"71,700,000","15,300,000","235,000,000",,1996-1997,
Washington Wizards,,,,0,"76,500,000",0,0,"68,300,000","8,200,000","207,000,000",,1996-1997,
Detroit Pistons,,,,0,"85,900,000",0,0,"55,900,000","30,000,000","206,000,000",,1996-1997,
Utah Jazz,,,,0,"80,100,000",0,0,"59,400,000","20,700,000","200,000,000",,1996-1997,
Philadelphia 76ers,,,,0,"69,900,000",0,0,"61,300,000","8,600,000","196,000,000",,1996-1997,
Boston Celtics,,,,0,"65,000,000",0,0,"54,500,000","10,500,000","176,000,000",,1996-1997,
Seattle Supersonics,,,,0,"64,900,000",0,0,"61,600,000","3,300,000","169,000,000",,1996-1997,
Houston Rockets,,,,0,"72,100,000",0,0,"51,800,000","20,300,000","166,000,000",,1996-1997,
Cleveland Cavaliers,,,,0,"61,900,000",0,0,"48,400,000","13,500,000","161,000,000",,1996-1997,
New Jersey Nets,,,,0,"65,500,000",0,0,"57,100,000","8,400,000","157,000,000",,1996-1997,
Indiana Pacers,,,,0,"56,400,000",0,0,"61,200,000","-4,800,000","152,000,000",,1996-1997,
Miami Heat,,,,0,"50,000,000",0,0,"57,500,000","-7,500,000","145,000,000",,1996-1997,
Atlanta Hawks,,,,0,"46,600,000",0,0,"55,700,000","-9,100,000","140,000,000",,1996-1997,
Orlando Magic,,,,0,"63,700,000",0,0,"65,600,000","-1,900,000","134,000,000",,1996-1997,
Vancouver Grizzlies,,,,0,"51,100,000",0,0,"49,800,000","1,300,000","133,000,000",,1996-1997,
Golden State Warriors,,,,0,"48,000,000",0,0,"50,500,000","-2,500,000","130,000,000",,1996-1997,
Charlotte Hornets,,,,0,"56,400,000",0,0,"47,200,000","9,200,000","124,000,000",,1996-1997,
San Antonio Spurs,,,,0,"55,300,000",0,0,"54,600,000","700,000","122,000,000",,1996-1997,
Toronto Raptors,,,,0,"44,900,000",0,0,"43,300,000","1,600,000","121,000,000",,1996-1997,
Dallas Mavericks,,,,0,"41,200,000",0,0,"48,000,000","-6,800,000","119,000,000",,1996-1997,
Sacramento Kings,,,,0,"51,900,000",0,0,"57,100,000","-5,200,000","119,000,000",,1996-1997,
Minnesota Timberwolves,,,,0,"51,800,000",0,0,"46,000,000","5,800,000","119,000,000",,1996-1997,
Denver Nuggets,,,,0,"37,800,000",0,0,"44,600,000","-6,800,000","110,000,000",,1996-1997,
Los Angeles Clippers,,,,0,"39,300,000",0,0,"44,200,000","-4,900,000","102,000,000",,1996-1997,
Milwaukee Bucks,,,,0,"42,700,000",0,0,"45,900,000","-3,200,000","94,000,000",,1996-1997,
New York Knicks,,,,0,"92,900,000",0,0,"88,900,000","4,000,000",,,1998-1999,
Chicago Bulls,,,,0,"66,800,000",0,0,"46,400,000","20,400,000",,,1998-1999,
Los Angeles Lakers,,,,0,"58,700,000",0,0,"59,600,000","-900,000",,,1998-1999,
Portland Trail Blazers,,,,0,"57,100,000",0,0,"70,600,000","-13,500,000",,,1998-1999,
Phoenix Suns,,,,0,"58,300,000",0,0,"52,500,000","5,800,000",,,1998-1999,
Philadelphia 76ers,,,,0,"57,700,000",0,0,"55,900,000","1,800,000",,,1998-1999,
Detroit Pistons,,,,0,"51,300,000",0,0,"53,000,000","-1,700,000",,,1998-1999,
Utah Jazz,,,,0,"47,700,000",0,0,"48,400,000","-700,000",,,1998-1999,
Washington Wizards,,,,0,"48,600,000",0,0,"51,400,000","-2,800,000",,,1998-1999,
Boston Celtics,,,,0,"41,500,000",0,0,"39,200,000","2,300,000",,,1998-1999,
Seattle Supersonics,,,,0,"43,600,000",0,0,"45,900,000","-2,300,000",,,1998-1999,
Indiana Pacers,,,,0,"34,200,000",0,0,"53,600,000","-19,400,000",,,1998-1999,
Cleveland Cavaliers,,,,0,"37,800,000",0,0,"37,900,000","-100,000",,,1998-1999,
San Antonio Spurs,,,,0,"42,300,000",0,0,"49,000,000","-6,700,000",,,1998-1999,
Houston Rockets,,,,0,"44,300,000",0,0,"47,900,000","-3,600,000",,,1998-1999,
New Jersey Nets,,,,0,"38,600,000",0,0,"47,200,000","-8,600,000",,,1998-1999,
Miami Heat,,,,0,"33,100,000",0,0,"53,800,000","-20,700,000",,,1998-1999,
Orlando Magic,,,,0,"37,900,000",0,0,"47,000,000","-9,100,000",,,1998-1999,
Sacramento Kings,,,,0,"34,300,000",0,0,"46,800,000","-12,500,000",,,1998-1999,
Atlanta Hawks,,,,0,"28,800,000",0,0,"48,100,000","-19,300,000",,,1998-1999,
Minnesota Timberwolves,,,,0,"41,700,000",0,0,"37,500,000","4,200,000",,,1998-1999,
Dallas Mavericks,,,,0,"26,100,000",0,0,"40,800,000","-14,700,000",,,1998-1999,
Golden State Warriors,,,,0,"31,800,000",0,0,"39,500,000","-7,700,000",,,1998-1999,
Toronto Raptors,,,,0,"33,600,000",0,0,"41,600,000","-8,000,000",,,1998-1999,
Charlotte Hornets,,,,0,"30,300,000",0,0,"32,500,000","-2,200,000",,,1998-1999,
Vancouver Grizzlies,,,,0,"28,200,000",0,0,"40,600,000","-12,400,000",,,1998-1999,
Denver Nuggets,,,,0,"23,800,000",0,0,"33,600,000","-9,800,000",,,1998-1999,
Milwaukee Bucks,,,,0,"25,800,000",0,0,"40,700,000","-14,900,000",,,1998-1999,
Los Angeles Clippers,,,,0,"23,000,000",0,0,"36,200,000","-13,200,000",,,1998-1999,
New York Knicks,"43,500,000",,,"108,500,000","152,000,000","74,800,000","46,500,000","121,300,000","30,700,000",,,1999-2000,
Los Angeles Lakers,"50,200,000",,,"83,000,000","133,200,000","57,700,000","38,900,000","96,600,000","36,600,000",,,1999-2000,
Chicago Bulls,"30,500,000",,,"81,700,000","112,200,000","29,500,000","34,500,000","64,000,000","48,200,000",,,1999-2000,
Portland Trail Blazers,"44,000,000",,,"53,300,000","97,300,000","76,400,000","33,700,000","110,100,000","-12,800,000",,,1999-2000,
Phoenix Suns,"24,000,000",,,"72,800,000","96,800,000","49,000,000","31,300,000","80,300,000","16,500,000",,,1999-2000,
Detroit Pistons,"17,900,000",,,"72,700,000","90,600,000","44,600,000","34,400,000","79,000,000","11,600,000",,,1999-2000,
Philadelphia 76ers,"22,200,000",,,"64,100,000","86,300,000","44,800,000","35,000,000","79,800,000","6,500,000",,,1999-2000,
Indiana Pacers,"32,000,000",,,"54,100,000","86,100,000","56,700,000","28,500,000","85,200,000","900,000",,,1999-2000,
Utah Jazz,"33,800,000",,,"53,200,000","87,000,000","51,700,000","30,100,000","81,800,000","5,200,000",,,1999-2000,
Miami Heat,"29,900,000",,,"60,000,000","89,900,000","53,500,000","26,700,000","80,200,000","9,700,000",,,1999-2000,
Boston Celtics,"24,900,000",,,"56,600,000","81,500,000","48,700,000","20,400,000","69,100,000","12,400,000",,,1999-2000,
Washington Wizards,"20,300,000",,,"54,700,000","75,000,000","55,100,000","26,000,000","81,100,000","-6,100,000",,,1999-2000,
Houston Rockets,"33,100,000",,,"46,300,000","79,400,000","54,800,000","25,600,000","80,400,000","-1,000,000",,,1999-2000,
San Antonio Spurs,"26,900,000",,,"40,500,000","67,400,000","46,300,000","22,500,000","68,800,000","-1,400,000",,,1999-2000,
Seattle Supersonics,"28,500,000",,,"46,200,000","74,700,000","43,800,000","24,200,000","68,000,000","6,700,000",,,1999-2000,
Cleveland Cavaliers,"15,300,000",,,"53,300,000","68,600,000","49,000,000","21,600,000","70,600,000","-2,000,000",,,1999-2000,
Atlanta Hawks,"16,700,000",,,"54,100,000","70,800,000","45,600,000","27,000,000","72,600,000","-1,800,000",,,1999-2000,
New Jersey Nets,"27,100,000",,,"50,900,000","78,000,000","45,300,000","24,000,000","69,300,000","8,700,000",,,1999-2000,
Sacramento Kings,"27,200,000",,,"44,100,000","71,300,000","42,600,000","25,900,000","68,500,000","2,800,000",,,1999-2000,
Denver Nuggets,"15,000,000",,,"52,500,000","67,500,000","45,700,000","24,500,000","70,200,000","-2,700,000",,,1999-2000,
Minnesota Timberwolves,"22,800,000",,,"47,600,000","70,400,000","44,600,000","20,000,000","64,600,000","5,800,000",,,1999-2000,
Golden State Warriors,"19,300,000",,,"47,900,000","67,200,000","38,600,000","22,600,000","61,200,000","6,000,000",,,1999-2000,
Dallas Mavericks,"21,300,000",,,"38,400,000","59,700,000","42,000,000","24,400,000","66,400,000","-6,700,000",,,1999-2000,
Orlando Magic,"21,600,000",,,"44,400,000","66,000,000","44,100,000","22,100,000","66,200,000","-200,000",,,1999-2000,
Los Angeles Clippers,"15,000,000",,,"46,800,000","61,800,000","28,800,000","21,500,000","50,300,000","11,500,000",,,1999-2000,
Toronto Raptors,"19,400,000",,,"42,100,000","61,500,000","37,200,000","23,100,000","60,300,000","1,200,000",,,1999-2000,
Charlotte Hornets,"20,000,000",,,"37,800,000","57,800,000","41,100,000","18,800,000","59,900,000","-2,100,000",,,1999-2000,
Milwaukee Bucks,"15,300,000",,,"39,400,000","54,700,000","48,300,000","19,400,000","67,700,000","-13,000,000",,,1999-2000,
Vancouver Grizzlies,"11,600,000",,,"39,700,000","51,300,000","40,200,000","19,600,000","59,800,000","-8,500,000",,,1999-2000,
Los Angeles Lakers,,,,0,"144,000,000","65,100,000","47,800,000","112,900,000","31,100,000",,,2000-2001,
New York Knicks,,,,0,"157,000,000","81,600,000","46,900,000","128,500,000","28,500,000",,,2000-2001,
Chicago Bulls,,,,0,"117,000,000","32,700,000","32,600,000","65,300,000","51,700,000",,,2000-2001,
Portland Trail Blazers,,,,0,"101,000,000","89,500,000","30,800,000","120,300,000","-19,300,000",,,2000-2001,
Philadelphia 76ers,,,,0,"103,000,000","53,600,000","38,300,000","91,900,000","11,100,000",,,2000-2001,
Phoenix Suns,,,,0,"102,000,000","45,500,000","31,300,000","76,800,000","25,200,000",,,2000-2001,
Miami Heat,,,,0,"99,000,000","66,900,000","30,800,000","97,700,000","1,300,000",,,2000-2001,
Houston Rockets,,,,0,"81,000,000","52,300,000","24,900,000","77,200,000","3,800,000",,,2000-2001,
Indiana Pacers,,,,0,"89,000,000","57,600,000","30,700,000","88,300,000","700,000",,,2000-2001,
Detroit Pistons,,,,0,"92,000,000","40,500,000","33,500,000","74,000,000","18,000,000",,,2000-2001,
Utah Jazz,,,,0,"88,000,000","56,700,000","28,800,000","85,500,000","2,500,000",,,2000-2001,
San Antonio Spurs,,,,0,"82,000,000","60,200,000","24,200,000","84,400,000","-2,400,000",,,2000-2001,
Boston Celtics,,,,0,"81,000,000","49,500,000","21,700,000","71,200,000","9,800,000",,,2000-2001,
Washington Wizards,,,,0,"81,000,000","62,100,000","24,600,000","86,700,000","-5,700,000",,,2000-2001,
Dallas Mavericks,,,,0,"68,000,000","59,900,000","31,500,000","91,400,000","-23,400,000",,,2000-2001,
Sacramento Kings,,,,0,"87,000,000","49,100,000","27,900,000","77,000,000","10,000,000",,,2000-2001,
Cleveland Cavaliers,,,,0,"75,000,000","47,800,000","20,100,000","67,900,000","7,100,000",,,2000-2001,
Seattle Supersonics,,,,0,"80,000,000","53,600,000","24,300,000","77,900,000","2,100,000",,,2000-2001,
Atlanta Hawks,,,,0,"76,000,000","42,200,000","28,000,000","70,200,000","5,800,000",,,2000-2001,
Denver Nuggets,,,,0,"72,000,000","54,800,000","24,800,000","79,600,000","-7,600,000",,,2000-2001,
Minnesota Timberwolves,,,,0,"77,000,000","50,200,000","22,600,000","72,800,000","4,200,000",,,2000-2001,
Orlando Magic,,,,0,"76,000,000","40,000,000","22,700,000","62,700,000","13,300,000",,,2000-2001,
Toronto Raptors,,,,0,"75,000,000","40,900,000","29,000,000","69,900,000","5,100,000",,,2000-2001,
Los Angeles Clippers,,,,0,"68,000,000","32,600,000","23,900,000","56,500,000","11,500,000",,,2000-2001,
New Jersey Nets,,,,0,"73,000,000","59,700,000","24,600,000","84,300,000","-11,300,000",,,2000-2001,
Golden State Warriors,,,,0,"69,000,000","44,900,000","21,200,000","66,100,000","2,900,000",,,2000-2001,
Vancouver Grizzlies,,,,0,"53,000,000","51,200,000","15,100,000","66,300,000","-13,300,000",,,2000-2001,
Milwaukee Bucks,,,,0,"65,000,000","60,400,000","20,900,000","81,300,000","-16,300,000",,,2000-2001,
Charlotte Hornets,,,,0,"65,000,000","49,400,000","16,100,000","65,500,000","-500,000",,,2000-2001,
Los Angeles Lakers,"61,000,000",,,"88,000,000","152,000,000","55,700,000","52,200,000","107,900,000","44,100,000",,,2002-2003,
New York Knicks,"66,000,000",,,"94,000,000","156,000,000","85,700,000","45,200,000","130,900,000","25,100,000",,,2002-2003,
Chicago Bulls,"35,000,000",,,"84,000,000","115,000,000","42,900,000","33,000,000","75,900,000","39,100,000",,,2002-2003,
Dallas Mavericks,"48,000,000",,,"69,000,000","105,000,000","58,200,000","43,600,000","101,800,000","3,200,000",,,2002-2003,
Philadelphia 76ers,"41,000,000",,,"68,000,000","106,000,000","53,200,000","34,700,000","87,900,000","18,100,000",,,2002-2003,
Washington Wizards,"37,000,000",,,"60,000,000","99,000,000","53,200,000","33,100,000","86,300,000","12,700,000",,,2002-2003,
Boston Celtics,"28,000,000",,,"74,000,000","96,000,000","47,800,000","30,800,000","78,600,000","17,400,000",,,2002-2003,
Phoenix Suns,"41,000,000",,,"64,000,000","107,000,000","55,700,000","32,800,000","88,500,000","18,500,000",,,2002-2003,
Portland Trail Blazers,"30,000,000",,,"79,000,000","96,000,000","83,700,000","35,100,000","118,800,000","-22,800,000",,,2002-2003,
Sacramento Kings,"35,000,000",,,"59,000,000","102,000,000","55,100,000","33,400,000","88,500,000","13,500,000",,,2002-2003,
Detroit Pistons,"33,000,000",,,"49,000,000","95,000,000","42,300,000","39,800,000","82,100,000","12,900,000",,,2002-2003,
Houston Rockets,"46,000,000",,,"56,000,000","82,000,000","49,500,000","25,800,000","75,300,000","6,700,000",,,2002-2003,
Miami Heat,"38,000,000",,,"60,000,000","96,000,000","53,100,000","34,800,000","87,900,000","8,100,000",,,2002-2003,
Indiana Pacers,"42,000,000",,,"55,000,000","91,000,000","53,500,000","34,400,000","87,900,000","3,100,000",,,2002-2003,
San Antonio Spurs,"15,000,000",,,"57,000,000","83,000,000","46,400,000","28,300,000","74,700,000","8,300,000",,,2002-2003,
Utah Jazz,"32,000,000",,,"64,000,000","87,000,000","53,800,000","31,300,000","85,100,000","1,900,000",,,2002-2003,
Cleveland Cavaliers,"42,000,000",,,"52,000,000","79,000,000","46,200,000","26,900,000","73,100,000","5,900,000",,,2002-2003,
New Jersey Nets,"36,000,000",,,"49,000,000","91,000,000","53,900,000","32,600,000","86,500,000","4,500,000",,,2002-2003,
Toronto Raptors,"31,000,000",,,"60,000,000","87,000,000","52,800,000","29,700,000","82,500,000","4,500,000",,,2002-2003,
Minnesota Timberwolves,"26,000,000",,,"59,000,000","85,000,000","54,900,000","21,300,000","76,200,000","8,800,000",,,2002-2003,
Denver Nuggets,"25,000,000",,,"38,000,000","75,000,000","53,400,000","26,600,000","80,000,000","-5,000,000",,,2002-2003,
Seattle Supersonics,"22,000,000",,,"53,000,000","77,000,000","45,500,000","25,200,000","70,700,000","6,300,000",,,2002-2003,
Atlanta Hawks,"31,000,000",,,"49,000,000","79,000,000","46,600,000","28,200,000","74,800,000","4,200,000",,,2002-2003,
Los Angeles Clippers,"25,000,000",,,"47,000,000","73,000,000","34,200,000","22,500,000","56,700,000","16,300,000",,,2002-2003,
Memphis Grizzlies,"17,000,000",,,"61,000,000","66,000,000","44,900,000","20,500,000","65,400,000","600,000",,,2002-2003,
Orlando Magic,"28,000,000",,,"52,000,000","82,000,000","47,400,000","26,400,000","73,800,000","8,200,000",,,2002-2003,
Golden State Warriors,"23,000,000",,,"47,000,000","71,000,000","47,700,000","23,900,000","71,600,000","-600,000",,,2002-2003,
Charlotte Hornets,"23,000,000",,,"47,000,000","64,000,000","50,200,000","22,100,000","72,300,000","-8,300,000",,,2002-2003,
Milwaukee Bucks,"24,000,000",,,"46,000,000","67,000,000","56,200,000","19,300,000","75,500,000","-8,500,000",,,2002-2003,
Los Angeles Lakers,"61,000,000",,,0,"60,200,000","66,000,000","126,200,000","192,200,000","22,800,000",,,2002-2003,
New York Knicks,"66,000,000",,,0,"66,500,000","80,000,000","146,500,000","226,500,000","13,500,000",,,2002-2003,
Chicago Bulls,"35,000,000",,,0,"22,000,000","48,000,000","70,000,000","118,000,000","49,000,000",,,2002-2003,
Dallas Mavericks,"48,000,000",,,0,"59,700,000","75,000,000","134,700,000","209,700,000","-17,700,000",,,2002-2003,
Philadelphia 76ers,"41,000,000",,,0,"46,000,000","61,000,000","107,000,000","168,000,000","2,000,000",,,2002-2003,
Boston Celtics,"37,000,000",,,0,"15,400,000","56,000,000","71,400,000","127,400,000","25,600,000",,,2002-2003,
Detroit Pistons,"28,000,000",,,0,"27,500,000","51,000,000","78,500,000","129,500,000","23,500,000",,,2002-2003,
San Antonio Spurs,"41,000,000",,,0,"30,500,000","56,000,000","86,500,000","142,500,000","18,500,000",,,2002-2003,
Phoenix Suns,"30,000,000",,,0,"29,500,000","58,000,000","87,500,000","145,500,000","21,500,000",,,2002-2003,
Indiana Pacers,"35,000,000",,,0,"26,900,000","57,000,000","83,900,000","140,900,000","10,100,000",,,2002-2003,
Houston Rockets,"33,000,000",,,0,"13,800,000","53,000,000","66,800,000","119,800,000","15,200,000",,,2002-2003,
Sacramento Kings,"46,000,000",,,0,"45,800,000","73,000,000","118,800,000","191,800,000","-16,800,000",,,2002-2003,
Washington Wizards,"38,000,000",,,0,"20,500,000","49,000,000","69,500,000","118,500,000","28,500,000",,,2002-2003,
Portland Trail Blazers,"42,000,000",,,0,"82,100,000","100,000,000","182,100,000","282,100,000","-85,100,000",,,2002-2003,
