Player,Year,Position,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,PlayerBio_URL,Formal_Stated_Major,College_Major_Group,Season,DBPediaCollege_Name
Jawaun Wynn,JR,DE,3-Jun,215,"Piscataway, NJ",Piscataway,NJ,Piscataway High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4541,Undeclared,Undeclared,2012-2013,Rutgers University
Jeff Gignac,FR,WR,5-Jun,210,"Wayne, NJ",Wayne,NJ,Wayne Hills High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4653,Undeclared,Undeclared,2012-2013,Rutgers University
Jeremy Deering,JR,WR,2-Jun,210,"Tampa, FL",Tampa,FL,Leto High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4520,Labor Studies,Labor Studies,2012-2013,Rutgers University
Jevon Tyree,FR,DB,11-May,190,"Somerset, NJ",Somerset,NJ,South Brunswick High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4868,Undeclared,Undeclared,2012-2013,Rutgers University
John Clarke,SO,WR,9-May,175,"Hackensack, NJ",Hackensack,NJ,Hackensack High School,,AA,http://rutgers.rivals.com/cviewplayer.asp?Player=448848,Undeclared,Undeclared,2012-2013,Rutgers University
Johnathan Aiken,SO,DB,11-May,185,"Fort Lauderdale, FL",Fort Lauderdale,FL,Chaminade High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4598,Undeclared,Undeclared,2012-2013,Rutgers University
Jorge Vicioso,JR,OL,6-Jun,305,"Passaic, NJ",Passaic,NJ,Passaic High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4539,Labor Studies,Labor Studies,2012-2013,Rutgers University
Julian Pinnix-Odrick,FR,DL,5-Jun,250,"Montclair, NJ",Montclair,NJ,Montclair High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4866,Undeclared,Undeclared,2012-2013,Rutgers University
Justin Doerner,SR,P,2-Jun,200,"Redondo Beach, CA",Redondo Beach,CA,Redondo Union High School,Los Angeles Harbor Junior College,C,http://www.scarletknights.com/football/roster/detail.asp?id=4657,Labor Studies,Labor Studies,2012-2013,Rutgers University
Justin Mills,JR,LB,1-Jun,230,"Sayreville, NJ",Sayreville,NJ,"Paterson Catholic High School, Camden Military Academy",,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4533,English,English,2012-2013,Rutgers University
Ka'Lial Glaud,SR,DE,2-Jun,230,"Sicklerville, NJ",Sicklerville,NJ,Winslow Twp. High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4372,Information Technology and Informatics,Science and Technology,2012-2013,Rutgers University
Kaleb Johnson,SO,OL,4-Jun,300,"Jacksonville, FL",Jacksonville,FL,"Egg Harbor Township High School, Fork Union Military Academy",,AA,http://www.scarletknights.com/football/roster/detail.asp?id=26,Undeclared,Undeclared,2012-2013,Rutgers University
