Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
84,Sam Cotton,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371466&Q_SEASON=2012,TE,6/4/13,230,FR,"Lincoln, Neb. ",Lincoln,NEB,Southeast High School,,,,,University of Nebraska at Lincoln,2012-2013
67,Scott Criss,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204967771&Q_SEASON=2012,OL,6/3/13,280,JR,"Omaha, Neb. ",Omaha,NEB,Creighton Prep High School,University of Wyoming,,,,University of Nebraska at Lincoln,2012-2013
32,Imani Cross,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371822&Q_SEASON=2012,IB,6/1/13,225,FR,"Gainesville, Ga. ",Gainesville,GA,North Hall High School,,,,,University of Nebraska at Lincoln,2012-2013
96,Aaron Curry,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371825&Q_SEASON=2012,DT,6/1/13,280,FR,"Keller, Texas ",Keller,TEXAS,Fossil Ridge High School,,,,,University of Nebraska at Lincoln,2012-2013
23,Daniel Davie,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205097787&Q_SEASON=2012,CB,6/1/13,185,RFR,"Beatrice, Neb. ",Beatrice,NEB,Beatrice High School,,,,,University of Nebraska at Lincoln,2012-2013
31,Jase Dean,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515249&Q_SEASON=2012,CB,6/1/00,200,SR,"Bridgeport, Neb. ",Bridgeport,NEB,Bridgeport High School,,,,,University of Nebraska at Lincoln,2012-2013
87,Taylor Dixon,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515254&Q_SEASON=2012,WR,5/11/13,195,SR,"Wauneta, Neb. ",Wauneta,NEB,Wauneta-Palisade High School,,,,,University of Nebraska at Lincoln,2012-2013
88,Ross Dzuris,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371484&Q_SEASON=2012,DE,6/3/13,235,FR,"Plattsmouth, Neb. ",Plattsmouth,NEB,Plattsmouth High School,,,,,University of Nebraska at Lincoln,2012-2013
18,Quincy Enunwa,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880528&Q_SEASON=2012,WR,6/2/13,215,JR,"Moreno Valley, Calif. ",Moreno Valley,CALIF,Rancho Verde High School,,,,,University of Nebraska at Lincoln,2012-2013
17,Ciante Evans,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880461&Q_SEASON=2012,CB,5/11/13,185,JR,"Arlington, Texas ",Arlington,TEXAS,Juan Seguin High School,,,,,University of Nebraska at Lincoln,2012-2013
88,Tyler Evans,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880046&Q_SEASON=2012,WR,6/1/13,200,SO,"Waverly, Neb. ",Waverly,NEB,Waverly High School,,,,,University of Nebraska at Lincoln,2012-2013
25,Joey Felici,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880189&Q_SEASON=2012,CB,5/9/13,175,SO,"Omaha, Neb. ",Omaha,NEB,Millard South High School,,,,,University of Nebraska at Lincoln,2012-2013
42,Sean Fisher,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515257&Q_SEASON=2012,LB,6/6/13,230,SR,"Omaha, Neb. ",Omaha,NEB,Millard North High School,,,,,University of Nebraska at Lincoln,2012-2013
27,Sam Foltz,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371859&Q_SEASON=2012,WR,6/1/13,185,FR,"Grand Island, Neb. ",Grand Island,NEB,Grand Island High School,,,,,University of Nebraska at Lincoln,2012-2013
30,Derek Foster,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880193&Q_SEASON=2012,CB,5/11/13,190,SO,"Elm Creek, Neb. ",Elm Creek,NEB,Elm Creek High School,,,,,University of Nebraska at Lincoln,2012-2013
42,Trey Foster,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371860&Q_SEASON=2012,TE,6/1/00,235,FR,"Lincoln, Neb. ",Lincoln,NEB,Southeast High School,,,,,University of Nebraska at Lincoln,2012-2013
23,King Frazier,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205503514&Q_SEASON=2012,IB,6/1/00,205,FR,"Lee's Summit, Mo. ",Lee's Summit,MO,Lee's Summit High School,,,,,University of Nebraska at Lincoln,2012-2013
17,Ryker Fyfe,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371486&Q_SEASON=2012,QB,6/2/13,180,FR,"Grand Island, Neb. ",Grand Island,NEB,Grand Island High School,,,,,University of Nebraska at Lincoln,2012-2013
38,Aaron Gabriel,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205503454&Q_SEASON=2012,LB,6/1/00,210,FR,"Marion, Ohio ",Marion,OHIO,Harding High School,,,,,University of Nebraska at Lincoln,2012-2013
95,Jack Gangwish,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205089169&Q_SEASON=2012,LB,6/2/13,230,RFR,"Wood River, Neb. ",Wood River,NEB,Wood River High School,,,,,University of Nebraska at Lincoln,2012-2013
11,Andrew Green,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662148&Q_SEASON=2012,CB,6/1/00,195,JR,"San Antonio, Texas ",San Antonio,TEXAS,Madison High School,,,,,University of Nebraska at Lincoln,2012-2013
99,Jay Guy,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204879271&Q_SEASON=2012,DT,6/1/13,290,SO,"Houston, Texas ",Houston,TEXAS,Eisenhower High School,,,,,University of Nebraska at Lincoln,2012-2013
5,Braylon Heard,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205213152&Q_SEASON=2012,IB/CB,5/11/13,185,SO,"Youngstown, Ohio ",Youngstown,OHIO,Cardinal Mooney High School,,,,,University of Nebraska at Lincoln,2012-2013
