Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
46,Seth Broekhuizen,http://www.mgoblue.com/sports/m-footbl/mtt/seth_broekhuizen_468920.html,PK,6/1/13,205,RS JR,"Holland, MICH",Holland,MICH,Holland Christian,,,,,University of Michigan,2012-2013
46,Clark Grace,http://www.mgoblue.com/sports/m-footbl/mtt/clark_grace_828070.html,TE,6/3/13,230,FR,"Tecumseh, ONTARIO",Tecumseh,ONTARIO,L'essor High School,,,,,University of Michigan,2012-2013
47,Jake Ryan,http://www.mgoblue.com/sports/m-footbl/mtt/jake_ryan_716249.html,LB,6/3/13,242,RS SO,"Westlake, OHIO",Westlake,OHIO,St. Ignatius,,,,,University of Michigan,2012-2013
48,Desmond Morgan,http://www.mgoblue.com/sports/m-footbl/mtt/desmond_morgan_765129.html,LB,6/1/13,227,SO,"Holland, MICH",Holland,MICH,West Ottawa,,,,,University of Michigan,2012-2013
49,Brad Anlauf,http://www.mgoblue.com/sports/m-footbl/mtt/brad_anlauf_828167.html,WR,6/4/13,182,FR,"Hinsdale, ILL",Hinsdale,ILL,Hinsdale Central High School,,,,,University of Michigan,2012-2013
49,Kaleb Ringer,http://www.mgoblue.com/sports/m-footbl/mtt/kaleb_ringer_797204.html,LB,6/1/13,231,FR,"Clayton, OHIO",Clayton,OHIO,Northmont,,,,,University of Michigan,2012-2013
50,Tom Strobel,http://www.mgoblue.com/sports/m-footbl/mtt/tom_strobel_810584.html,DE,6/6/13,252,FR,"Mentor, OHIO",Mentor,OHIO,Mentor High School,,,,,University of Michigan,2012-2013
51,Bobby Henderson,http://www.mgoblue.com/sports/m-footbl/mtt/bobby_henderson_828068.html,RB,5/11/13,230,FR,"Hopewell Junction, NY",Hopewell Junction,NY,John Jay High School,,,,,University of Michigan,2012-2013
52,Ricky Barnum,http://www.mgoblue.com/sports/m-footbl/mtt/ricky_barnum_468911.html,OL,6/3/13,296,RS SR,"Lakeland, FLA",Lakeland,FLA,Lake Gibson,,,,,University of Michigan,2012-2013
52,Royce Jenkins-Stone,http://www.mgoblue.com/sports/m-footbl/mtt/royce_jenkins_stone_810575.html,LB,6/2/13,213,FR,"Detroit, MICH",Detroit,MICH,Cass Tech High School,,,,,University of Michigan,2012-2013
53,Mario Ojemudia,http://www.mgoblue.com/sports/m-footbl/mtt/mario_ojemudia_810579.html,DE,6/3/13,231,FR,"Farmington Hills, MICH",Farmington Hills,MICH,Harrison High School,,,,,University of Michigan,2012-2013
54,Jareth Glanda,http://www.mgoblue.com/sports/m-footbl/mtt/jareth_glanda_470894.html,LS,6/3/13,260,RS JR,"Rochester Hills, MICH",Rochester Hills,MICH,Brother Rice,,,,,University of Michigan,2012-2013
54,Richard Ash,http://www.mgoblue.com/sports/m-footbl/mtt/richard_ash_716229.html,DT,6/3/13,300,RS SO,"Pahokee, FLA",Pahokee,FLA,Pahokee,,,,,University of Michigan,2012-2013
55,Jibreel Black,http://www.mgoblue.com/sports/m-footbl/mtt/jibreel_black_716233.html,DT,6/2/13,279,JR,"Cincinnati, OHIO",Cincinnati,OHIO,Wyoming,,,,,University of Michigan,2012-2013
56,Ondre Pipkins,http://www.mgoblue.com/sports/m-footbl/mtt/ondre_pipkins_810580.html,DT,6/3/13,340,FR,"Kansas City, MO",Kansas City,MO,Park Hill High School,,,,,University of Michigan,2012-2013
56,Joey Burzynski,http://www.mgoblue.com/sports/m-footbl/mtt/joey_burzynski_744113.html,OL,6/1/13,295,RS SO,"Carlsbad, CALIF",Carlsbad,CALIF,Carlsbad,,,,,University of Michigan,2012-2013
57,Frank Clark,http://www.mgoblue.com/sports/m-footbl/mtt/frank_clark_765115.html,DE,6/2/13,262,SO,"Cleveland, OHIO",Cleveland,OHIO,Glenville,,,,,University of Michigan,2012-2013
57,Elliott Mealer,http://www.mgoblue.com/sports/m-footbl/mtt/elliott_mealer_390474.html,OL,6/5/13,308,RS SR,"Wauseon, OHIO",Wauseon,OHIO,Wauseon,,,,,University of Michigan,2012-2013
58,Chris Bryant,http://www.mgoblue.com/sports/m-footbl/mtt/chris_bryant_765109.html,OL,6/4/13,318,RS FR,"Chicago, ILL",Chicago,ILL,Simeon,,,,,University of Michigan,2012-2013
59,Mark Lawson,http://www.mgoblue.com/sports/m-footbl/mtt/mark_lawson_810682.html,LB,6/2/13,213,FR,"Ada, MICH",Ada,MICH,Forest Hills Eastern High School,,,,,University of Michigan,2012-2013
