Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
20,T.J. Gurley,http://www.gamecocksonline.com/sports/m-footbl/mtt/tj_gurley_793016.html,SAF,5/10/13,183,FR,"Cairo, Ga.",Cairo,GA,Cairo,,,,,University of South Carolina,2012-2013
16,Austin Hails,http://www.gamecocksonline.com/sports/m-footbl/mtt/austin_hails_773413.html,QB,6/2/13,212,RS FR,"Collinsville, Ill.",Collinsville,ILL,Collinsville,,,,,University of South Carolina,2012-2013
96,Jamal Hall,http://www.gamecocksonline.com/sports/m-footbl/mtt/jamal_hall_773425.html,DE,6/2/13,232,RS JR,"Ladson, S.C.",Ladson,SC,Fort Dorchester,Brevard College,,,,University of South Carolina,2012-2013
27,Victor Hampton,http://www.gamecocksonline.com/sports/m-footbl/mtt/victor_hampton_710235.html,CB,5/10/13,197,RS SO,"Darlington, S.C.",Darlington,SC,Darlington,,,,,University of South Carolina,2012-2013
59,Coleman Harley,http://www.gamecocksonline.com/sports/m-footbl/mtt/coleman_harley_763564.html,LS,6/1/13,280,RS FR,"Aiken, S.C.",Aiken,SC,South Aiken,,,,,University of South Carolina,2012-2013
34,Mason Harris,http://www.gamecocksonline.com/sports/m-footbl/mtt/mason_harris_742591.html,LB,6/3/13,210,RS FR,"Fort Oglethorpe, Ga.",Fort Oglethorpe,GA,Ridgeland,,,,,University of South Carolina,2012-2013
21,DeVonte Holloman,http://www.gamecocksonline.com/sports/m-footbl/mtt/devonte_holloman_405273.html,SPR,6/2/13,241,SR,"Charlotte, N.C.",Charlotte,NC,South Pointe,,,,,University of South Carolina,2012-2013
11,T.J. Holloman,http://www.gamecocksonline.com/sports/m-footbl/mtt/tj_holloman_793018.html,LB,6/2/13,209,FR,"Atlanta, Ga.",Atlanta,GA,St. Pius X,,,,,University of South Carolina,2012-2013
94,Ashton Holmes,http://www.gamecocksonline.com/sports/m-footbl/mtt/ashton_holmes_818198.html,DE,6/3/13,252,RS JR,"Spartanburg, S.C.",Spartanburg,SC,Byrnes,Butler CC,,,,University of South Carolina,2012-2013
35,Jeff Homad,http://www.gamecocksonline.com/sports/m-footbl/mtt/jeff_homad_811648.html,TE,6/2/13,225,RS SO,"Hilton Head Island, S.C.",Hilton Head Island,SC,Hilton Head Island,UNC Pembroke,,,,University of South Carolina,2012-2013
13,Tyler Hull,http://www.gamecocksonline.com/sports/m-footbl/mtt/tyler_hull_811279.html,P,6/2/13,205,RS SO,"Mount Airy, N.C.",Mount Airy,NC,Mount Airy,Guilford College,,,,University of South Carolina,2012-2013
91,Walker Inabinet,http://www.gamecocksonline.com/sports/m-footbl/mtt/walker_inabinet_364221.html,LS,5/10/13,204,RS SR,"Columbia, S.C.",Columbia,SC,Hammond School,,,,,University of South Carolina,2012-2013
33,Damario Jeffery,http://www.gamecocksonline.com/sports/m-footbl/mtt/damario_jeffery_459704.html,LB,6/4/13,233,SR,"Columbia, S.C.",Columbia,SC,Columbia,,,,,University of South Carolina,2012-2013
8,Shamier Jeffery,http://www.gamecocksonline.com/sports/m-footbl/mtt/shamier_jeffery_742802.html,WR,6/1/13,214,RS FR,"St. Matthews, S.C.",St. Matthews,SC,Calhoun County,,,,,University of South Carolina,2012-2013
