Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
23,Gerald Demps,http://www.seminoles.com/sports/m-footbl/mtt/gerald_demps_459195.html,DB,5/11/13,197,RS JR,"Valdosta, Ga.",Valdosta,GA,Lowndes,,,,Florida State University,2012-2013
15,Greg Dent,http://www.seminoles.com/sports/m-footbl/mtt/greg_dent_706945.html,WR,5/11/13,198,JR,"Belle Glade, Fla.",Belle Glade,FLA,Glades Central,,,,Florida State University,2012-2013
30,Ryan DiMarco,http://www.seminoles.com/sports/m-footbl/mtt/ryan_dimarco_750926.html,FB,5/10/13,223,JR,"Port St. Lucie, Fla.",Port St. Lucie,FLA,John Carroll,,,,Florida State University,2012-2013
57,Philip Doumar,http://www.seminoles.com/sports/m-footbl/mtt/philip_doumar_628705.html,DS,6/1/13,214,RS JR,"Jupiter, Fla.",Jupiter,FLA,Jupiter,,,,Florida State University,2012-2013
15,"Mario Edwards, Jr.",http://www.seminoles.com/sports/m-footbl/mtt/mario_edwards_jr_808184.html,DE,6/3/13,282,FR,"Gautier, Miss.",Gautier,MISS,Ryan ,,,,Florida State University,2012-2013
16,Ukeme Eligwe,http://www.seminoles.com/sports/m-footbl/mtt/ukeme_eligwe_808611.html,LB,6/2/13,231,FR,"Stone Mountain, Ga.",Stone Mountain,GA,Stone Mountain,,,,Florida State University,2012-2013
75,Cameron Erving,http://www.seminoles.com/sports/m-footbl/mtt/cameron_erving_706946.html,OL,6/6/13,309,RS SO,"Moultrie, Ga.",Moultrie,GA,Colquitt County,,,,Florida State University,2012-2013
60,Jacob Fahrenkrug,http://www.seminoles.com/sports/m-footbl/mtt/jacob_fahrenkrug_749520.html,OL,6/4/13,322,SR,"Robbinsdale, Minn.",Robbinsdale,MINN,Cooper HS,,,,Florida State University,2012-2013
76,Garrett Faircloth,http://www.seminoles.com/sports/m-footbl/mtt/garrett_faircloth_406128.html,OL,6/7/13,288,RS JR,"Brunswick, Ga.",Brunswick,GA,Bolles ,,,,Florida State University,2012-2013
72,Daniel Foose,http://www.seminoles.com/sports/m-footbl/mtt/daniel_foose_706948.html,OL,6/6/13,296,RS SO,"Paramus, N.J.",Paramus,NJ,Catholic,,,,Florida State University,2012-2013
8,Devonta Freeman,http://www.seminoles.com/sports/m-footbl/mtt/devonta_freeman_749521.html,RB,5/9/13,209,SO,"Miami, Fla.",Miami,FLA,Miami Central,,,,Florida State University,2012-2013
40,Kendall Fullington,http://www.seminoles.com/sports/m-footbl/mtt/kendall_fullington_768064.html,DB,5/11/13,170,SO,"Weston, Fla.",Weston,FLA,Cypress Bay,,,,Florida State University,2012-2013
19,Josh Gehres,http://www.seminoles.com/sports/m-footbl/mtt/josh_gehres_384895.html,WR,6/3/13,201,RS JR,"Tallahassee, Fla.",Tallahassee,FLA,Lincoln,,,,Florida State University,2012-2013
67,Daniel Glauser,http://www.seminoles.com/sports/m-footbl/mtt/daniel_glauser_797270.html,OL,5-Jun,305,SR,"Rheinfelden, Switzerland",Rheinfelden,SWITZERLAND,,,,,Florida State University,2012-2013
81,Eddie Goldman,http://www.seminoles.com/sports/m-footbl/mtt/eddie_goldman_808215.html,DT,4-Jun,320,FR,"Washington, D.C.",Washington,DC,Friendship Collegiate Academy,,,,Florida State University,2012-2013
89,Christian Green,http://www.seminoles.com/sports/m-footbl/mtt/christian_green_706949.html,WR,2-Jun,205,RS SO,"Tampa, Fla.",Tampa,FLA,Catholic,,,,Florida State University,2012-2013
80,Rashad Greene,http://www.seminoles.com/sports/m-footbl/mtt/rashad_greene_763571.html,WR,Jun-00,170,SO,"Albany, Ga.",Albany,GA,St. Thomas Aquinas,,,,Florida State University,2012-2013
12,Jarred Haggins,http://www.seminoles.com/sports/m-footbl/mtt/jarred_haggins_762912.html,WR,Jun-00,190,JR,"Lakeland, Fla.",Lakeland,FLA,Lakeland,,,,Florida State University,2012-2013
