Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
27,Jahmel McIntosh,http://www.vucommodores.com/sports/m-footbl/mtt/jahmel_mcintosh_766160.html,LB/S,6/1/13,200,RS FR,"Cleveland, MISS",Cleveland,MISS,Cleveland,,,,,Vanderbilt University,2012-2013
15,Tip McKenzie,http://www.vucommodores.com/sports/m-footbl/mtt/tip_mckenzie_807641.html,WR,5/8/13,175,FR,"Natchez, MISS",Natchez,MISS,Trinity Episcopal,,,,,Vanderbilt University,2012-2013
86,Austin Monahan,http://www.vucommodores.com/sports/m-footbl/mtt/austin_monahan_303572.html,TE,6/6/13,252,RS SR,"Charlotte, NC",Charlotte,NC,Charlotte Country Day,,,,,Vanderbilt University,2012-2013
46,Steve Monk,http://www.vucommodores.com/sports/m-footbl/mtt/steve_monk_769381.html,WR,5/11/13,180,RS FR,"Baton Rouge, LA",Baton Rouge,LA,University Lab,,,,,Vanderbilt University,2012-2013
61,Connor Morrison,http://www.vucommodores.com/sports/m-footbl/mtt/connor_morrison_769387.html,SN,6/1/00,230,RS FR,"Edmond, OKLA",Edmond,OKLA,Casady School,,,,,Vanderbilt University,2012-2013
97,Jared Morse,http://www.vucommodores.com/sports/m-footbl/mtt/jared_morse_711878.html,DT,6/2/13,295,JR,"Oxford, ALA",Oxford,ALA,Oxford,,,,,Vanderbilt University,2012-2013
58,Colt Nichter,http://www.vucommodores.com/sports/m-footbl/mtt/colt_nichter_360035.html,DT,6/1/13,288,RS SR,"Park City, UTAH",Park City,UTAH,Park City,,,,,Vanderbilt University,2012-2013
5,Warren Norman,http://www.vucommodores.com/sports/m-footbl/mtt/warren_norman_439572.html,RB,5/10/13,205,RS JR,"Stone Mountain, GA",Stone Mountain,GA,Chamblee,,,,,Vanderbilt University,2012-2013
45,Marc Panu,http://www.vucommodores.com/sports/m-footbl/mtt/marc_panu_619645.html,FB,6/1/13,240,JR,"Mableton, GA",Mableton,GA,Whitefield Academy,,,,,Vanderbilt University,2012-2013
9,Trent Pruitt,http://www.vucommodores.com/sports/m-footbl/mtt/trent_pruitt_711879.html,WR,5/9/13,170,RS SO,"Fitzgerald, GA",Fitzgerald,GA,Fitzgerald,,,,,Vanderbilt University,2012-2013
77,Spencer Pulley,http://www.vucommodores.com/sports/m-footbl/mtt/spencer_pulley_766162.html,C/OG,6/4/13,290,SO,"Germantown, TENN",Germantown,TENN,Evangelical Christian,,,,,Vanderbilt University,2012-2013
75,Grant Ramsay,http://www.vucommodores.com/sports/m-footbl/mtt/grant_ramsay_711880.html,OL,6/5/13,285,RS SO,"Marietta, GA",Marietta,GA,Pope,,,,,Vanderbilt University,2012-2013
4,Patton Robinette,http://www.vucommodores.com/sports/m-footbl/mtt/patton_robinette_807638.html,QB,6/4/13,204,FR,"Maryville, TENN",Maryville,TENN,Maryville,,,,,Vanderbilt University,2012-2013
11,Jordan Rodgers,http://www.vucommodores.com/sports/m-footbl/mtt/jordan_rodgers_711885.html,QB,6/1/13,212,RS SR,"Chico, CALIF",Chico,CALIF,Pleasant Valley HS,Butte Junior College,,,,Vanderbilt University,2012-2013
22,Eric Samuels,http://www.vucommodores.com/sports/m-footbl/mtt/eric_samuels_439574.html,S,6/1/00,200,SR,"Eustis, FLA",Eustis,FLA,Umatilla,,,,,Vanderbilt University,2012-2013
81,Steven Scheu,http://www.vucommodores.com/sports/m-footbl/mtt/steven_scheu_766165.html,TE,6/5/13,255,RS FR,"Evansville, IND",Evansville,IND,Reitz Memorial,,,,,Vanderbilt University,2012-2013
13,Jake Sealand,http://www.vucommodores.com/sports/m-footbl/mtt/jake_sealand_807634.html,LB,6/2/13,220,FR,"Tucker, GA",Tucker,GA,Tucker,,,,,Vanderbilt University,2012-2013
3,Jerron Seymour,http://www.vucommodores.com/sports/m-footbl/mtt/jerron_seymour_766168.html,RB,5/7/13,190,SO,"Hialeah, FLA",Hialeah,FLA,Hialeah,,,,,Vanderbilt University,2012-2013
62,Ryan Seymour,http://www.vucommodores.com/sports/m-footbl/mtt/ryan_seymour_360234.html,OG/OT,6/5/13,300,RS SR,"Kingsland, GA",Kingsland,GA,Camden Co.,,,,,Vanderbilt University,2012-2013
39,Carey Spear,http://www.vucommodores.com/sports/m-footbl/mtt/carey_spear_711883.html,PK,5/10/13,190,JR,"Mayfield Village, OHIO",Mayfield Village,OHIO,Mayfield,,,,,Vanderbilt University,2012-2013
2,Zac Stacy,http://www.vucommodores.com/sports/m-footbl/mtt/zac_stacy_439570.html,RB,5/9/13,210,SR,"Centreville, ALA",Centreville,ALA,Bibb Co.,,,,,Vanderbilt University,2012-2013
54,Jimmy Stewart,http://www.vucommodores.com/sports/m-footbl/mtt/jimmy_stewart_766169.html,DE,6/4/13,240,RS FR,"Cape Coral, FLA",Cape Coral,FLA,Island Coast,,,,,Vanderbilt University,2012-2013
39,Dane Stubbs,http://www.vucommodores.com/sports/m-footbl/mtt/dane_stubbs_817001.html,DB,5/10/13,175,FR,"Covington, LA",Covington,LA,St. Paul High School,,,,,Vanderbilt University,2012-2013
41,Patrick Sutton,http://www.vucommodores.com/sports/m-footbl/mtt/patrick_sutton_749712.html,LB,6/1/00,210,JR,"Charleston, SC",Charleston,SC,Bishop England,,,,,Vanderbilt University,2012-2013
24,Wesley Tate,http://www.vucommodores.com/sports/m-footbl/mtt/wesley_tate_439571.html,WR/RB,6/1/13,215,RS JR,"Hendersonville, TENN",Hendersonville,TENN,Pope John Paul II,,,,,Vanderbilt University,2012-2013
53,Vince Taylor,http://www.vucommodores.com/sports/m-footbl/mtt/vince_taylor_711887.html,DT,6/2/13,312,RS SO,"Hattiesburg, MISS",Hattiesburg,MISS,Oak Grove,,,,,Vanderbilt University,2012-2013
40,Ja'karri Thomas,http://www.vucommodores.com/sports/m-footbl/mtt/jakarri_thomas_807631.html,LB,6/1/13,212,FR,"Tallahassee, FLA",Tallahassee,FLA,Godby,,,,,Vanderbilt University,2012-2013
98,Johnell Thomas,http://www.vucommodores.com/sports/m-footbl/mtt/johnell_thomas_360241.html,DE,6/1/00,250,RS SR,"Orlando, FLA",Orlando,FLA,Boone,,,,,Vanderbilt University,2012-2013
57,Joe Townsend,http://www.vucommodores.com/sports/m-footbl/mtt/joe_townsend_766170.html,C/OG,6/4/13,305,SO,"Hendersonville, TENN",Hendersonville,TENN,Hendersonville,,,,,Vanderbilt University,2012-2013
14,John Townsley,http://www.vucommodores.com/sports/m-footbl/mtt/john_townsley_749564.html,QB,6/4/13,205,SR,"Upper Arlington, OHIO",Upper Arlington,OHIO,Upper Arlington,,,,,Vanderbilt University,2012-2013
99,Will Trepp,http://www.vucommodores.com/sports/m-footbl/mtt/will_trepp_822109.html,OL/LS,5/11/13,250,FR,"Greenwich, CONN",Greenwich,CONN,Greenwich,,,,,Vanderbilt University,2012-2013
89,Dillon van der Wal,http://www.vucommodores.com/sports/m-footbl/mtt/dillon_van_der_wal_766180.html,TE,6/6/13,255,SO,"Woodland Hills, CALIF",Woodland Hills,CALIF,Oaks Christian,,,,,Vanderbilt University,2012-2013
45,Stephen Weatherly,http://www.vucommodores.com/sports/m-footbl/mtt/stephen_weatherly_807623.html,DE,6/5/13,235,FR,"Snellville, GA",Snellville,GA,Shiloh,,,,,Vanderbilt University,2012-2013
73,Chase White,http://www.vucommodores.com/sports/m-footbl/mtt/chase_white_711888.html,OG/OT,6/5/13,290,RS SO,"Plano, TEXAS",Plano,TEXAS,Plano West,,,,,Vanderbilt University,2012-2013
85,Trey Wilkins,http://www.vucommodores.com/sports/m-footbl/mtt/trey_wilkins_797396.html,WR,5/11/13,195,SO,"Cordova, TENN",Cordova,TENN,St. Benedict,,,,,Vanderbilt University,2012-2013
42,Kellen Williams,http://www.vucommodores.com/sports/m-footbl/mtt/kellen_williams_769392.html,LB,6/1/13,220,RS FR,"Winter Haven, FLA",Winter Haven,FLA,West Orange,,,,,Vanderbilt University,2012-2013
32,Andrew Williamson,http://www.vucommodores.com/sports/m-footbl/mtt/andrew_williamson_766181.html,S,6/1/13,205,RS FR,"San Antonio, TEXAS",San Antonio,TEXAS,John Paul Stevens,,,,,Vanderbilt University,2012-2013
8,Trey Wilson,http://www.vucommodores.com/sports/m-footbl/mtt/trey_wilson_439637.html,DB,5/11/13,192,SR,"Shreveport, LA",Shreveport,LA,Evangel Christian Academy,,,,,Vanderbilt University,2012-2013
92,Kyle Woestmann,http://www.vucommodores.com/sports/m-footbl/mtt/kyle_woestmann_711889.html,DE,6/3/13,255,RS SO,"Marietta, GA",Marietta,GA,Walton,,,,,Vanderbilt University,2012-2013
