Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
37,Nico Bronzati,http://www.utahstateaggies.com/sports/m-footbl/mtt/nico_bronzati_822188.html,5/10/13,180,WR,FR,HS,"Holliday, Utah",Holliday,UTAH,Olympus,,,,,Utah State University,2012-2013
37,Devin Centers,http://www.utahstateaggies.com/sports/m-footbl/mtt/devin_centers_809276.html,5/9/13,180,CB,FR,HS,"Chandler, Ariz.",Chandler,ARIZ,Chandler,,,,,Utah State University,2012-2013
38,Jaron Bentrude,http://www.utahstateaggies.com/sports/m-footbl/mtt/jaron_bentrude_717024.html,6/1/13,207,PK,SO,1L,"Draper, Utah",Draper,UTAH,Juan Diego,,,,,Utah State University,2012-2013
39,Torrey Green,http://www.utahstateaggies.com/sports/m-footbl/mtt/torrey_green_767529.html,6/1/13,218,LB,FR,HS,"Riverside, Calif.",Riverside,CALIF,Rubidoux,,,,,Utah State University,2012-2013
40,Connor Williams,http://www.utahstateaggies.com/sports/m-footbl/mtt/connor_williams_792119.html,6/3/13,271,DE,JR,2L,"Kanata, Ontario, Canada",Kanata,ONTARIO,Holy Trinity,,,,,Utah State University,2012-2013
41,Nick Vigil,http://www.utahstateaggies.com/sports/m-footbl/mtt/nick_vigil_793253.html,6/2/13,206,LB,FR,HS,"Plain City, Utah",Plain City,UTAH,Fremont,,,,,Utah State University,2012-2013
42,La'Bradford Harold,http://www.utahstateaggies.com/sports/m-footbl/mtt/labradford_harold_742449.html,5/11/13,224,LB,FR,RS,"Crowley, Texas",Crowley,TEXAS,Crowley,,,,,Utah State University,2012-2013
43,Alex Marsaw,http://www.utahstateaggies.com/sports/m-footbl/mtt/alex_marsaw_449935.html,6/1/00,206,LB,FR,HS,"Torrance, Calif.",Torrance,CALIF,West High School,,,,,Utah State University,2012-2013
45,Cade Cowdin,http://www.utahstateaggies.com/sports/m-footbl/mtt/cade_cowdin_812749.html,6/2/13,225,LB,JR,JC,"St. George, Utah",St. George,UTAH,Dixie High School,College of Desert Junior College,,,,Utah State University,2012-2013
45,Quincy Mason,http://www.utahstateaggies.com/sports/m-footbl/mtt/quincy_mason_809285.html,6/3/13,244,TE,FR,HS,"Layton, Utah",Layton,UTAH,Layton Christian Academy,,,,,Utah State University,2012-2013
46,Frankie Sutera,http://www.utahstateaggies.com/sports/m-footbl/mtt/frankie_sutera_717034.html,6/1/13,201,S,SO,1L,"Murray, Utah",Murray,UTAH,Juan Diego,,,,,Utah State University,2012-2013
47,Travis Parrish,http://www.utahstateaggies.com/sports/m-footbl/mtt/travis_parrish_450658.html,6/3/13,224,LB,FR,HS,"West Bountiful, Utah",West Bountiful,UTAH,Bountiful High School,,,,,Utah State University,2012-2013
47,Mark Hutchinson,http://www.utahstateaggies.com/sports/m-footbl/mtt/mark_hutchinson_774022.html,5/10/13,205,LS,FR,RS,"Corona, Calif.",Corona,CALIF,Corona Santiago,,,,,Utah State University,2012-2013
48,Paul Piukala,http://www.utahstateaggies.com/sports/m-footbl/mtt/paul_piukala_742469.html,6/5/13,255,DL,JR,JC,"Oakland, Calif.",Oakland,CALIF,Castlemont,Laney Community College,,,,Utah State University,2012-2013
49,Forrest Dabb,http://www.utahstateaggies.com/sports/m-footbl/mtt/forrest_dabb_493024.html,5/11/13,214,LB,SR,3L,"South Jordan, Utah",South Jordan,UTAH,Bingham,Utah,,,,Utah State University,2012-2013
50,Bridger Peck,http://www.utahstateaggies.com/sports/m-footbl/mtt/bridger_peck_809294.html,6/1/13,216,LB,FR,HS,"South Jordan, Utah",South Jordan,UTAH,Bingham,,,,,Utah State University,2012-2013
51,Jake Doughty,http://www.utahstateaggies.com/sports/m-footbl/mtt/jake_doughty_464969.html,6/1/00,230,LB,JR,2L,"Sandy, Utah",Sandy,UTAH,Juan Diego,,,,,Utah State University,2012-2013
52,Kyler Fackrell,http://www.utahstateaggies.com/sports/m-footbl/mtt/kyler_fackrell_759412.html,6/5/13,236,LB,FR,RS,"Mesa, Ariz.",Mesa,ARIZ,Mesa,,,,,Utah State University,2012-2013
53,Zach Vigil,http://www.utahstateaggies.com/sports/m-footbl/mtt/zach_vigil_627145.html,6/2/13,228,LB,JR,1L,"Clearfield, Utah",Clearfield,UTAH,Clearfield,,,,,Utah State University,2012-2013
54,Jamie Markosian,http://www.utahstateaggies.com/sports/m-footbl/mtt/jamie_markosian_461911.html,6/2/13,302,OL,JR,2L,"Salt Lake City, Utah",Salt Lake City,UTAH,Juan Diego,,,,,Utah State University,2012-2013
55,Bojay Filimoeatu,http://www.utahstateaggies.com/sports/m-footbl/mtt/bojay_filimoeatu_742445.html,6/2/13,258,LB,SR,1L,"West Valley City, Utah",West Valley City,UTAH,Granger,Mt. San Antonio College,,,,Utah State University,2012-2013
56,AJ Pataiali'i,http://www.utahstateaggies.com/sports/m-footbl/mtt/aj_pataialii_828503.html,6/3/13,307,DL,JR,JC,"West Valley City, Utah",West Valley City,UTAH,Hunter,Snow College,,,,Utah State University,2012-2013
57,Havea Lasike,http://www.utahstateaggies.com/sports/m-footbl/mtt/havea_lasike_742463.html,6/1/13,297,DL,SR,1L,"San Jose, Calif.",San Jose,CALIF,Lincoln,Foothill Junior College,,,,Utah State University,2012-2013
58,Tyler Larsen,http://www.utahstateaggies.com/sports/m-footbl/mtt/tyler_larsen_449918.html,6/4/13,312,OC,JR,2L,"Salt Lake City, Utah",Salt Lake City,UTAH,Jordan,,,,,Utah State University,2012-2013
59,Nick Ciancone,http://www.utahstateaggies.com/sports/m-footbl/mtt/nick_ciancone_449927.html,6/3/13,224,LB,SO,RS,"Layton, Utah",Layton,UTAH,Layton,,,,,Utah State University,2012-2013
60,Joe Summers,http://www.utahstateaggies.com/sports/m-footbl/mtt/joe_summers_796990.html,6/2/13,293,OL,SO,JC,"Tremonton, Utah",Tremonton,UTAH,Bear River,Snow College,,,,Utah State University,2012-2013
61,Daquan Vandross,http://www.utahstateaggies.com/sports/m-footbl/mtt/daquan_vandross_809302.html,6/4/13,285,OL,JR,JC,"Bronx, N.Y.",Bronx,NY,South Bronx Campus,College of the Canyons,,,,Utah State University,2012-2013
62,Bryce Walker,http://www.utahstateaggies.com/sports/m-footbl/mtt/bryce_walker_711211.html,6/8/13,310,OL,SO,RS,"Pleasant Grove, Utah",Pleasant Grove,UTAH,Pleasant Grove,,,,,Utah State University,2012-2013
63,Brock Warren,http://www.utahstateaggies.com/sports/m-footbl/mtt/brock_warren_809304.html,6/2/13,176,PK,FR,HS,"Hyde Park, Utah",Hyde Park,UTAH,Sky View,,,,,Utah State University,2012-2013
64,Josh Larmay,http://www.utahstateaggies.com/sports/m-footbl/mtt/josh_larmay_767533.html,6/6/13,296,OL,SO,RS,"De Pere, Wisc.",De Pere,WISC,West De Pere,Minnesota St. Moorehead,,,,Utah State University,2012-2013
65,Austin Albrecht,http://www.utahstateaggies.com/sports/m-footbl/mtt/austin_albrecht_809274.html,6/5/13,284,OL,FR,HS,"Sandy, Utah",Sandy,UTAH,Alta,,,,,Utah State University,2012-2013
66,Eric Schultz,http://www.utahstateaggies.com/sports/m-footbl/mtt/eric_schultz_461914.html,6/4/13,303,OL,JR,2L,"Connell, Wash.",Connell,WASH,Connell,,,,,Utah State University,2012-2013
67,Oscar Molina-Sanchez,http://www.utahstateaggies.com/sports/m-footbl/mtt/oscar_molina_sanchez_711212.html,6/5/13,299,OL,SR,3L,"Baldwin Park, Calif.",Baldwin Park,CALIF,Baldwin Park,,,,,Utah State University,2012-2013
69,Josh Ramage,http://www.utahstateaggies.com/sports/m-footbl/mtt/josh_ramage_811677.html,6/3/13,255,OL,SO,JC,"Lindon, Utah",Lindon,UTAH,Pleasant Grove,Dixie State,,,,Utah State University,2012-2013
70,Travis Seefeldt,http://www.utahstateaggies.com/sports/m-footbl/mtt/travis_seefeldt_742473.html,6/2/13,299,DL,FR,RS,"Sun City, Ariz.",Sun City,ARIZ,Liberty,,,,,Utah State University,2012-2013
73,Kyle Whimpey,http://www.utahstateaggies.com/sports/m-footbl/mtt/kyle_whimpey_742479.html,6/6/13,307,OL,JR,SQ,"Highland, Utah",Highland,UTAH,Lone Peak,Idaho State,,,,Utah State University,2012-2013
74,Kevin Whimpey,http://www.utahstateaggies.com/sports/m-footbl/mtt/kevin_whimpey_742478.html,6/5/13,296,OL,SO,RS,"Highland, Utah",Highland,UTAH,Lone Peak,Idaho State,,,,Utah State University,2012-2013
75,Taani Fisilau,http://www.utahstateaggies.com/sports/m-footbl/mtt/taani_fisilau_742447.html,6/2/13,296,OL,FR,RS,"Glendale, Utah",Glendale,UTAH,Cottonwood,,,,,Utah State University,2012-2013
76,Jake Simonich,http://www.utahstateaggies.com/sports/m-footbl/mtt/jake_simonich_793249.html,6/5/13,258,OL,FR,HS,"Danville, Calif.",Danville,CALIF,San Roman Valley,,,,,Utah State University,2012-2013
77,Zac Bitters,http://www.utahstateaggies.com/sports/m-footbl/mtt/zac_bitters_811665.html,6/1/13,300,OL,FR,HS,"Hyrum, Utah",Hyrum,UTAH,Mountain Crest,,,,,Utah State University,2012-2013
77,Jake Gallegos,http://www.utahstateaggies.com/sports/m-footbl/mtt/jake_gallegos_809281.html,6/2/13,258,DL,FR,HS,"Hooper, Utah",Hooper,UTAH,Fremont,,,,,Utah State University,2012-2013
78,Jorden Mattinson,http://www.utahstateaggies.com/sports/m-footbl/mtt/jorden_mattinson_742905.html,6/4/13,290,OL,FR,RS,"Spanish Fork, Utah",Spanish Fork,UTAH,Spanish Fork,,,,,Utah State University,2012-2013
79,Logan Malohifo'ou,http://www.utahstateaggies.com/sports/m-footbl/mtt/logan_malohifoou_793246.html,6/6/13,292,OL,FR,HS,"West Jordan, Utah",West Jordan,UTAH,Copper Hills,,,,,Utah State University,2012-2013
80,Lars Gunderson,http://www.utahstateaggies.com/sports/m-footbl/mtt/lars_gunderson_749806.html,5/10/13,178,WR,JR,SQ,"Sandy, Utah",Sandy,UTAH,Juan Diego,Pheonix Community College,,,,Utah State University,2012-2013
81,Kellen Bartlett,http://www.utahstateaggies.com/sports/m-footbl/mtt/kellen_bartlett_359068.html,6/2/13,248,TE,SR,RS,"Blue Springs, Mo.",Blue Springs,MO,Blue Springs South,,,,,Utah State University,2012-2013
82,Jordan Jenkins,http://www.utahstateaggies.com/sports/m-footbl/mtt/jordan_jenkins_798037.html,5/10/13,199,WR,SO,JC,"St. Louis, Mo.",St. Louis,MO,Vashon,Coffeyville Community College,,,,Utah State University,2012-2013
83,Shaan Johnson,http://www.utahstateaggies.com/sports/m-footbl/mtt/shaan_johnson_710788.html,6/1/13,196,WR,SO,SQ,"Cerritos, Calif.",Cerritos,CALIF,Gahr,,,,,Utah State University,2012-2013
84,Cameron Webb,http://www.utahstateaggies.com/sports/m-footbl/mtt/cameron_webb_749811.html,5/10/13,187,WR,SR,1L,"Millville, Utah",Millville,UTAH,Mountain Crest,Snow Junior College,,,,Utah State University,2012-2013
85,Brandon Swindall,http://www.utahstateaggies.com/sports/m-footbl/mtt/brandon_swindall_759419.html,6/4/13,194,WR,FR,RS,"Oklahoma City, Okla.",Oklahoma City,OKLA,Millwood,,,,,Utah State University,2012-2013
86,Brad Theurer,http://www.utahstateaggies.com/sports/m-footbl/mtt/brad_theurer_627126.html,6/3/13,245,TE,JR,2L,"Logan, Utah",Logan,UTAH,Logan,,,,,Utah State University,2012-2013
88,Tyler Bennett,http://www.utahstateaggies.com/sports/m-footbl/mtt/tyler_bennett_742443.html,5/11/13,218,P,SR,1L,"Phoenix, Ariz.",Phoenix,ARIZ,North Canyon,Phoenix College,,,,Utah State University,2012-2013
89,Nate Needham,http://www.utahstateaggies.com/sports/m-footbl/mtt/nate_needham_711207.html,6/2/13,227,LS,SO,1L,"St. George, Utah",St. George,UTAH,Pine View,,,,,Utah State University,2012-2013
89,Jevon Hasten,http://www.utahstateaggies.com/sports/m-footbl/mtt/jevon_hasten_811678.html,5/11/13,165,WR,FR,HS,"El Cajon, Calif.",El Cajon,CALIF,Valhalla,,,,,Utah State University,2012-2013
90,Al Lapuaho,http://www.utahstateaggies.com/sports/m-footbl/mtt/al_lapuaho_742461.html,6/3/13,284,DL,SR,1L,"West Valley City, Utah",West Valley City,UTAH,Granger,Snow Junior College,,,,Utah State University,2012-2013
