Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
43,Travis Johnson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765516&Q_SEASON=2012,DE,6/3/13,244,SR,"Sunnyvale, Calif. ",Sunnyvale,Calif,The King's Academy,,,,,San Jose State University,2012-2013
89,Chandler Jones,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204771428&Q_SEASON=2012,WR,5/11/13,174,JR,"Los Angeles, Calif. ",Los Angeles,Calif,Bishop Montgomery High School,,,,,San Jose State University,2012-2013
74,Ryan Jones,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765517&Q_SEASON=2012,OG,6/4/13,292,JR,"San Francisco, Calif. ",San Francisco,Calif,Riordan High School,,,,,San Jose State University,2012-2013
14,Blake Jurich,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973769&Q_SEASON=2012,QB,6/4/13,230,SO,"Santa Cruz, Calif. ",Santa Cruz,Calif,Scotts Valley High School,,,,,San Jose State University,2012-2013
75,Nicholas Kaspar,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973699&Q_SEASON=2012,OG,6/4/13,284,JR,"Dana Point, Calif. ",Dana Point,Calif,Dana Hills High School,,,,,San Jose State University,2012-2013
20,Chris Kearney,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205239516&Q_SEASON=2012,WR,5/11/13,188,FR,"Laguna Niguel, Calif. ",Laguna Niguel,Calif,Dana Hills High School,,,,,San Jose State University,2012-2013
87,Akeem King,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973700&Q_SEASON=2012,S,6/3/13,214,SO,"Nipomo, Calif. ",Nipomo,Calif,Nipomo High School,,,,,San Jose State University,2012-2013
48,Niko Kittrell,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562185&Q_SEASON=2012,LB,6/2/13,245,FR,"Tucson, Ariz. ",Tucson,Ariz,Sahuaro High School,,,,,San Jose State University,2012-2013
33,Brad Kuh,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205540625&Q_SEASON=2012,LB,6/2/13,220,FR,"San Jose, Calif. ",San Jose,Calif,Bellarmine Prep,,,,,San Jose State University,2012-2013
97,Anthony Larceval,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765518&Q_SEASON=2012,DT,6/2/13,284,JR,"Spring Valley, Calif. ",Spring Valley,Calif,Helix High School,,,,,San Jose State University,2012-2013
