Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
12,Corey Thompson,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372036&Q_SEASON=2012,S,6/2/13,210,FR,HS,"Missouri City, Texas ",Missouri City,TEXAS,Lawrence Elkins High School,,,,,Louisiana State University,2012-2013
13,Chris LaBorde,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498692&Q_SEASON=2012,WR,6/1/13,185,FR,RS,"Lafayette, La. ",Lafayette,LA,Westminster Christian Academy,,,,,Louisiana State University,2012-2013
13,Dwayne Thomas,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371941&Q_SEASON=2012,CB,6/1/00,175,FR,HS,"New Orleans, La. ",New Orleans,LA,O.P. Walker High School,,,,,Louisiana State University,2012-2013
14,Terrence Magee,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087841&Q_SEASON=2012,WR/RB,5/9/13,212,SO,SQ,"Franklinton, La. ",Franklinton,LA,Franklinton High School,,,,,Louisiana State University,2012-2013
15,Jerrard Randall,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205181039&Q_SEASON=2012,QB,6/1/13,186,FR,SQ,"Hollywood, Fla. ",Hollywood,FLA,Mirimar High School,,,,,Louisiana State University,2012-2013
16,Brad Kragthorpe,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205563489&Q_SEASON=2012,QB,6/1/00,186,FR,TR,"Tulsa, Okla. ",Tulsa,OKLA,Holland Hall HS,Idaho State University,,,,Louisiana State University,2012-2013
17,Myles O'Brien,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498558&Q_SEASON=2012,LB,6/2/13,210,SO,TR,"Metairie, La. ",Metairie,LA,Archbishop Rummel,Baton Rouge Community College,,,,Louisiana State University,2012-2013
17,Stephen Rivers,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087915&Q_SEASON=2012,QB,6/8/13,225,FR,RS,"Athens, Ala. ",Athens,ALA,Athens High School,,,,,Louisiana State University,2012-2013
18,Bennie Logan,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3659753&Q_SEASON=2012,DT,6/3/13,295,JR,3L,"Coushatta, La. ",Coushatta,LA,Red River High School,,,,,Louisiana State University,2012-2013
19,Ronnie Arant,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205651630&Q_SEASON=2012,QB,5/10/13,165,FR,RS,"Metairie, La. ",Metairie,LA,Brother Martin High School,,,,,Louisiana State University,2012-2013
19,Derrick Raymond,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371940&Q_SEASON=2012,CB,6/1/13,175,FR,HS,"New Orleans, La. ",New Orleans,LA,East Jefferson High School,,,,,Louisiana State University,2012-2013
21,Tre' Sullivan,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498627&Q_SEASON=2012,DB,5/9/13,182,SO,SQ,"Donaldsonville, La. ",Donaldsonville,LA,Donaldsonville High School,,,,,Louisiana State University,2012-2013
21,Paul Turner,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087919&Q_SEASON=2012,WR,5/11/13,192,FR,SQ,"West Monroe, La. ",West Monroe,LA,West Monroe High School,,,,,Louisiana State University,2012-2013
22,Ronnie Feist,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372109&Q_SEASON=2012,LB,6/2/13,230,FR,HS,"Edgard, La. ",Edgard,LA,West St. John High School,,,,,Louisiana State University,2012-2013
23,Lamar Louis,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371936&Q_SEASON=2012,LB,6/1/00,220,FR,HS,"Breaux Bridge, La. ",Breaux Bridge,LA,Breaux Bridge High School,,,,,Louisiana State University,2012-2013
24,Tharold Simon,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879622&Q_SEASON=2012,CB,6/3/13,193,JR,2L,"Eunice, La. ",Eunice,LA,Eunice High School,,,,,Louisiana State University,2012-2013
25,Kwon Alexander,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371926&Q_SEASON=2012,LB,6/2/13,215,FR,HS,"Oxford, Ala. ",Oxford,ALA,Oxford High School,,,,,Louisiana State University,2012-2013
26,Ronald Martin,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087843&Q_SEASON=2012,S,6/1/13,202,SO,1L,"White Castle, La. ",White Castle,LA,White Castle High School,,,,,Louisiana State University,2012-2013
27,Dexter Alexander,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973448&Q_SEASON=2012,DB,5/9/13,189,JR,SQ,"Baton Rouge, La. ",Baton Rouge,LA,Christian Life Academy,,,,,Louisiana State University,2012-2013
27,Kenny Hilliard,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205084664&Q_SEASON=2012,RB,6/1/00,231,SO,1L,"Patterson, La. ",Patterson,LA,Patterson High School,,,,,Louisiana State University,2012-2013
28,Jonathan Juneau,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498539&Q_SEASON=2012,RB,5/11/13,198,FR,HS,"Lafayette, La. ",Lafayette,LA,St. Thomas More High School,,,,,Louisiana State University,2012-2013
28,Jalen Mills,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371937&Q_SEASON=2012,CB,6/1/00,185,FR,HS,"DeSoto, Texas ",DeSoto,TEXAS,DeSoto High School,,,,,Louisiana State University,2012-2013
29,Tommy LeBeau,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498556&Q_SEASON=2012,S,6/1/13,190,FR,RS,"Monroe, La. ",Monroe,LA,Ouachita Parish High School,,,,,Louisiana State University,2012-2013
29,Stephen Scardina,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498621&Q_SEASON=2012,FB,5/11/13,272,FR,HS,"Baton Rouge, La. ",Baton Rouge,LA,St. Michael High School,,,,,Louisiana State University,2012-2013
30,Drew Alleman,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1456279&Q_SEASON=2012,PK,5/11/13,183,SR,2L,"Lafayette, La. ",Lafayette,LA,Acadiana High School,,,,,Louisiana State University,2012-2013
30,Colby Delahoussaye,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498541&Q_SEASON=2012,PK,5/10/13,174,FR,HS,"New Iberia, La. ",New Iberia,LA,New Iberia High School,,,,,Louisiana State University,2012-2013
30,Trent Domingue,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498622&Q_SEASON=2012,PK/P,6/1/00,177,FR,HS,"Mandeville, La. ",Mandeville,LA,St. Paul's High School,,,,,Louisiana State University,2012-2013
30,James Hairston,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087805&Q_SEASON=2012,PK,6/1/13,220,SO,1L,"Dallas, Texas ",Dallas,TEXAS,Jesuit College Prep,,,,,Louisiana State University,2012-2013
31,D.J. Welter,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879600&Q_SEASON=2012,LB,6/1/00,226,SO,SQ,"Crowley, La. ",Crowley,LA,Notre Dame High School,,,,,Louisiana State University,2012-2013
32,Jalen Collins,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087831&Q_SEASON=2012,CB,6/2/13,195,FR,RS,"Olive Branch, Miss. ",Olive Branch,MISS,Olive Branch High School,,,,,Louisiana State University,2012-2013
33,Jeremy Hill,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372030&Q_SEASON=2012,RB,6/2/13,235,FR,HS,"Baton Rouge, La. ",Baton Rouge,LA,Redemptorist High School,,,,,Louisiana State University,2012-2013
33,Vincent LeDuff,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498615&Q_SEASON=2012,S,6/3/13,211,SO,HS,"Baton Rouge, La. ",Baton Rouge,LA,Catholic High School,,,,,Louisiana State University,2012-2013
34,Michael Davis,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498542&Q_SEASON=2012,FB,5/9/13,187,FR,HS,"Prairieville, La. ",Prairieville,LA,Dutchtown High School,,,,,Louisiana State University,2012-2013
34,Micah Eugene,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087803&Q_SEASON=2012,S,5/11/13,190,FR,RS,"Lafayette, La. ",Lafayette,LA,Acadiana High School,,,,,Louisiana State University,2012-2013
35,Devante Meullion,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498689&Q_SEASON=2012,FB,5/10/13,240,FR,RS,"Seattle, Wash. ",Seattle,WASH,Chief Sealth International High School,,,,,Louisiana State University,2012-2013
35,Lorenzo Phillips,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371939&Q_SEASON=2012,LB,6/2/13,215,FR,HS,"Patterson, La. ",Patterson,LA,Patterson High School,,,,,Louisiana State University,2012-2013
36,Kavahra Holmes,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371933&Q_SEASON=2012,CB,6/2/13,180,FR,HS,"Breaux Bridge, La. ",Breaux Bridge,LA,Breaux Bridge High School,,,,,Louisiana State University,2012-2013
38,Jamie Keehn,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205400522&Q_SEASON=2012,P,6/4/13,222,FR,HS,"Miners Rest, Australia ",Miners Rest,AUSTRALIA,The Rock Hampton GS,,,,,Louisiana State University,2012-2013
38,Brad Wing,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879604&Q_SEASON=2012,P,6/3/13,197,SO,1L,"Melbourne, Australia ",Melbourne,AUSTRALIA,Parkview Baptist High School,,,,,Louisiana State University,2012-2013
39,Jerqwinick Sandolph,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372034&Q_SEASON=2012,S,6/2/13,190,FR,HS,"Boutte, La. ",Boutte,LA,Hahnville High School,,,,,Louisiana State University,2012-2013
39,Jason Slaydon,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973445&Q_SEASON=2012,FB,5/9/13,198,SR,SQ,"Westlake, La. ",Westlake,LA,Westlake High School,,,,,Louisiana State University,2012-2013
40,Rockey Duplessis,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382560&Q_SEASON=2012,S,6/1/13,207,SR,2L,"Belle Chasse, La. ",Belle Chasse,LA,Belle Chasse High School,,,,,Louisiana State University,2012-2013
40,Tabari Williams,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204967270&Q_SEASON=2012,RB,5/7/13,170,SR,SQ,"Hiram, Ga. ",Hiram,GA,The Culver Academies,,,,,Louisiana State University,2012-2013
41,Travis Dickson,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879584&Q_SEASON=2012,TE,6/3/13,230,SO,SQ,"Ocean Springs, Miss. ",Ocean Springs,MISS,Ocean Springs High School,,,,,Louisiana State University,2012-2013
42,Michael Ford,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660017&Q_SEASON=2012,RB,5/10/13,216,JR,3L,"Leesville, La. ",Leesville,LA,Leesville High School,,,,,Louisiana State University,2012-2013
42,Michael Petty,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498488&Q_SEASON=2012,LB,5/10/13,185,FR,RS,"Alexandria, La. ",Alexandria,LA,Alexandria Senior High School,,,,,Louisiana State University,2012-2013
43,Connor Neighbors,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973410&Q_SEASON=2012,FB,5/11/13,236,JR,SQ,"Huntsville, Ala. ",Huntsville,ALA,Huntsville High School,,,,,Louisiana State University,2012-2013
44,J.C. Copeland,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880018&Q_SEASON=2012,FB,6/1/13,272,JR,1L,"LaGrange, Ga. ",LaGrange,GA,Troup County High School,,,,,Louisiana State University,2012-2013
45,Allen Buniger,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205497209&Q_SEASON=2012,TE,6/3/13,266,SO,SQ,"New Orleans, La. ",New Orleans,LA,West Jefferson High School,,,,,Louisiana State University,2012-2013
45,Deion Jones,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372032&Q_SEASON=2012,LB,6/2/13,202,FR,HS,"New Orleans, La. ",New Orleans,LA,Jesuit High School,,,,,Louisiana State University,2012-2013
46,Kevin Minter,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660011&Q_SEASON=2012,LB,6/2/13,245,JR,3L,"Suwanee, Ga. ",Suwanee,GA,Peachtree Ridge High School,,,,,Louisiana State University,2012-2013
46,Charles Mitchell,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498554&Q_SEASON=2012,RB,6/1/13,200,SO,RS,"Sugar Land, Texas ",Sugar Land,TEXAS,Strake Jesuit College Prep,,,,,Louisiana State University,2012-2013
47,Tyler Edwards,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382562&Q_SEASON=2012,TE,6/4/13,245,SR,3L,"Monroe, La. ",Monroe,LA,Ouachita Parish High School,,,,,Louisiana State University,2012-2013
47,Jeremy Peeples,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973441&Q_SEASON=2012,DL,6/4/13,237,SO,SQ,"Selma, Ala. ",Selma,ALA,Selma High School,,,,,Louisiana State University,2012-2013
48,Seth Fruge,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973413&Q_SEASON=2012,LB,5/11/13,189,JR,2L,"Welsh, La. ",Welsh,LA,Notre Dame High School,,,,,Louisiana State University,2012-2013
49,Barkevious Mingo,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660186&Q_SEASON=2012,DE,6/5/13,240,JR,3L,"West Monroe, La. ",West Monroe,LA,West Monroe High School,,,,,Louisiana State University,2012-2013
50,Reid Ferguson,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372110&Q_SEASON=2012,SNP,6/2/13,235,FR,HS,"Buford, Ga. ",Buford,GA,Buford High School,,,,,Louisiana State University,2012-2013
51,Trey Granier,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372111&Q_SEASON=2012,LB,6/1/13,227,FR,HS,"Thibodaux, La. ",Thibodaux,LA,Thibodaux High School,,,,,Louisiana State University,2012-2013
52,Gabe Langlois,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498626&Q_SEASON=2012,OL,6/2/13,310,FR,RS,"Prairieville, La. ",Prairieville,LA,Port Neches Groves High School,,,,,Louisiana State University,2012-2013
52,Luke Muncie,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879594&Q_SEASON=2012,LB,6/3/13,210,JR,2L,"Klein, Texas ",Klein,TEXAS,Oak High School,,,,,Louisiana State University,2012-2013
53,Logan Boudreaux,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205237770&Q_SEASON=2012,SNP,5/11/13,215,FR,RS,"St. Amant, La. ",St. Amant,LA,St. Amant High School,,,,,Louisiana State University,2012-2013
53,Grant Leger,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498553&Q_SEASON=2012,LB,6/1/13,215,FR,RS,"Metairie, La. ",Metairie,LA,Jesuit High School,,,,,Louisiana State University,2012-2013
54,Justin Maclin,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879592&Q_SEASON=2012,DE,6/4/13,237,SO,RS,"Memphis, Tenn. ",Memphis,TENN,Ridgeway High School,,,,,Louisiana State University,2012-2013
55,Jarrett Hardnett,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973409&Q_SEASON=2012,LB,6/1/13,233,JR,SQ,"Baton Rouge, La. ",Baton Rouge,LA,Woodlawn HS,Northwestern State University,,,,Louisiana State University,2012-2013
55,Elliott Porter,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879595&Q_SEASON=2012,OL,6/4/13,300,SO,TR,"Waggaman, La. ",Waggaman,LA,Shaw High School,,,,,Louisiana State University,2012-2013
56,Logan Patty,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498543&Q_SEASON=2012,LB,6/1/00,216,FR,HS,"Baton Rouge, La. ",Baton Rouge,LA,St. Michael High School,,,,,Louisiana State University,2012-2013
56,Trai Turner,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087847&Q_SEASON=2012,OL,6/3/13,306,FR,RS,"New Orleans, La. ",New Orleans,LA,St. Augustine High School,,,,,Louisiana State University,2012-2013
57,Lamin Barrow,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660124&Q_SEASON=2012,LB,6/2/13,232,JR,2L,"Marrero, La. ",Marrero,LA,John Ehret High School,,,,,Louisiana State University,2012-2013
57,Cody Townsend,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205653213&Q_SEASON=2012,OL,6/1/13,283,FR,HS,"Marrero, La. ",Marrero,LA,John Ehret High School,,,,,Louisiana State University,2012-2013
58,Tahj Jones,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660018&Q_SEASON=2012,LB,6/2/13,205,JR,2L,"Sulphur, La. ",Sulphur,LA,Sulphur High School,,,,,Louisiana State University,2012-2013
59,Jermauria Rasco,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087914&Q_SEASON=2012,DE,6/3/13,255,SO,1L,"Shreveport, La. ",Shreveport,LA,Evangel Christian Academy,,,,,Louisiana State University,2012-2013
61,Ben Domingue,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973443&Q_SEASON=2012,C,6/3/13,270,SR,SQ,"Lafayette, La. ",Lafayette,LA,St. Thomas More High School,,,,,Louisiana State University,2012-2013
62,Edwin Johnson,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205498625&Q_SEASON=2012,LB,6/1/13,213,SR,SQ,"Baton Rouge, La. ",Baton Rouge,LA,Woodlawn HS,Grambling State University,,,,Louisiana State University,2012-2013
63,Branch Kampe,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205245879&Q_SEASON=2012,LB,5/11/13,200,FR,RS,"Rochester, Mich. ",Rochester,MICH,Shrine Catholic High School,,,,,Louisiana State University,2012-2013
64,P.J. Lonergan,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382576&Q_SEASON=2012,C,6/4/13,305,SR,4L,"New Orleans, La. ",New Orleans,LA,Rummel High School,,,,,Louisiana State University,2012-2013
65,Jerald Hawkins,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205372112&Q_SEASON=2012,OL,6/6/13,300,FR,HS,"Baldwin, La. ",Baldwin,LA,West St. Mary High School,,,,,Louisiana State University,2012-2013
66,Derek Edinburgh Jr.,http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205371931&Q_SEASON=2012,OL,6/8/13,316,FR,HS,"New Orleans, La. ",New Orleans,LA,Karr High School,,,,,Louisiana State University,2012-2013
